"","#wt","#mut","pvalue","is_significant"
"E2F3",9,3,0.00723494781879007,"no"
"OSBPL2",10,2,0.0176960465532032,"no"
"FAM210B",10,2,0.020505826813716,"no"
"JAG1",10,2,0.0240736002226159,"no"
"MBOAT1",10,2,0.024078538068554,"no"
"ABCA4",10,2,0.0350454129901267,"no"
"GHRH",10,2,0.0535776383376591,"no"
"HCK",10,2,0.0725935249666579,"no"
"RALY",10,2,0.0796463147932695,"no"
"EPB41L1",10,2,0.0837358624618492,"no"
"AHCY",10,2,0.101507521308551,"no"
"ID1",10,2,0.103791307295115,"no"
"PPDPF",10,2,0.107514080909523,"no"
"ITCH",10,2,0.122161624583806,"no"
"ACTR5",10,2,0.127296998293105,"no"
"PREX1",10,2,0.139364328701639,"no"
"DNAJC5",10,2,0.142585304386793,"no"
"SSH3",10,2,0.142753959132596,"no"
"DUSP15",10,2,0.152472876946679,"no"
"VSTM2L",10,2,0.153876806560945,"no"
"NEURL2",10,2,0.153884803892022,"no"
"ASXL1",10,2,0.167068326731217,"no"
"USP7",10,2,0.168494420753985,"no"
"SOX4",9,3,0.180446328719089,"no"
"PLAGL2",10,2,0.186818442122422,"no"
"RPS6KB2",10,2,0.191717648165631,"no"
"CSMD3",10,2,0.206860641506692,"no"
"C20orf152",10,2,0.207687959172624,"no"
"PPP1R16B",10,2,0.207697370526891,"no"
"SNAI1",10,2,0.21448398353945,"no"
"LAMP5",10,2,0.220354677781377,"no"
"TASP1",10,2,0.223580111609859,"no"
"SGK2",10,2,0.227757122453692,"no"
"RALGAPB",10,2,0.230709718582574,"no"
"SOX18",10,2,0.232971945374498,"no"
"TGIF2",10,2,0.234452961935416,"no"
"NCOA6",10,2,0.237399099792259,"no"
"GPR152",10,2,0.243684610977275,"no"
"PCK1",10,2,0.244963966494629,"no"
"PRL",10,2,0.252377622537306,"no"
"TNFRSF6B",10,2,0.254963916605861,"no"
"RTEL1-TNFRSF6B",10,2,0.254963916605861,"no"
"HNF4A",10,2,0.256356299256166,"no"
"WISP2",10,2,0.260809543183576,"no"
"PHF20",10,2,0.266356772296041,"no"
"FGF19",10,2,0.269151645285056,"no"
"TMEM189",10,2,0.282554752790978,"no"
"NCOA3",10,2,0.289093642121667,"no"
"TBC1D10C",10,2,0.296903196817261,"no"
"STK4",10,2,0.300849092527252,"no"
"GPR89A",10,2,0.30169768903902,"no"
"GPR89C",10,2,0.30169768903902,"no"
"SRC",10,2,0.315522657995487,"no"
"MATN4",10,2,0.320725297342356,"no"
"TFAP2C",10,2,0.321190537994107,"no"
"BMP7",10,2,0.324653822762202,"no"
"MMP9",10,2,0.330530925579038,"no"
"SDC4",10,2,0.332169172551374,"no"
"VAPB",10,2,0.339052172389216,"no"
"SRMS",10,2,0.345080192066586,"no"
"RBM38",10,2,0.347490928838217,"no"
"RGPD4",10,2,0.351945318001547,"no"
"CBFA2T2",10,2,0.358411414981113,"no"
"AIP",10,2,0.364639044370927,"no"
