"","#wt","#mut","pvalue","is_significant"
"PIK3CA",7,5,0.014168208140729,"no"
"TRIM66",10,2,0.0181831587428898,"no"
"WDR36",10,2,0.0193465272613958,"no"
"NRAS",10,2,0.0228544787473399,"no"
"DACH1",10,2,0.0372994071069838,"no"
"ASXL3",10,2,0.0376686563056774,"no"
"LY9",10,2,0.0435799129314737,"no"
"TP53",5,7,0.0681865490414825,"no"
"ROBO2",10,2,0.071435758253984,"no"
"REL",10,2,0.0828064003012168,"no"
"AHRR",10,2,0.0985956461472789,"no"
"COL15A1",10,2,0.11562511810221,"no"
"TET3",10,2,0.133710918648593,"no"
"OBSCN",10,2,0.180046462015281,"no"
"C4B",10,2,0.183772384303287,"no"
"CDH1",10,2,0.193208853293702,"no"
"ALOX15B",10,2,0.195306942556313,"no"
"DNAH5",9,3,0.215237514081707,"no"
"PKD1",9,3,0.227318432964739,"no"
"MYO9A",10,2,0.236512283882271,"no"
"PDZRN4",10,2,0.240039232525034,"no"
"CDC45",10,2,0.242530977870253,"no"
"COL5A1",10,2,0.2579732075497,"no"
"DHX38",10,2,0.259574024143852,"no"
"HFM1",10,2,0.264969962884614,"no"
"TBC1D8B",10,2,0.283863556032627,"no"
"FRYL",10,2,0.293517428642277,"no"
"COL18A1",10,2,0.293550975053127,"no"
"COL14A1",10,2,0.294737405078252,"no"
"NIN",10,2,0.309325607112874,"no"
"CACNA1B",10,2,0.323485993329977,"no"
"ABCA12",10,2,0.333857997680847,"no"
"HOXA13",10,2,0.343046323794691,"no"
"ALPK3",10,2,0.344050710828661,"no"
"RHOH",10,2,0.360710296943152,"no"
"MUS81",10,2,0.36844781494029,"no"
"EIF4B",10,2,0.376810454731807,"no"
"VCAN",10,2,0.385172503568689,"no"
"FGFR3",10,2,0.393341158650161,"no"
"LRP1",10,2,0.395159215138604,"no"
"TOP3A",10,2,0.404399095915293,"no"
"ARHGEF11",10,2,0.423442837628036,"no"
"LRP1B",10,2,0.425986728963358,"no"
"FMN2",9,3,0.433025976467974,"no"
"VSTM2L",10,2,0.442244318715421,"no"
"TTN",5,7,0.459729264518234,"no"
"ATG2A",10,2,0.462200697275592,"no"
"CSMD1",10,2,0.467419412742113,"no"
"ERCC6L2",10,2,0.476833168135819,"no"
"IGSF3",10,2,0.484424204787252,"no"
"CSRP2BP",10,2,0.490887459806516,"no"
"TCHH",10,2,0.500482397989347,"no"
"CHRM3",10,2,0.511979742726954,"no"
"PEAK1",10,2,0.54615730803238,"no"
"NCOA6",10,2,0.546791394266081,"no"
"KALRN",10,2,0.560589346316043,"no"
"COL6A6",10,2,0.591402295673278,"no"
"REV3L",10,2,0.600039531060667,"no"
"PHKA1",10,2,0.605417814375511,"no"
"CNGA4",10,2,0.607698406395214,"no"
"COL1A1",10,2,0.626497824264124,"no"
"TTBK2",10,2,0.636045302779269,"no"
"SI",10,2,0.667205304192637,"no"
"RAVER2",10,2,0.676292254593328,"no"
"ATP2B3",10,2,0.681724114397945,"no"
"HIVEP2",9,3,0.697967337419332,"no"
"MRE11A",10,2,0.708614745238991,"no"
"KDM4A",10,2,0.736285786622792,"no"
"KIAA1875",10,2,0.762550462254025,"no"
"POLE",10,2,0.77191687548528,"no"
"DIDO1",10,2,0.783039025836939,"no"
"UTRN",10,2,0.786882510668431,"no"
"MTHFD1",10,2,0.793664925410962,"no"
"RAI1",10,2,0.800147137984079,"no"
"GUCY2C",10,2,0.815662955088543,"no"
"TARDBP",10,2,0.825863152778547,"no"
"SERPINC1",10,2,0.826880319528501,"no"
"FCHSD2",10,2,0.834501014576478,"no"
"KDM6A",10,2,0.868890796717848,"no"
"PCDH9",10,2,0.883884671662683,"no"
"IHH",10,2,0.897043196129082,"no"
"PAK7",10,2,0.89727183199945,"no"
"ABCA13",10,2,0.897639561141395,"no"
"ARID1A",10,2,0.897734537268427,"no"
"SLIT1",10,2,0.905997934806536,"no"
"SRPX",10,2,0.935442348601883,"no"
"ATP13A5",10,2,0.93766695042572,"no"
"LLGL1",10,2,0.961878205114939,"no"
"HDAC4",10,2,0.974520637327849,"no"
"SPEG",9,3,0.974730704950356,"no"
"HELZ",10,2,0.978588919783445,"no"
"ECHS1",10,2,0.98914707423357,"no"
