"","#wt","#mut","pvalue","is_significant"
"MAP4K3",10,2,0.0145368327801191,"yes"
"NBR1",9,3,0.119405592636428,"no"
"ELAVL2",9,3,0.273441904289005,"no"
"MCPH1",10,2,0.283753463602654,"no"
"KDM6A",9,3,0.361675124656248,"no"
"ABCA13",10,2,0.43773779581509,"no"
"ATRNL1",10,2,0.628615886331205,"no"
"MSH3",10,2,0.634003143519138,"no"
"ARID1A",7,5,0.656054748453802,"no"
"ERMAP",10,2,0.672782507250262,"no"
"ATM",10,2,0.728114934074855,"no"
"TTC3",10,2,0.864225573739687,"no"
"TP53",8,4,0.956801515622114,"no"
"CDKN1A",10,2,0.977776728635159,"no"
"TICAM1",10,2,0.977946473146926,"no"
