"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"TP53",3,9,7.90594811839185e-10,"yes",0.00346399190427649,"up"
"TFRC",12,0,2.37999902097386e-05,"yes",5.49858138500974e-15,"up"
"RDH5",12,0,7.4104045764245e-05,"yes",0.031167342281467,"down"
"BLOC1S1-RDH5",12,0,7.4104045764245e-05,"yes",NA,NA
"TNFRSF12A",11,1,8.04546675399198e-05,"yes",0.137532697257444,"up"
"NAA50",12,0,8.26509750307958e-05,"yes",9.25011718353881e-08,"up"
"SET",11,1,0.000141861487004125,"yes",2.76698580043508e-08,"up"
"NSMAF",12,0,0.000180813592193241,"no",0.33872833275341,"up"
"BTAF1",12,0,0.000189778079049407,"no",0.405206141536439,"up"
"BTF3",12,0,0.000241071312856,"no",0.0739629514029459,"down"
"TINF2",12,0,0.00030806252912885,"no",0.00779330464637172,"down"
"AANAT",12,0,0.000314397746832618,"no",0.0468275073361273,"up"
"PPP1R10",10,2,0.000382095570539143,"no",0.629554632771182,"down"
"BTNL9",12,0,0.00044020898988395,"no",0.0937634408879174,"down"
"HOXA10",10,2,0.000482654510393643,"no",0.967948294125863,"down"
"SRSF11",12,0,0.0006066278715261,"no",1.69611568929237e-06,"up"
"DDX47",12,0,0.000680229442004743,"no",0.406639391451362,"up"
"HEYL",11,1,0.000684919747861557,"no",0.842024955996935,"up"
"USP19",11,1,0.000702451955526984,"no",0.601604525835133,"down"
"ZNF238",12,0,0.000734140399521577,"no",NA,NA
"NF2",12,0,0.000778956225709559,"no",0.0473703768301249,"up"
"FUK",11,1,0.000809885201949467,"no",0.000651105799656542,"up"
"PITX2",12,0,0.00098961424243027,"no",0.00518319266054332,"down"
"CES1",12,0,0.00108990162779166,"no",0.401738915482588,"down"
"LOC100653057",12,0,0.00108990162779166,"no",NA,NA
"MCM4",12,0,0.00113650366252815,"no",8.97212828320143e-17,"up"
"PAPPA2",11,1,0.001224087391554,"no",0.260803314864803,"up"
"POU4F1",12,0,0.00135318051339894,"no",0.00124743372878142,"up"
"GREB1",11,1,0.0014131646553075,"no",0.691553066899134,"up"
"DNMT1",10,2,0.00149329270900878,"no",3.75376889533082e-15,"up"
"TBR1",12,0,0.00150523086993426,"no",2.53453133612899e-07,"up"
"LOC341056",12,0,0.00151024265152133,"no",NA,NA
"ATAD1",11,1,0.00171691845400268,"no",0.456429636996943,"up"
"FBXW7",11,1,0.00180438502989955,"no",0.912234949669954,"up"
"TBX5",12,0,0.00185529009565788,"no",0.00330740215121101,"down"
"MLLT11",12,0,0.00188102553812752,"no",7.86658267426232e-15,"up"
"PRRT1",12,0,0.00199621602585653,"no",0.562482838037818,"down"
"RBM47",11,1,0.0020366511340616,"no",0.389716314514917,"up"
"OR5AU1",12,0,0.00208288753692631,"no",0.368091163934253,"down"
"AGAP6",12,0,0.00208510997995526,"no",2.30840101141453e-09,"up"
"DMRT2",11,1,0.00211197094549942,"no",7.44975931146914e-08,"up"
"WASL",11,1,0.00217020366962695,"no",0.533942256124059,"down"
"ATP11A",11,1,0.002273759617894,"no",3.68268299511957e-12,"up"
"PDK2",12,0,0.00252932354621038,"no",0.0131180069971595,"down"
"NVL",11,1,0.00253956134777622,"no",1.19137427649545e-06,"up"
"JAG1",10,2,0.00254081322339073,"no",0.002504930083968,"up"
"EBF1",12,0,0.0026047139956995,"no",0.000113296835847182,"down"
"TAAR2",12,0,0.00282681648530758,"no",0.00813226862306698,"up"
"OPRD1",11,1,0.00285056842013232,"no",0.000274863874730172,"up"
"BCHE",11,1,0.00297467882961377,"no",0.0022043610328559,"down"
"SHMT1",11,1,0.00318407143164035,"no",0.00063771796974324,"up"
"TBC1D10C",10,2,0.0031936924268775,"no",0.332935321126202,"down"
"SRPK3",12,0,0.00322467428302975,"no",0.0915304104505433,"down"
"SORCS2",11,1,0.0032716996365294,"no",0.00514565455210034,"down"
"DCAKD",12,0,0.00337847008165848,"no",0.0697753165455736,"up"
"KIF3A",12,0,0.00343056436939504,"no",0.0491558149336612,"up"
"KIF6",11,1,0.00352867808641666,"no",0.824518893664539,"down"
"COPS7B",12,0,0.00355898936958243,"no",3.47419961619889e-08,"up"
"SULT1C3",12,0,0.00356165331014624,"no",0.124061100219442,"up"
"ILDR1",12,0,0.00379265607132162,"no",0.308623571492686,"up"
"CAPN1",12,0,0.00410342124562679,"no",0.00204056746260629,"up"
"SLC34A2",12,0,0.00418959570345123,"no",0.0488179695548919,"up"
"NFKBIA",12,0,0.00420188717766956,"no",0.0482455202473201,"down"
"CTNNB1",12,0,0.00424618904448792,"no",0.301185191180607,"up"
"CHST1",12,0,0.00430344465451526,"no",2.22048419775626e-05,"up"
"SH3TC2",11,1,0.0043739007290825,"no",0.00244862779140964,"up"
"NCR3",12,0,0.00437834604595599,"no",0.119638970572688,"down"
"GNA11",12,0,0.00462545663460567,"no",0.00210053037237754,"down"
"PLK2",11,1,0.00472065951386291,"no",0.730560247483401,"up"
"SQSTM1",12,0,0.00484728902340092,"no",0.0126293631842294,"down"
"TCF7L2",12,0,0.004904457624192,"no",0.182021984393246,"up"
"SRY",12,0,0.00513412188106765,"no",0.00106810826386126,"up"
"FLT3",11,1,0.00532614582899882,"no",0.0200197560915938,"down"
"KLHL4",11,1,0.00533542900075346,"no",0.0301162262234184,"down"
"PHACTR1",11,1,0.00533675630405128,"no",0.00273954613292385,"down"
"ETV4",12,0,0.00554799173571918,"no",4.86578019658661e-20,"up"
"GNGT1",12,0,0.00564656903611693,"no",1.31030807729357e-07,"up"
"ARHGEF2",11,1,0.00565665864134057,"no",0.137094430196327,"up"
"EN2",11,1,0.00583343508203193,"no",1.31522153807388e-16,"up"
"NGFR",12,0,0.00593618713152433,"no",0.020596811227647,"down"
"KCNJ16",12,0,0.00593756995584893,"no",0.0859272383215654,"up"
"ABCC9",11,1,0.00597532543959522,"no",0.00185577914772449,"down"
"FZD1",12,0,0.00601964902966834,"no",0.578036886386483,"up"
"SLC38A10",12,0,0.00602524888950562,"no",3.43594069341105e-07,"up"
"MCL1",12,0,0.0060885569077892,"no",0.002559396423501,"down"
"RAB25",12,0,0.00619964710447829,"no",0.0166853452351532,"up"
"SUMO2",12,0,0.00629209576067868,"no",2.35188900218791e-10,"up"
"SCN2B",12,0,0.00631393405394332,"no",9.30751083739448e-05,"down"
"HAND2",12,0,0.00648652005573036,"no",0.000742634236960052,"down"
"GRK4",12,0,0.00655999472264157,"no",0.0381663843929156,"up"
"ADSL",11,1,0.00657448364422131,"no",0.00127791770871408,"up"
"HTATSF1",12,0,0.00661594815103517,"no",0.0219764641784306,"up"
"ORC1",11,1,0.00672518344781137,"no",1.13475231189272e-17,"up"
"OLIG2",12,0,0.00683450890828508,"no",0.00153900190159746,"up"
"TMEM199",12,0,0.00713499720811683,"no",6.97753669252921e-08,"up"
"GTF2H5",12,0,0.00723928288280007,"no",0.871705930213076,"up"
"MAGEA3",12,0,0.00732331759345906,"no",4.78992993948175e-06,"up"
"MAGEA6",12,0,0.00732331759345906,"no",1.2049395402858e-05,"up"
"GMNN",12,0,0.00733325872110779,"no",0.000924720182581916,"up"
"RUFY1",12,0,0.00733325872110779,"no",0.463420270948916,"up"
"TM4SF4",12,0,0.00739481800482977,"no",0.0275303024857821,"up"
"CD74",12,0,0.00741655169424271,"no",0.357297317224639,"up"
"NFIC",12,0,0.00747196751240686,"no",0.000344517160141285,"down"
"ATG14",11,1,0.00753091656009008,"no",0.299806306818173,"up"
"LGR5",12,0,0.00758898277553721,"no",7.42098330531176e-09,"up"
"USP33",12,0,0.00758898277553721,"no",0.000124444853051014,"up"
"PKP3",12,0,0.00759069010546076,"no",0.0820455268462878,"up"
"CCR2",10,2,0.0079135686079953,"no",0.852312400201844,"up"
"GTF2IP1",12,0,0.00794060138945807,"no",0.305687940798055,"up"
"LOC100093631",12,0,0.00794060138945807,"no",NA,NA
"PPBP",11,1,0.00806715805409264,"no",0.00910743110221187,"up"
