"","#wt","#mut","pvalue","is_significant"
"RNFT1",20,4,0.000831784671526093,"no"
"NRAS",21,3,0.00132735485345897,"no"
"ABCA8",18,6,0.00364308528528441,"no"
"NBEA",22,2,0.00504966925509744,"no"
"GNB1L",22,2,0.00570760010524719,"no"
"TFAP2C",18,6,0.00632651706818233,"no"
"HAS2",13,11,0.00710055764348031,"no"
"NRBP2",17,7,0.00716037451354506,"no"
"PPM1D",20,4,0.00721979093205892,"no"
"IRX2",18,6,0.00876702072482697,"no"
"SERPINC1",22,2,0.0112958104115993,"no"
"TEAD1",22,2,0.0124190292942933,"no"
"CDT1",22,2,0.0124777435552852,"no"
"WIPI1",18,6,0.0131011779049946,"no"
"CD300E",20,4,0.0134151381806794,"no"
"ITLN1",22,2,0.0139361608865883,"no"
"THOC3",21,3,0.0147736439420981,"no"
"EGFR",21,3,0.014993426416658,"no"
"TSFM",22,2,0.0151666266989774,"no"
"TRIO",20,4,0.0187274833236018,"no"
"PAIP1",20,4,0.0189389628357444,"no"
"TWIST1",22,2,0.0208136227464061,"no"
"HDAC9",22,2,0.0216077274620455,"no"
"MSI2",21,3,0.0220979452306259,"no"
"PRDM14",21,3,0.0233099461008921,"no"
"AHCY",22,2,0.0234120365057804,"no"
"FBXL20",21,3,0.0236026051734002,"no"
"GHSR",20,4,0.0258828996138951,"no"
"ANKH",19,5,0.0259415975069701,"no"
"RBMXL1",22,2,0.026201216931619,"no"
"ASAP1",17,7,0.0263823390954333,"no"
"ECHS1",22,2,0.0269168834180106,"no"
"AGAP2",22,2,0.0271043966432077,"no"
"CD274",21,3,0.0272299237397015,"no"
"CA14",21,3,0.0280044632933467,"no"
"FBXL14",22,2,0.0281429816967186,"no"
"TLK2",20,4,0.0283813704956983,"no"
"CEBPZ",22,2,0.028777974861519,"no"
"STRN",22,2,0.029093395791283,"no"
"B4GALNT3",22,2,0.0293636448262746,"no"
"KIF2B",22,2,0.0303615818527556,"no"
"TBX2",21,3,0.0310343990488738,"no"
"LGR4",21,3,0.0316273074670962,"no"
"SEMA3E",22,2,0.0322299526029203,"no"
"RBFOX3",21,3,0.0330104776279914,"no"
"LEFTY2",22,2,0.0339838950046628,"no"
"H3F3A",22,2,0.0350306537692133,"no"
"H3F3AP4",22,2,0.0350306537692133,"no"
"GJC2",21,3,0.0365603330775069,"no"
"CACNG4",18,6,0.036623898913258,"no"
"ORAOV1",18,6,0.036755707217791,"no"
"ERBB2",19,5,0.0371274401434224,"no"
"CSTF2T",21,3,0.0373081176951775,"no"
"FGF14",21,3,0.0378194966454681,"no"
"RNF19A",18,6,0.0389656131401849,"no"
"UGT3A1",18,6,0.0402130178787059,"no"
"PRKCA",19,5,0.0414003690022868,"no"
"KAT6A",22,2,0.0414294225615002,"no"
"C1QTNF3",19,5,0.0416915105800978,"no"
"C1QTNF3-AMACR",19,5,0.0416915105800978,"no"
"SEC62",20,4,0.0418034300114155,"no"
"GNAS",17,7,0.0426881512238285,"no"
"FNDC3B",20,4,0.0432560284067561,"no"
"RAB22A",17,7,0.0434762121158581,"no"
"APCDD1L",17,7,0.0438928576982939,"no"
"MEOX2",22,2,0.0443282297728438,"no"
"ZBTB45",22,2,0.045688018176189,"no"
"APH1A",21,3,0.0458359833280692,"no"
"PPP2R3A",22,2,0.0467686255318332,"no"
"NPR2",21,3,0.04716254643802,"no"
"WIPI2",22,2,0.0475171530852967,"no"
"F11R",22,2,0.0481594595016439,"no"
"FOXA1",22,2,0.0486254231863126,"no"
"FERD3L",22,2,0.0489307680178445,"no"
"FANCD2",22,2,0.0500353857143151,"no"
"POLA2",22,2,0.0503105262724945,"no"
"CFHR2",19,5,0.0506226218262035,"no"
"FRMPD2P1",20,4,0.0511297567869865,"no"
"ITPKB",21,3,0.0517352323894235,"no"
"AURKAPS1",22,2,0.0524133029419698,"no"
"PVRL4",22,2,0.0528521254108823,"no"
"LCN12",22,2,0.0548212891426811,"no"
"LOC728554",22,2,0.056806258722286,"no"
"PLK2",22,2,0.0569131248159957,"no"
"HELZ",19,5,0.0573605505919884,"no"
"ZNF219",22,2,0.0583169304712456,"no"
"STK38L",22,2,0.0584789960848208,"no"
"COX6C",18,6,0.0601836108631721,"no"
"CHML",21,3,0.0613453038383261,"no"
"OR4L1",21,3,0.0631043920842541,"no"
"C8orf86",20,4,0.0632800669124724,"no"
"ABCA5",18,6,0.0646482044927026,"no"
"PABPN1L",22,2,0.0649841405059641,"no"
"METTL1",22,2,0.0657996598074649,"no"
"PTPN14",22,2,0.0660898535215613,"no"
"CDK7",22,2,0.0686759971667908,"no"
"CD244",22,2,0.0687854377796048,"no"
"NLK",22,2,0.0694674558843643,"no"
"NEK2",22,2,0.0703213453760162,"no"
"LCN15",22,2,0.0706347161758094,"no"
"SETDB1",22,2,0.0711075118614922,"no"
"WSB1",22,2,0.0714225067927821,"no"
"CR2",22,2,0.0731056455831983,"no"
"CHKA",22,2,0.0738248425608913,"no"
"GRK6",22,2,0.0742781697770454,"no"
"PIP4K2C",22,2,0.0749180045621566,"no"
"KCNS2",18,6,0.0755584486810809,"no"
"CLDN1",19,5,0.076936912553747,"no"
"TTF2",22,2,0.0771462988789218,"no"
"DCAF7",21,3,0.0781602824050059,"no"
"PIGS",22,2,0.0781938135562722,"no"
"DCAF13",18,6,0.0783857417178379,"no"
"GOT1L1",19,5,0.0788818132939025,"no"
"CCBL2",22,2,0.0794567591320409,"no"
"SETD5",22,2,0.0801239258241542,"no"
"LAMP1",20,4,0.0803131819137827,"no"
"PSCA",17,7,0.0806101270879245,"no"
"ABCB10",21,3,0.0821570261838878,"no"
"MAFK",22,2,0.083138650106202,"no"
"ALDOC",22,2,0.0833070628236699,"no"
"GNAI3",22,2,0.0833883052172902,"no"
"RPA3",22,2,0.0844159850387093,"no"
"SLC46A1",22,2,0.0847186219872544,"no"
"TRA2B",20,4,0.0857867321408706,"no"
"ENPP7",21,3,0.0858300090562812,"no"
"ADRB3",19,5,0.0870596729238504,"no"
"RALY",22,2,0.0873749265566665,"no"
"HDAC5",22,2,0.0875928315857945,"no"
"NR1D1",21,3,0.0883202316646644,"no"
"NR1I3",22,2,0.0889457418973006,"no"
"CREG1",22,2,0.089231325913206,"no"
"FGL2",22,2,0.0901405366524371,"no"
"TNFRSF18",22,2,0.0904693535865626,"no"
"TTC22",22,2,0.0924808382868817,"no"
"PTPRG",22,2,0.0930583984917571,"no"
"DDX59",22,2,0.0933947526296239,"no"
"OR2B11",22,2,0.0934581062321657,"no"
"C1orf56",22,2,0.0940987106201013,"no"
"LDHAL6A",21,3,0.0945191715703552,"no"
"OR4K14",21,3,0.0959037315615015,"no"
"WDR64",21,3,0.0969899523076769,"no"
"METTL13",22,2,0.0971008942432218,"no"
"VDAC3",22,2,0.0989361508373219,"no"
"FAM69B",22,2,0.0996391502596501,"no"
"PA2G4P4",22,2,0.102250992432514,"no"
"RFC3",22,2,0.102437522343115,"no"
"CHRNA6",22,2,0.103113363385722,"no"
"TM2D2",21,3,0.103128418033047,"no"
"UCKL1",21,3,0.103286679033685,"no"
"NEUROD1",22,2,0.104443812432633,"no"
"MRGPRX3",21,3,0.104579156761687,"no"
"XPOT",22,2,0.105363488573667,"no"
"DHX57",22,2,0.105726724494107,"no"
"CFH",17,7,0.106430407573388,"no"
"SLAMF7",22,2,0.108267775174882,"no"
"GABARAPL2",22,2,0.109843478767767,"no"
"CDKL4",22,2,0.111172701682156,"no"
"ZNF444",22,2,0.111288753777406,"no"
"DHX36",22,2,0.111982739451943,"no"
"ITGA3",22,2,0.112021370214619,"no"
"EIF5A2",20,4,0.112148898261495,"no"
"PRDM9",20,4,0.112751557610557,"no"
"NUDT1",22,2,0.11446619117177,"no"
"LRRC15",17,7,0.114584890371995,"no"
"CDKAL1",22,2,0.114829946942977,"no"
"CACNA1C",22,2,0.115072368500817,"no"
"FASN",21,3,0.11645453916329,"no"
"CD247",22,2,0.117290560599576,"no"
"PMP2",19,5,0.117313265339452,"no"
"CLDN11",20,4,0.117390370052095,"no"
"WDR49",21,3,0.118433968524159,"no"
"CA13",21,3,0.118447834939692,"no"
"SUMO2",20,4,0.119072523074193,"no"
"ACTG1",21,3,0.11938180811965,"no"
"MAP2K6",20,4,0.119985701786152,"no"
"ZFHX4",20,4,0.120176654758049,"no"
"POLB",22,2,0.120834204078498,"no"
"MLLT11",22,2,0.12114360865525,"no"
"LY6E",17,7,0.121336074180531,"no"
"ZFPM2",17,7,0.121994784425271,"no"
"METTL2B",22,2,0.123170288820692,"no"
