"","#wt","#mut","pvalue","is_significant"
"PIK3CA",14,10,0.00524287784918513,"no"
"USP5",22,2,0.00601990378793125,"no"
"TAF1",22,2,0.00741620566762182,"no"
"PKD1",22,2,0.00781343854053037,"no"
"UBE3A",21,3,0.0100235060503437,"no"
"KRAS",22,2,0.0100701312659738,"no"
"FCGRT",22,2,0.0136396970063266,"no"
"LRG1",22,2,0.0185872751134315,"no"
"APC",22,2,0.023307159865065,"no"
"GEM",22,2,0.024318801690029,"no"
"SH2D4A",22,2,0.0254678278494983,"no"
"HCN1",22,2,0.026704068407476,"no"
"CDC25B",22,2,0.029573006126883,"no"
"RNF19A",22,2,0.0301636484003576,"no"
"EPHA5",21,3,0.0431002522204147,"no"
"ANKRD50",22,2,0.0467064311327528,"no"
"KIF17",22,2,0.0504718406365998,"no"
"HLTF",22,2,0.0514748242995958,"no"
"TRPM6",22,2,0.0518286516946316,"no"
"KDM5B",22,2,0.0522269382388224,"no"
"GPR19",22,2,0.0568829708813864,"no"
"TP53",12,12,0.0630091327226391,"no"
"PTGDR2",22,2,0.0631093385384645,"no"
"GRIA1",22,2,0.0647111097595701,"no"
"GPR68",22,2,0.068435995337877,"no"
"DSP",22,2,0.0705307969168701,"no"
"CDH24",22,2,0.0718461276318711,"no"
"NCOR2",21,3,0.0724746531062112,"no"
"HMG20B",22,2,0.0729778797422206,"no"
"CERK",22,2,0.0744338953695153,"no"
"SPEG",21,3,0.0748488488783128,"no"
"EP300",22,2,0.0756978883736898,"no"
"IL1RL1",22,2,0.0818583448689288,"no"
"NRK",22,2,0.0884190023395579,"no"
"SEMA6C",22,2,0.0899395926862157,"no"
"MMP8",22,2,0.097333890954432,"no"
"KDM2B",22,2,0.0982403066874313,"no"
"INPP5E",22,2,0.102932772040438,"no"
"GABRB1",22,2,0.104813222088286,"no"
"PTPN3",22,2,0.107156168901789,"no"
"EPHA7",22,2,0.108608101389005,"no"
"EIF4G3",22,2,0.110444184257243,"no"
"MAGEA1",22,2,0.112465909185029,"no"
"TRPM1",22,2,0.113510681641702,"no"
"KAT6A",22,2,0.11818242950238,"no"
"DMRT3",22,2,0.119077403443755,"no"
"KIAA1875",22,2,0.119513049314624,"no"
"KCNK13",22,2,0.124163242047384,"no"
"MKI67IP",22,2,0.125420970251058,"no"
"CACNA1A",22,2,0.125711470985274,"no"
"KDM3A",22,2,0.125751825603422,"no"
"FRMD4A",22,2,0.127671115059997,"no"
"ARHGEF11",22,2,0.128708933240403,"no"
"CSMD1",19,5,0.131473909008976,"no"
"BTBD6",22,2,0.134147232095296,"no"
"FRMPD2",21,3,0.134999767201632,"no"
"CENPE",21,3,0.137633601199445,"no"
"PLXNB2",21,3,0.138207136578046,"no"
"ASAP1",22,2,0.141105696461805,"no"
"ADAMTS10",22,2,0.144009927023666,"no"
"BIRC6",20,4,0.144618050283916,"no"
"WNT11",22,2,0.146024658866184,"no"
"CNTNAP2",22,2,0.146296804319034,"no"
"MAP4K3",22,2,0.147381008251896,"no"
"DDX3X",22,2,0.148941222794217,"no"
"UTP15",22,2,0.149052479390387,"no"
"PTPN14",22,2,0.150592506620148,"no"
"MAST4",22,2,0.151208590054163,"no"
"KCNH1",22,2,0.152165723460256,"no"
"ZFPM2",22,2,0.159982436869883,"no"
"TEP1",22,2,0.161509446291804,"no"
"DOPEY1",22,2,0.162842682472564,"no"
"EP400",20,4,0.163625869927635,"no"
"NID1",22,2,0.168221933247586,"no"
"SVEP1",22,2,0.171003127258288,"no"
"FAM222B",21,3,0.171548361919298,"no"
"ESPN",22,2,0.171932288659787,"no"
"EPB41L4A",22,2,0.173597968406649,"no"
"MED9",22,2,0.174265754531738,"no"
"CACNA1C",21,3,0.181503602927895,"no"
"DGKI",22,2,0.185229511489626,"no"
"MST1R",22,2,0.185553515792279,"no"
"IVNS1ABP",22,2,0.189780153625657,"no"
"PDE3B",22,2,0.190612867801045,"no"
"ZNF367",22,2,0.19389557685629,"no"
"TCHH",22,2,0.195607617686906,"no"
"UBA7",22,2,0.197584153052568,"no"
"CCKAR",22,2,0.201801302753702,"no"
"KCNJ14",22,2,0.20326004482736,"no"
"OR5H6",22,2,0.204931892394742,"no"
"COL5A1",22,2,0.205693794975163,"no"
"CARD11",21,3,0.207048308423848,"no"
"ALS2",22,2,0.207993153612057,"no"
"NLGN2",22,2,0.209179653212761,"no"
"MN1",22,2,0.210572797483499,"no"
"UBA3",22,2,0.213065362281338,"no"
"TBC1D8",22,2,0.214023745906829,"no"
"ADPGK",22,2,0.219055453191452,"no"
"BRPF1",21,3,0.220113410130551,"no"
"TRIM13",22,2,0.222433669705775,"no"
"ATP1A4",22,2,0.22400932268485,"no"
"ARHGEF28",22,2,0.22468591528502,"no"
"ZMYM5",22,2,0.230663253288914,"no"
"USP3",22,2,0.230710874001461,"no"
"NOTCH3",22,2,0.23073281200116,"no"
"KLHL34",22,2,0.232155890990953,"no"
"PDGFRB",20,4,0.242201269415757,"no"
"VAV3",22,2,0.243211442403526,"no"
"ANKRD11",22,2,0.244753207640151,"no"
"CSMD3",20,4,0.25102892121328,"no"
"USP19",22,2,0.251060653309951,"no"
"TECPR1",22,2,0.252135288375073,"no"
"DOCK2",22,2,0.255219045020545,"no"
"EVC",22,2,0.25530744606207,"no"
"KIF5C",22,2,0.257489690701002,"no"
"PPM1G",22,2,0.258348615747932,"no"
"GLUD2",22,2,0.259160348707943,"no"
"LRP1B",18,6,0.260947719840483,"no"
"ADRM1",22,2,0.26156497176796,"no"
"RAPGEF4",21,3,0.262184289005718,"no"
"FAM186B",22,2,0.264285759887896,"no"
"WDR53",22,2,0.264316692177346,"no"
"TUBB8",22,2,0.264558592182561,"no"
"CBX8",22,2,0.26712309684071,"no"
"MYEF2",22,2,0.268584616746229,"no"
"ZBTB25",22,2,0.272978779649715,"no"
"TLN1",22,2,0.276196095249448,"no"
"TIAM1",21,3,0.279268509737235,"no"
"CIC",21,3,0.285864583730773,"no"
"COL24A1",22,2,0.286322383350653,"no"
"FANCE",22,2,0.291399807511526,"no"
"FAT3",22,2,0.291652758460511,"no"
"SOD1",22,2,0.291679020199671,"no"
"PHF8",22,2,0.297091085887821,"no"
"EPB41L1",22,2,0.29939550375163,"no"
"ST18",22,2,0.303980815482121,"no"
"RARA",22,2,0.30887014037277,"no"
"ARHGAP24",22,2,0.309406491253607,"no"
"TET2",22,2,0.309931108801415,"no"
"CLSPN",22,2,0.310607106944645,"no"
"CAMKK2",22,2,0.312718729195971,"no"
"PRLHR",22,2,0.31385581477947,"no"
"LRRTM4",21,3,0.313984458208945,"no"
"PRDM2",22,2,0.314386584692223,"no"
"GTF2IRD1",22,2,0.322207499870499,"no"
"KAT6B",21,3,0.322786487194399,"no"
"COL7A1",22,2,0.323177809053272,"no"
"WDFY4",19,5,0.323669082252429,"no"
"TRPM7",21,3,0.329806681676194,"no"
"CHST9",22,2,0.329948438685828,"no"
"SLC7A8",22,2,0.330862540684457,"no"
"LRP5",22,2,0.332186384477133,"no"
"ZFHX4",18,6,0.338780898257217,"no"
"COL18A1",21,3,0.341269422644619,"no"
"USP33",21,3,0.341317956209437,"no"
"KIAA1549",19,5,0.341718619763513,"no"
"EXT1",22,2,0.344984237109492,"no"
"TDRD12",22,2,0.351912425279452,"no"
"KIF13A",22,2,0.356335092980159,"no"
"ARHGEF5",19,5,0.356613463922579,"no"
"MCM8",22,2,0.356636645974478,"no"
"KIAA1239",22,2,0.356809899508949,"no"
"KIF21B",22,2,0.357876832511688,"no"
"GOT1L1",22,2,0.361653643244168,"no"
"ATP11C",20,4,0.362955798033403,"no"
"SDK1",21,3,0.36430596085321,"no"
"CACNA1H",22,2,0.366293553971136,"no"
"ZFAND4",22,2,0.369670302884646,"no"
"ACAN",19,5,0.369957701710806,"no"
"KALRN",22,2,0.375120201547886,"no"
"KCNV2",22,2,0.376336725866936,"no"
"NEDD4L",22,2,0.377710127472731,"no"
"WDFY3",22,2,0.380929542352231,"no"
"FERMT3",22,2,0.383364021932104,"no"
"CDH2",22,2,0.383829885211492,"no"
"CIRH1A",22,2,0.384408525331899,"no"
"SI",21,3,0.385250485180359,"no"
"MRGPRX4",22,2,0.388035319809634,"no"
"DEAF1",22,2,0.389407311814411,"no"
"MYT1L",22,2,0.389764504119518,"no"
"PIK3CD",22,2,0.391010285330176,"no"
"NOMO2",22,2,0.391142417374471,"no"
"ZNF217",22,2,0.391818599035226,"no"
"HERC1",19,5,0.40285942389834,"no"
"COL6A6",22,2,0.40798043220761,"no"
"DHX30",22,2,0.40997050026205,"no"
"DPP6",22,2,0.410787751177742,"no"
"ATP10A",22,2,0.412083238418632,"no"
"ATP10B",22,2,0.412186608819424,"no"
"KAT2A",22,2,0.414106484939898,"no"
"ALPK2",22,2,0.416826949177369,"no"
"TRPC5",21,3,0.417983113246648,"no"
"EPB41L3",22,2,0.420088018173473,"no"
"BAZ2B",21,3,0.421840988705964,"no"
"PKHD1L1",18,6,0.42263257786397,"no"
"ABCD4",21,3,0.423328910491607,"no"
"ARHGEF38",22,2,0.427881136679169,"no"
"PKP3",22,2,0.428073738321486,"no"
"ARHGAP11A",22,2,0.428685038046238,"no"
"NBEA",21,3,0.430010109160597,"no"
"MAGEE1",22,2,0.432551530365926,"no"
"MAP3K19",21,3,0.432850619518062,"no"
"NDST2",22,2,0.436254808194642,"no"
"PINK1",22,2,0.437433608812874,"no"
"ALG10B",22,2,0.442157325148316,"no"
"ZEB2",21,3,0.442990762316062,"no"
"TRIM46",22,2,0.443422532386293,"no"
"DIDO1",21,3,0.444249690029603,"no"
"GAK",22,2,0.447717288584501,"no"
"LTBP4",22,2,0.451731463570706,"no"
"GPT",21,3,0.452328807307683,"no"
"SULT1C2",22,2,0.454525402662057,"no"
"DNM2",21,3,0.458977749604686,"no"
"TRIO",22,2,0.459431979146616,"no"
"ONECUT1",22,2,0.46239750579958,"no"
"STK19",22,2,0.463311546903876,"no"
"PLXNA2",22,2,0.463403411998162,"no"
"ITIH5",20,4,0.464821031128394,"no"
"KIF12",22,2,0.470404803959957,"no"
"NR6A1",22,2,0.474794240335176,"no"
"PRKDC",22,2,0.476752014138414,"no"
"PTGIS",22,2,0.478242114284112,"no"
"COL27A1",22,2,0.479765969881496,"no"
"ZMYND12",22,2,0.480816004652388,"no"
"HTR5A",22,2,0.481519065108648,"no"
"PLXNB1",22,2,0.482183113245368,"no"
"KIAA1377",22,2,0.489072854010253,"no"
"LYST",19,5,0.490025900312501,"no"
"SEMA6D",22,2,0.498063501580786,"no"
"CTNNBL1",22,2,0.498868090607752,"no"
"BAZ2A",22,2,0.501328110147088,"no"
"PBRM1",22,2,0.501447166106913,"no"
"OBSCN",19,5,0.501946115921151,"no"
"ADCY8",21,3,0.503650869729761,"no"
"SLIT1",22,2,0.503815762967719,"no"
"SBK2",22,2,0.505951110087824,"no"
"GLI2",22,2,0.506019103133353,"no"
"PTEN",21,3,0.508385929841348,"no"
"FOSL1",21,3,0.508723654191505,"no"
"PIK3C2G",22,2,0.512090719581167,"no"
"IRS1",21,3,0.512284669387139,"no"
"ASTN2",21,3,0.515070868178576,"no"
"ITGA10",22,2,0.515328116967721,"no"
"E2F7",22,2,0.518509659976043,"no"
"ROCK2",22,2,0.520429661727616,"no"
"TCFL5",21,3,0.521044560657952,"no"
"MAP3K12",22,2,0.521106259105323,"no"
"BCOR",22,2,0.522276977507915,"no"
"ARHGAP22",22,2,0.525249857869899,"no"
"HIVEP3",21,3,0.526350001110248,"no"
"PIGZ",22,2,0.527059977977483,"no"
"FMN2",22,2,0.530956121763698,"no"
"COL15A1",21,3,0.531889875923544,"no"
"ELN",22,2,0.532705746678195,"no"
"ACAP1",22,2,0.532837772854096,"no"
"MKL2",22,2,0.53346668340786,"no"
"ITGAL",22,2,0.534289283202273,"no"
"ATP2C1",22,2,0.538519139494091,"no"
"IGSF9B",22,2,0.547761541038987,"no"
"KIDINS220",21,3,0.551248636473612,"no"
"AVPR1A",22,2,0.552792686102124,"no"
"PEX14",22,2,0.553608078759303,"no"
"HEATR2",22,2,0.554622162794488,"no"
"EZH2",22,2,0.554930279089823,"no"
"MAD1L1",22,2,0.554993545654216,"no"
"RABEP1",22,2,0.55594584332995,"no"
"SORBS1",22,2,0.558237846211309,"no"
"RNF123",22,2,0.560982685216197,"no"
"KRT85",21,3,0.567036009252384,"no"
"FRY",21,3,0.567610342655755,"no"
"TP53BP1",22,2,0.569051907311502,"no"
"MLH3",22,2,0.570735291418791,"no"
"BRAF",22,2,0.572513017632097,"no"
"KIAA2018",22,2,0.573643941904221,"no"
"LZTS2",21,3,0.574170047912185,"no"
"PIK3C2B",22,2,0.577145556439314,"no"
"ZNF638",22,2,0.578212001952477,"no"
"DOCK11",22,2,0.578953069708249,"no"
"ROS1",22,2,0.583627045767821,"no"
"KIF1A",21,3,0.588100778270839,"no"
"BRCA2",21,3,0.590534692129112,"no"
"KIF24",22,2,0.59093290788749,"no"
"C1QL3",21,3,0.592662995060553,"no"
"GPR158",22,2,0.597717718625891,"no"
"ANGEL2",22,2,0.597729860569346,"no"
"SRCAP",22,2,0.600277812125209,"no"
"ATP2B1",22,2,0.600413905899494,"no"
"COL6A5",22,2,0.603035085473713,"no"
"PRSS23",20,4,0.604366507151194,"no"
"ERBB4",21,3,0.606017355637555,"no"
"RDH12",22,2,0.606854822902896,"no"
"SHKBP1",22,2,0.6070236484442,"no"
"PRDM9",22,2,0.611555496160871,"no"
"C7",21,3,0.612686881897643,"no"
"PAPPA",22,2,0.613434384399885,"no"
"ALKBH1",22,2,0.613552261995461,"no"
"KIF18B",22,2,0.616714078633941,"no"
"ABCA5",22,2,0.616828849967123,"no"
"TNIK",21,3,0.622349418163194,"no"
"ABCA3",21,3,0.626588734618518,"no"
"PKHD1",21,3,0.632586395668658,"no"
"INPP5J",22,2,0.635932113702614,"no"
"ANK2",20,4,0.638699891079819,"no"
"ALK",22,2,0.644297285635008,"no"
"COL1A2",22,2,0.64894279042877,"no"
"ARID5B",22,2,0.649343242705628,"no"
"HKDC1",22,2,0.649620296832446,"no"
"ANK1",22,2,0.653745546692236,"no"
"WDR72",21,3,0.657116129765307,"no"
"PRPS1",22,2,0.658181644370866,"no"
"PTPRA",22,2,0.660905446056883,"no"
"FLNA",21,3,0.665229735349525,"no"
"DGKQ",22,2,0.668478757851124,"no"
"LRRC8A",22,2,0.674141223308102,"no"
"SOX6",22,2,0.678029058731764,"no"
"CACNA1D",22,2,0.683070886380017,"no"
"WDR62",21,3,0.686693364521622,"no"
"ABCA13",21,3,0.687201311969923,"no"
"CAPRIN2",22,2,0.694962847313521,"no"
"SLIT3",21,3,0.695865717471298,"no"
"STON1",22,2,0.698009025920716,"no"
"TTN",9,15,0.699040327151103,"no"
"PHRF1",20,4,0.700736219726059,"no"
