"","#wt","#mut","pvalue","is_significant"
"BRCA1",22,2,0.00135301293557,"yes"
"CNTRL",21,3,0.0306418049055749,"no"
"TTN",20,4,0.0353423605467122,"no"
"CENPE",22,2,0.0441748351378021,"no"
"CDH1",22,2,0.0489341551087594,"no"
"CFH",22,2,0.0798661145463272,"no"
"CACNA1F",22,2,0.0882634359740926,"no"
"CHD9",22,2,0.0882691738081905,"no"
"GPR98",21,3,0.0957737166876967,"no"
"SKIV2L",22,2,0.101699782719449,"no"
"ATP8A2",22,2,0.113018838499706,"no"
"NDUFS7",22,2,0.118819662541362,"no"
"RBL2",22,2,0.129051210264475,"no"
"NSD1",22,2,0.132181282653951,"no"
"KAT6B",22,2,0.132523651718693,"no"
"MCPH1",21,3,0.165574170151451,"no"
"LIFR",22,2,0.172261244775604,"no"
"CDKL3",22,2,0.180565659973665,"no"
"WHSC1L1",22,2,0.21591780636613,"no"
"PXK",22,2,0.217781837362456,"no"
"ARID1A",21,3,0.219421749871043,"no"
"RBM23",22,2,0.233582201519956,"no"
"MACF1",22,2,0.23502878205891,"no"
"HOXB7",22,2,0.246534110028804,"no"
"ALPPL2",22,2,0.26167970775051,"no"
"TRIM17",22,2,0.27319454225512,"no"
"NCOA7",22,2,0.307568405055651,"no"
"ATN1",22,2,0.308314410976708,"no"
"TJP1",22,2,0.35632443409863,"no"
"RNF213",22,2,0.384325142314851,"no"
"CDK14",22,2,0.438900644688492,"no"
"LRP1B",21,3,0.47917036061372,"no"
"KALRN",22,2,0.484817910460156,"no"
"ATP6AP1",22,2,0.48712020391374,"no"
"WDR87",22,2,0.502756799112732,"no"
"ATRX",22,2,0.535278199962055,"no"
"MAGEC1",22,2,0.537294780621922,"no"
"REV3L",22,2,0.537399377766819,"no"
"DDX1",22,2,0.545381910134511,"no"
"NCK1",21,3,0.594108425963557,"no"
"BRCA2",22,2,0.602451384550755,"no"
"WDR64",22,2,0.640133391101377,"no"
"UNC5C",22,2,0.666253193824764,"no"
"SPEN",22,2,0.671931342187338,"no"
"ASH1L",22,2,0.679562622247671,"no"
"CYP2A7",22,2,0.69795667159354,"no"
"POTEJ",22,2,0.705993151386786,"no"
"ROBO2",22,2,0.716758362778934,"no"
"ZBTB41",22,2,0.731969609835172,"no"
"TRIP12",22,2,0.753930435716839,"no"
"CHD5",22,2,0.767470636662754,"no"
"ZWINT",22,2,0.77152891044827,"no"
"MYH9",22,2,0.794504847752459,"no"
"FRAS1",22,2,0.802433178563917,"no"
"TTC3",19,5,0.80827465274073,"no"
"PHF20",21,3,0.811613928302513,"no"
"COL4A3",21,3,0.822268206207303,"no"
"PTPN13",22,2,0.830423603793209,"no"
"PTEN",20,4,0.832464003957951,"no"
"ABCA8",21,3,0.907944790741585,"no"
"GATA3",22,2,0.933450805115119,"no"
"ZFHX3",22,2,0.942137639266398,"no"
"WDR78",22,2,0.951368678015888,"no"
"CSMD1",22,2,0.959746926198319,"no"
"ARID1B",21,3,0.966911573764248,"no"
"TP53",18,6,0.983500456969818,"no"
