"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"CDK1",22,2,3.33553195963153e-11,"yes",4.21499074641976e-158,"up"
"RAC1",20,4,6.61998113038146e-08,"yes",6.28180476811466e-08,"up"
"PRIM1",24,0,1.67946922333475e-06,"yes",4.33364795244765e-37,"up"
"REXO4",22,2,2.26879330613292e-06,"yes",2.18582560996822e-09,"up"
"ITGB5",24,0,5.16229788226066e-06,"yes",0.0024101815534533,"up"
"HIF1A",24,0,6.23723740140901e-06,"yes",3.44031306858902e-07,"up"
"NFKB1",23,1,7.3102015303451e-06,"yes",0.00105077134128838,"down"
"THRB",22,2,8.78392408116001e-06,"yes",1.7074774212358e-48,"down"
"RFC1",22,2,9.76987422243137e-06,"yes",6.76673721156905e-12,"down"
"MIXL1",22,2,1.04853591763307e-05,"yes",1.85088110102516e-05,"up"
"ALS2CR8",24,0,1.08904013717926e-05,"yes",NA,NA
"MYO7B",23,1,1.35387699541967e-05,"yes",5.01130381678144e-14,"down"
"ETV1",22,2,1.66231834584851e-05,"yes",2.06961706917711e-17,"down"
"SMAD7",21,3,2.0003800780372e-05,"yes",0.0750095804919235,"down"
"DHX35",24,0,2.52922118078713e-05,"yes",0.00413075807231804,"up"
"MMP3",23,1,3.07503192146696e-05,"yes",1.8107275946861e-28,"up"
"MMP10",23,1,3.07503192146696e-05,"yes",9.7993552260394e-18,"up"
"RBM44",24,0,4.12561820585356e-05,"yes",1.91579811114501e-10,"down"
"ABCC5",19,5,4.46698301521752e-05,"yes",1.93573251874002e-57,"up"
"SLC4A8",24,0,4.53791000550481e-05,"yes",8.30468886617026e-34,"up"
"STX18",22,2,4.6167671883937e-05,"yes",2.96787793410732e-23,"up"
"ORC2",24,0,4.92739405570389e-05,"yes",0.556034274963196,"up"
"SLC35B3",23,1,5.02230481113281e-05,"yes",1.46414947287986e-10,"up"
"SLC1A2",20,4,5.04699075426713e-05,"yes",3.03813959683002e-14,"up"
"FZD1",23,1,5.10340233150248e-05,"yes",2.89039819881248e-06,"down"
"ATF4",24,0,5.28629075674006e-05,"yes",0.000141436452517182,"down"
"CREB3L1",24,0,5.5510701799397e-05,"yes",1.19081792221677e-101,"up"
"ITGAE",23,1,6.22170623154707e-05,"yes",0.233853891475952,"up"
"TSPAN8",22,2,6.50570437149072e-05,"yes",0.0590463763033467,"up"
"TFAP2A",22,2,6.71013243937583e-05,"yes",1.50692065474767e-23,"up"
"KIF6",22,2,6.79625689706993e-05,"yes",2.77605583589171e-07,"up"
"CLDN10",22,2,7.2807432216245e-05,"yes",0.95450079075134,"up"
"TOR4A",24,0,7.61064245903423e-05,"yes",6.63707973903256e-08,"up"
"ATG2B",23,1,7.85804933316987e-05,"yes",6.45700062874333e-20,"down"
"TFRC",18,6,8.16345414405574e-05,"yes",1.1795827967024e-52,"up"
"CLCNKB",23,1,8.44327053875018e-05,"yes",1.63668545949744e-19,"down"
"BTNL8",22,2,8.97762161947223e-05,"yes",0.00305790187035846,"down"
"ZNF423",21,3,9.7785837469645e-05,"yes",7.00981388270336e-27,"down"
"ABCG4",23,1,9.9210602579504e-05,"yes",0.683714486614495,"up"
"NOTUM",21,3,0.000101021550601241,"yes",2.47870524609201e-11,"up"
"PARK2",21,3,0.000102286501440451,"yes",NA,NA
"LGR5",23,1,0.00010675595694323,"yes",0.0164905879388039,"up"
"PKHD1",21,3,0.000114897337050996,"yes",0.0563492201055711,"down"
"LETM1",21,3,0.000115643645352478,"yes",2.65289059595349e-51,"up"
"GNGT2",22,2,0.000118524451202101,"yes",4.54425275755655e-06,"up"
"GJB6",23,1,0.00011967366172575,"yes",0.00467213190204561,"up"
"POU1F1",23,1,0.000124838602484176,"yes",0.000972483636835451,"down"
"GLIS3",19,5,0.000125334500901686,"yes",4.8786667205654e-12,"up"
"GSTM4",20,4,0.000128403835982062,"yes",0.00435133458055853,"down"
"VCAM1",23,1,0.000148289432514533,"yes",0.308915612252795,"up"
"TM4SF18",21,3,0.000152175473445655,"yes",8.76845388297742e-27,"down"
"HOXC13",23,1,0.000154854769260495,"no",1.81080145928895e-124,"up"
"ACO2",23,1,0.000159694473712422,"no",0.0190930153645534,"down"
"SCN4B",23,1,0.000170423049909179,"no",3.12398446110673e-56,"down"
"LRRTM3",24,0,0.000172704689662906,"no",0.141933285642392,"up"
"SIX1",24,0,0.00017393024468251,"no",1.11319400121146e-17,"up"
"BAI3",21,3,0.000179085592548605,"no",NA,NA
"ALDH18A1",23,1,0.000190045305402881,"no",2.50788151719027e-86,"up"
"NDST2",22,2,0.000201003534834455,"no",0.0138241734016553,"down"
"CXCL3",23,1,0.000205736592537875,"no",9.93253840739054e-18,"down"
"CCNA2",22,2,0.000217126280881274,"no",6.35664101122959e-134,"up"
"PIK3CD",21,3,0.000223925589960954,"no",0.0246398364449424,"down"
"DOK3",23,1,0.00022542760178838,"no",2.11114357803715e-28,"up"
"GPR63",23,1,0.000226150913647648,"no",0.463074560988861,"down"
"TGIF1",22,2,0.000228635202398529,"no",5.2166936138202e-21,"up"
"SLC23A2",24,0,0.000232741690434238,"no",1.69886816563462e-32,"down"
"LHX2",24,0,0.000235847781655199,"no",1.19762246763578e-19,"up"
"SLC6A12",21,3,0.000241481132423289,"no",8.36016668601243e-05,"up"
"NKX3-2",24,0,0.000251433071655656,"no",7.93096493579338e-54,"up"
"EHF",20,4,0.000261015833600725,"no",2.37204291083509e-08,"down"
"EPHA6",22,2,0.00026619534818022,"no",0.636860901799903,"up"
"KCNE2",24,0,0.000278908858823742,"no",0.00901821422060327,"up"
"LHX4",23,1,0.000280811145419743,"no",2.9915651170308e-07,"up"
"GSTT2",22,2,0.00028398059108582,"no",0.0191598458969652,"down"
"GSTT2B",22,2,0.00028398059108582,"no",0.158434590712303,"down"
"KLF2",23,1,0.000293687863355429,"no",4.4465919739843e-14,"down"
"GPC3",24,0,0.000294073439478557,"no",5.82760520261525e-29,"down"
"GMPR2",23,1,0.000295561279764179,"no",0.040895875282029,"up"
"ATG9B",23,1,0.000298921224233945,"no",5.90760814822515e-39,"up"
"LRRC4",22,2,0.000307501437246067,"no",0.159977925578639,"up"
"SDHB",24,0,0.000308024618819168,"no",0.402066620700664,"up"
"SIRT5",23,1,0.000313311236914006,"no",0.706118196167775,"down"
"GPR33",24,0,0.000315770290718001,"no",1.27629449753702e-05,"up"
"SULT1C3",24,0,0.000316417079356267,"no",0.0544847491670462,"down"
"KIF18A",20,4,0.000316788479261017,"no",3.91851325092127e-137,"up"
"MSL3",23,1,0.00033059231418892,"no",0.426073708301676,"up"
"SPTY2D1",21,3,0.00033402635510456,"no",2.61416565113176e-05,"up"
"EVI2B",23,1,0.000341778470633031,"no",4.55662422633148e-05,"up"
"MCM4",23,1,0.00034553298478513,"no",8.31091979378273e-110,"up"
"CDH3",23,1,0.000348181117958885,"no",0.00361545498981603,"down"
"CYSLTR2",22,2,0.000349378161944848,"no",0.000934359048659148,"down"
"GPR64",22,2,0.000356986172483262,"no",NA,NA
"OXER1",23,1,0.000360698375259612,"no",0.000138951885549452,"down"
"RBMX",24,0,0.000361248612010105,"no",0.429175805477003,"down"
"SMNDC1",22,2,0.00036810119757239,"no",0.0422460585797132,"up"
"KCNC3",24,0,0.000371516476031482,"no",8.10513088848716e-06,"up"
"WNT9B",23,1,0.000396294147808396,"no",1.32691957587613e-10,"down"
"CNGA4",21,3,0.000405080343180727,"no",0.0827307715892694,"up"
"FOXN2",23,1,0.000409257228266424,"no",2.14368848418774e-15,"down"
"FOXO3B",23,1,0.000417267315908181,"no",0.00197816706364576,"down"
"APOA2",22,2,0.0004211489113397,"no",0.01257235562367,"up"
"SALL2",22,2,0.000437667189877453,"no",0.435929749177172,"down"
"PTTG1",24,0,0.000443296589448439,"no",4.1056554816489e-159,"up"
"SOX15",22,2,0.000445091309965575,"no",0.92347002893974,"down"
"ABCA7",23,1,0.00044756605853516,"no",6.18552387644999e-12,"up"
"OPRD1",24,0,0.000464319513730852,"no",2.3458077801098e-25,"up"
"SIX2",24,0,0.000465210040134195,"no",6.21193649664116e-39,"up"
"BNIP1",23,1,0.000471018518413027,"no",4.70718284003932e-28,"up"
"C1QL2",24,0,0.000477770362946108,"no",0.521375955679413,"down"
"ITGAL",20,4,0.00048429162351626,"no",1.11876371643622e-18,"up"
"LRRN4CL",24,0,0.000485265834282151,"no",1.5959758885779e-27,"down"
"CHST1",23,1,0.000486587056530266,"no",4.75088446802981e-12,"up"
"DDX53",24,0,0.000495621713934762,"no",8.30018480606645e-06,"up"
"DMRTA1",18,6,0.00051390228291343,"no",1.10793672839966e-05,"down"
"EDNRA",22,2,0.000523146556917807,"no",0.0151458046322621,"up"
"SLC13A3",21,3,0.000530129018491355,"no",1.22713242980825e-06,"up"
"MAGED4B",24,0,0.000534769571590782,"no",0.160732484253403,"up"
"MAGED4",24,0,0.000534769571590782,"no",0.300991909032463,"up"
"FNDC4",23,1,0.000549428009640995,"no",5.43218817207352e-22,"down"
"SDC2",17,7,0.000581104473754131,"no",6.27777454517107e-07,"down"
"CNGA2",23,1,0.000585681632362689,"no",0.000238660931363199,"up"
"CA10",22,2,0.000586293445010418,"no",0.0626845180034169,"up"
"DMXL2",21,3,0.000593357560632575,"no",1.54613119082127e-07,"up"
"UBE2E2",23,1,0.00059457857858432,"no",1.0755296226899e-15,"down"
"KRT18",24,0,0.00061026957560432,"no",2.78888590358883e-60,"up"
"IDH1",24,0,0.000614063329812209,"no",4.86958513979326e-07,"down"
"ALDH5A1",23,1,0.000623053578188152,"no",3.72452791559354e-05,"down"
"BNIP3L",21,3,0.000634553872361386,"no",6.03762724127985e-16,"down"
"GRIN2B",20,4,0.00063737987343954,"no",2.9580516368846e-21,"down"
"F2RL3",24,0,0.000641014264485837,"no",2.65455816660124e-05,"up"
"CYLD",22,2,0.00064488702806143,"no",0.000273250381952203,"down"
"GJA3",23,1,0.000651521096183033,"no",9.73882839187256e-23,"up"
"TAS1R2",23,1,0.00068637332620798,"no",5.55005649216831e-07,"up"
"SLC35E1",23,1,0.000695652837210613,"no",4.44154451975341e-29,"up"
"NPY5R",22,2,0.000698459820184718,"no",0.0325751262772138,"down"
"NRG2",24,0,0.000706302107180713,"no",1.93257150758184e-19,"down"
"HOXA10",24,0,0.000733922390381145,"no",1.02764885468956e-13,"down"
"CLPTM1L",17,7,0.000734598878216286,"no",6.07511645650699e-58,"up"
"ASB11",23,1,0.000747858811142577,"no",0.299871828326299,"down"
"HS3ST4",22,2,0.000749753887709531,"no",3.67356175694377e-17,"down"
"HSD17B2",23,1,0.000753991914121902,"no",0.000248564288846044,"down"
"MAT2A",23,1,0.000757955048612749,"no",0.775395934084225,"down"
"JAK1",23,1,0.000762888926958352,"no",7.09802618364251e-31,"down"
"KCNJ16",19,5,0.000776160608537509,"no",2.94221087082776e-11,"down"
"CHRNA1",23,1,0.000776438784031467,"no",0.327662705816297,"up"
"HMX2",22,2,0.00082299923997553,"no",1.62432251924932e-06,"up"
"CDX1",24,0,0.00082412061884418,"no",6.62885863767754e-06,"up"
"RAB28",24,0,0.000824554698789762,"no",3.57626127079384e-19,"down"
"GABRE",24,0,0.00083734562580628,"no",2.16303941797711e-15,"down"
"LCN1",24,0,0.000839587032325016,"no",1.19195772465235e-30,"up"
"TGM2",24,0,0.000843800696110678,"no",0.003992886075122,"up"
"NSFP1",15,9,0.000857961251385594,"no",NA,NA
"NFIL3",23,1,0.000858217721446329,"no",8.02041576537056e-18,"down"
"BRI3",22,2,0.000859706083431638,"no",0.02166460523105,"down"
"SKIV2L",21,3,0.000868389911875908,"no",2.59453940820492e-35,"up"
"PSMC4",24,0,0.000868828298947663,"no",1.94489911475936e-103,"up"
"SRSF11",24,0,0.00087190196499415,"no",0.0720742824470963,"down"
"ORM2",24,0,0.00087460923268381,"no",6.30554351203214e-09,"up"
"GTPBP6",24,0,0.000900835729471934,"no",0.000467459781353293,"up"
"GJC3",24,0,0.000903985806654597,"no",0.000138415615365085,"down"
"ADIPOR2",22,2,0.000905951905589308,"no",0.00486863059498946,"up"
"SLC29A1",23,1,0.000908892882141191,"no",8.38217042577369e-09,"down"
"PDPN",23,1,0.0009379006351106,"no",1.14746192535187e-09,"down"
"RBM39",23,1,0.000939581617120746,"no",0.00284252637566972,"up"
"GPR3",22,2,0.00094766382690465,"no",0.166619224602493,"down"
"GPRC5B",23,1,0.000961830711662066,"no",2.8100739182858e-64,"down"
"TLR7",24,0,0.000962958911687201,"no",0.284406654565281,"up"
"TRAT1",21,3,0.000973701286373816,"no",4.16942998028219e-09,"up"
"SI",19,5,0.000977890021493327,"no",0.0380835680948184,"up"
"HEYL",22,2,0.000991208357792729,"no",9.01564404341349e-28,"up"
"TRMT61A",24,0,0.0010045857524778,"no",2.88742516349172e-14,"up"
"BPGM",22,2,0.00100612878651244,"no",9.51715137875821e-20,"up"
"TMEM199",22,2,0.00100643016501844,"no",5.2182435794004e-42,"up"
"MAP3K15",23,1,0.00103111641838384,"no",2.46950812509434e-14,"down"
"CACNA1D",22,2,0.00103258167903022,"no",1.10218293695509e-35,"up"
"POLDIP2",22,2,0.00105451926784424,"no",2.14333605757503e-31,"up"
"DAPK2",23,1,0.0010608858763097,"no",8.51561253450256e-19,"down"
"UPK1A",24,0,0.00106747726964313,"no",7.34751164734578e-12,"up"
"HIRA",22,2,0.0010895597087197,"no",0.764897167688348,"up"
"SERPINE2",24,0,0.00109055895186522,"no",9.41387711545507e-21,"up"
"HECTD1",22,2,0.00109281472170803,"no",4.33047810651052e-14,"down"
"GRIA3",24,0,0.00110421643417233,"no",0.191002035198491,"down"
"GRK7",23,1,0.00113081749663959,"no",0.00448636684563761,"up"
"MLLT4",22,2,0.00113473185712246,"no",NA,NA
"EIF2AK2",22,2,0.00113521602082435,"no",1.1852967704733e-05,"up"
"ARL2",24,0,0.00115042801506493,"no",0.00061698476713529,"down"
"C1QBP",24,0,0.00115816514696433,"no",3.51217851893002e-22,"up"
"CD33",23,1,0.00118509084081527,"no",0.00562543597920691,"down"
"BRCA1",21,3,0.00120490528456386,"no",1.34978719820738e-66,"up"
"CACNG1",18,6,0.00123999246311976,"no",0.622066219936777,"up"
"TRPM1",22,2,0.00124208802094654,"no",7.81809177635644e-11,"down"
"GP2",22,2,0.00128723785398267,"no",2.65988807494815e-12,"up"
"CEL",22,2,0.00129564378642548,"no",0.195505928017845,"up"
"SORCS2",23,1,0.00131002489561631,"no",9.41342991636215e-16,"up"
"MPPED2",20,4,0.0013169907506764,"no",2.58486261999617e-17,"down"
