"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"TBC1D9",24,0,1.14946563378737e-09,"yes",1.99583346402419e-33,"up"
"PRKAG3",24,0,1.04327438799068e-07,"yes",0.628414052780392,"down"
"LRRC4B",23,1,2.5480033227776e-07,"yes",3.23139336390995e-08,"down"
"WDR41",23,1,9.33579595963074e-07,"yes",0.494073199290524,"down"
"MKNK2",24,0,2.55300970086747e-06,"yes",0.974372631884661,"up"
"MAD1L1",20,4,2.59183006590114e-06,"yes",1.86937756489701e-16,"up"
"NR3C2",23,1,3.89535265588048e-06,"yes",3.80643771135994e-47,"down"
"PPM1D",19,5,5.73427727812437e-06,"yes",0.000119107409847461,"down"
"ERI1",22,2,7.31546707999353e-06,"yes",0.0145602798225283,"up"
"FRY",20,4,7.8886476443385e-06,"yes",1.43226810700535e-28,"down"
"PARP4",24,0,8.80452866125481e-06,"yes",1.08019320508656e-11,"down"
"VAV1",23,1,1.22620283818931e-05,"yes",1.68997604464091e-08,"up"
"TNNI3K",23,1,1.48013593425089e-05,"yes",0.879437506442646,"down"
"FPGT-TNNI3K",23,1,1.48013593425089e-05,"yes",2.64125458689514e-22,"down"
"HPCAL4",22,2,1.54088444864753e-05,"yes",0.00035610824523485,"up"
"SERGEF",22,2,1.56715509844751e-05,"yes",0.44819003288931,"up"
"PLEKHH1",23,1,1.61397378976025e-05,"yes",0.0352619340147555,"down"
"ARHGEF4",24,0,1.71804972839418e-05,"yes",7.39273183549548e-28,"down"
"FLCN",23,1,1.73748985149436e-05,"yes",1.49505025149294e-11,"down"
"CYP1A2",23,1,1.91792841665039e-05,"yes",0.000467251087061405,"down"
"PRDM2",21,3,2.18110675828109e-05,"yes",1.87040593953426e-18,"down"
"PHF21A",23,1,2.45543182378904e-05,"yes",1.3535532837886e-08,"down"
"AFF3",23,1,2.6064851363139e-05,"yes",4.26374088757908e-12,"up"
"MTHFSD",22,2,2.77773590345864e-05,"yes",7.43816752207526e-07,"down"
"DCAF7",21,3,3.7739109797208e-05,"yes",4.95238648459473e-32,"up"
"GOLT1A",23,1,3.8662636218767e-05,"yes",7.31801181731311e-60,"up"
"METTL21B",21,3,4.04787451399047e-05,"yes",NA,NA
"PHF3",22,2,5.06669897332168e-05,"yes",1.43174157690205e-14,"down"
"EXO1",21,3,5.22727850604809e-05,"yes",1.40441638394786e-156,"up"
"RAPGEF4",21,3,5.31699820318643e-05,"yes",3.67950537668874e-05,"down"
"SPSB1",22,2,7.50563726488185e-05,"yes",0.169027506223048,"down"
"TGFBR2",23,1,7.80221104881296e-05,"yes",4.53337265074656e-37,"down"
"RASL10A",22,2,7.9308381261467e-05,"yes",1.09120431176599e-09,"down"
"LRRC59",22,2,8.234877881097e-05,"yes",1.10792413566553e-70,"up"
"CCNB3",23,1,8.7076418342158e-05,"yes",3.91412942540473e-14,"up"
"HAPLN1",23,1,9.48601869185106e-05,"yes",4.11077754689807e-11,"up"
"CHST5",22,2,0.000100413361328044,"yes",0.000118074091800934,"down"
"ANKRD50",21,3,0.000101216656877678,"yes",1.03051501436723e-16,"up"
"KIF21A",21,3,0.000102567393617137,"yes",1.15289077842782e-46,"up"
"HIF1AN",22,2,0.000103998796792237,"yes",1.47083711546416e-09,"down"
"GPR50",24,0,0.000106966203976211,"yes",0.000233571056400932,"down"
"ABCA8",15,9,0.000108790718480689,"yes",4.31326022758193e-23,"down"
"CTBP2",20,4,0.000110450034646159,"yes",4.42634969192024e-18,"up"
"TRIM33",20,4,0.000121146518943682,"yes",0.801358902018385,"up"
"FXR2",21,3,0.00012426083135475,"yes",0.0123063364088552,"up"
"NPTXR",23,1,0.000126756816703821,"yes",3.83452710338878e-07,"up"
"ARHGEF17",20,4,0.000128770082574836,"yes",7.00588104109639e-09,"down"
"HSP90B1",24,0,0.000141023262203221,"yes",4.65593303301646e-34,"up"
"CD274",19,5,0.000142323410827094,"yes",0.000168838388640246,"up"
"NIN",23,1,0.000143957381871895,"yes",0.228917258863236,"down"
"ZBTB9",23,1,0.000146574412899225,"yes",1.42098990736557e-05,"up"
"LRRC8A",22,2,0.00014766429722024,"yes",1.12024802538937e-08,"down"
"VSIG4",23,1,0.000151535643685419,"yes",2.63523408835373e-06,"down"
"LGSN",23,1,0.000153360508343692,"no",0.00150253979719997,"up"
"ALDH2",24,0,0.000159299915082456,"no",2.97991181172482e-14,"down"
"RAB36",23,1,0.00017464987475313,"no",4.79727451566558e-10,"up"
"EEF1G",24,0,0.000174859687427587,"no",0.126823690499389,"up"
"ZBTB12",23,1,0.000176041521654957,"no",4.34014514762009e-43,"up"
"NCOA1",23,1,0.000183568422231439,"no",6.36466706623831e-30,"down"
"SEC62",20,4,0.000183586001066272,"no",1.66438441587773e-10,"down"
"EML3",24,0,0.000190028315587565,"no",8.25639039481001e-08,"down"
"TBL1Y",24,0,0.000198751669693853,"no",0.387924158963437,"down"
"GCM1",24,0,0.000205485524362059,"no",0.000118928421040348,"up"
"CA13",21,3,0.000205811216891005,"no",0.00244796605219838,"down"
"VOPP1",20,4,0.000209776736251222,"no",1.87592906792487e-53,"up"
"RPP40",21,3,0.000217048694155064,"no",2.82217681164012e-32,"up"
"LRIG3",22,2,0.000226734554882757,"no",1.28866557036654e-50,"down"
"TELO2",24,0,0.000227974148602095,"no",1.58120038955051e-55,"up"
"SBK1",24,0,0.000230286993835538,"no",1.00550419927484e-130,"up"
"KIF26A",23,1,0.000240380491485004,"no",2.58591143347839e-24,"down"
"PMP2",19,5,0.000242313189854237,"no",0.0502397693681983,"down"
"DPF3",24,0,0.000246456021687158,"no",0.00197913683483468,"down"
"CARM1",23,1,0.000250808347226239,"no",9.13584936138994e-42,"up"
"FKBP10",23,1,0.000268173971230579,"no",3.72883907798966e-74,"up"
"OR4N5",22,2,0.000271677726732533,"no",0.491227775517272,"up"
"SEMA3G",23,1,0.000278120518608316,"no",4.63307790629373e-20,"down"
"HSPBAP1",23,1,0.000292572331015539,"no",0.000333969263818144,"down"
"GRAPL",22,2,0.000313622996552798,"no",1.53438777558232e-07,"down"
"MED25",24,0,0.000321988922827976,"no",3.00630280538682e-78,"up"
"WDR73",24,0,0.000350945700196781,"no",0.0581183644123876,"up"
"HLTF",20,4,0.000358793647710187,"no",3.36640911023234e-29,"up"
"CXCL5",23,1,0.000366177313252614,"no",0.365355739996813,"down"
"CORO7",22,2,0.000391323616675265,"no",5.39764538903637e-38,"up"
"OR4K14",21,3,0.000404758531649563,"no",0.603387237840278,"up"
"LMLN",18,6,0.000417978554480669,"no",4.73866094817129e-23,"up"
"JPH4",23,1,0.000418814559183245,"no",1.70639469029618e-10,"down"
"CASR",22,2,0.000423053426141018,"no",0.00626400183756998,"up"
