"","#wt","#mut","pvalue","is_significant"
"RHOB",7,2,0.00316169686579813,"yes"
"NHLH2",6,3,0.00622026850225375,"no"
"HEATR2",7,2,0.00683407576428806,"no"
"GPR146",7,2,0.0153231407749312,"no"
"ANKH",7,2,0.0209763460829194,"no"
"ANKRD20A3",7,2,0.0338874006195452,"no"
"ANKRD20A2",7,2,0.0338874006195452,"no"
"ANKRD20A4",7,2,0.0338874006195452,"no"
"GNA12",7,2,0.0473118566504964,"no"
"TRA2A",7,2,0.0533392705768004,"no"
"SOX2",7,2,0.0548248948337674,"no"
"CHN2",7,2,0.0570357007655602,"no"
"RHOC",6,3,0.0609041276982411,"no"
"STEAP1B",7,2,0.0871201513733589,"no"
"MAP3K13",7,2,0.089430227995602,"no"
"LOC646214",7,2,0.0960757528415851,"no"
"KCNMB2",7,2,0.102866006604322,"no"
"TRIO",7,2,0.107620804794139,"no"
"CLCN2",7,2,0.107924640989931,"no"
"ADAM30",6,3,0.117469089414182,"no"
"FKBP14",7,2,0.122505509878445,"no"
"FGL2",7,2,0.133930329672078,"no"
"GNB4",7,2,0.137054958465959,"no"
"HGF",7,2,0.1397743681703,"no"
"MAGEF1",7,2,0.145628589962468,"no"
"POLM",7,2,0.151270291661424,"no"
"KCNMB3",7,2,0.151522776766558,"no"
"MUC20",7,2,0.163675557980855,"no"
"DNAJC19",7,2,0.176885233194818,"no"
"MCF2L2",7,2,0.180466423095231,"no"
"CARD11",7,2,0.181120065166332,"no"
"FCGR2C",6,3,0.194462144797594,"no"
"WDR35",7,2,0.203548661312698,"no"
"HOXA5",7,2,0.222683667551708,"no"
"EPHB3",7,2,0.228496805217224,"no"
"WIPI2",7,2,0.230535631034548,"no"
"PMS2",7,2,0.235711495810439,"no"
"PMS2CL",7,2,0.235711495810439,"no"
"DRAM2",7,2,0.236816649567984,"no"
"TTF2",6,3,0.240925977624093,"no"
"SDK1",7,2,0.245662541315172,"no"
"APCDD1L",7,2,0.249588400110851,"no"
"RAB22A",7,2,0.261498981476959,"no"
"SENP2",7,2,0.26370813041308,"no"
"TAX1BP1",7,2,0.26643372136079,"no"
"HOXA1",7,2,0.266804657443934,"no"
"VTCN1",6,3,0.27389919773564,"no"
"CD36",7,2,0.277972723850077,"no"
"KCND3",7,2,0.293198326975725,"no"
"NDUFB5",7,2,0.295507192884434,"no"
"HTR3C",7,2,0.297827758617282,"no"
"HOXA3",7,2,0.302776535131555,"no"
"UCKL1",7,2,0.30339327581062,"no"
"BMPER",7,2,0.308376066070105,"no"
"IGF2BP3",7,2,0.317625841310533,"no"
"PIK3CA",7,2,0.320888982471385,"no"
"ATP1A1",6,3,0.32573341147867,"no"
"PRPF6",7,2,0.330792385752122,"no"
"NRAS",6,3,0.332365811500239,"no"
"FIGNL1",7,2,0.34322074936995,"no"
"PDE1C",7,2,0.355004155397231,"no"
"USP13",7,2,0.370553030255026,"no"
"CAMK2B",7,2,0.381243295791546,"no"
"DDX56",7,2,0.387994829035429,"no"
"VAPB",7,2,0.391499462980913,"no"
"ECE2",7,2,0.397168845369665,"no"
"OR2T29",7,2,0.40134029214233,"no"
"IL6",7,2,0.407749722040449,"no"
"NUDT1",7,2,0.40776855500597,"no"
"CDC14C",7,2,0.419614411207975,"no"
"KBTBD2",7,2,0.431636766389242,"no"
"TMEM41A",7,2,0.446685110076591,"no"
"HOXA13",7,2,0.454915554701963,"no"
"NTNG1",7,2,0.456944324272158,"no"
"DNAJC5",7,2,0.468477512421695,"no"
"TWIST1",7,2,0.47123084904998,"no"
"MYT1",7,2,0.482851255376502,"no"
"CYP2W1",7,2,0.485945139795435,"no"
"HOXA11",7,2,0.48639618926395,"no"
"RICTOR",7,2,0.494785670573721,"no"
"TNS3",7,2,0.496150058734942,"no"
"UBE2D4",7,2,0.497996091615159,"no"
"CDK13",7,2,0.506888952614,"no"
"GPNMB",7,2,0.508503257433902,"no"
"PTPN12",7,2,0.534623327945068,"no"
"ABCF3",7,2,0.536336357279454,"no"
"HUS1",7,2,0.550048290683039,"no"
"CFHR3",2,7,0.553070262200251,"no"
"GPER",7,2,0.56343752223684,"no"
"EEPD1",7,2,0.574999847248523,"no"
"CHRD",7,2,0.57510725434123,"no"
"NOTCH2",6,3,0.588633176785546,"no"
"SEMA3C",7,2,0.599481387749901,"no"
"WDR70",7,2,0.601037772046622,"no"
"OGDH",7,2,0.602946309324125,"no"
"ACTB",6,3,0.604111531353732,"no"
"DCLRE1B",7,2,0.611496724717581,"no"
"LRIG2",6,3,0.616305044946315,"no"
"KLHL24",7,2,0.625077454294846,"no"
"KLHL7",7,2,0.625800482988439,"no"
"WNT2B",7,2,0.628737027184126,"no"
"OR2T11",4,5,0.644329083779544,"no"
"REG4",6,3,0.648757650524866,"no"
"RAC1",7,2,0.650677116494772,"no"
"CPVL",7,2,0.652667512258415,"no"
"PTGER4",7,2,0.656289849059614,"no"
"CSDE1",6,3,0.665121467711531,"no"
"TRA2B",7,2,0.668613235296288,"no"
"ITGB8",7,2,0.670122438131945,"no"
"WDR3",6,3,0.679357867894651,"no"
"ZMYND8",7,2,0.681774868916438,"no"
"IGSF3",6,3,0.68348988334114,"no"
"LIFR",7,2,0.698283419263504,"no"
"JAZF1",7,2,0.702034639877612,"no"
"ALG3",7,2,0.70433648900506,"no"
"MATN3",7,2,0.70569961119883,"no"
"NPBWR2",7,2,0.719058930365052,"no"
"PHGDH",6,3,0.723057354415393,"no"
"ABCA13",7,2,0.740569374091823,"no"
"IGF2BP2",7,2,0.742940650780849,"no"
"PGAM2",7,2,0.743377572291366,"no"
"HECW1",7,2,0.744295847575193,"no"
"HOXA10",7,2,0.751634069230218,"no"
"SDC1",7,2,0.759984752234792,"no"
"ABCC5",7,2,0.766690134351901,"no"
"POLD2",7,2,0.771475490896965,"no"
"HTR3E",7,2,0.779802712597175,"no"
"LIPH",7,2,0.77984308536854,"no"
"LAMP3",7,2,0.781137404335158,"no"
"OR2T34",5,4,0.786443568097554,"no"
"GSTT1",4,5,0.788915700580595,"no"
"SP4",7,2,0.79390711797744,"no"
"RAPGEF5",7,2,0.796728664841614,"no"
"HNRNPA2B1",6,3,0.7976786937256,"no"
"FCGR3A",7,2,0.799004771614338,"no"
"STK17A",7,2,0.809262896955428,"no"
"TRIM33",7,2,0.820942365912355,"no"
"DDX20",7,2,0.82196722972949,"no"
"SFRP4",7,2,0.827622175403323,"no"
"TRIL",7,2,0.83647292106435,"no"
"ADAP1",7,2,0.845259081032049,"no"
"NCOA3",7,2,0.84751067568703,"no"
"ATP11B",7,2,0.849397962810259,"no"
"HDAC9",7,2,0.856595717975365,"no"
"OR2T35",7,2,0.856723334326881,"no"
"FERD3L",7,2,0.857359164164524,"no"
"MAFK",7,2,0.857576474997258,"no"
"ADCY1",7,2,0.873465368439695,"no"
"FCGR3B",6,3,0.876005891707244,"no"
"AHR",7,2,0.882851491933735,"no"
"EIF2AK1",7,2,0.890421660782072,"no"
"HOXA2",7,2,0.905243965893746,"no"
"ARL17A",7,2,0.906388310454428,"no"
"ARL17B",7,2,0.906388310454428,"no"
"HOXA7",7,2,0.910291569432696,"no"
"IKZF1",7,2,0.920526599427408,"no"
"WASH3P",7,2,0.924208140855986,"no"
"CBWD6",7,2,0.932649333582423,"no"
"MFN1",7,2,0.936058475615166,"no"
"NPSR1",7,2,0.943744334286273,"no"
"TBX20",7,2,0.944597033201359,"no"
"STK31",7,2,0.950152851569115,"no"
"CBX3",6,3,0.95405304746206,"no"
"PDGFA",7,2,0.954414782812527,"no"
"ACTL6A",7,2,0.956863764885416,"no"
"FOXK1",7,2,0.957167188936346,"no"
"OR2T10",4,5,0.958364359195348,"no"
