"","#wt","#mut","pvalue","is_significant"
"GP5",7,2,0.0134825219877069,"yes"
"KCNB2",7,2,0.0155943877995955,"yes"
"MEP1A",7,2,0.0236158916787462,"no"
"UBASH3B",7,2,0.0429880398757923,"no"
"TP53",4,5,0.0573219469642069,"no"
"MAP3K9",7,2,0.0617777690816966,"no"
"ARHGEF28",7,2,0.0738336412413803,"no"
"GPR98",7,2,0.102437568810829,"no"
"SETD1A",7,2,0.127951413555307,"no"
"NMBR",7,2,0.143753975302836,"no"
"ZNF496",7,2,0.152114801562858,"no"
"PHIP",7,2,0.162509257166614,"no"
"MMP10",7,2,0.200592375736251,"no"
"DENND3",7,2,0.202066084261418,"no"
"LRP1B",7,2,0.237749250478083,"no"
"FCGBP",5,4,0.247454637980094,"no"
"MBD5",7,2,0.26882948590467,"no"
"LRIG3",7,2,0.317094148399541,"no"
"MADD",7,2,0.326633748428277,"no"
"LILRA4",7,2,0.345455337936703,"no"
"ATR",7,2,0.350845596869197,"no"
"ELL",7,2,0.357045476041735,"no"
"TOR4A",7,2,0.357356998899015,"no"
"MUC12",7,2,0.377094325468403,"no"
"SMARCA4",7,2,0.384760533202252,"no"
"CR1",7,2,0.425574987199749,"no"
"EPHA3",7,2,0.442007976523407,"no"
"PARK2",7,2,0.452818654768594,"no"
"MTOR",7,2,0.522883552477242,"no"
"ANKRD31",7,2,0.552772228817314,"no"
"MTMR14",7,2,0.567823030665311,"no"
"TAF1L",7,2,0.569178666927498,"no"
"INPP5J",7,2,0.572639931973994,"no"
"PKHD1",6,3,0.600221952325157,"no"
"COL28A1",7,2,0.601489274845203,"no"
"ZNF423",7,2,0.641241512315817,"no"
"BAI3",7,2,0.64868788045027,"no"
"SETD2",7,2,0.676823250183978,"no"
"TCHH",7,2,0.692189605925573,"no"
"GRM7",7,2,0.706457068288436,"no"
"GRIA4",7,2,0.711325086680099,"no"
"LYST",7,2,0.71502482410606,"no"
"LRP2",7,2,0.723917076632923,"no"
"TTN",2,7,0.739178509347432,"no"
"SACM1L",7,2,0.77343167972499,"no"
"ARHGEF25",7,2,0.796142277220566,"no"
"TDRD12",7,2,0.798471347691453,"no"
"URI1",7,2,0.806705501638677,"no"
"JMJD1C",7,2,0.836178121691315,"no"
"CACNA1B",7,2,0.870278179566846,"no"
"CSMD1",6,3,0.876363640674123,"no"
"ADRA2C",7,2,0.90811527908797,"no"
"MASP1",7,2,0.924236371210948,"no"
"DHX33",7,2,0.973212315317224,"no"
"IGSF9",7,2,0.980297289193339,"no"
"DNAH5",7,2,0.991637723214473,"no"
