"","#wt","#mut","pvalue","is_significant"
"DPYD",8,1,3.39495426071861e-06,"yes"
"PRMT10",9,0,8.08342030070185e-06,"yes"
"USP1",9,0,1.46065800413394e-05,"yes"
"OVOL1",9,0,1.46088421338989e-05,"yes"
"SIM1",8,1,1.49388228052291e-05,"yes"
"PAQR8",9,0,1.99027668424573e-05,"yes"
"CSRNP3",9,0,2.88436815005598e-05,"yes"
"ADRA2C",7,2,3.25881570281792e-05,"yes"
"GLYR1",9,0,3.57843615597125e-05,"yes"
"NFIA",9,0,4.41978404829148e-05,"yes"
"TCF21",9,0,4.73511527505604e-05,"yes"
"STK31",7,2,5.32533247809472e-05,"yes"
"BCAR1",8,1,5.3925112406743e-05,"yes"
"FOXO4",9,0,5.78237118628887e-05,"yes"
"ZNF609",8,1,5.98090811370099e-05,"yes"
"CCNE2",9,0,7.29918776063374e-05,"yes"
"MPP7",8,1,7.4230158340616e-05,"yes"
"CES5A",8,1,7.83563549315295e-05,"yes"
"SOX14",9,0,8.25335091558638e-05,"yes"
"POU4F1",8,1,0.00010249845207213,"yes"
"GSTP1",9,0,0.000104774138039331,"yes"
"PARP4",9,0,0.000113158534800512,"yes"
"ACVR2A",9,0,0.000129682624996979,"yes"
"PLCG1",9,0,0.000134457787441778,"yes"
"DNMT3B",9,0,0.000138509963766624,"yes"
"ARHGAP42",9,0,0.000161643603600803,"no"
"TPM3P9",9,0,0.000220316593838275,"no"
"TMEM71",9,0,0.00024964128112114,"no"
"PER1",8,1,0.000280730006874255,"no"
"FAM58BP",9,0,0.000340155820432376,"no"
"CD22",9,0,0.000366495768955672,"no"
"SOX13",9,0,0.000370956562440642,"no"
"ETV5",8,1,0.000411413352752221,"no"
"ITGB6",9,0,0.000419195085126025,"no"
"HOXA2",7,2,0.00042837747787506,"no"
"CASC1",9,0,0.000463026192072562,"no"
"POU3F2",9,0,0.000469986365301707,"no"
"CTSB",9,0,0.000478812785545656,"no"
"VPREB3",8,1,0.000496074665351526,"no"
"OR6F1",9,0,0.000502498017881197,"no"
"GPR158",8,1,0.000527196137839582,"no"
"USP28",8,1,0.0006049118654671,"no"
"GPR84",9,0,0.00070951380422091,"no"
"CHRAC1",8,1,0.000715335507611874,"no"
"SIRPG",9,0,0.00072059529239115,"no"
"GRIA2",9,0,0.000722489676744139,"no"
"KDM4A",9,0,0.000727912245778139,"no"
"KBTBD6",9,0,0.000741165079300127,"no"
"SGK223",8,1,0.000742419043412996,"no"
"MEIS2",8,1,0.000764558593977417,"no"
"PARP15",9,0,0.000772703386854912,"no"
"LGALS9",9,0,0.000789798552420624,"no"
"FOXL2",9,0,0.000807534077238511,"no"
"GAS6",7,2,0.000807767631578061,"no"
"CDK19",8,1,0.00082569949785541,"no"
"HPD",9,0,0.00087507101676477,"no"
"CDC42",8,1,0.000903466410097638,"no"
"HIST1H1T",9,0,0.000986249544621573,"no"
"NUDT11",9,0,0.000995040171226119,"no"
"PATZ1",8,1,0.00101474949934677,"no"
"NNMT",9,0,0.00104981242439734,"no"
"SIRPA",9,0,0.00107961619909033,"no"
"MMP3",9,0,0.00112139579367529,"no"
"CCDC36",9,0,0.00114172730690836,"no"
"CAV1",9,0,0.00115362281384248,"no"
"GPR37",8,1,0.00120439337145258,"no"
"CDC20B",9,0,0.00121781329089183,"no"
"FAM46C",6,3,0.00127227167660057,"no"
"GMPR2",9,0,0.00127260510381806,"no"
"GPR87",9,0,0.00135298545792036,"no"
"OR5W2",8,1,0.00138375070661122,"no"
"GEM",9,0,0.00139642916793391,"no"
"FOXJ3",9,0,0.00149361920738621,"no"
"WDR78",8,1,0.00149615229807306,"no"
"RIPK3",9,0,0.00151851143684571,"no"
"ATP1A3",8,1,0.00154184063056741,"no"
"SOCS1",9,0,0.00159237156214641,"no"
"GPR20",9,0,0.00159903470913771,"no"
"ZNF92",8,1,0.0016036500011259,"no"
"HES1",9,0,0.00163373329047098,"no"
"NR1H4",9,0,0.00165477558559191,"no"
"RAG2",9,0,0.00167933775452917,"no"
"RAPGEF5",7,2,0.00168397579606021,"no"
"LRFN2",9,0,0.00175568895738664,"no"
"HOXA6",7,2,0.00180428955645639,"no"
"NFIX",8,1,0.00182243614191033,"no"
"PRRT1",9,0,0.0019230588363372,"no"
"ITGB5",8,1,0.00203071743151641,"no"
"CES3",9,0,0.00207299492836242,"no"
"BLZF1",9,0,0.00210875917563151,"no"
"LRFN1",9,0,0.00213903403008781,"no"
"OR2T4",9,0,0.00216051245797329,"no"
"NID2",9,0,0.00218233083371507,"no"
"TM2D2",9,0,0.00223382234232353,"no"
"DNAI1",8,1,0.00231497103170004,"no"
"SLC2A4RG",8,1,0.00233163346277293,"no"
"OR2T5",9,0,0.00236002761716573,"no"
"VEGFB",9,0,0.00237844494304568,"no"
"DYRK4",9,0,0.0024134000046461,"no"
"AGTR1",9,0,0.00242248088680479,"no"
"PPP2R3A",9,0,0.00242711827351435,"no"
"PLEKHG5",8,1,0.00252004890256511,"no"
"FLRT1",9,0,0.00274622038959077,"no"
"SPRYD4",9,0,0.00278082674954359,"no"
"ELK3",9,0,0.00280796403164934,"no"
"RARG",8,1,0.0028098030271687,"no"
"HOXA3",7,2,0.00286840841778904,"no"
"ZBTB11",9,0,0.00294917500738969,"no"
"ECI2",9,0,0.00295489436914869,"no"
"PROM1",9,0,0.00297720276280941,"no"
"RAD50",9,0,0.00300435888075049,"no"
"RAPGEFL1",9,0,0.00300728128898656,"no"
"CHRNA5",9,0,0.003021529979914,"no"
"KCNV2",7,2,0.00304912233081562,"no"
"ATRNL1",9,0,0.00310991668315742,"no"
"HTR3C",7,2,0.00312925542036036,"no"
"OR2T35",7,2,0.00319669483685416,"no"
"ARL3",9,0,0.00319877107312569,"no"
"MYNN",8,1,0.00323775574836496,"no"
"SLC22A17",9,0,0.00325465879452061,"no"
"HSD17B14",9,0,0.00327363547336766,"no"
"HIST1H1B",9,0,0.00345001388121652,"no"
"USP10",9,0,0.00354706376208267,"no"
"LPAR3",9,0,0.00355276430125423,"no"
"SLC2A3",8,1,0.00361596618098569,"no"
"ANPEP",9,0,0.00384650303713685,"no"
"SYNPO",9,0,0.0039689429433577,"no"
"ZEB2",9,0,0.00398304762962134,"no"
"HOXD1",9,0,0.0040296028532996,"no"
"SERPINE3",9,0,0.00404095807471463,"no"
"ZNF197",8,1,0.00404247682345,"no"
"MAP3K6",9,0,0.00406307483466126,"no"
"TLR8",9,0,0.00406802696227329,"no"
"FAP",9,0,0.00411498772031917,"no"
"DMGDH",9,0,0.00414071361758877,"no"
"PLEKHG1",9,0,0.00421135334982039,"no"
"G6PD",9,0,0.00422522091339783,"no"
"SPTY2D1",8,1,0.00428988956223693,"no"
"ARNTL",9,0,0.00429900114346804,"no"
"MTMR9LP",9,0,0.00430873134058846,"no"
"ACAP2",8,1,0.00441284480678278,"no"
"SETD4",9,0,0.00444977940207806,"no"
"CYP2C8",9,0,0.00445475365618931,"no"
"UBL4B",9,0,0.00453962640895067,"no"
"GRIK4",9,0,0.00464004216134707,"no"
"AGAP1",9,0,0.00465804111414645,"no"
"TMEM68",9,0,0.00468420581223083,"no"
"RAB39A",9,0,0.00469154859789053,"no"
"APLNR",8,1,0.00473126740641496,"no"
"TMEM241",9,0,0.00475597294207523,"no"
"BGN",9,0,0.00485701283617417,"no"
"NUDT3",9,0,0.00487279893826387,"no"
"ZFHX4",9,0,0.00488651668161311,"no"
"BHLHE41",9,0,0.00490458790702695,"no"
"HCAR1",8,1,0.00492354518442697,"no"
"RDX",9,0,0.00493456772885993,"no"
"KBTBD3",9,0,0.00501166611181634,"no"
"FERMT2",9,0,0.00501942025380688,"no"
"SFMBT2",7,2,0.00506363726426312,"no"
"SCN7A",9,0,0.00510705385043123,"no"
"LHX3",9,0,0.00511232313180261,"no"
