"","#wt","#mut","pvalue","is_significant"
"COPS8",9,0,8.93507490218326e-13,"yes"
"XRCC5",9,0,1.64269708946563e-10,"yes"
"COPS3",9,0,4.3908510161117e-10,"yes"
"TFRC",8,1,2.78907397177619e-09,"yes"
"DDX39B",9,0,5.65867586121982e-09,"yes"
"ATP6V1G2-DDX39B",9,0,5.65867586121982e-09,"yes"
"WDR82",9,0,3.35976823029327e-08,"yes"
"SSRP1",9,0,5.5882471317048e-08,"yes"
"CDC40",9,0,7.57516405158754e-08,"yes"
"TTK",8,1,2.97612690380866e-07,"yes"
"UBE2I",9,0,4.3110109582134e-07,"yes"
"SLITRK3",8,1,4.40320033878727e-07,"yes"
"DTL",9,0,4.58554743842932e-07,"yes"
"EEF2",9,0,6.20509026383331e-07,"yes"
"TTC1",9,0,1.01856355139152e-06,"yes"
"DMAP1",9,0,1.07958534556474e-06,"yes"
"MMS22L",8,1,1.10175306844429e-06,"yes"
"UBL5",9,0,1.32867621660537e-06,"yes"
"POLD1",9,0,1.33815844916008e-06,"yes"
"TAF1",9,0,1.6870597195906e-06,"yes"
"UBR5",9,0,2.14768948836319e-06,"yes"
"AHCTF1",9,0,2.15093968847224e-06,"yes"
"RPS10",9,0,2.15796136748825e-06,"yes"
"RPS10-NUDT3",9,0,2.15796136748825e-06,"yes"
"KEAP1",9,0,2.21697620927941e-06,"yes"
"MED8",9,0,2.37440969819147e-06,"yes"
"SF3B4",8,1,2.57257664804111e-06,"yes"
"RFC4",8,1,2.98083716609998e-06,"yes"
"CARS",8,1,3.5729752863034e-06,"yes"
"CASP8AP2",9,0,3.77263568962505e-06,"yes"
"NEDD8-MDP1",9,0,4.60764094978305e-06,"yes"
"PAF1",9,0,4.91021211601606e-06,"yes"
"OGDH",7,2,4.98802695381162e-06,"yes"
"PLRG1",9,0,5.16629360514109e-06,"yes"
"FIP1L1",9,0,6.67804836440578e-06,"yes"
"PRPF6",7,2,7.34260118062657e-06,"yes"
"TLE3",9,0,7.58538202028092e-06,"yes"
"RNF40",9,0,7.75411672915283e-06,"yes"
"TOP2A",9,0,8.989010748639e-06,"yes"
"WDR70",6,3,1.06263007141338e-05,"yes"
"CERK",8,1,1.13277198454664e-05,"yes"
"ATP6AP1",9,0,1.5031304577362e-05,"yes"
"SMNDC1",9,0,1.59013875491443e-05,"yes"
"GNL3",9,0,1.60378605006395e-05,"yes"
"PRPF4B",9,0,1.70410179776148e-05,"yes"
"LOC341056",9,0,1.87719129954855e-05,"yes"
"RBMXL1",9,0,2.41584071649648e-05,"yes"
"SNRNP40",9,0,2.73773200573091e-05,"yes"
"EDC4",9,0,2.78108782745257e-05,"yes"
"EIF3I",9,0,2.82657069583525e-05,"yes"
"RANBP2",9,0,2.84882939528552e-05,"yes"
"RAE1",8,1,2.95881991613234e-05,"yes"
"FBXO5",9,0,3.11199530453887e-05,"yes"
"FTSJ3",9,0,3.27035714839941e-05,"yes"
"GEMIN5",8,1,3.28546184734657e-05,"yes"
"TBL3",9,0,3.31695455201286e-05,"yes"
"CLSPN",9,0,3.76447173520145e-05,"yes"
"TARDBP",9,0,3.96531065716133e-05,"yes"
"ASH2L",9,0,4.2964435013837e-05,"yes"
"UTP18",9,0,5.6947289684417e-05,"yes"
"FBXW7",9,0,5.92158076039295e-05,"yes"
"SEH1L",9,0,6.08663407212218e-05,"yes"
"KRAS",9,0,6.24833913842604e-05,"yes"
"BUD31",8,1,6.74620247697044e-05,"yes"
"DHX38",9,0,6.91538203415609e-05,"yes"
"TAF5",9,0,7.12345775951695e-05,"yes"
"ATP6V1B2",9,0,7.73728291121323e-05,"yes"
