"","#wt","#mut","pvalue","is_significant"
"GPT2",9,2,0.000275402496378887,"yes"
"TNS3",9,2,0.00334263249473874,"yes"
"C3orf43",9,2,0.00579971898478189,"no"
"FOXK1",9,2,0.0115610174942188,"no"
"WWP2",9,2,0.0165197779377365,"no"
"RXFP4",9,2,0.0319874420619829,"no"
"GLI3",9,2,0.0325383848624564,"no"
"PHKB",9,2,0.0326646655801518,"no"
"WIPI2",9,2,0.0465566820180452,"no"
"ACTB",9,2,0.0505499315329637,"no"
"TBL1XR1",9,2,0.0669482229400897,"no"
"JAZF1",9,2,0.0730582646565989,"no"
"ARHGEF2",9,2,0.0746592975968991,"no"
"C1QTNF1",9,2,0.0768980508252083,"no"
"HOXA11",9,2,0.0837760894109157,"no"
"CLCN2",9,2,0.0867297111512911,"no"
"DDX19A",9,2,0.0940292523779604,"no"
"IKZF1",9,2,0.0999310112387237,"no"
"OGDH",9,2,0.101289578535146,"no"
"NCBP2",9,2,0.102470771948298,"no"
"MAP3K13",9,2,0.10853561432557,"no"
"CDK13",9,2,0.1197573973324,"no"
"UTS2D",9,2,0.122461834157554,"no"
"AKTIP",9,2,0.129718865032399,"no"
"LOC646214",8,3,0.1312980290154,"no"
"BMPER",9,2,0.133159538346395,"no"
"AGR2",8,3,0.133802509712145,"no"
"CBX3",9,2,0.136957458359032,"no"
"TWIST1",9,2,0.162721855568194,"no"
"CAMK2B",9,2,0.163473867066819,"no"
"ITGB8",9,2,0.171343378480429,"no"
"MFI2",9,2,0.172558853627434,"no"
"SIRPB1",6,5,0.17314345959227,"no"
"GRB10",9,2,0.174218358271018,"no"
"TRIL",9,2,0.179465365499262,"no"
"TP63",9,2,0.179960591733709,"no"
"HDAC9",9,2,0.180499936127501,"no"
"PPAT",9,2,0.186559504000088,"no"
"DGKB",8,3,0.186831567943479,"no"
"GPR160",9,2,0.189179855526246,"no"
"PDGFRA",9,2,0.208099638865919,"no"
"IL6",9,2,0.212562459355601,"no"
"HECW1",9,2,0.216017869537585,"no"
"FNDC3B",9,2,0.222886614737941,"no"
