"","#wt","#mut","pvalue","is_significant"
"PWWP2B",9,2,0.00122993742286727,"yes"
"ZNF165",9,2,0.0132200154748794,"no"
"ARID1B",9,2,0.0235063267182564,"no"
"CHTF18",9,2,0.0264201755362676,"no"
"SPAG16",9,2,0.0291807638450551,"no"
"TP53",5,6,0.0345786977595043,"no"
"FKBP15",9,2,0.0360240200164076,"no"
"SLIT2",8,3,0.0397779275909508,"no"
"BLNK",9,2,0.0441202129540356,"no"
"FGD5",9,2,0.075614128924678,"no"
"IL2RB",9,2,0.0801173099865495,"no"
"PKD1",7,4,0.100658267547848,"no"
"TTN",6,5,0.101647994429224,"no"
"MYOM2",9,2,0.123957833820711,"no"
"SORL1",8,3,0.14760854110766,"no"
"LRP1B",6,5,0.151518944127481,"no"
"MAP3K9",9,2,0.172103082708202,"no"
"CBX6",9,2,0.180567416135414,"no"
"LRRC4B",9,2,0.201834413639299,"no"
"MARK3",9,2,0.208766138693144,"no"
"ATP8B4",9,2,0.211574573472334,"no"
"RANBP6",9,2,0.237559032923974,"no"
"NBEA",9,2,0.243790631527057,"no"
"CACNA1H",9,2,0.244304651324524,"no"
"ZFHX4",9,2,0.273541257484276,"no"
"NEK5",9,2,0.277147897107421,"no"
"WDR49",9,2,0.280051633193545,"no"
"FUK",9,2,0.309298527590379,"no"
"PKHD1",9,2,0.319627772622923,"no"
"ITIH4",9,2,0.340843113138007,"no"
"GAK",9,2,0.347056034667544,"no"
"F2RL3",9,2,0.34903695658386,"no"
"MBD5",9,2,0.35114837019572,"no"
"ABCC12",9,2,0.353044673748808,"no"
"SPEG",7,4,0.37052163865617,"no"
"MACF1",8,3,0.37320694263422,"no"
"GATM",9,2,0.389559989731567,"no"
"SNRNP35",9,2,0.423995455621895,"no"
"EPHA6",9,2,0.426840099768722,"no"
"COL6A5",9,2,0.441929490820428,"no"
"PAPPA",9,2,0.449239161440696,"no"
"FER1L6",9,2,0.450156887307364,"no"
"FANCM",9,2,0.451267074951103,"no"
"FCGBP",9,2,0.461211737912592,"no"
"OBSCN",9,2,0.469565597312472,"no"
"FAT3",9,2,0.471826414304672,"no"
"NR1H4",9,2,0.481229796406319,"no"
"IQUB",9,2,0.496555924102111,"no"
"RALGAPA2",7,4,0.496836575885491,"no"
"ERN2",9,2,0.501277192828274,"no"
"MYO7A",9,2,0.503573225105014,"no"
"RB1CC1",9,2,0.504362460990295,"no"
"OR2T4",9,2,0.509448861095326,"no"
"TCHH",9,2,0.509864894968723,"no"
"ST18",9,2,0.520719306214696,"no"
"RNF8",9,2,0.527264687788234,"no"
"CHRNB1",9,2,0.533694976042527,"no"
"TRPV4",9,2,0.540037362500985,"no"
"LRRD1",9,2,0.560523785947962,"no"
"LIFR",9,2,0.567607010626561,"no"
"COL7A1",9,2,0.573082389865636,"no"
"RAPGEF5",9,2,0.582017786601852,"no"
"LAMA5",9,2,0.605053789073807,"no"
"RFC4",9,2,0.609813539908946,"no"
"EGFR",9,2,0.627976265886837,"no"
"ASCL1",9,2,0.631531849173287,"no"
"LHX8",9,2,0.645622351258811,"no"
"FRAS1",9,2,0.649934486260264,"no"
"ABCA7",9,2,0.650465495215838,"no"
"USP35",9,2,0.671250192526887,"no"
"SCN7A",8,3,0.681232604701396,"no"
"MYO15A",9,2,0.687263893081324,"no"
"ABCC9",9,2,0.688626951104685,"no"
"CR1",9,2,0.693015544686394,"no"
"ARAP2",9,2,0.693619613653692,"no"
"DSP",7,4,0.711954843388968,"no"
"ZNF43",9,2,0.716690569942188,"no"
"ATP11B",9,2,0.718388267290089,"no"
"BCOR",9,2,0.720527835457858,"no"
"IRS4",9,2,0.723458760256705,"no"
"RPS6KA1",9,2,0.734046719490666,"no"
"CIC",9,2,0.740234195468241,"no"
"PVRL3",9,2,0.764753299409872,"no"
"KCTD3",9,2,0.775957727671904,"no"
"WDR87",9,2,0.778002314985091,"no"
"ACAN",9,2,0.781838349243519,"no"
"FMN2",9,2,0.796446872422091,"no"
"CHD5",9,2,0.797355935367545,"no"
"COL6A3",9,2,0.799504366458062,"no"
"GPR98",9,2,0.841503104708898,"no"
"TLN2",9,2,0.857326063907651,"no"
"GRM2",9,2,0.85854901836682,"no"
"EML6",9,2,0.864660136036091,"no"
"LRP2",8,3,0.880670997568975,"no"
"PLEKHA4",9,2,0.881651865686282,"no"
"ATG2B",8,3,0.897767136026258,"no"
"FRMPD2",9,2,0.915661133379735,"no"
"ABCA9",9,2,0.920911280694178,"no"
"NOTCH3",9,2,0.928299988070205,"no"
"PLXNA3",9,2,0.934434914039424,"no"
"ASTN2",9,2,0.942141049971797,"no"
"CACNA1B",9,2,0.962330653529066,"no"
"AKAP1",9,2,0.962579756521853,"no"
"SEMA3G",9,2,0.976848885564232,"no"
