"","#wt","#mut","pvalue","is_significant"
"CBX5",11,0,1.00425888161688e-09,"yes"
"GSTP1",10,1,2.66044261712746e-07,"yes"
"ATF1",11,0,1.81174812179695e-06,"yes"
"ITGB6",11,0,4.77473387618682e-06,"yes"
"SNAI2",11,0,8.91315163800784e-06,"yes"
"TCF19",11,0,1.59262938260592e-05,"yes"
"CAPZA2",11,0,1.7966703310812e-05,"yes"
"MAP4K3",11,0,1.84784988549646e-05,"yes"
"TFE3",11,0,1.91433984564666e-05,"yes"
"PFDN4",11,0,2.47254171613796e-05,"yes"
"ETV5",8,3,3.306039516258e-05,"yes"
"ANGEL1",11,0,3.88063910475972e-05,"yes"
"CDC20B",11,0,5.19770761192973e-05,"yes"
"MFN1",9,2,5.75024165781774e-05,"yes"
"HIST1H1T",10,1,6.51718953380424e-05,"yes"
"SPRYD4",10,1,6.55175877683819e-05,"yes"
"OR6S1",11,0,6.65299223865892e-05,"yes"
"GAB1",11,0,6.8785353940915e-05,"yes"
"PA2G4P4",11,0,8.20447090450794e-05,"yes"
"CETN2",11,0,8.53101428833861e-05,"yes"
"EGOT",11,0,0.000131244304130601,"yes"
"MXD1",11,0,0.000137838427436419,"yes"
"NFIX",11,0,0.000143315970664563,"yes"
"RDX",10,1,0.000143599559030086,"yes"
"ATRNL1",11,0,0.000147204978883472,"yes"
"SLC39A4",9,2,0.000149947198011599,"yes"
"SEMA6C",10,1,0.00015663834292289,"no"
"PRRT1",11,0,0.000173883370855671,"no"
"SERPINB11",10,1,0.000177091417431131,"no"
"NPR3",11,0,0.00017772014976728,"no"
"SGMS2",10,1,0.000208116711912747,"no"
"REXO4",11,0,0.000213650338233188,"no"
"ACAP2",9,2,0.000242627655429646,"no"
"ABCA10",11,0,0.000244893677568385,"no"
"GPR37",10,1,0.000252169400354606,"no"
"ARHGEF33",11,0,0.000254064153582522,"no"
"HCAR1",11,0,0.000258074617485235,"no"
"MUC20",10,1,0.000273259654113729,"no"
"TTC39C",10,1,0.000287347634323778,"no"
"PRKG2",10,1,0.000312308566868182,"no"
"FGFR1",11,0,0.00031750289301522,"no"
"MCF2L2",9,2,0.000336599881493829,"no"
"UBASH3B",11,0,0.000378426338749419,"no"
"HLF",11,0,0.000385466472941595,"no"
"PITX3",11,0,0.000391022815291167,"no"
"RASL11A",11,0,0.000468021115734841,"no"
"AHI1",8,3,0.000468188866113384,"no"
"DPYD",11,0,0.000500897541463081,"no"
"LRRC34",9,2,0.000501701320018326,"no"
"F2RL2",11,0,0.000531074865886053,"no"
"FOXN2",10,1,0.000541044974075352,"no"
"RAPGEF5",7,4,0.000578554020593113,"no"
"SLC2A4RG",11,0,0.000579855243966613,"no"
"CDKL5",11,0,0.000582889830273074,"no"
"SGK1",10,1,0.000583505852676298,"no"
"CBFA2T2",10,1,0.00060184279012893,"no"
"GLYR1",11,0,0.000622436227761139,"no"
"LPAR3",11,0,0.000638952944314172,"no"
"DNAJC2",11,0,0.000644336657756186,"no"
"OLR1",11,0,0.000670572003401582,"no"
"RABGGTA",11,0,0.000692638600187542,"no"
"CYP2B6",10,1,0.000700682426382049,"no"
"MMP3",10,1,0.00077883815864524,"no"
"MMP10",10,1,0.00077883815864524,"no"
"SPR",11,0,0.000790485329610925,"no"
"FGL2",11,0,0.000811414475752626,"no"
"SETD4",11,0,0.000844126802498528,"no"
"STAT5B",11,0,0.000854753536988401,"no"
"NDRG1",10,1,0.00087821259417486,"no"
"TEAD1",11,0,0.000889560925363756,"no"
"MMP14",11,0,0.000911099874852834,"no"
"FASLG",11,0,0.000918476452056144,"no"
"IGSF11",10,1,0.00096521974753993,"no"
"ZNF24",10,1,0.00098925753283124,"no"
"DACH1",11,0,0.00103438970593945,"no"
"JAM2",10,1,0.00106976088384762,"no"
"FOXL2",11,0,0.00107952445640987,"no"
"ELK3",11,0,0.00107985301561646,"no"
"PRKCI",9,2,0.00109239764700886,"no"
"NFIA",11,0,0.0011027383244948,"no"
"PTAR1",11,0,0.00113529196517142,"no"
"CAPNS1",10,1,0.00114413861853749,"no"
"DHRS12",11,0,0.00122115362497661,"no"
"MYL3",11,0,0.00123625507970167,"no"
"OLFM2",10,1,0.00125541807011281,"no"
"CES1",9,2,0.00125998153138105,"no"
"HSD17B6",10,1,0.00129799261429159,"no"
"CYP2U1",11,0,0.0013386959368937,"no"
"ITGAV",10,1,0.00134225368771289,"no"
"RASEF",11,0,0.00134267400148605,"no"
"CA7",11,0,0.0013450658421096,"no"
"EPB41L4B",11,0,0.00141358142066038,"no"
"HOXD1",10,1,0.00142714803536013,"no"
"PGR",10,1,0.00143926622339362,"no"
"FLRT1",11,0,0.00145324442670484,"no"
"NUDT5",11,0,0.00148559046071542,"no"
"ZNF609",10,1,0.00150871641234237,"no"
"CAMK2D",11,0,0.00156172123298241,"no"
"GPR158",11,0,0.00157450893529755,"no"
"DNASE1",11,0,0.00160315301707929,"no"
"NEK4",10,1,0.001644290975945,"no"
"FCGR2C",9,2,0.00164613159540592,"no"
"CCDC47",11,0,0.00174732418031374,"no"
"MAP1B",11,0,0.00176701098398152,"no"
"SLC5A11",11,0,0.00181994441773387,"no"
"IRF9",11,0,0.00183719573810982,"no"
"SLC10A2",10,1,0.00186877712341802,"no"
"PTGFR",11,0,0.00187800837677318,"no"
"USP6NL",11,0,0.00193439442411715,"no"
"MEIS2",10,1,0.00195954313055841,"no"
"GRK7",11,0,0.00200186245702152,"no"
"PAN3",10,1,0.00203759001272699,"no"
"CCNE2",11,0,0.00205163947601716,"no"
"MAGEA9",11,0,0.00206033051067288,"no"
"MAGEA9B",11,0,0.00206033051067288,"no"
"GRIK4",10,1,0.00211770483514393,"no"
"ITGA8",11,0,0.00213641556062779,"no"
"RAG2",10,1,0.00217780069060392,"no"
"CCDC90A",11,0,0.0021872725636984,"no"
"PMP22",11,0,0.00220445891651169,"no"
"B4GALNT3",11,0,0.00230239314244572,"no"
"RIPK3",11,0,0.00233263566085842,"no"
"KCNE3",11,0,0.0023339302493929,"no"
"SOX10",11,0,0.0024227812143682,"no"
"VSTM4",11,0,0.0024308203385941,"no"
"WDR67",10,1,0.00249091572716556,"no"
"HTR3C",9,2,0.00250142475477249,"no"
"SLN",10,1,0.00250184862014721,"no"
"GRIA2",11,0,0.0025458416010251,"no"
"HOXA5",9,2,0.00258302750949612,"no"
"SH2D4A",8,3,0.00270688381782923,"no"
"ASTN2",9,2,0.00273116685101119,"no"
"OR2T11",6,5,0.00277376431997717,"no"
"FOXJ3",11,0,0.00279476773641602,"no"
"ZNF202",11,0,0.00279476773641602,"no"
"PDE6D",11,0,0.00284209844267219,"no"
"NPAS2",10,1,0.00290758528985507,"no"
"C1orf186",11,0,0.00290812240304642,"no"
"LDLR",11,0,0.00292858312017716,"no"
"ST7",11,0,0.00296349479656972,"no"
"DNAJC19",9,2,0.00300902386249453,"no"
"PTP4A3",10,1,0.00304253225829301,"no"
"TMEM199",11,0,0.00309766335631252,"no"
"GLS2",9,2,0.00311413468692277,"no"
"KPNA3",11,0,0.00315869020035724,"no"
"PTK6",11,0,0.00316290813941258,"no"
"CDK19",10,1,0.00317029789906758,"no"
"BLZF1",11,0,0.0031747444526703,"no"
"PPARG",10,1,0.00326937852349548,"no"
"HBP1",11,0,0.00328127383861385,"no"
"POU4F2",11,0,0.00329699326837433,"no"
"FBXL20",11,0,0.00337836376059053,"no"
"RBPJ",11,0,0.00343146064439546,"no"
"ZCWPW1",11,0,0.00352125838966735,"no"
"PART1",11,0,0.00352960650231068,"no"
"GAS6",11,0,0.00363113222555161,"no"
