"","#wt","#mut","pvalue","is_significant"
"AHCTF1",9,2,1.77635683940025e-15,"yes"
"TFRC",9,2,3.0684477181353e-10,"yes"
"UTP15",11,0,9.35393978940269e-08,"yes"
"PLRG1",11,0,1.18344287147742e-07,"yes"
"MED12",10,1,1.3743364324359e-07,"yes"
"COPS8",11,0,1.56945451079693e-07,"yes"
"NAA15",11,0,3.24907446391798e-07,"yes"
"RANBP2",10,1,1.66779962518238e-06,"yes"
"TTC1",11,0,4.4401007889272e-06,"yes"
"SNRNP40",11,0,4.86252662224018e-06,"yes"
"CDK7",11,0,5.5108123746539e-06,"yes"
"TTK",10,1,5.87582601840886e-06,"yes"
"XAF1",11,0,5.89359565839054e-06,"yes"
"CDK12",11,0,7.06607259626235e-06,"yes"
"VPRBP",11,0,7.90354644342184e-06,"yes"
"GEMIN5",11,0,8.81280908893167e-06,"yes"
"UBA3",11,0,1.20875359714834e-05,"yes"
"ASH2L",11,0,1.48262034009861e-05,"yes"
"UBE2I",11,0,1.82755796397371e-05,"yes"
"CCDC91",11,0,2.38652011631535e-05,"yes"
"ANKRD46",10,1,2.57980560022242e-05,"yes"
"COPS3",11,0,2.61207762545235e-05,"yes"
"MCL1",10,1,2.68289281775136e-05,"yes"
"UBE2H",11,0,2.72227482115417e-05,"yes"
"TOP2A",11,0,2.79187940329662e-05,"yes"
"BCLAF1",10,1,3.40865049837102e-05,"yes"
"OGDH",9,2,4.06895114984929e-05,"yes"
"ACVR1B",11,0,4.25554558256547e-05,"yes"
"WIPI2",9,2,4.46898665712459e-05,"yes"
"B9D1",11,0,4.73613980677134e-05,"yes"
"MED16",11,0,5.09246940285646e-05,"yes"
"JUNB",11,0,6.85066535071055e-05,"yes"
"SOD2",10,1,7.11836005030664e-05,"yes"
"CARS",11,0,7.59720629764926e-05,"yes"
"XRCC5",11,0,7.65543686056525e-05,"yes"
"NCBP2",9,2,7.85710974507969e-05,"yes"
"TIPARP",11,0,8.48365858513445e-05,"yes"
"RFC4",8,3,8.61400038772997e-05,"yes"
"POLD1",11,0,8.91500145847601e-05,"yes"
"PCGF1",11,0,9.57468279644269e-05,"yes"
"PDZRN4",10,1,0.000118810172208161,"yes"
"AATF",11,0,0.00014105919313756,"yes"
"HMGB1",11,0,0.000141112552359934,"yes"
"LIMK2",10,1,0.000169571648888756,"no"
"WDR82",11,0,0.000175629847400272,"no"
"AFP",10,1,0.00018439660366798,"no"
"VRK3",11,0,0.00020054436340422,"no"
"CSNK1A1",11,0,0.00020349159326627,"no"
"MYC",10,1,0.000222515728850681,"no"
"WSB1",11,0,0.000230488553742192,"no"
"TRA2B",9,2,0.00023095793398098,"no"
"WDFY2",11,0,0.000232069224216813,"no"
"CDC40",10,1,0.00023236322309661,"no"
"KPNA6",11,0,0.000232988788070432,"no"
"RNGTT",11,0,0.000299310493455662,"no"
"VPS28",10,1,0.000306639008459397,"no"
"WDR33",11,0,0.00031158516904839,"no"
"PRDX3",11,0,0.000316179218447177,"no"
"CASP8AP2",11,0,0.000321280284056313,"no"
"AANAT",10,1,0.000339809805587787,"no"
"SUMO2",11,0,0.00034551595368415,"no"
"SMARCD1",11,0,0.000368586402910043,"no"
"KIAA1875",8,3,0.00038571018267286,"no"
"GABRP",11,0,0.00040481590274688,"no"
"GMNN",11,0,0.000432837482978843,"no"
"LGALS1",11,0,0.000440182009073031,"no"
"WDR61",11,0,0.000466616100041839,"no"
"KANSL1",11,0,0.000467396198934988,"no"
"VSTM2L",11,0,0.000502894054436265,"no"
"UBL5",11,0,0.0005059021292807,"no"
"RPP40",11,0,0.000524462880314935,"no"
"LOC341056",11,0,0.000528107744196316,"no"
"WDR7",9,2,0.000535685490128945,"no"
"MCPH1",11,0,0.000593815801777753,"no"
"MED19",11,0,0.000601396151345468,"no"
"SMARCA4",11,0,0.00063401892218895,"no"
"DDX39B",11,0,0.000646209630925765,"no"
"ATP6V1G2-DDX39B",11,0,0.000646209630925765,"no"
"AHCY",10,1,0.000669302556744134,"no"
"GPT2",8,3,0.00070509696755916,"no"
"PCDH8",11,0,0.000796989298572193,"no"
"RBMXL1",11,0,0.000808612761410532,"no"
"MTHFD1",11,0,0.000819099351664798,"no"
"ACO2",11,0,0.000825811746982374,"no"
"CDC20",11,0,0.000826070888142461,"no"
"DTL",11,0,0.000828146614015535,"no"
"RNPC3",10,1,0.000851451189297858,"no"
"C9orf96",11,0,0.000876363602255847,"no"
"RNF40",11,0,0.000893443188067944,"no"
"DDX46",11,0,0.000909969689498413,"no"
"MAPKAP1",11,0,0.000932233915905023,"no"
"MMS22L",8,3,0.000938185796642066,"no"
"TBL2",10,1,0.000940458072506423,"no"
"LOC643387",11,0,0.000975508931791436,"no"
"YAF2",11,0,0.000977613307326153,"no"
"INTS4",8,3,0.00104172645460854,"no"
"WNT8A",11,0,0.00104264335534454,"no"
"PPP1R16B",11,0,0.00104647234899347,"no"
"LINGO1",10,1,0.00106076974927016,"no"
"SRSF11",11,0,0.00108743433077385,"no"
"PTBP1",11,0,0.00117966166460959,"no"
"TEAD3",11,0,0.00118964762648288,"no"
"CCIN",11,0,0.00123292607288117,"no"
"NEK8",11,0,0.0012366254590126,"no"
"PIK3R2",11,0,0.00125639631573127,"no"
"TYMS",11,0,0.0012661968581954,"no"
"FIP1L1",11,0,0.00128791914970472,"no"
"UBR5",10,1,0.00130541704099396,"no"
"ANKRD28",11,0,0.0013458639570546,"no"
"PRSS12",10,1,0.00138217210760117,"no"
"MLL2",11,0,0.00139369844975856,"no"
"CNKSR1",10,1,0.00139965925333951,"no"
