"","#wt","#mut","pvalue","is_significant"
"KCNS2",38,2,0.00293804217361317,"no"
"IL6",37,3,0.00632720969465571,"no"
"HAS2",36,4,0.00665499718846716,"no"
"PDE1C",38,2,0.00753862016503769,"no"
"POU4F1",38,2,0.00996886186490045,"no"
"IQCG",36,4,0.0100674823482578,"no"
"PKD1L2",37,3,0.0105436170089418,"no"
"ADCY1",37,3,0.0122080177025451,"no"
"TCF15",37,3,0.0123431580327206,"no"
"RDH10",38,2,0.014428209077701,"no"
"LRRC24",36,4,0.014968317461874,"no"
"SOX18",37,3,0.0150802812201195,"no"
"ACAP2",38,2,0.0160903891687159,"no"
"TFEC",38,2,0.0170998035715262,"no"
"UTP18",38,2,0.017105267957304,"no"
"SND1",38,2,0.0200037189039895,"no"
"SFTPA2",38,2,0.0201394431822175,"no"
"PSCA",38,2,0.0206984452839012,"no"
"ABCF1",38,2,0.0221471813803419,"no"
"ZMYM5",36,4,0.0226322212315046,"no"
"PMP2",38,2,0.0226961587022937,"no"
"NRBP2",36,4,0.0231787033583746,"no"
"ARL17A",29,11,0.0234326442587777,"no"
"SOX14",37,3,0.0247328015921506,"no"
"ECHDC1",38,2,0.028431084344556,"no"
"TMEM130",37,3,0.0299113482877291,"no"
"FOXL2",37,3,0.0308558224733506,"no"
"WIPI2",37,3,0.0327551782229773,"no"
"PIK3CG",38,2,0.0334901876645449,"no"
"NLE1",38,2,0.0339277381581565,"no"
"HOXA6",38,2,0.0348325258920226,"no"
"PHC3",38,2,0.0349251328899061,"no"
"FOXA1",38,2,0.0381378392861825,"no"
"EVI2B",38,2,0.0406438110743765,"no"
"EMP1",38,2,0.0439319092041531,"no"
"ENDOV",38,2,0.0442219945614295,"no"
"CYP3A5",37,3,0.0446068972293828,"no"
"NAPRT1",37,3,0.0447500605639043,"no"
"NOL11",38,2,0.0448705857486661,"no"
"TNS3",37,3,0.0454600438422944,"no"
"CYP24A1",35,5,0.0492003727001912,"no"
"ARL17B",30,10,0.04920954401408,"no"
"GPT",36,4,0.0496832173568508,"no"
"PARP12",38,2,0.0500077735564774,"no"
"AIFM3",38,2,0.0504432296085852,"no"
"MBTD1",38,2,0.05111073421293,"no"
"PUF60",36,4,0.0516876415335234,"no"
"SORD",38,2,0.0523225057301079,"no"
"SS18L1",38,2,0.0527403607198618,"no"
"HSF1",36,4,0.0527774809393813,"no"
"CCDC79",38,2,0.0527865135826601,"no"
"DCT",37,3,0.0527965045429459,"no"
"ARHGEF5",31,9,0.0531976390654322,"no"
"ANKRD20A4",37,3,0.0540544254223467,"no"
"PMEPA1",35,5,0.0570675623272216,"no"
"BTNL2",36,4,0.0572704306369407,"no"
"KRAS",36,4,0.0583647395183833,"no"
"ABCA5",38,2,0.0600914886920631,"no"
"DHX16",38,2,0.060868429945116,"no"
"CES1",38,2,0.0609921232167001,"no"
"GPR89A",38,2,0.0618125229743142,"no"
"RSPO3",38,2,0.0622073533067896,"no"
"CFH",36,4,0.0627092953643272,"no"
"MMEL1",38,2,0.0631272346646109,"no"
"PIGX",36,4,0.0636533574670085,"no"
"GPR85",37,3,0.064760085623183,"no"
"PCK1",35,5,0.0658273301359844,"no"
"CUL4A",34,6,0.0664140771784064,"no"
"GEM",37,3,0.0695732494576077,"no"
"NUDT1",37,3,0.0697633918992124,"no"
"GPR89B",37,3,0.0708034795560066,"no"
"GPR89C",37,3,0.0708034795560066,"no"
"TBX1",37,3,0.0716450181154349,"no"
"CACNA2D1",38,2,0.0729257536264101,"no"
"GNB2",37,3,0.0737513676150594,"no"
"C1QTNF9B",37,3,0.0743370798445358,"no"
"PTP4A3",37,3,0.0748478183253069,"no"
"LRRC59",38,2,0.0752310030737025,"no"
"TFRC",37,3,0.0790367545123245,"no"
"FABP7",38,2,0.0792292683129232,"no"
"HBBP1",38,2,0.0793828025112843,"no"
"PRDM7",38,2,0.0809366908856345,"no"
"BHLHA15",37,3,0.0815030831123646,"no"
"SPO11",35,5,0.0816378534316262,"no"
"ASNS",37,3,0.0839632855712292,"no"
"NDFIP2",38,2,0.0858347107657366,"no"
"CHRM2",38,2,0.0866635415083818,"no"
