"","#wt","#mut","pvalue","is_significant"
"KRAS",19,21,4.23482533629895e-07,"yes"
"SBK1",36,4,1.44356658095532e-05,"yes"
"IL6R",37,3,0.000351561789356985,"no"
"KIF2B",35,5,0.000498904153585875,"no"
"PYROXD1",36,4,0.000752281782461536,"no"
"USPL1",34,6,0.000935666247851184,"no"
"TP53",22,18,0.00133203476749074,"no"
"TNFRSF25",34,6,0.00174600599718134,"no"
"POLE2",37,3,0.00189645988337465,"no"
"CSMD1",24,16,0.00206404473652805,"no"
"DDX27",37,3,0.00211666292203135,"no"
"KCNK3",34,6,0.00218452166524462,"no"
"DNM2",34,6,0.00290305181503312,"no"
"GPR149",31,9,0.00294665996042031,"no"
"KEAP1",35,5,0.00327687771850066,"no"
"RASL10A",38,2,0.00355737137670242,"no"
"PDE5A",34,6,0.00359884079810523,"no"
"CIC",29,11,0.00367415328717918,"no"
"OLIG3",37,3,0.00395680787635919,"no"
"ASB4",37,3,0.00457084264824529,"no"
"SERPINE3",35,5,0.00462776163842954,"no"
"SDR9C7",36,4,0.00478521654553188,"no"
"IRX4",37,3,0.0053890471456399,"no"
"MCRS1",38,2,0.00568064406514605,"no"
"KAT8",37,3,0.00597859653078754,"no"
"F13A1",35,5,0.00630686139639673,"no"
"PDE4B",36,4,0.00661496409619702,"no"
"TENM4",29,11,0.00663978849308839,"no"
"LONP1",37,3,0.00676288200220847,"no"
"NDN",36,4,0.00732805404875067,"no"
"LRRC31",37,3,0.0078188928269475,"no"
"PPIL2",37,3,0.00784475682465518,"no"
"LATS1",35,5,0.00791394184623772,"no"
"TXK",37,3,0.00806444851073124,"no"
"BRAF",22,18,0.00860380158937892,"no"
"UBE2F",38,2,0.00887824474025451,"no"
"WDR65",37,3,0.00936846362170798,"no"
"TENC1",30,10,0.00962981823550393,"no"
"MGA",30,10,0.00967561622473858,"no"
"MAT2B",37,3,0.00985007455983461,"no"
"SRGAP1",37,3,0.0105433995250119,"no"
"CBS",34,6,0.0107035767682128,"no"
"CCNY",38,2,0.0111608992230856,"no"
"DDX3X",37,3,0.0111980422346771,"no"
"MAPKAPK2",36,4,0.0112574295450548,"no"
"ADRBK2",36,4,0.0112823306611469,"no"
"PRKCD",36,4,0.0114519099344623,"no"
"RNF40",36,4,0.011634912055422,"no"
"RAPSN",38,2,0.0117392063308492,"no"
"SLK",38,2,0.0118293542052855,"no"
"MALT1",36,4,0.0118781156488573,"no"
"UTY",37,3,0.0120018430004142,"no"
"STK4",37,3,0.0123223638429904,"no"
"TTC34",38,2,0.0124632953419427,"no"
"ALDH1B1",38,2,0.0140342001710583,"no"
"ATP11B",34,6,0.0142155908559456,"no"
"USP9X",35,5,0.0145103220032119,"no"
"ITGB6",37,3,0.0145572288823967,"no"
"GLUD2",34,6,0.0146617706569283,"no"
"RGL1",34,6,0.0155320106342709,"no"
"SH2D6",38,2,0.0156913928523157,"no"
"ANKS6",34,6,0.0157010142294766,"no"
"CTBP1",36,4,0.015903783376876,"no"
"SRM",38,2,0.0160505352431259,"no"
"TAF4B",37,3,0.0160982564854491,"no"
"CAMKV",36,4,0.0162345455043755,"no"
