"","#wt","#mut","pvalue","is_significant"
"RFXANK",38,2,0.00378332548260751,"no"
"ABCA10",36,4,0.00433333736015462,"no"
"CDX2",38,2,0.00526201989416841,"no"
"THRAP3",38,2,0.00702763051552358,"no"
"MYO3B",37,3,0.00729872940900478,"no"
"ANO1",37,3,0.00739533448413454,"no"
"PAN3",36,4,0.00798542376910627,"no"
"COL14A1",35,5,0.00901974224861446,"no"
"RAPGEF1",38,2,0.0100126596943535,"no"
"PRSS23",38,2,0.0104033586078752,"no"
"KDM5B",35,5,0.0110658174453775,"no"
"PHF3",34,6,0.0123448868810878,"no"
"TRIM46",37,3,0.0126011187026065,"no"
"SERPINE3",38,2,0.0126145992005453,"no"
"FCGBP",36,4,0.0139414232756502,"no"
"COL5A1",36,4,0.0142409485557795,"no"
"GABRG1",37,3,0.0150591905810449,"no"
"TEAD2",32,8,0.0157348825863506,"no"
"CSMD1",35,5,0.0160021423660297,"no"
"MAP1B",34,6,0.0164210527603843,"no"
"WDR19",35,5,0.0178874462600543,"no"
"MTSS1L",36,4,0.0180185487053828,"no"
"CLCA2",37,3,0.0180607417753991,"no"
"PMS1",37,3,0.0181561521563129,"no"
"PLEKHA4",38,2,0.0194271705029198,"no"
"BRIP1",37,3,0.0207193060390453,"no"
"PORCN",36,4,0.0232010209254565,"no"
"MATN3",38,2,0.0232862183674091,"no"
"TSC22D2",38,2,0.0250490557580003,"no"
"FGD5",37,3,0.0253550319472142,"no"
"IGSF9B",36,4,0.0256054467222779,"no"
"NR1H2",38,2,0.0264321580725813,"no"
"KSR2",37,3,0.0273318235861328,"no"
"RASGRP3",38,2,0.0282346551733937,"no"
"RAB3GAP2",37,3,0.0283536235013928,"no"
"SLC47A1",38,2,0.0287612067316637,"no"
"SEMA6B",38,2,0.0294376883351174,"no"
"KIF5C",37,3,0.031633944269003,"no"
"CASR",38,2,0.0316588999092098,"no"
"OPN4",38,2,0.0318080124784956,"no"
"SMARCAD1",38,2,0.0320665692771436,"no"
"TEAD1",38,2,0.0328665308251163,"no"
"NCOR2",32,8,0.0338180821746267,"no"
"ABCC12",38,2,0.0344822913357369,"no"
"NRK",38,2,0.0355368468096485,"no"
"CRTC1",38,2,0.0357513884870886,"no"
"HIPK2",38,2,0.0364969296924982,"no"
"MPP5",37,3,0.0367077411419021,"no"
"EDARADD",38,2,0.0396414797385041,"no"
"ANKRD44",38,2,0.0402795418192718,"no"
"NRCAM",37,3,0.0406557937489139,"no"
"ABL1",38,2,0.0411752252346684,"no"
"KLHL17",38,2,0.0412337270848941,"no"
"DGKG",38,2,0.0413083212121841,"no"
"SERPINB5",38,2,0.0413527664438679,"no"
"PDE3B",37,3,0.041711472371177,"no"
"DBF4",35,5,0.0418606181306475,"no"
"LAMA3",38,2,0.043332296403008,"no"
"KIF1A",38,2,0.0443329408751871,"no"
"PLXNA2",36,4,0.0450761648823221,"no"
"PHKA2",37,3,0.0453993681303102,"no"
"PIGZ",38,2,0.046270763882121,"no"
"WDR31",38,2,0.0462758628290679,"no"
"AEBP2",38,2,0.0464168194877852,"no"
"ABCD4",38,2,0.0471022778046111,"no"
"CLPTM1L",38,2,0.0490784485534358,"no"
