"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"CTNNB1",29,11,2.01988114765128e-12,"yes",8.75514127007673e-54,"up"
"ADSL",32,8,2.06705151231466e-12,"yes",8.37569070962268e-20,"up"
"YAP1",37,3,7.9583604289255e-12,"yes",2.16710779513741e-12,"up"
"LCN12",39,1,6.53365259083984e-11,"yes",1.02780477258631e-46,"up"
"SDCBP",38,2,4.65757598159905e-09,"yes",0.370944501866185,"down"
"IDH1",33,7,1.03567530823665e-08,"yes",0.0717565232505441,"down"
"CORO1B",37,3,3.52046494580419e-08,"yes",0.62685031658161,"down"
"RRN3P2",39,1,5.49310070878159e-08,"yes",0.992672458594902,"down"
"CDX2",35,5,5.8718668877969e-08,"yes",0.516229427287042,"down"
"HRH3",33,7,1.02868439217895e-07,"yes",0.241734915363152,"up"
"ATP6V1G2-DDX39B",36,4,1.24471861875356e-07,"yes",0.271723920135448,"down"
"SDHC",40,0,1.31040566675105e-07,"yes",3.94211710763368e-05,"down"
"RRN3P1",40,0,1.39962610803514e-07,"yes",1.72422573851316e-25,"up"
"CSNK1A1",38,2,1.6919533822586e-07,"yes",0.0279485834779142,"up"
"PPAT",39,1,1.83143439874189e-07,"yes",1.21636631661149e-117,"up"
"RRN3",37,3,2.16620203620467e-07,"yes",1.13950675572588e-16,"up"
"TFRC",35,5,2.44510781288087e-07,"yes",4.03408875980002e-11,"up"
"CHML",36,4,2.50877001361404e-07,"yes",1.87439045532055e-32,"up"
"FERMT1",33,7,2.60469577868157e-07,"yes",2.23494372969071e-80,"up"
"GREB1",29,11,2.68689456149076e-07,"yes",1.12488310625361e-25,"up"
"PDK3",39,1,3.62934409638493e-07,"yes",2.0095558024058e-30,"up"
"GATA6",33,7,3.80275140089487e-07,"yes",0.381223843498387,"up"
"MAPKAP1",36,4,4.3588027323705e-07,"yes",0.00739576785479214,"up"
"WNK1",27,13,4.79441221591054e-07,"yes",7.7622351031674e-05,"up"
"UBA2",36,4,5.22172055060219e-07,"yes",2.58425872213459e-46,"up"
"GRB7",38,2,5.26619526003438e-07,"yes",8.65607649105423e-11,"up"
"TCF7L2",27,13,5.91162277355354e-07,"yes",9.20523794562807e-10,"down"
"MAGED4B",40,0,8.11122549929186e-07,"yes",0.747134723385032,"down"
"MAGED4",40,0,8.11122549929186e-07,"yes",0.649363492154467,"up"
"CIT",26,14,8.93829013489601e-07,"yes",1.53833389690169e-35,"up"
"TACSTD2",37,3,9.15865274145412e-07,"yes",1.47421285055956e-34,"up"
"ADRBK1",36,4,9.55000986527627e-07,"yes",NA,NA
"GABRE",38,2,1.04874045935513e-06,"yes",1.61185126581439e-74,"up"
"SCN2B",38,2,1.1240014842335e-06,"yes",2.98222873856934e-08,"down"
"SMAD4",27,13,1.15107943089061e-06,"yes",1.19350041020091e-15,"down"
"IRF1",39,1,1.2456606889553e-06,"yes",0.696578171395293,"down"
"FAM20B",38,2,1.33641991898329e-06,"yes",0.00624109046491,"down"
"TOP2A",33,7,1.64141440383331e-06,"yes",1.27156131113716e-60,"up"
"MED12",30,10,1.69692271274861e-06,"yes",2.13852366166932e-09,"up"
"SHOX2",35,5,2.21718261733737e-06,"yes",8.3438619030757e-13,"up"
"ATP2A3",35,5,2.38796188147995e-06,"yes",1.30807162185538e-17,"down"
"WDHD1",38,2,2.4027453797644e-06,"yes",6.51118607721377e-43,"up"
"BIRC5",36,4,2.43094460783664e-06,"yes",5.9639351111311e-44,"up"
"CCNJL",34,6,2.61897707009701e-06,"yes",1.39312062219984e-10,"down"
"DDX39B",33,7,2.90402015040038e-06,"yes",1.02174072235931e-20,"up"
"VIT",34,6,3.07304554409405e-06,"yes",4.34199637550469e-11,"down"
"CD46",36,4,3.09857971390538e-06,"yes",9.86069258367652e-87,"up"
"CS",35,5,3.58747196055694e-06,"yes",0.0109945661416345,"down"
"WEE1",36,4,3.61089646455354e-06,"yes",6.93788692512719e-17,"up"
"NACC1",35,5,3.74827634507447e-06,"yes",6.13141133771889e-08,"up"
"ATN1",31,9,3.79211936665903e-06,"yes",0.0779659645841648,"down"
"CD79B",39,1,3.99125730821081e-06,"yes",1.43759694139039e-05,"down"
"KLHL17",33,7,3.9991873805454e-06,"yes",2.72639228991269e-75,"up"
"GSK3B",33,7,4.60630636209569e-06,"yes",8.35795728741883e-19,"up"
"AHCTF1",28,12,4.65302749660978e-06,"yes",5.79288165879859e-28,"up"
"GTF3C3",35,5,4.79659605454475e-06,"yes",7.95795314820228e-57,"up"
"CCR2",36,4,5.17224742088337e-06,"yes",1.89028928493053e-14,"down"
"DDX47",36,4,5.6398931634818e-06,"yes",4.17543378168624e-17,"up"
