"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"FERMT2",36,4,1.73158776206606e-09,"yes",6.50674015098185e-05,"down"
"WWTR1",36,4,2.64644151037885e-09,"yes",0.000116154632508613,"down"
"CBX5",36,4,3.9014004249438e-09,"yes",2.26704356962985e-16,"up"
"CDC42",37,3,7.25067417217673e-09,"yes",4.70104585250503e-13,"down"
"WFIKKN1",36,4,2.75071906363777e-08,"yes",0.000502360919032288,"up"
"C5AR1",36,4,4.39186215173137e-08,"yes",0.145593963502499,"up"
"CHMP4C",36,4,9.01738332892421e-08,"yes",1.00376958880619e-21,"up"
"ZNF24",36,4,2.3508504642944e-07,"yes",2.7182499217938e-13,"down"
"SMURF2",37,3,3.35645156002151e-07,"yes",2.49373191391889e-10,"up"
"SDHAF2",38,2,3.40549389687972e-07,"yes",0.000663772855250782,"up"
"MTAP",34,6,4.81225648440997e-07,"yes",6.89089559440438e-60,"up"
"TSNARE1",37,3,7.26783827231792e-07,"yes",9.04610785345635e-57,"up"
"BCKDK",36,4,7.80427812707707e-07,"yes",2.83629297722436e-09,"up"
"SNAP29",38,2,8.99898349060457e-07,"yes",2.78547182702457e-29,"down"
"FRMD3",37,3,1.04978988091364e-06,"yes",3.50749771824546e-17,"down"
"HBP1",37,3,1.07981444874561e-06,"yes",1.86779463803832e-06,"down"
"USPL1",32,8,1.28585104930412e-06,"yes",5.68672040885923e-69,"up"
"AMT",36,4,1.50058255143914e-06,"yes",1.33575792783919e-15,"down"
"HDAC6",36,4,2.36499032379989e-06,"yes",1.60702251037174e-05,"up"
"LATS1",30,10,2.37867362229416e-06,"yes",0.00190851690401585,"up"
"UBE2R2",40,0,3.15021757013589e-06,"yes",1.12531746716687e-30,"up"
"DUSP14",38,2,3.87851488037327e-06,"yes",1.03375312457593e-45,"up"
"B3GNT7",40,0,4.83756502400734e-06,"yes",1.22015249555637e-08,"down"
"CDX4",38,2,5.06957573720435e-06,"yes",0.080739758198502,"up"
"ACTA2",38,2,5.53144103498937e-06,"yes",0.00176826984222775,"down"
"MICB",35,5,5.69145820716876e-06,"yes",5.38569436786162e-17,"up"
"CP",30,10,5.84532171765684e-06,"yes",4.08330751027603e-14,"down"
"VDAC2",38,2,6.36527180286617e-06,"yes",1.74116667001393e-09,"down"
"PRDM7",34,6,6.73167313514078e-06,"yes",8.061647389474e-05,"up"
"MECR",35,5,6.7721650767183e-06,"yes",3.90134485367692e-26,"up"
"RAG2",35,5,6.89431926348405e-06,"yes",2.26589732686541e-06,"up"
"MDS2",39,1,9.94084905336923e-06,"yes",2.71368876241366e-15,"up"
"TXN",38,2,1.03526529888764e-05,"yes",1.20252395896816e-06,"up"
"ERMAP",36,4,1.09304680829814e-05,"yes",1.10415434166071e-07,"down"
"RAB40C",38,2,1.13367107913431e-05,"yes",0.000679016776133777,"up"
"PRKCD",35,5,1.13988224356154e-05,"yes",5.3913977184724e-10,"down"
"L3MBTL4",33,7,1.33345345495473e-05,"yes",0.822468904017786,"up"
"GJD3",38,2,1.40882981135571e-05,"yes",1.34157882348281e-05,"up"
"CDK19",35,5,1.49130223567884e-05,"yes",0.00453739086269677,"down"
"BTN1A1",37,3,1.54271733378009e-05,"yes",1.3031043675883e-05,"up"
"PDE11A",33,7,1.60102112319871e-05,"yes",0.667851529459735,"down"
"ADPRM",39,1,1.60852489419216e-05,"yes",0.00917472024493999,"down"
"ANKLE2",32,8,1.70154153272817e-05,"yes",5.58089226642747e-42,"up"
"ARL14",36,4,1.7280463636471e-05,"yes",7.89564843873212e-11,"down"
"GBX2",38,2,1.7444945620726e-05,"yes",3.93291129261372e-24,"up"
"MXD1",39,1,1.74859418775597e-05,"yes",7.82957938243885e-13,"down"
"CDKAL1",35,5,1.86733117433224e-05,"yes",4.09859229321401e-38,"up"
"HLX",40,0,2.00556851842615e-05,"yes",0.000564463859536402,"down"
"TMEM130",30,10,2.08504922242225e-05,"yes",2.86580801879115e-08,"down"
"STK33",34,6,2.23618091107491e-05,"yes",0.00933123027228926,"down"
"CNGA1",38,2,2.32873464075523e-05,"yes",3.85340147768229e-08,"down"
"GPIHBP1",38,2,2.4102445653984e-05,"yes",4.66161758759262e-07,"down"
"FGF3",38,2,2.42851970453373e-05,"yes",5.13687835032719e-05,"up"
"SEMA3D",37,3,2.48397733352279e-05,"yes",4.66935598567786e-14,"down"
"DDX28",35,5,2.67088513093983e-05,"yes",4.95494119633116e-31,"up"
"TRIM13",36,4,2.7252495838237e-05,"yes",0.000229438989293377,"up"
"KIAA1549",20,20,2.77747629340297e-05,"yes",1.4683592556577e-165,"up"
"TERT",35,5,2.86041254463631e-05,"yes",2.33942774563344e-37,"up"
"HDAC11",39,1,2.90340969680836e-05,"yes",0.0401240753265062,"up"
"KCNF1",36,4,2.97814324974333e-05,"yes",0.000314441274700573,"down"
"FKBP14",34,6,3.00719457755338e-05,"yes",1.44765295693216e-12,"up"
"SREK1IP1",39,1,3.34749164914161e-05,"yes",0.0012966349916062,"up"
"MIB1",35,5,3.54256251835494e-05,"yes",0.278268656443239,"up"
"SPEN",25,15,3.69853624534455e-05,"yes",0.738838094490419,"up"
"GLDN",36,4,3.80590542053971e-05,"yes",1.82805327113525e-07,"down"
"MLNR",32,8,3.89902451177759e-05,"yes",0.248461347020923,"down"
