"","#wt","#mut","pvalue","is_significant"
"RBM38",9,3,0.0052493493383356,"no"
"TMEM189-UBE2V1",10,2,0.00559726232675325,"no"
"JMJD8",10,2,0.00879352437302451,"no"
"FBXL20",10,2,0.0100101845044515,"no"
"UCKL1",8,4,0.0103729878186156,"no"
"MST1P2",10,2,0.0117458688180658,"no"
"OR2T35",9,3,0.0224945161300841,"no"
"PTK6",8,4,0.0225679061137871,"no"
"PAX8",9,3,0.0302862188228261,"no"
"FAM210B",9,3,0.0308578650350774,"no"
"KCTD5",10,2,0.0313723989329988,"no"
"BIRC7",8,4,0.0389249860632657,"no"
"MECOM",10,2,0.041203375962891,"no"
"COL1A2",9,3,0.0497803341268495,"no"
"CYP24A1",9,3,0.0630666365761939,"no"
"COL9A3",8,4,0.065602855181135,"no"
"DLG1",8,4,0.072381485232996,"no"
"MFI2",8,4,0.0725719827614428,"no"
"GNAS",9,3,0.076622586922076,"no"
"APCDD1L",9,3,0.0768525377693372,"no"
"ASB4",10,2,0.07972263409345,"no"
"RABL2A",10,2,0.0824664296895784,"no"
"CCDC132",10,2,0.0826725401587502,"no"
"LASP1",10,2,0.0854088206705312,"no"
"RRN3",9,3,0.0855941098148766,"no"
"CSNK1D",10,2,0.0926648605293541,"no"
"ARFRP1",8,4,0.0960010474709959,"no"
"PLEKHF1",10,2,0.0961848921026626,"no"
"BTNL8",10,2,0.0990795559922878,"no"
"RAB32",10,2,0.101658844021658,"no"
"ANKRD65",10,2,0.106441662860436,"no"
"CCNE1",10,2,0.11132039996707,"no"
"EIF5AL1",10,2,0.116572573737123,"no"
"IQCG",6,6,0.117981339505022,"no"
"POFUT2",10,2,0.120427999483893,"no"
"MAP3K11",10,2,0.123506504464365,"no"
"TDRD12",10,2,0.12458991167669,"no"
"PGAP3",10,2,0.125400681434269,"no"
"OR2T34",6,6,0.131431602036457,"no"
"ARL17A",6,6,0.135157077369157,"no"
"ARL17B",6,6,0.135157077369157,"no"
"SLC25A13",10,2,0.137397592015668,"no"
"SIM1",10,2,0.14405327111807,"no"
"OR2T29",10,2,0.148688230661227,"no"
"CEBPB",10,2,0.149293038526707,"no"
"GSTM2",8,4,0.15078286480059,"no"
"SLC13A3",10,2,0.152616131910396,"no"
"GSTT1",9,3,0.153067758088468,"no"
"BDP1",10,2,0.157450347857954,"no"
"TAS1R3",10,2,0.159825334887087,"no"
"GNGT1",10,2,0.161627709145632,"no"
"ESPNP",9,3,0.161829423427988,"no"
"CCL4L1",10,2,0.166967912744606,"no"
"CCL4L2",10,2,0.166967912744606,"no"
"DLX5",10,2,0.169555701211151,"no"
"COL20A1",8,4,0.184244332999244,"no"
"MKL2",10,2,0.193888721271398,"no"
"TP53RK",10,2,0.195261400969991,"no"
"PAK2",8,4,0.197868418053197,"no"
"NTSR1",8,4,0.203091988961869,"no"
"LOC647859",10,2,0.204874721923461,"no"
"SERPINI2",10,2,0.205501252507173,"no"
"BMPR2",7,5,0.208402317412214,"no"
"TNFRSF4",10,2,0.208403863368558,"no"
"MGAT1",10,2,0.209073842351235,"no"
"ANKIB1",9,3,0.213317794373865,"no"
"HOXB2",10,2,0.213976986823735,"no"
"NINJ2",10,2,0.214321293485895,"no"
"PMEPA1",9,3,0.214677157334257,"no"
"HRASLS",9,3,0.215517990630745,"no"
"OR2T10",4,8,0.217711930273462,"no"
"IL1B",10,2,0.223863860650492,"no"
"NKAIN4",8,4,0.228064621294109,"no"
"PHF10",10,2,0.228439036998676,"no"
"ARL5C",10,2,0.231665050898413,"no"
"SRMS",8,4,0.23245538302291,"no"
"C3orf43",8,4,0.238395821762839,"no"
"MLLT4",10,2,0.241268223549826,"no"
"GRB7",10,2,0.242510584452772,"no"
"KCNJ12",10,2,0.243061510417443,"no"
"CCNC",10,2,0.244247111997039,"no"
"OSBPL2",8,4,0.245759622243827,"no"
"ZMYND8",10,2,0.250125362520644,"no"
"ASPSCR1",10,2,0.255309045353438,"no"
"SPO11",9,3,0.25536324647392,"no"
"ALDH1A3",10,2,0.256041900717485,"no"
"NMBR",10,2,0.258836201297206,"no"
"ITGB2",10,2,0.264554605883572,"no"
"DYNC1I1",10,2,0.266442229146398,"no"
"PFKL",10,2,0.282939400822127,"no"
"TBP",10,2,0.284227002707406,"no"
"ERBB2",10,2,0.286135895035557,"no"
"SFTPA2",10,2,0.298275954960357,"no"
"HEPACAM2",10,2,0.300498652338007,"no"
"MIR200A",10,2,0.300837785144716,"no"
"TFAP2C",9,3,0.30209279332525,"no"
"NCBP2",8,4,0.305532936256674,"no"
"OR2T11",4,8,0.307157886299595,"no"
"ABCC6",10,2,0.307302288292539,"no"
"CBLN4",9,3,0.312219299951079,"no"
"UTP15",10,2,0.313435701068556,"no"
"MDC1",10,2,0.313689045098701,"no"
"GSTM1",9,3,0.315089455767595,"no"
"SCNN1D",10,2,0.316770752353347,"no"
"MMP9",10,2,0.318183174054626,"no"
"LIME1",8,4,0.319792068493831,"no"
"UBE2J2",10,2,0.320074439768022,"no"
"COL18A1",10,2,0.321574575922035,"no"
"WFIKKN1",10,2,0.324326653146274,"no"
"NPBWR2",8,4,0.324578396123046,"no"
"CBWD1",10,2,0.330295478770268,"no"
"MAP2K3",10,2,0.335183130142357,"no"
"SLC2A4RG",8,4,0.336771903879623,"no"
"RALYL",10,2,0.337281608528816,"no"
"AXIN1",10,2,0.350257348083561,"no"
"CFH",9,3,0.354928495002387,"no"
"FMN2",8,4,0.356885731209771,"no"
"HIVEP2",10,2,0.366107026990565,"no"
"WDR49",10,2,0.368435546020567,"no"
"FCHO2",10,2,0.369614004965567,"no"
"NCOA5",10,2,0.37204864749429,"no"
"ATAD3B",10,2,0.373083166407391,"no"
"USP45",10,2,0.373502175736306,"no"
"CABLES2",8,4,0.373786335067589,"no"
"SCYL1",10,2,0.376316066497241,"no"
"SLC16A3",10,2,0.381790819021229,"no"
"WDR88",10,2,0.384064958945631,"no"
"NUDT19",10,2,0.385595874415521,"no"
"TFRC",8,4,0.38728353754025,"no"
"GNG11",10,2,0.387964429949612,"no"
"VAPB",9,3,0.389703008848686,"no"
"LRRK1",10,2,0.390324937103595,"no"
"ATAD3A",10,2,0.391863468475915,"no"
"CBWD2",9,3,0.398137827765244,"no"
"LAMA5",8,4,0.403887406134809,"no"
"ATP2A1",10,2,0.405106479644408,"no"
"WDR24",10,2,0.408888997216814,"no"
"TMEM189",10,2,0.411157858040768,"no"
"ARHGAP23",10,2,0.419410439111029,"no"
"SLC26A3",10,2,0.421132046739376,"no"
"RAB40C",10,2,0.421425521709003,"no"
"PREX1",10,2,0.421948790010007,"no"
"MEF2A",10,2,0.422868061292012,"no"
"RHOT2",10,2,0.425423968312914,"no"
"CYP51A1",9,3,0.425906896267931,"no"
"DHX16",10,2,0.42736874237861,"no"
"ATP9A",9,3,0.431042596810428,"no"
