"","#wt","#mut","pvalue","is_significant"
"ALX4",10,2,0.00209934839646872,"no"
"LCP1",10,2,0.00320597580152131,"no"
"AR",10,2,0.00355697045835518,"no"
"GTF3C1",9,3,0.00548943327272761,"no"
"ZFHX3",9,3,0.00554107022162951,"no"
"NOTCH3",7,5,0.00677621342706403,"no"
"CTNNB1",7,5,0.00782786178709239,"no"
"PIK3CA",5,7,0.00818870620045356,"no"
"GPR65",10,2,0.00923071942921943,"no"
"NR3C2",10,2,0.0095919085649812,"no"
"CDRT1",10,2,0.00959814398044048,"no"
"ZNF197",9,3,0.0112738021384479,"no"
"COL4A3",7,5,0.0116692995280812,"no"
"KSR2",9,3,0.011861992439165,"no"
"NFAT5",10,2,0.0125169051237091,"no"
"RAPGEF1",8,4,0.012967890263854,"no"
"SOX3",8,4,0.0131353170615944,"no"
"ZEB2",10,2,0.0137434987907404,"no"
"SQSTM1",9,3,0.014041264131511,"no"
"SLC47A1",10,2,0.0149321274046427,"no"
"PRKDC",8,4,0.0151423330566351,"no"
"GALK1",10,2,0.0152998316098893,"no"
"PSAT1",10,2,0.0153229232888596,"no"
"ZGPAT",9,3,0.0157986714899836,"no"
"SETDB1",8,4,0.0165802846612899,"no"
"BRCA1",9,3,0.0181543133181141,"no"
"RALGAPB",9,3,0.0183591111814685,"no"
"BCAM",9,3,0.0185882920665548,"no"
"TNFAIP1",9,3,0.0190787435292464,"no"
"PKP3",8,4,0.019764403168232,"no"
"SPO11",10,2,0.0199243723760803,"no"
"FOXG1",10,2,0.0206293197939873,"no"
"DRD3",10,2,0.0209292339312675,"no"
"PRMT1",10,2,0.0216343842471732,"no"
"LRRC8A",10,2,0.0231076392415468,"no"
"CLTCL1",10,2,0.0247971318856009,"no"
"FGFR2",7,5,0.0249959232458173,"no"
"LRG1",10,2,0.0253408427541739,"no"
"TOPBP1",9,3,0.0256183966610882,"no"
"PPP1R10",10,2,0.0260910305721967,"no"
"ZMYM2",10,2,0.0266970407799505,"no"
"BRWD3",10,2,0.027725306481248,"no"
"KIAA1875",8,4,0.0285729371087576,"no"
"PIDD",10,2,0.0286524123693937,"no"
"NTNG1",10,2,0.028985888841894,"no"
"TP53BP2",9,3,0.0290936574275764,"no"
"L3MBTL2",9,3,0.0310693018297353,"no"
"RNF168",10,2,0.0311352280339244,"no"
"CHFR",9,3,0.0313258423661173,"no"
"AGAP3",10,2,0.0315302100235783,"no"
"DIDO1",8,4,0.0327560218477096,"no"
"SVIL",9,3,0.0334582844860175,"no"
"KIF6",7,5,0.0337553678205679,"no"
"MTMR3",10,2,0.0345316742328179,"no"
"KCNK5",9,3,0.0345687742781352,"no"
"LRP4",6,6,0.0346374757670696,"no"
"POLE",7,5,0.0352866710488223,"no"
"FBXW10",9,3,0.0372468661257835,"no"
"KLF2",10,2,0.0373898133741478,"no"
"DOCK10",8,4,0.0374823655035858,"no"
"RASGRP1",10,2,0.0376619207319021,"no"
"LHX6",10,2,0.0379522855354149,"no"
"RASGRP4",10,2,0.0382747892496944,"no"
"ABCC5",9,3,0.0383996911991211,"no"
"SH2D2A",9,3,0.0387208932453855,"no"
"SIGLEC1",9,3,0.0387805969169015,"no"
"ACOX3",10,2,0.0395449689724707,"no"
"STXBP5",9,3,0.0401689497852183,"no"
"BDP1",8,4,0.040342101130687,"no"
"PTGIR",9,3,0.0411386728250193,"no"
"SCMH1",10,2,0.0413215340332587,"no"
"SORL1",8,4,0.0427569993541041,"no"
"GBX2",10,2,0.042834136880366,"no"
"RGL2",10,2,0.0441617141688948,"no"
