"","#wt","#mut","pvalue","is_significant"
"WDR49",10,2,0.000765021951689482,"yes"
"DHX29",10,2,0.00110432646280012,"yes"
"SI",10,2,0.00250673448918115,"no"
"ARHGAP39",10,2,0.00329988154588212,"no"
"MEOX2",10,2,0.00372230680228636,"no"
"BRD3",10,2,0.00451284432400145,"no"
"ARPC1A",10,2,0.00482241113131965,"no"
"SOX3",10,2,0.00530357683971094,"no"
"KIF26A",10,2,0.00589863420176284,"no"
"XPO4",10,2,0.0099780148487133,"no"
"GPR162",10,2,0.0110976035028603,"no"
"MED25",9,3,0.0142796944836744,"no"
"EED",10,2,0.0155552656930659,"no"
"TNKS2",10,2,0.0187933549536035,"no"
"ZFP36L2",10,2,0.0231556290070488,"no"
"WDR70",10,2,0.030723166766719,"no"
"PIK3CD",10,2,0.0311559308194015,"no"
"AKAP8",10,2,0.0317784476150207,"no"
"CDC20",10,2,0.0355449043336911,"no"
"FOXC1",10,2,0.0391772362179377,"no"
"CALD1",10,2,0.0421731382340371,"no"
"COL4A5",10,2,0.0446089641227488,"no"
"LAMA5",7,5,0.0464392970743848,"no"
"DDX17",10,2,0.0484818049461284,"no"
"SETD1A",10,2,0.0553775217759113,"no"
"PEX1",10,2,0.0556253340235081,"no"
"NR1H2",10,2,0.0593372036303639,"no"
"SDSL",10,2,0.0655143790036057,"no"
"NBEA",9,3,0.0682843875259032,"no"
"SLTM",10,2,0.0699066072833576,"no"
"PABPC4",10,2,0.0722747615068473,"no"
"CDKN1A",10,2,0.0736744561302209,"no"
"ST18",9,3,0.0745556293087437,"no"
"KIF18A",10,2,0.0814681803936642,"no"
"ZFP36L1",10,2,0.0814902835373591,"no"
"HECTD1",10,2,0.0816395750019023,"no"
"WDR72",10,2,0.0827171456148679,"no"
"MYSM1",10,2,0.0862470851807339,"no"
"MLXIP",10,2,0.086573455496349,"no"
"MBD6",5,7,0.0868454107436585,"no"
"CENPE",10,2,0.0889079802356598,"no"
"ZDHHC17",10,2,0.0894740602417461,"no"
"GJA1",10,2,0.0968578104676167,"no"
"KANSL3",10,2,0.0995648668676701,"no"
"JAK1",6,6,0.105006871013086,"no"
"HUNK",10,2,0.108010158201132,"no"
"UBR5",9,3,0.108430051342491,"no"
"USP20",10,2,0.109644811727743,"no"
"FOXI1",9,3,0.113119827163934,"no"
"HCN4",9,3,0.114360662326117,"no"
"RAB40C",10,2,0.116463286378909,"no"
"WDTC1",6,6,0.117239511313878,"no"
"TRIP12",10,2,0.117373538088606,"no"
"C17orf80",10,2,0.118853656372078,"no"
"PPP2R2A",10,2,0.121761909870832,"no"
"CTTNBP2",10,2,0.123598347901884,"no"
"TBC1D21",10,2,0.124440887689867,"no"
"ASAP2",10,2,0.126429114662046,"no"
"PHF20L1",8,4,0.127305711741313,"no"
"PHF3",9,3,0.12862754556771,"no"
"ABCA13",9,3,0.132286333983254,"no"
"FLT4",10,2,0.132627020357971,"no"
"PRDM1",10,2,0.133622249494595,"no"
"CAND1",10,2,0.137112563153317,"no"
