"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"ASNS",11,1,9.9315457390959e-06,"yes",2.57606689556062e-25,"up"
"MMP8",10,2,2.57106619519298e-05,"yes",0.367311268373262,"up"
"DDX27",8,4,4.52731318352149e-05,"yes",2.67797154831928e-07,"up"
"NR1H2",8,4,6.15661576174479e-05,"yes",0.00469768102632288,"down"
"DHX29",9,3,0.000110133877726575,"yes",0.0134289189696738,"down"
"SMARCC2",9,3,0.000120371462088768,"yes",0.00696533416401756,"down"
"WDR70",8,4,0.000135612233400107,"yes",0.434398029593531,"up"
"PTENP1",11,1,0.000142291054084429,"yes",0.000114189329045743,"down"
"CEBPZ",10,2,0.000153638972216455,"no",0.000197781893166048,"down"
"MAP4K1",10,2,0.000256247876755637,"no",1.19022024186221e-16,"up"
"ELP3",11,1,0.000264478117566222,"no",8.76020557280811e-23,"up"
"PRDM7",10,2,0.000265387797068552,"no",0.00095862616686568,"up"
"WDR74",9,3,0.000320354428237238,"no",5.35911195884844e-06,"up"
"UBE2G1",12,0,0.000369927018780408,"no",0.321517627721742,"up"
"FLOT2",11,1,0.000370231466763597,"no",1.12761836429622e-17,"up"
"GNB1L",10,2,0.000377652356254771,"no",4.80137247809835e-11,"up"
"BCLAF1",9,3,0.000383835108753555,"no",5.7128231792751e-05,"down"
"SRSF2",12,0,0.000577351528061138,"no",0.000126877193791387,"up"
"SERPINE3",11,1,0.000592271414720544,"no",0.819998213884792,"down"
"SRSF7",11,1,0.000677277465749111,"no",0.00199585702727793,"up"
"ANKS6",7,5,0.000681447745174196,"no",0.0250727254948961,"up"
"ST18",9,3,0.00075141700393711,"no",0.0121712053538962,"up"
"NSFP1",4,8,0.000796634049942883,"no",NA,NA
"RAB3GAP2",11,1,0.000823224302439958,"no",0.339370639364822,"up"
"NEDD8-MDP1",12,0,0.000955917372835078,"no",0.0667189421466393,"up"
"C1QC",10,2,0.000962053925293012,"no",1.23320967433507e-08,"up"
"DDX39B",9,3,0.00110269982361198,"no",0.123718177804938,"up"
"RRAS",9,3,0.00114555498178877,"no",7.46596365174378e-09,"down"
"FOXF2",9,3,0.00119354903270298,"no",4.05909784741199e-13,"up"
"XPR1",11,1,0.00129716333336827,"no",3.90148569387245e-18,"up"
"SRP19",12,0,0.00130830823729031,"no",3.72978135289781e-06,"up"
"TNS3",12,0,0.00143619345499115,"no",0.221334426074609,"down"
"LGSN",10,2,0.00150590176035237,"no",1.84591642773821e-22,"up"
"DCAF12L1",12,0,0.00156592165164004,"no",0.312335004979085,"down"
"GNG12",11,1,0.00158785040918271,"no",1.66429484549473e-09,"down"
"CTNNBL1",11,1,0.00164031485860025,"no",0.58453841391357,"down"
"MAP1LC3C",12,0,0.00169474923897102,"no",0.00130076308670506,"up"
"ATP1A1",9,3,0.00170686199190366,"no",4.93485278016959e-20,"up"
"TMPRSS4",11,1,0.00175790067944044,"no",2.19431956723235e-84,"up"
"DUSP13",10,2,0.00175848774743024,"no",9.07946153180996e-07,"up"
"VCAN",5,7,0.00180142927121189,"no",0.531302005934222,"up"
"SH3RF1",10,2,0.00188583134189628,"no",1.83495441861711e-08,"up"
"STK19",10,2,0.00197672357966816,"no",0.9197271145801,"up"
"PPP1R14B",11,1,0.00208307841661075,"no",4.57269316358499e-18,"up"
"JUND",11,1,0.00210959927926419,"no",0.00945887771594398,"down"
"FKBP4",11,1,0.00216292421856318,"no",4.4961108527566e-15,"up"
"PPIL1",10,2,0.0021661792078935,"no",1.10307682727376e-10,"up"
"MAP3K3",10,2,0.00216811235799926,"no",3.69769588295779e-15,"down"
"KIF26A",7,5,0.00223790080675329,"no",6.06494821622328e-08,"down"
"TXN",12,0,0.00225547101524892,"no",5.08414789911789e-06,"up"
"VMP1",11,1,0.00227312687340214,"no",0.252087812755209,"up"
