"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"ACTL6A",10,2,5.33763644938734e-06,"yes",1.46306007469557e-16,"up"
"RAPGEF1",8,4,3.4794198592758e-05,"yes",4.54373560953246e-07,"down"
"MAGEA12",11,1,3.8162256748242e-05,"yes",4.38496656141394e-05,"up"
"METTL1",12,0,6.39802072216478e-05,"yes",2.58089214947904e-05,"up"
"CHAF1B",11,1,7.08510879506852e-05,"yes",4.94526292025375e-31,"up"
"SRPX",12,0,9.5296255475108e-05,"yes",2.62745134850467e-06,"down"
"FOXP2",8,4,0.000126953431383026,"yes",7.79714110618425e-06,"down"
"SIX3",9,3,0.000228358635777415,"no",4.45674096556835e-07,"up"
"SMAD9",11,1,0.000247356768971585,"no",2.25946165932084e-05,"down"
"MST1P2",9,3,0.000271535733721739,"no",4.17379170843625e-09,"up"
"F13A1",10,2,0.000290285342702368,"no",0.0226833825617303,"down"
"RGL2",10,2,0.000340565048152941,"no",3.10038987599906e-23,"up"
"F2RL3",12,0,0.000343932959149806,"no",1.602347943274e-05,"up"
"MED1",6,6,0.000368027419819783,"no",0.0300994421024934,"down"
"ANKK1",11,1,0.000376748753232903,"no",0.565360469794772,"up"
"HIST1H1T",10,2,0.000383353567651179,"no",9.56065950284996e-16,"up"
"LOC101060230",12,0,0.000387724493168928,"no",NA,NA
"CLOCK",9,3,0.000516869917052687,"no",2.99850806539203e-07,"down"
"PPP1CB",11,1,0.000562493620145155,"no",0.0779972605663114,"down"
"PRKAB1",12,0,0.000720371202872161,"no",8.10716142673074e-07,"up"
"DDX58",10,2,0.000786479515385463,"no",2.53585273824361e-06,"up"
"LOC728554",10,2,0.000848333958393566,"no",NA,NA
"UBE2Q2",10,2,0.0008943860414381,"no",6.57401562353114e-06,"down"
"MUSK",11,1,0.000957044591363143,"no",0.0278926085263623,"up"
"TJP1",9,3,0.00103269568223108,"no",2.43642203201025e-07,"down"
"WNT10B",11,1,0.00105320303608325,"no",0.00170468742437039,"up"
"ADCK5",7,5,0.00106098857961945,"no",2.05013652970382e-13,"up"
"MST1",12,0,0.00110154833366494,"no",1.94560635629416e-06,"up"
"RFWD2",10,2,0.00111861520012169,"no",3.38849909185408e-17,"up"
"ACTR8",11,1,0.00116341687890176,"no",8.89865755274903e-17,"up"
"RIOK3",10,2,0.0011925191987735,"no",0.164808770076885,"up"
"GZMB",12,0,0.00123434364817998,"no",0.490151475753135,"up"
"PRKRA",12,0,0.00133244766649365,"no",0.0729980829035321,"up"
"AFF1",9,3,0.00134275993410782,"no",2.36691654904318e-08,"down"
"WDFY2",12,0,0.00134598619435333,"no",0.834115763869185,"up"
"ZNF197",9,3,0.00137076968672767,"no",3.77142410068975e-06,"down"
"HIST1H1B",9,3,0.00149095768354601,"no",0.0247908985192945,"up"
"TSC22D2",9,3,0.00150799234200816,"no",1.02229943507034e-05,"down"
"MED30",10,2,0.00152949847707207,"no",6.70070040255823e-05,"down"
"PRDM14",11,1,0.00163225463851779,"no",0.397187062285022,"up"
"CDK8",12,0,0.00166944784323464,"no",5.78924882616063e-07,"up"
"CHRNA3",12,0,0.00179937100158933,"no",0.0698179258679141,"up"
"DMAP1",11,1,0.00195591904640802,"no",0.000877787500216698,"up"
"HDAC3",11,1,0.00208307841657529,"no",0.157690863671032,"up"
