"","#wt","#mut","pvalue","is_significant"
"FBXL20",13,2,0.00106232809544272,"yes"
"OSBPL2",11,4,0.00149366050000391,"yes"
"NRXN3",13,2,0.00375664731409441,"no"
"TCF15",13,2,0.00378238494881719,"no"
"CREB3L1",12,3,0.00773408445300802,"no"
"AKT1",13,2,0.00817685744189328,"no"
"CYP11B2",11,4,0.0141296446727662,"no"
"HSF1",11,4,0.0143063979790764,"no"
"KCNG1",13,2,0.0173377180738861,"no"
"AHCY",13,2,0.0178604301906847,"no"
"RAB22A",13,2,0.0228465467691175,"no"
"SLC1A2",13,2,0.0231700451117999,"no"
"ARHGAP1",13,2,0.0247131627954926,"no"
"SERPINA4",13,2,0.0264180858950778,"no"
"CHMP4C",12,3,0.0275317615008155,"no"
"TMEM71",11,4,0.0294718346449025,"no"
"COL28A1",12,3,0.0302388006955474,"no"
"GLI3",13,2,0.030875881454961,"no"
"SDC2",12,3,0.0347481518623039,"no"
"ESPNP",13,2,0.0371731480265004,"no"
"UBE2V1",12,3,0.0383877364473872,"no"
"TMEM189-UBE2V1",12,3,0.0383877364473872,"no"
"AMBRA1",12,3,0.038894327518281,"no"
"PRPF6",11,4,0.0413453434439841,"no"
"ERBB2",13,2,0.0419714798515085,"no"
"TWIST1",11,4,0.0425806816746269,"no"
"USF2",13,2,0.0451447403456293,"no"
"PTGR1",13,2,0.0486076807526344,"no"
"OR2T27",13,2,0.0507775959618973,"no"
"CACNB1",13,2,0.052383782143533,"no"
"TTC7B",13,2,0.0573013739298536,"no"
"MAFA",11,4,0.0593520098143055,"no"
"ITGA10",13,2,0.0607408209901375,"no"
"GRB2",13,2,0.0610359177242481,"no"
"GTF2A1",13,2,0.0721664850777595,"no"
"PRKAA1",13,2,0.0726553388877906,"no"
"BAI1",11,4,0.0761756542983531,"no"
"BDKRB2",13,2,0.076547838158096,"no"
"WWP1",12,3,0.0770905864449019,"no"
"C1QTNF3",13,2,0.077394228790204,"no"
"C1QTNF3-AMACR",13,2,0.077394228790204,"no"
"ANKRD20A4",13,2,0.0788552843944156,"no"
"CA2",12,3,0.0832222328743669,"no"
"IL6",13,2,0.0837215199949487,"no"
"MFSD3",11,4,0.0870052043900183,"no"
"COLEC12",13,2,0.0884992015556648,"no"
"WDR25",13,2,0.0888200093731652,"no"
"NCOA6",13,2,0.0937276031935856,"no"
"SUSD1",13,2,0.094610264220626,"no"
"SCRT1",11,4,0.0951407566848161,"no"
"COL14A1",11,4,0.0965753705532077,"no"
"GJA5",13,2,0.10097468209496,"no"
"LGR4",12,3,0.103009402161542,"no"
"CD22",13,2,0.104789188954261,"no"
"SERPINA5",13,2,0.107944611607886,"no"
"RASGRP4",13,2,0.109506128287863,"no"
"CCNE1",12,3,0.110689288291099,"no"
"KIF18A",12,3,0.111482755314727,"no"
"LIFR",13,2,0.114603462589795,"no"
"TDP1",13,2,0.114770759991171,"no"
"UBR5",12,3,0.11526166012559,"no"
"ATP4A",13,2,0.115531251831135,"no"
"NTSR1",12,3,0.116141901145955,"no"
"RSF1",13,2,0.116426338474118,"no"
"MICB",13,2,0.119107294817264,"no"
"RDH10",12,3,0.120532095726415,"no"
"STARD3",13,2,0.12061456752282,"no"
"ESRRB",13,2,0.12072453196479,"no"
"RBM38",13,2,0.122271508930479,"no"
"HOXA11",12,3,0.123288900095324,"no"
"PRR5L",13,2,0.125520379131848,"no"
"TSNARE1",11,4,0.126680534724319,"no"
"CHN2",13,2,0.127174309665493,"no"
"VAPB",13,2,0.131700882964509,"no"
"DLST",13,2,0.131878189608757,"no"
"PGAP3",13,2,0.136348994872882,"no"
"FER1L6-AS1",11,4,0.136872255523372,"no"
"RAB3C",12,3,0.139425370867494,"no"
"NBN",12,3,0.142286795619516,"no"
"PMS2CL",11,4,0.142881434348458,"no"
"DHX40",13,2,0.143649255758664,"no"
"PECAM1",13,2,0.144177806040076,"no"
"GPR132",13,2,0.14498399233283,"no"
"DNMT3B",12,3,0.145800078911576,"no"
"USP35",13,2,0.146989066369568,"no"
"DGAT1",11,4,0.151476538328178,"no"
"SLC13A3",13,2,0.152490133420627,"no"
"ZNF43",13,2,0.152865491391807,"no"
"AGAP9",13,2,0.155732007331692,"no"
"CHRM4",12,3,0.157107620206171,"no"
"SNX31",12,3,0.158110679124273,"no"
"KLF10",12,3,0.160617836781524,"no"
"SETD3",13,2,0.163050378629086,"no"
"PMEPA1",13,2,0.163095113023806,"no"
"ZGPAT",11,4,0.1685184054743,"no"
"RBM39",13,2,0.168835404783602,"no"
"MUC20",12,3,0.168922332033781,"no"
"PSPH",13,2,0.16895980708928,"no"
"ATP6V1G2",13,2,0.171276796307643,"no"
"PTK6",11,4,0.175116633617396,"no"
"CYP11B1",11,4,0.175844168019691,"no"
"PHF21A",13,2,0.177398997360813,"no"
"CNBD1",12,3,0.178095084159164,"no"
"HAS2",11,4,0.178709731445208,"no"
"GPT",11,4,0.181174326308865,"no"
"CBX3",13,2,0.182045784965076,"no"
"C20orf151",11,4,0.183120406162471,"no"
"CEBPB",12,3,0.184129486845072,"no"
"HNF4G",11,4,0.187590319501466,"no"
"SLC44A4",13,2,0.187803324116393,"no"
"ID1",12,3,0.188848284412269,"no"
"GPIHBP1",12,3,0.191409629111722,"no"
"CPVL",13,2,0.191545548311696,"no"
"NPBWR2",11,4,0.191634767172299,"no"
"CYP24A1",12,3,0.193769380588118,"no"
"SUMO2",13,2,0.197356904852209,"no"
"BIRC7",12,3,0.19852480524811,"no"
"TYMS",13,2,0.198846231643056,"no"
"NFATC2",13,2,0.199849532412115,"no"
"EML5",13,2,0.201063098400026,"no"
"GSTZ1",13,2,0.203753284084649,"no"
"GPR20",11,4,0.206479782632205,"no"
"FOXN3",13,2,0.210151397452777,"no"
"PHF20L1",11,4,0.211229128304598,"no"
"HNF4A",13,2,0.211528327821899,"no"
"TCL1A",13,2,0.215364398568862,"no"
"SLIRP",13,2,0.215963565701416,"no"
"VOPP1",13,2,0.216824376795575,"no"
"TECPR2",13,2,0.221260699665242,"no"
"KCTD14",13,2,0.224413631950271,"no"
"NDUFC2-KCTD14",13,2,0.224413631950271,"no"
"HOXA7",12,3,0.227149641830229,"no"
"COX6C",12,3,0.229264685422131,"no"
"MC3R",13,2,0.231209443934005,"no"
"GATA5",11,4,0.231437452849807,"no"
"DIDO1",12,3,0.233235727725917,"no"
"CHD1L",13,2,0.233245280027765,"no"
"DUSP15",12,3,0.233260110710133,"no"
"DPF1",13,2,0.233874170466184,"no"
"ZFHX4",12,3,0.236519741518727,"no"
"SERPINA6",13,2,0.236878252176581,"no"
"WDR62",13,2,0.238373933696355,"no"
"MUC15",13,2,0.238714977623747,"no"
"THRSP",13,2,0.238991655699291,"no"
"KCNK13",13,2,0.241058137825668,"no"
"MIEN1",13,2,0.241995083518586,"no"
"RNF19A",12,3,0.246385218955196,"no"
"FERD3L",12,3,0.24690809168145,"no"
"PTPN21",13,2,0.247829815684828,"no"
"BATF",13,2,0.248934135364196,"no"
"GRK1",13,2,0.250401378365704,"no"
"PHF14",10,5,0.250720979544783,"no"
"C6",13,2,0.251270781055951,"no"
"GSTT1",8,7,0.251396406270739,"no"
"NOTCH4",13,2,0.252248483354148,"no"
"GBAS",13,2,0.256604964580835,"no"
"ZNF521",13,2,0.258824164594488,"no"
"UBQLN4",13,2,0.264326730985066,"no"
"NDUFC2",13,2,0.26666868701055,"no"
"SRMS",11,4,0.267101437904182,"no"
"SP4",13,2,0.268776836679,"no"
"ESPNL",13,2,0.268865202312059,"no"
"TRMT61A",13,2,0.269251419220466,"no"
"PTP4A3",11,4,0.271166810303871,"no"
"GPR89B",13,2,0.271338367324237,"no"
"GPR89A",13,2,0.271338367324237,"no"
"GPR89C",13,2,0.271338367324237,"no"
"FZD6",12,3,0.273214944651148,"no"
"LSR",13,2,0.274759230176097,"no"
"DGKB",10,5,0.275685790289967,"no"
"DCAF4L2",13,2,0.276164191855683,"no"
"EXT1",11,4,0.277586510267955,"no"
"AHR",11,4,0.27770719897379,"no"
"DCAF13",12,3,0.279548282263367,"no"
"AURKA",13,2,0.280315961748038,"no"
"SDK1",13,2,0.284399404972928,"no"
"RBPJL",13,2,0.285394912900675,"no"
"GPI",13,2,0.287937373742044,"no"
"REM1",12,3,0.290232038640419,"no"
"ATP9A",13,2,0.2911715313972,"no"
"CFHR4",13,2,0.291802574345732,"no"
"NAPRT1",11,4,0.292598147099612,"no"
"HLA-B",13,2,0.293631123403393,"no"
"GAPDHS",13,2,0.294950766752119,"no"
"HOXA5",12,3,0.301771743300486,"no"
"PRLR",13,2,0.306172689283302,"no"
"STK31",13,2,0.306721375808574,"no"
"PPDPF",11,4,0.30927158616519,"no"
"OR2T10",8,7,0.309772885290105,"no"
"IGF2BP3",13,2,0.310452718974605,"no"
"TGFB3",13,2,0.311445368847541,"no"
"TRA2A",13,2,0.311509369883,"no"
"LDLRAD3",13,2,0.313424313846984,"no"
"PRKAB2",13,2,0.313521772561307,"no"
"EIF3H",11,4,0.315891122176407,"no"
"ATF6B",13,2,0.318806070336629,"no"
"GSTM1",13,2,0.319667494684604,"no"
"HOXA1",13,2,0.321424761701484,"no"
"WIPI2",13,2,0.321854599365535,"no"
"MTNR1B",13,2,0.322096873920671,"no"
"ELF5",13,2,0.325585098377754,"no"
"FBXO32",10,5,0.327764627786021,"no"
"OR2T35",11,4,0.329834104522696,"no"
"KRAS",13,2,0.33093165124589,"no"
"ARFRP1",11,4,0.331215773915464,"no"
"SERPINA3",13,2,0.332208762594539,"no"
"MAP1LC3A",13,2,0.337867026427772,"no"
"CSNK2A1",13,2,0.339340579547776,"no"
"ETV1",10,5,0.340356935583203,"no"
"LY6D",11,4,0.342615372059623,"no"
"VPS28",11,4,0.342668366039198,"no"
"LIN7C",12,3,0.344380448174238,"no"
"PMS2",12,3,0.34582356035583,"no"
"BMP7",13,2,0.346033091170439,"no"
"MYLK2",12,3,0.346114468484432,"no"
"NPR3",13,2,0.347772931883531,"no"
"KIF26A",13,2,0.348367530298355,"no"
"WT1",13,2,0.351747975299952,"no"
"HOXA10",12,3,0.354419074986584,"no"
"C8orf33",11,4,0.357657403023962,"no"
"KLHL7",13,2,0.360329408866053,"no"
"TAX1BP1",13,2,0.361770145091602,"no"
"AGXT2",13,2,0.364604352218762,"no"
"MLH3",13,2,0.364736254006181,"no"
"SLC2A4RG",11,4,0.364856628780267,"no"
"KLHL38",10,5,0.365109829483208,"no"
"ZHX2",11,4,0.366605248954851,"no"
"CP",13,2,0.367794752715922,"no"
"MAP3K3",13,2,0.368692289970855,"no"
"HOXA4",12,3,0.369319221121043,"no"
"PPP1R13B",13,2,0.372640804287433,"no"
"RDBP",13,2,0.373723736790437,"no"
"GSC",13,2,0.373878952653669,"no"
"CASC1",13,2,0.37503530982582,"no"
"FAM210B",13,2,0.375578775876981,"no"
"KIF25",13,2,0.37624740137754,"no"
"GOLGA5",13,2,0.377225615910743,"no"
"CDH4",12,3,0.377446233595902,"no"
"TLK2",12,3,0.379554285287976,"no"
"ALG8",13,2,0.379972225495905,"no"
"KLHL30",13,2,0.381432094900336,"no"
"COX4I2",11,4,0.382189432162766,"no"
"MATN4",13,2,0.384983176512141,"no"
"KCNB2",12,3,0.385604770804654,"no"
"ZMYND8",12,3,0.390732666294269,"no"
"CBLN4",12,3,0.391368712866732,"no"
"TRIP11",13,2,0.392861946370206,"no"
"APCDD1L",13,2,0.393116960694312,"no"
"ARHGEF5",13,2,0.394785218545585,"no"
"SPAG4",13,2,0.396530014516869,"no"
"GPAA1",11,4,0.39718493105283,"no"
"PROCR",13,2,0.397247881672695,"no"
"MOK",13,2,0.399216881390932,"no"
"BAG6",12,3,0.400160673185242,"no"
"CSTF1",13,2,0.402050129952847,"no"
"UBR7",13,2,0.403825493617218,"no"
"RGPD4",13,2,0.405614399439705,"no"
"IRX1",13,2,0.4058645379697,"no"
"SERPINA9",13,2,0.406325215072617,"no"
"HOXA2",13,2,0.406600010626989,"no"
"MAPK15",10,5,0.407231260122932,"no"
"SKIV2L",13,2,0.407533963772692,"no"
"ZNF131",13,2,0.408837041857853,"no"
"FABP12",12,3,0.410821026632923,"no"
"KIFC2",11,4,0.411165141814355,"no"
"STK17A",13,2,0.411679666673572,"no"
"NCR3",12,3,0.411735070071937,"no"
"CSMD3",12,3,0.412731396243853,"no"
"NGB",13,2,0.418430764777083,"no"
"NCOA2",13,2,0.419468698228385,"no"
"ASB13",13,2,0.421005625831197,"no"
"HSPA1B",13,2,0.422968206292495,"no"
"FABP9",12,3,0.423184662856581,"no"
"MYT1",11,4,0.42357298804031,"no"
"LIME1",11,4,0.42434152803452,"no"
"VRK1",13,2,0.426508408055081,"no"
"SLC39A4",11,4,0.427791571507822,"no"
"PFDN4",12,3,0.430240629459482,"no"
"RALYL",12,3,0.431562328448246,"no"
"SPO11",13,2,0.436976193838052,"no"
"RICTOR",13,2,0.437118156255952,"no"
"CDH17",13,2,0.440949267391358,"no"
"WSB1",13,2,0.441246791241063,"no"
"FFAR3",13,2,0.441689008419159,"no"
"DENND3",11,4,0.44245261426936,"no"
"TMEM55A",13,2,0.44257656202884,"no"
"FAM83H",10,5,0.444085804684839,"no"
"CAMK2B",13,2,0.44755452924131,"no"
"TMEM64",13,2,0.447949133556041,"no"
"PRDM9",12,3,0.448329878154953,"no"
"ADCK5",11,4,0.448551982853728,"no"
"ATG13",13,2,0.452036153510843,"no"
"RAG2",13,2,0.453674875991554,"no"
"MATN2",12,3,0.454620208889929,"no"
"ALDH6A1",13,2,0.454855446637585,"no"
"HOXA9",12,3,0.456303892226951,"no"
"HOXA10-HOXA9",12,3,0.456303892226951,"no"
"CABLES2",11,4,0.456357798502694,"no"
"ANKRD46",12,3,0.456690832652339,"no"
"SCXB",11,4,0.459817913583279,"no"
"SCXA",11,4,0.459817913583279,"no"
"LRRCC1",12,3,0.46146404266726,"no"
"MIOS",12,3,0.462198568452481,"no"
"HOXA13",12,3,0.462759265820748,"no"
"RAB25",13,2,0.463355711227813,"no"
"PHKG1",13,2,0.463447699191511,"no"
"ZBTB10",12,3,0.465488940951794,"no"
"TUBD1",13,2,0.466008361598756,"no"
"BRIX1",13,2,0.469798169604865,"no"
"PAMR1",13,2,0.475759839889052,"no"
"NUDT17",13,2,0.480197964681019,"no"
"CYP21A2",13,2,0.480546786315328,"no"
"CYP21A1P",13,2,0.480546786315328,"no"
"RAE1",13,2,0.485562543912368,"no"
"VSTM2B",12,3,0.486401818708826,"no"
"LGALS7",13,2,0.487305759073566,"no"
"LGALS7B",13,2,0.487305759073566,"no"
"OR2T11",8,7,0.488717220293514,"no"
"KCNQ2",12,3,0.49246370775652,"no"
"DECR1",12,3,0.495821354257679,"no"
"NXT1",13,2,0.496234265488871,"no"
"PREX1",12,3,0.497396520486028,"no"
"ENTPD5",13,2,0.500609064314008,"no"
"CEBPA",13,2,0.50193981545825,"no"
"SGK2",13,2,0.50249793225591,"no"
"TMEM189",12,3,0.5053352066948,"no"
"TMEM65",11,4,0.505494355209747,"no"
"PCK1",13,2,0.50581478241731,"no"
"YES1",13,2,0.505842192852226,"no"
"ACTB",12,3,0.508306875044415,"no"
"DGKZ",12,3,0.51112259947969,"no"
"PGAM2",13,2,0.511690938413184,"no"
"MAG",13,2,0.514597667355146,"no"
"AGR2",10,5,0.517508159024912,"no"
"IKZF3",13,2,0.520910953909999,"no"
"ATG2B",13,2,0.520997332503726,"no"
"RXFP4",13,2,0.521451722692512,"no"
"TBC1D20",13,2,0.52176179181787,"no"
"TRIB1",10,5,0.523987314595018,"no"
"BBOX1",12,3,0.52522348677362,"no"
"HRH3",11,4,0.525664786607179,"no"
"PLAGL2",12,3,0.530180272307524,"no"
"RAPGEF5",13,2,0.530983823465089,"no"
"MED13",13,2,0.531595893988139,"no"
"RUNX1T1",13,2,0.533511851912247,"no"
"CD44",13,2,0.542907696095838,"no"
"JPH2",13,2,0.54775275868491,"no"
"ADNP",13,2,0.548631620259087,"no"
"HNRNPA2B1",13,2,0.54874623022775,"no"
"FOXH1",11,4,0.54987977445352,"no"
"ZCCHC3",13,2,0.550456995352434,"no"
"WDR88",13,2,0.550835670831625,"no"
