"","#wt","#mut","pvalue","is_significant"
"TP53",7,8,0.000786562662348452,"yes"
"CACNA1C",13,2,0.00291700247340844,"no"
"WBP2",13,2,0.00308852027884568,"no"
"OGDH",13,2,0.00601203771587802,"no"
"PTK2B",13,2,0.00683669693279332,"no"
"TEC",12,3,0.00751479797871635,"no"
"CDRT1",13,2,0.00799609198426862,"no"
"NR1D1",13,2,0.00857460590413564,"no"
"TSC1",13,2,0.00863333160188365,"no"
"GPR50",12,3,0.0102610384782885,"no"
"HIVEP3",12,3,0.0120304653811746,"no"
"DMXL2",11,4,0.0130025623717249,"no"
"FRAS1",12,3,0.0142156536690311,"no"
"RBM28",13,2,0.0144023667383482,"no"
"CTNNB1",12,3,0.0157767703930624,"no"
"WDR66",13,2,0.0164063798883871,"no"
"RAPGEF5",13,2,0.0183742740574534,"no"
"ABCC1",13,2,0.0185665419630379,"no"
"PIK3R2",13,2,0.018593992921804,"no"
"CSMD3",10,5,0.0190767240629058,"no"
"KRAS",13,2,0.0191217909046134,"no"
"KIF26A",13,2,0.0196375798059402,"no"
"ASH1L",13,2,0.0205171714367366,"no"
"FCGBP",9,6,0.0249037846256512,"no"
"CCNI",12,3,0.0251651431927975,"no"
"HSP90AB1",13,2,0.0263318317356098,"no"
"PARP4",13,2,0.0273000893846678,"no"
"ANXA13",13,2,0.0276008457027598,"no"
"C2orf44",13,2,0.0298637149896505,"no"
"DUSP27",13,2,0.030089611758775,"no"
"FGD5",13,2,0.0322120126778282,"no"
"NTN5",13,2,0.0328465852332218,"no"
"ABCC12",13,2,0.0353445112264977,"no"
"OXTR",13,2,0.0357045366965023,"no"
"GAK",12,3,0.0382555680369526,"no"
"PKD1",13,2,0.0405125872747394,"no"
"CLCN4",13,2,0.0433767453589987,"no"
"EP300",12,3,0.0446961279412238,"no"
"PARP16",13,2,0.0448562963245871,"no"
"ANKRD20A4",13,2,0.0487923803579114,"no"
"TAF1L",12,3,0.0508125767663424,"no"
"IRX4",13,2,0.0510978506172418,"no"
"VRK3",13,2,0.0522487617356671,"no"
"ATAD2",13,2,0.0543534231838655,"no"
"ALPP",13,2,0.0551591844882289,"no"
"SMO",13,2,0.0604675379356315,"no"
"FBXO10",13,2,0.0605966108787125,"no"
"PARP14",13,2,0.0619498559759547,"no"
"RAD54L2",11,4,0.0639864646482001,"no"
"HOXD9",13,2,0.0644135601076263,"no"
"CHD2",13,2,0.0647333158899841,"no"
"CDC25B",13,2,0.0667285757804563,"no"
"COL7A1",11,4,0.069566628283943,"no"
