"","#wt","#mut","pvalue","is_significant"
"TSC2",13,2,0.00957131791212951,"no"
"ELF3",13,2,0.0183454178203536,"no"
"CELSR1",13,2,0.0260038754092304,"no"
"LRP1B",13,2,0.0353119593125819,"no"
"NCSTN",13,2,0.0418538024148564,"no"
"FOXD2",13,2,0.050304078388466,"no"
"RPL22",12,3,0.0668807825663772,"no"
"SETX",13,2,0.0710996179379201,"no"
"ARHGAP19",12,3,0.0807765806248205,"no"
"ZFHX4",11,4,0.0931687811747561,"no"
"SEMA4G",13,2,0.09896183168881,"no"
"LMTK3",13,2,0.111921133177431,"no"
"MTMR10",13,2,0.132619190092324,"no"
"ABCA8",13,2,0.147092001249811,"no"
"TTF1",13,2,0.15620760282929,"no"
"NCOR2",13,2,0.167873430227571,"no"
"ZNF638",13,2,0.174788893533718,"no"
"TRPS1",12,3,0.176739743768587,"no"
"HDAC7",13,2,0.187893193164984,"no"
"TDRD12",13,2,0.189852838308707,"no"
"DOCK9",13,2,0.195974456821608,"no"
"ZBTB20",13,2,0.218668346227919,"no"
"PLK3",13,2,0.226363747342721,"no"
"ARHGAP5",12,3,0.22651979323326,"no"
"EML5",13,2,0.231400491323841,"no"
"FHOD3",12,3,0.237967026727343,"no"
"GPR98",12,3,0.243637026624398,"no"
"TTC29",13,2,0.243892323838363,"no"
"WDR36",13,2,0.258317122069833,"no"
"ACACB",13,2,0.26555872200812,"no"
"ATP8B1",12,3,0.267640969985762,"no"
"NBEAL1",13,2,0.272145283849598,"no"
"PAPPA2",13,2,0.27615177103948,"no"
"TFPI",13,2,0.282703186398568,"no"
"FIGN",13,2,0.287530380996732,"no"
"LAMA5",12,3,0.29041092691443,"no"
"SPEG",13,2,0.291137068776123,"no"
"TSSK1B",13,2,0.291434862673267,"no"
"DPF2",13,2,0.291762932319068,"no"
"GRIN2A",13,2,0.292428373546805,"no"
"FOXC1",13,2,0.294420811286046,"no"
"PTPN21",13,2,0.30016501176649,"no"
"TSPAN8",13,2,0.303239357797495,"no"
"ATN1",12,3,0.307251940164802,"no"
"COL23A1",13,2,0.307253859769511,"no"
"PLXNC1",13,2,0.321142544212245,"no"
"GPR64",13,2,0.331244122992542,"no"
"COL4A2",13,2,0.334800807380594,"no"
"SGK2",13,2,0.335661575402466,"no"
"P4HTM",13,2,0.336547400724911,"no"
"RFX5",13,2,0.374134550038756,"no"
"CFH",13,2,0.384385245469639,"no"
"KDM2B",13,2,0.384494935565306,"no"
"TP53BP1",13,2,0.396848329592704,"no"
"ARHGEF11",13,2,0.405385059395918,"no"
"KIF21A",13,2,0.405677662329476,"no"
"ZBTB41",13,2,0.421835480422309,"no"
"SLC9C2",13,2,0.425032863714445,"no"
"FLNA",13,2,0.426916771555083,"no"
"TCF3",13,2,0.451043040527619,"no"
"FREM2",13,2,0.459528938925467,"no"
"PAX6",13,2,0.461461748819362,"no"
"SULT1A2",13,2,0.46701138786586,"no"
"TEAD2",13,2,0.467571673933554,"no"
"IRF3",13,2,0.471322281963673,"no"
"KIAA2018",13,2,0.482163948684431,"no"
"TTN",10,5,0.494598303858265,"no"
"PBRM1",13,2,0.498632496288692,"no"
"ZBTB7C",13,2,0.498884443612345,"no"
"CACNA1E",13,2,0.505691945587443,"no"
"XYLT2",13,2,0.51179018730707,"no"
"RBM28",12,3,0.514290022970127,"no"
"HSH2D",13,2,0.517585335649489,"no"
"SMARCA2",13,2,0.517897754569499,"no"
"DMXL1",12,3,0.520718031690975,"no"
"PROX1",13,2,0.527907240158701,"no"
"PHRF1",13,2,0.531101385787835,"no"
"PARP10",13,2,0.543489252273806,"no"
"PIK3C2B",13,2,0.544322211152015,"no"
"TEP1",13,2,0.547254571600645,"no"
"ARID1A",10,5,0.550087860543898,"no"
"HOXC11",13,2,0.553656672843985,"no"
"RANBP2",13,2,0.567457960905778,"no"
"EP300",12,3,0.582831669111147,"no"
"PHF20L1",13,2,0.584218668301217,"no"
"UGT8",13,2,0.589911340116496,"no"
"IRS1",13,2,0.593181337522926,"no"
"PTPDC1",13,2,0.599332484297308,"no"
"LRRK2",13,2,0.602276571431472,"no"
"MEF2B",13,2,0.603946168906622,"no"
"FNIP1",13,2,0.616345506720347,"no"
"REV1",13,2,0.636722954588078,"no"
"C5",13,2,0.652402728334317,"no"
"MACF1",13,2,0.660113954036764,"no"
"CTDP1",12,3,0.663753430654391,"no"
"LRP4",13,2,0.66514812574514,"no"
"ERBB4",13,2,0.671240125280817,"no"
"CIC",13,2,0.674108604948098,"no"
"CARD11",13,2,0.676379456872406,"no"
"CHD9",13,2,0.678409029828875,"no"
"LRP8",13,2,0.680642229370104,"no"
"TICAM1",13,2,0.689976512828412,"no"
"HNRNPA2B1",13,2,0.690807196031548,"no"
"ATAD2B",13,2,0.695462178233388,"no"
"PRSS42",13,2,0.696280197129899,"no"
"AXIN1",13,2,0.697348988262603,"no"
"BCOR",12,3,0.699768576739453,"no"
"CAMKK2",13,2,0.701189493219458,"no"
"ADAMTS20",13,2,0.702743599096157,"no"
"NBEAL2",13,2,0.702837967188668,"no"
"PHF14",13,2,0.703037407044642,"no"
"TBC1D23",13,2,0.705293360481717,"no"
"SACS",13,2,0.724518414451912,"no"
"NWD1",13,2,0.758554484313283,"no"
"ARID1B",13,2,0.760593750217745,"no"
"MAP2K7",13,2,0.777995470121831,"no"
"NLK",13,2,0.781094994655883,"no"
"COL8A2",13,2,0.78421566722137,"no"
"TTK",13,2,0.793730315149422,"no"
"COL7A1",12,3,0.794534217297969,"no"
"CDH1",12,3,0.796304615005908,"no"
"ADCK5",13,2,0.804861605477989,"no"
"SSH3",13,2,0.808187259467881,"no"
"TAF1L",13,2,0.808698448175182,"no"
"UBE4B",13,2,0.808949046472405,"no"
"FPR3",13,2,0.821014985924966,"no"
"KANK1",13,2,0.822186043048225,"no"
"EVC",13,2,0.823248818846422,"no"
"PLEKHG2",13,2,0.852112326904591,"no"
"DDX59",13,2,0.855758277494465,"no"
"MAP3K2",11,4,0.862717855512525,"no"
"CACNB1",13,2,0.871796566730669,"no"
"SMARCA4",13,2,0.876303228967161,"no"
"ARID4A",13,2,0.876425642022421,"no"
"BIRC2",13,2,0.88233062942429,"no"
"DDX54",13,2,0.889771434823114,"no"
"POLE",13,2,0.9184354059662,"no"
"SETD1B",13,2,0.925874543109162,"no"
"IVL",13,2,0.928694797952317,"no"
"FANCM",13,2,0.93343719627277,"no"
"APC",13,2,0.94258529718225,"no"
"EPB41L2",13,2,0.954489294652554,"no"
"FRMD4B",13,2,0.960281732854493,"no"
"ACVR2A",13,2,0.964673043124579,"no"
"SYNJ2",12,3,0.976926931373215,"no"
"CHD3",13,2,0.983824710482414,"no"
"ZNF131",13,2,0.993794530698621,"no"
