"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"TP53",6,9,6.10773476239501e-09,"yes",9.68201268301075e-24,"up"
"MARK1",15,0,3.74054615005504e-05,"yes",0.171416832240879,"down"
"TGIF2",14,1,0.000375723428530983,"no",1.49025583898196e-26,"up"
"FRMD1",12,3,0.000448801430647072,"no",0.00158369672736387,"down"
"ATP10D",14,1,0.000615052977008812,"no",0.599326338496157,"down"
"CRABP1",15,0,0.000695505252569895,"no",0.145144944117885,"up"
"PPP2R5B",14,1,0.000783435840166491,"no",0.549275995420019,"down"
"DSTYK",14,1,0.000820454662895376,"no",0.182315213951078,"up"
"RAPGEF5",11,4,0.000953998588694049,"no",1.60444194571048e-08,"up"
"ITGB5",15,0,0.00107399299919197,"no",4.66922712175782e-07,"up"
"ARPC1A",15,0,0.00159056283187231,"no",0.00103557808779594,"up"
"HEY2",14,1,0.00161137531967781,"no",0.244575192962247,"up"
"NBR1",14,1,0.00168759334273938,"no",0.0025490782478592,"up"
"VAPB",13,2,0.00179121083180822,"no",1.24227615086423e-14,"up"
"SIX1",15,0,0.00184396628919725,"no",1.47132904626537e-17,"up"
"WASH2P",14,1,0.00186267277196961,"no",0.0397130029391954,"up"
"FAM69B",15,0,0.00190673404450459,"no",0.00967153651547397,"up"
"GLI3",8,7,0.00196943091954349,"no",0.0326463646316039,"down"
"AXIN1",13,2,0.00202038751880218,"no",2.52714372380332e-14,"up"
"LGR5",12,3,0.00202170389045297,"no",1.14492357774961e-18,"up"
"ORC4",14,1,0.00202717412689801,"no",1.98206431938326e-13,"up"
"GPR64",12,3,0.00209150518584089,"no",NA,NA
"KCNE3",15,0,0.00224233825888587,"no",6.66338820540003e-15,"up"
"GMPR2",15,0,0.00229748906590665,"no",0.72405675676174,"up"
"VLDLR",10,5,0.00240793306939235,"no",0.00191980323730753,"down"
"NFIL3",14,1,0.00246298812758894,"no",0.116165036927425,"down"
"ULK3",14,1,0.00253342509194177,"no",0.768189790976063,"down"
"WWTR1",14,1,0.00267207155412397,"no",0.0741297032156313,"down"
"ATG2B",12,3,0.00268599968518179,"no",0.00249654828934155,"up"
"C1R",14,1,0.00284714341247505,"no",0.0546130020206476,"up"
"ITGB6",15,0,0.0030483981842967,"no",1.92371451579461e-07,"up"
"ARNTL",13,2,0.003373682247518,"no",0.747551443692825,"up"
"FOXA2",14,1,0.00343806317448758,"no",0.0201534351570647,"up"
"ZFAND4",13,2,0.00358814479604996,"no",3.02863520992791e-08,"up"
"VPRBP",15,0,0.00371996965542887,"no",NA,NA
"EXOC2",14,1,0.00392655628547112,"no",2.44575600678426e-13,"up"
"FGF7",14,1,0.00398883301969388,"no",0.419274707602028,"down"
"DLX5",15,0,0.0044109238407154,"no",0.140002944147463,"up"
"DAPK2",14,1,0.00442151306107652,"no",0.419095638777481,"down"
"HEYL",15,0,0.00451557707046413,"no",5.59899861434642e-14,"up"
"GLIS3",12,3,0.00457041343739706,"no",3.4085330277906e-21,"up"
"GPX4",13,2,0.00473065532238226,"no",0.360976807887277,"up"
"ORM2",13,2,0.00503109436574556,"no",0.850536727469976,"up"
"PTAR1",15,0,0.00504186262904349,"no",5.51063681971088e-10,"up"
"BMPR1B",15,0,0.00519382660767131,"no",0.0367769926467609,"down"
"LOX",14,1,0.00535556076214383,"no",7.40672206808956e-38,"up"
"CIAO1",13,2,0.00557883325632536,"no",1.34849707277284e-21,"up"
"GNB4",15,0,0.00588239896643317,"no",0.703205497046866,"down"
"TMEM44",15,0,0.00612695122505436,"no",2.57055019732219e-33,"up"
"BTNL3",9,6,0.00614020014191519,"no",0.0334402476354264,"down"
"MICB",11,4,0.00619078708721077,"no",4.17617153724435e-20,"up"
"KLF1",13,2,0.00634009665753055,"no",2.07139525552846e-06,"up"
"CLEC7A",14,1,0.0064492638353455,"no",1.92641575627516e-09,"up"
"PYROXD1",14,1,0.00663674580265261,"no",0.592537573709995,"up"
"PCOLCE2",14,1,0.00686243583186519,"no",0.00440674331711242,"down"
"SYNJ2",10,5,0.00690906352190312,"no",1.84942968930977e-16,"up"
"PLEKHG6",14,1,0.00692819527799804,"no",0.229712855558683,"up"
"FERMT2",14,1,0.00699876185431836,"no",0.00868721021308144,"down"
"UBTF",14,1,0.00700486710507764,"no",1.02777794592166e-07,"up"
"SOX14",12,3,0.00707062952715232,"no",3.92155800697402e-12,"up"
"NR2C2",13,2,0.00718532909780267,"no",1.76125688769939e-05,"up"
"C1QL4",14,1,0.0073275451400191,"no",4.79175510053311e-06,"up"
"LPL",14,1,0.00765176446851346,"no",0.516519973384315,"down"
"BHMT2",14,1,0.00792094939937382,"no",0.000824821356616918,"down"
"GOPC",15,0,0.0079794358110381,"no",1.3041841581722e-13,"up"
"RXRB",14,1,0.00799899343094879,"no",0.127545075386508,"up"
"NFYB",15,0,0.00807478793618321,"no",0.000235362941309985,"up"
"LDHC",13,2,0.00808190933414898,"no",0.0104945862732698,"up"
"NAA15",14,1,0.00823876372852606,"no",9.11826274531271e-26,"up"
"KLHL22",15,0,0.00833453673791329,"no",0.900509880269165,"up"
"SLC6A12",14,1,0.00855618260606117,"no",0.578707866369306,"down"
"MCF2L2",15,0,0.00867095437861498,"no",0.0131633003800714,"up"
"LHX9",13,2,0.00872629769103916,"no",2.65593114089743e-05,"up"
"GTPBP8",15,0,0.00886157530265763,"no",0.000157695243617347,"up"
