"","#wt","#mut","pvalue","is_significant"
"DMTF1",12,3,0.00627620091923521,"no"
"NSFP1",11,4,0.0128768386268371,"no"
"MNX1",13,2,0.0152373073913131,"no"
"SIRPB1",10,5,0.0153837075901761,"no"
"CA1",13,2,0.016448516616847,"no"
"EIF4B",13,2,0.017605008585226,"no"
"EXOC8",13,2,0.0203239314632176,"no"
"CDC42BPA",13,2,0.0219188089287538,"no"
"HAS2",13,2,0.0230137135711961,"no"
"KCNJ10",12,3,0.0282656449309149,"no"
"FCGR3A",12,3,0.0285281239711069,"no"
"FCGR3B",12,3,0.0285281239711069,"no"
"GEM",13,2,0.0290181941749898,"no"
"PMVK",13,2,0.0327024781858253,"no"
"GUK1",13,2,0.0337144263778075,"no"
"FMOD",13,2,0.035322806140452,"no"
"ARF1",13,2,0.040001713227282,"no"
"CA13",13,2,0.0411345844959174,"no"
"SPRR2G",13,2,0.0458779556103311,"no"
"SHE",13,2,0.0458888772200446,"no"
"KIRREL",12,3,0.0486232269370893,"no"
"PDE7A",13,2,0.0548940149192801,"no"
"SUSD4",13,2,0.0588040151385807,"no"
"LYST",13,2,0.0604142857288859,"no"
"PSPH",13,2,0.060799597081386,"no"
"DECR1",13,2,0.0618381630288124,"no"
"OR2T2",12,3,0.0634639307451935,"no"
"LEP",12,3,0.0642318242351947,"no"
"OR2T12",13,2,0.0653329179934992,"no"
"OR2T33",13,2,0.0653329179934992,"no"
"ST18",13,2,0.0662625553181427,"no"
"AKR1D1",12,3,0.0706384894837574,"no"
"METTL13",12,3,0.0713114422613967,"no"
"CAPZA2",10,5,0.073089504735701,"no"
"SDC2",13,2,0.0758911522923621,"no"
"WNT16",13,2,0.0807933123116613,"no"
"ZFPM2",13,2,0.0819016699349534,"no"
"RXFP4",13,2,0.0832079999670146,"no"
"OR2G6",13,2,0.0871852734573267,"no"
"RALGPS2",12,3,0.0891213876675619,"no"
"OR11L1",12,3,0.0894967330273779,"no"
"NSF",13,2,0.0911719836023407,"no"
"UBQLN4",13,2,0.0911980218225065,"no"
"RUFY1",13,2,0.0950503287162434,"no"
"MAD1L1",13,2,0.0952047189503743,"no"
"GTF2IRD2P1",13,2,0.0967583281168036,"no"
"THEM4",13,2,0.0980875143965058,"no"
"HGF",10,5,0.0981708669148945,"no"
"F11R",12,3,0.100590544992199,"no"
"CRABP2",13,2,0.100605286681163,"no"
"WDR55",13,2,0.101063698962765,"no"
"CHD1L",13,2,0.10110762396233,"no"
"PKLR",13,2,0.10128824970517,"no"
"HK3",13,2,0.102332000614666,"no"
"RDH10",13,2,0.104827415732874,"no"
"PLXNA2",13,2,0.105081378548737,"no"
"BPGM",12,3,0.105654003822285,"no"
"NR1I3",12,3,0.106354098226997,"no"
"METTL2B",12,3,0.106457504469185,"no"
"MAT2B",12,3,0.113559623033363,"no"
"SLAMF9",12,3,0.113741962384157,"no"
"OR2T3",13,2,0.114216213302899,"no"
"FLT4",13,2,0.114975356624929,"no"
"ZC3HAV1",12,3,0.115071354828516,"no"
"TPM3",13,2,0.116772967996132,"no"
"JHDM1D",12,3,0.119776384701611,"no"
"LRRN2",13,2,0.120723352345968,"no"
"LGR6",13,2,0.126378164965315,"no"
"ADRA1B",12,3,0.127297916057043,"no"
"KRT1",13,2,0.133571229828215,"no"
"BET1",12,3,0.13533896166907,"no"
"PROP1",13,2,0.13572526260084,"no"
"IMPDH1",12,3,0.135861925394556,"no"
"SQSTM1",13,2,0.139485900710626,"no"
"TRPS1",13,2,0.141010422363043,"no"
"ARF5",12,3,0.142499887705,"no"
"FAM58BP",13,2,0.145198759792387,"no"
"C8orf46",13,2,0.14573784961333,"no"
"UBE3C",13,2,0.14663577223846,"no"
"LY9",12,3,0.14911504370248,"no"
"AHCTF1",13,2,0.149270459562727,"no"
"LAX1",13,2,0.155785894612469,"no"
"VN1R5",13,2,0.155988099765601,"no"
"ESRP1",13,2,0.157369932715577,"no"
"PIGR",13,2,0.158169150645243,"no"
"DOCK2",12,3,0.161185987318911,"no"
"ABCF2",13,2,0.162103012063214,"no"
"CREB3L2",12,3,0.164828698280747,"no"
"CARD11",13,2,0.165016517656982,"no"
"OR2T8",12,3,0.165876083898091,"no"
"MDM4",13,2,0.165963859601133,"no"
"MXD3",13,2,0.16996487382095,"no"
"ZNF496",13,2,0.170382966684287,"no"
"NBN",13,2,0.171160916216759,"no"
"UHMK1",12,3,0.173049023002207,"no"
"MYOC",12,3,0.173544215147564,"no"
"POLM",13,2,0.174831823057962,"no"
"USF1",12,3,0.175229247449438,"no"
"OR2M4",13,2,0.177037713430152,"no"
"GPR52",12,3,0.177658042741951,"no"
"CNOT6",13,2,0.178038203412315,"no"
"PDGFA",12,3,0.180098793322407,"no"
"NTRK1",13,2,0.180186589851672,"no"
"MEF2D",13,2,0.180428987096603,"no"
"ZHX2",13,2,0.181122174500909,"no"
"CD74",13,2,0.183737046597225,"no"
"ILF2",13,2,0.187120490036893,"no"
"TDRD10",13,2,0.189021702761057,"no"
"ADIPOR1",13,2,0.190371224429414,"no"
"PMS2",13,2,0.190524134073054,"no"
"PMS2CL",13,2,0.190524134073054,"no"
"LRRN3",10,5,0.190633304319864,"no"
"ASB15",13,2,0.190757713002631,"no"
"ADCK2",12,3,0.192767605295196,"no"
"STEAP1",12,3,0.193757926880436,"no"
"GNA12",13,2,0.194490614176834,"no"
"ATP2B4",13,2,0.195210254622586,"no"
"RFX5",13,2,0.195520366949258,"no"
"ADRB2",13,2,0.200018774930273,"no"
"TIMD4",13,2,0.200656283197051,"no"
"DPT",12,3,0.201101574499031,"no"
"ATP1A2",12,3,0.202166722287782,"no"
"PARP1",13,2,0.202815501910625,"no"
"CA8",13,2,0.203564212125441,"no"
"IL6",13,2,0.203966867576941,"no"
"SEMA6C",13,2,0.204422502711165,"no"
"CADM3",11,4,0.205676843607891,"no"
"FER1L6",13,2,0.20704424611448,"no"
"CCDC132",12,3,0.208216047265032,"no"
"CYP2W1",13,2,0.208880571251438,"no"
"RAD54B",13,2,0.209437530943891,"no"
"ADAP1",12,3,0.209953081748625,"no"
"NSMAF",13,2,0.213161578298944,"no"
"SPAG1",13,2,0.218879939034872,"no"
"ARHGEF37",13,2,0.221259178596908,"no"
"CDH17",13,2,0.223914895402899,"no"
"GABRB2",12,3,0.224753996298245,"no"
"HAPLN2",13,2,0.225512347387445,"no"
"CACNA2D1",11,4,0.227744213796871,"no"
"PDK4",12,3,0.228851903303256,"no"
"HIGD2A",13,2,0.229552293674052,"no"
"NCSTN",12,3,0.232199074501559,"no"
"HEPACAM2",12,3,0.232493170813986,"no"
"LRRC69",13,2,0.235777835010372,"no"
"NME7",12,3,0.236190378859784,"no"
"FOXP2",12,3,0.236228486661505,"no"
"CALCR",12,3,0.237089221692112,"no"
"BCAN",13,2,0.238509624706557,"no"
"MET",10,5,0.240738590499688,"no"
"POU2F1",12,3,0.240937272390642,"no"
"IQGAP3",13,2,0.243343963276649,"no"
"KCNS2",13,2,0.243484016841106,"no"
"BTNL9",13,2,0.243528789792732,"no"
"ZBTB37",12,3,0.243686539713211,"no"
"MPZL1",12,3,0.245064000506437,"no"
"DPP6",13,2,0.246157879918203,"no"
"C1orf101",13,2,0.249290923518571,"no"
"SELE",12,3,0.254437647646101,"no"
"DUSP10",13,2,0.255299019201439,"no"
"WASL",13,2,0.256760186918798,"no"
"UBE2D2",13,2,0.256847009871537,"no"
"TRIM17",13,2,0.25713903631145,"no"
"ITLN1",12,3,0.260174552376433,"no"
"VOPP1",13,2,0.261857125006584,"no"
"OR2L2",13,2,0.262314447561024,"no"
"OR2T11",9,6,0.262938762348848,"no"
"ATG9B",13,2,0.264941408461044,"no"
"ETV1",12,3,0.265197599436768,"no"
"CAMK2A",13,2,0.265367831887159,"no"
"STK10",12,3,0.266511606037857,"no"
"BNIP1",12,3,0.266835191558479,"no"
"DBF4",12,3,0.267845363273857,"no"
"DUSP23",12,3,0.268070696821102,"no"
"CFHR3",6,9,0.268085691059495,"no"
"OPN1SW",12,3,0.269194480706757,"no"
"ANGEL2",13,2,0.273820071412327,"no"
"ARHGEF11",13,2,0.275531336144654,"no"
"DYNC1I1",12,3,0.275934610922056,"no"
"GLRA1",13,2,0.277662873008487,"no"
"S100A16",13,2,0.281199116503138,"no"
"C4BPA",13,2,0.282407540055653,"no"
"IRF6",13,2,0.282772855684729,"no"
"AKR1B10",12,3,0.283454750544905,"no"
"AKR1B15",12,3,0.283454750544905,"no"
"C1orf95",13,2,0.283985981814918,"no"
"SP4",13,2,0.28492105852465,"no"
"DRD1",13,2,0.2853546755341,"no"
"ABCB8",13,2,0.285798358186781,"no"
"OR13G1",12,3,0.287135488484282,"no"
"CSF1R",13,2,0.287358914417721,"no"
"LMNA",13,2,0.288665660263349,"no"
"EIF2AK1",13,2,0.289053250475968,"no"
"HSD17B7",12,3,0.293952095588601,"no"
"RAPGEF5",13,2,0.295521712058128,"no"
"HSD11B1",13,2,0.296082692791534,"no"
"GRM6",13,2,0.296853147020952,"no"
"KCNV1",13,2,0.298073575622593,"no"
"RNF130",13,2,0.299436596460379,"no"
"STAG3L3",13,2,0.300643795806877,"no"
"RHEB",13,2,0.30256212403034,"no"
"FNDC3B",13,2,0.303503408927536,"no"
"KIAA1549",12,3,0.308754647651189,"no"
"GRB10",13,2,0.308928139808684,"no"
"PKP1",13,2,0.312091950036187,"no"
"WDR60",13,2,0.312347496341742,"no"
"S100A9",13,2,0.315188729680518,"no"
"LMAN2",13,2,0.315983643244578,"no"
"RRM2B",13,2,0.317386624672739,"no"
"PPFIA4",13,2,0.318034097278425,"no"
"GPNMB",13,2,0.318462737555842,"no"
"PGAM2",13,2,0.321401309845983,"no"
"SCCPDH",13,2,0.321925215584842,"no"
"GABRA1",12,3,0.323537174179436,"no"
"PRRX1",12,3,0.323849831043475,"no"
"SNX31",13,2,0.324898132342307,"no"
"PROX1",13,2,0.328499228116188,"no"
"MAPKAPK2",13,2,0.328751064431661,"no"
"ZFHX4",13,2,0.329979511624341,"no"
"TDRKH",13,2,0.330038724341008,"no"
"EIF4EBP3",13,2,0.330757413408182,"no"
"ANKHD1-EIF4EBP3",13,2,0.330757413408182,"no"
"NMNAT2",13,2,0.331681563401202,"no"
"HIPK2",12,3,0.332395634236701,"no"
"KCNH1",13,2,0.334302160050426,"no"
"WNT9A",13,2,0.335100306867096,"no"
"KCNH2",13,2,0.337196602420254,"no"
"NSD1",13,2,0.337914973760156,"no"
"PYGO2",13,2,0.338879805449501,"no"
"ASB4",12,3,0.339486823305083,"no"
"KDM5B",13,2,0.339542401891445,"no"
"CREB3L4",13,2,0.342687358874003,"no"
"GRM8",12,3,0.342772105081461,"no"
"RXRG",12,3,0.34836927658167,"no"
"ARHGEF2",13,2,0.349825771463536,"no"
"IGSF8",12,3,0.350564199327492,"no"
"CFH",12,3,0.351331092290149,"no"
"XRCC2",13,2,0.354522488737867,"no"
"CALD1",12,3,0.354610524921572,"no"
"WEE2",13,2,0.354736540206827,"no"
"CACNA1E",13,2,0.354754044902345,"no"
"EZH2",13,2,0.355573428407078,"no"
"SEMA3A",12,3,0.355982894898677,"no"
"RAB7L1",13,2,0.356923717545567,"no"
"SEMA3D",12,3,0.359561197430258,"no"
"ZBTB7B",13,2,0.360203978569375,"no"
"AHCYL2",12,3,0.360549997309027,"no"
"GNG11",12,3,0.360983473439106,"no"
"ITPKB",13,2,0.36153963211344,"no"
"FBXO32",13,2,0.361893247660153,"no"
"FASLG",12,3,0.361933958579726,"no"
"ASH1L",13,2,0.361958474403243,"no"
"SLAMF7",12,3,0.363437862125008,"no"
"COL28A1",13,2,0.363919145114735,"no"
"G3BP1",13,2,0.366472459558971,"no"
"CNOT8",13,2,0.368103992027344,"no"
"OPRK1",13,2,0.368937872585931,"no"
"CRCT1",13,2,0.369539026970484,"no"
"CDK18",12,3,0.370055092430102,"no"
"CHRM2",12,3,0.370767398190958,"no"
"FABP5",13,2,0.371542973842225,"no"
"ARNT",13,2,0.372051436501122,"no"
"STC2",12,3,0.37220896324566,"no"
"AVPR1B",13,2,0.372540755290558,"no"
"APOA2",12,3,0.372776297012668,"no"
"ANXA6",13,2,0.374070448810035,"no"
"NRF1",12,3,0.377264042228402,"no"
"KRT18",13,2,0.378794742114439,"no"
"NUDT1",13,2,0.379871313691447,"no"
"ANKRD46",13,2,0.37994138880507,"no"
"CHCHD7",13,2,0.380213477146118,"no"
"NRG2",13,2,0.38088847261366,"no"
"BTG2",13,2,0.38167658592475,"no"
"MUC20",10,5,0.382316766690102,"no"
"VWC2",13,2,0.382852666936008,"no"
"HIST3H3",13,2,0.382873625630966,"no"
"SDK1",13,2,0.38403041631709,"no"
"PAPPA2",12,3,0.385377144287131,"no"
"ATP8B2",13,2,0.385521684087934,"no"
"APOD",12,3,0.388016246717408,"no"
"CSNK1A1",13,2,0.388643517883221,"no"
"EXT1",13,2,0.389462108967254,"no"
"PRKAG2",13,2,0.389652091089583,"no"
"PABPC1",13,2,0.390993687528988,"no"
"COL1A2",12,3,0.391343821954787,"no"
"CCNE2",13,2,0.391677755992945,"no"
"ZC3HC1",12,3,0.391837105977938,"no"
"NR5A2",13,2,0.393079532199611,"no"
"HAVCR1",13,2,0.393440590412745,"no"
"DCAF8",12,3,0.39590043230921,"no"
"CACNA1S",13,2,0.396764485097122,"no"
"SLC6A19",13,2,0.397248376693753,"no"
"BRAF",12,3,0.397736924499565,"no"
"EGFR",13,2,0.398065467024997,"no"
"CPEB4",12,3,0.400528745150662,"no"
"SLC25A13",12,3,0.400804420912742,"no"
"PHF14",11,4,0.402685558017015,"no"
"TRIM24",12,3,0.403889086202848,"no"
"OR2T10",8,7,0.407156545176802,"no"
"CDC14C",13,2,0.407304612923515,"no"
"ARHGAP26",13,2,0.408657710962781,"no"
"OR2T1",13,2,0.409039546229205,"no"
"HLX",13,2,0.409099728341256,"no"
"DOK3",13,2,0.409541502709075,"no"
"ATOX1",13,2,0.409884874150779,"no"
"TGFB2",13,2,0.410123334512427,"no"
"ARMC1",13,2,0.410179215310012,"no"
"TFEC",11,4,0.410880130304137,"no"
"FAM20B",13,2,0.413161649252287,"no"
"VSIG8",12,3,0.414237679843137,"no"
"STEAP1B",13,2,0.414425191974039,"no"
"PPARGC1B",13,2,0.415348289145194,"no"
"FMN2",13,2,0.422157164716242,"no"
"S100A2",13,2,0.423757329124863,"no"
"EIF3H",13,2,0.424858901611692,"no"
"CNTNAP2",13,2,0.427647234996324,"no"
"SPRR1B",13,2,0.428388480715244,"no"
"MIR205",13,2,0.431477283599755,"no"
"BTNL8",13,2,0.433105980140537,"no"
"NPBWR1",13,2,0.433229849119458,"no"
"SLIT3",12,3,0.433851760670446,"no"
"ANXA13",13,2,0.438103790480886,"no"
"FCRL4",13,2,0.440739529951636,"no"
"OBSCN",13,2,0.443157682516207,"no"
"TNS3",13,2,0.443296879352941,"no"
"PRELP",13,2,0.443794373034544,"no"
"LMBR1",13,2,0.443895922227545,"no"
"FABP9",13,2,0.444720365078577,"no"
"SH2D2A",13,2,0.446009544968877,"no"
"RAB24",13,2,0.446303327900806,"no"
"GPR89B",13,2,0.446816284396319,"no"
"GPR89A",13,2,0.446816284396319,"no"
"GPR89C",13,2,0.446816284396319,"no"
"OR2G3",13,2,0.449386113384649,"no"
"TNFSF4",12,3,0.452590152428016,"no"
"RGS5",12,3,0.453274466818986,"no"
"SGCE",12,3,0.454635526073266,"no"
"ITK",13,2,0.454824545973433,"no"
"DLX5",12,3,0.455895147575577,"no"
"ETNK2",13,2,0.456890875872527,"no"
"UIMC1",13,2,0.456954466457994,"no"
"WWP1",13,2,0.457132709975104,"no"
"EN2",13,2,0.457820633929918,"no"
"TENC1",13,2,0.45801259146679,"no"
"TMUB1",13,2,0.460539880934922,"no"
"CAPN2",13,2,0.460689768343796,"no"
"IVNS1ABP",13,2,0.461420001782111,"no"
"KLHL7",13,2,0.461502148875446,"no"
"CD1E",12,3,0.462005870673536,"no"
"PEX1",12,3,0.463487267893839,"no"
"AGAP9",13,2,0.463667814762173,"no"
"PTGS2",13,2,0.46444073338512,"no"
"NFASC",13,2,0.464665974496448,"no"
"CLCN1",13,2,0.464897892765243,"no"
"OR2W3",12,3,0.465039997866042,"no"
"LMX1A",12,3,0.465376789973092,"no"
"NLRP3",13,2,0.466455618977425,"no"
"TRA2A",13,2,0.466859047968498,"no"
"EPHA1",13,2,0.467573792128572,"no"
"OR2B11",13,2,0.470847583828845,"no"
"OLFML2B",12,3,0.471609023300135,"no"
"COL23A1",13,2,0.472084656139255,"no"
"PKIA",13,2,0.472921204000341,"no"
"RGPD6",12,3,0.475120911397942,"no"
"DLD",13,2,0.475126324957752,"no"
"TMEM139",13,2,0.475657611081979,"no"
