"","#wt","#mut","pvalue","is_significant"
"NWD1",13,2,0.00956658307100656,"no"
"HTR1B",13,2,0.0148379281337742,"no"
"TRPV4",13,2,0.0240544668270859,"no"
"ZFPM2",13,2,0.0302032337538365,"no"
"FRAS1",12,3,0.0393356623483075,"no"
"RBMXL3",13,2,0.0521907812727985,"no"
"PKMYT1",13,2,0.071481476052054,"no"
"GLRA3",13,2,0.0783953375881696,"no"
"FOXK1",12,3,0.0814645108425115,"no"
"JUP",12,3,0.0970810057828637,"no"
"TRPS1",13,2,0.103393343273816,"no"
"PKHD1L1",10,5,0.107424421076617,"no"
"PDE5A",13,2,0.129319786944252,"no"
"LRP1B",12,3,0.134279716693684,"no"
"SETD1A",13,2,0.143852799828698,"no"
"ZNF232",13,2,0.152148694598558,"no"
"MAST2",13,2,0.161927308635199,"no"
"DDR1",13,2,0.16216808964743,"no"
"DPYD",12,3,0.16655429094286,"no"
"TEX14",12,3,0.168213640917492,"no"
"TP53",12,3,0.170783467303982,"no"
"KCNH5",13,2,0.176560455032958,"no"
"SRGAP3",13,2,0.178868163563689,"no"
"PIK3C3",12,3,0.188756194184903,"no"
"NSD1",13,2,0.192172582879092,"no"
"CYP11B2",13,2,0.202495942030059,"no"
"HLX",13,2,0.207103265887319,"no"
"ITGAX",13,2,0.20831867425997,"no"
"APC",13,2,0.210489927797965,"no"
"CDC42BPA",13,2,0.216040556106538,"no"
"DSP",13,2,0.217485485191559,"no"
"ATG9B",13,2,0.220397484373296,"no"
"FREM2",13,2,0.224307724056432,"no"
"IRF6",13,2,0.22463770688844,"no"
"LRRC69",13,2,0.22988955297335,"no"
"AKR1B15",13,2,0.234591559054992,"no"
"LRP4",13,2,0.239657005713498,"no"
"KDM3A",13,2,0.251961962852825,"no"
"ZNF638",13,2,0.257185680919846,"no"
"ACSL6",13,2,0.262663969235604,"no"
"EPHA3",13,2,0.267495639736491,"no"
"CFH",13,2,0.270357501986047,"no"
"VHL",13,2,0.271868082666649,"no"
"MYO3B",13,2,0.280970615383663,"no"
"RIPK4",13,2,0.28259917122744,"no"
"NCOR2",13,2,0.286105189815599,"no"
"SRCAP",13,2,0.287891117823108,"no"
"DNAJC7",13,2,0.298891554131124,"no"
"PCDH7",13,2,0.30294769265105,"no"
"RIF1",13,2,0.316084452842596,"no"
"SORL1",13,2,0.324546092142363,"no"
"ANK1",13,2,0.330677758140174,"no"
"PIK3CD",13,2,0.36746270940412,"no"
"PCM1",13,2,0.371144886994904,"no"
"ASXL1",13,2,0.37327301036334,"no"
"PREX2",13,2,0.37793704606113,"no"
"FER1L6",13,2,0.391037502690536,"no"
"ATP2B4",13,2,0.41005832841689,"no"
"LRP5",13,2,0.410654416822441,"no"
"ZBTB48",13,2,0.419734267525846,"no"
"EPHB2",13,2,0.422901780000746,"no"
"ATP2C1",13,2,0.426020969963466,"no"
"CSNK1A1L",13,2,0.432468135433811,"no"
"MCM4",13,2,0.432957428496438,"no"
"UBA7",12,3,0.432985353063415,"no"
"REV3L",13,2,0.440943213094754,"no"
"EPB41L2",13,2,0.459047528369018,"no"
"LMO7",13,2,0.462666369355843,"no"
"SIPA1L1",13,2,0.465606444529627,"no"
"ZFHX3",11,4,0.467829366270445,"no"
"STK10",13,2,0.473050165230968,"no"
"EPHA2",13,2,0.474483656087966,"no"
"NOTCH3",13,2,0.475853234001374,"no"
"NBEA",13,2,0.477379185458688,"no"
"MED13",13,2,0.479348135692028,"no"
"FMN2",13,2,0.484870223663356,"no"
"CHD7",13,2,0.491449331881571,"no"
"DDX10",13,2,0.494275042089552,"no"
"ABCD4",13,2,0.495943396068573,"no"
"GPR132",13,2,0.499702968548309,"no"
"EHMT1",13,2,0.502281380140242,"no"
"HERC4",13,2,0.50347223707443,"no"
"OGT",13,2,0.50642356069869,"no"
"DCAF6",13,2,0.512604220176946,"no"
"HK3",13,2,0.515479102697778,"no"
"HIRA",12,3,0.541310672395156,"no"
"WDFY2",12,3,0.544062632272535,"no"
"FLT1",13,2,0.546593068990163,"no"
"SULT2B1",13,2,0.557647692058414,"no"
"ALPK3",13,2,0.559026338378225,"no"
"AKAP1",12,3,0.566001597473917,"no"
"HLA-G",13,2,0.571096000430108,"no"
"TFAP2C",13,2,0.57942152962299,"no"
"BLM",12,3,0.583999713579566,"no"
"CACNA1D",13,2,0.584697466943414,"no"
"POU1F1",12,3,0.585167484871239,"no"
"RAB17",13,2,0.593164040181133,"no"
"WDFY3",13,2,0.599000058044612,"no"
"ABCA6",11,4,0.601985695595519,"no"
"TMEM67",13,2,0.612057882949442,"no"
"ZBTB32",13,2,0.622500176692912,"no"
"IRX1",13,2,0.626319326825132,"no"
"SETD1B",13,2,0.627347612885247,"no"
"KLHL38",13,2,0.632204856166778,"no"
"PBRM1",11,4,0.641910212725394,"no"
"PRDM16",13,2,0.651577865098214,"no"
"LTK",13,2,0.660169234440079,"no"
"RICTOR",12,3,0.660439248868153,"no"
"ANK3",13,2,0.661062693028927,"no"
"COL5A3",13,2,0.663433865318535,"no"
"TCHH",13,2,0.664618170916732,"no"
"ABCA3",12,3,0.67575712162963,"no"
"ITGB1",13,2,0.678578078601623,"no"
"SIK2",13,2,0.67960975298571,"no"
"COL22A1",13,2,0.696363390016295,"no"
"RAB3GAP1",13,2,0.698931913486213,"no"
"PTPRG",13,2,0.700338743939669,"no"
"TG",12,3,0.700688973886491,"no"
"OBSCN",11,4,0.702298864941763,"no"
"CIC",12,3,0.709638136287964,"no"
"MSH6",13,2,0.712535839655479,"no"
"GPR174",12,3,0.713654401516632,"no"
"MMP9",13,2,0.739992988605237,"no"
"EML4",13,2,0.748808434785858,"no"
"SPEG",13,2,0.756017667819485,"no"
"CIT",13,2,0.759995047686338,"no"
"MTF1",13,2,0.763151589728554,"no"
"ACCSL",13,2,0.765414617979535,"no"
"MYO15A",12,3,0.766931598202868,"no"
"CYP4Z1",12,3,0.766946125427176,"no"
