"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"RACGAP1",15,0,-1.39370737173294e-11,"yes",7.43918587772798e-30,"up"
"SQRDL",15,0,1.3122016362388e-08,"yes",NA,NA
"TP53",9,6,1.67455854738208e-08,"yes",5.26195452958508e-30,"up"
"ARNT2",15,0,2.47156938248949e-08,"yes",1.44413575767392e-33,"down"
"POLD1",15,0,2.58830182842118e-08,"yes",1.17202089137277e-40,"up"
"SUPV3L1",15,0,2.70570065241671e-08,"yes",5.70179280632218e-12,"down"
"NR6A1",15,0,4.80384234613496e-08,"yes",0.00137542138681021,"down"
"SLA2",15,0,1.25885323387642e-07,"yes",6.44904836581646e-61,"up"
"SART3",15,0,1.78257471672438e-07,"yes",6.52451834300524e-10,"up"
"MED4",15,0,1.90496781793392e-07,"yes",0.0319792336310474,"up"
"CES3",15,0,2.13204211618745e-07,"yes",1.45840317016382e-12,"up"
"WIF1",13,2,2.26564646599314e-07,"yes",1.40614753863093e-05,"down"
"HOXB-AS3",15,0,2.27507789052339e-07,"yes",5.30404941364665e-33,"down"
"KIF23",14,1,2.86183635567205e-07,"yes",8.22397599896812e-07,"up"
"MED25",15,0,2.98802386500263e-07,"yes",0.00320835625347885,"up"
"PPP3CA",14,1,3.24386006167465e-07,"yes",0.692770044189552,"up"
"XRCC5",15,0,3.72832611006402e-07,"yes",2.51644097695053e-05,"down"
"WDR31",15,0,8.18845119487932e-07,"yes",1.19885544240553e-25,"down"
"DHX38",15,0,9.0846064815242e-07,"yes",2.21492278451195e-24,"up"
"FKBP10",15,0,9.97811879566157e-07,"yes",4.54836289141997e-78,"up"
"HSD17B10",15,0,1.09328102093631e-06,"yes",1.46686706496512e-19,"down"
"KCNJ5",13,2,1.21459774693466e-06,"yes",1.87901738248074e-06,"down"
"LOC128322",15,0,1.27143403705343e-06,"yes",NA,NA
"BIRC7",15,0,1.30548014298792e-06,"yes",3.23307675403891e-27,"up"
"RTP2",14,1,1.46006975865198e-06,"yes",1.04231449387126e-24,"up"
"LONP1",14,1,1.63369999228724e-06,"yes",7.24609182393206e-06,"up"
"NUP43",14,1,2.13485603817176e-06,"yes",0.0790957132615023,"up"
"DNA2",14,1,2.53995195365064e-06,"yes",4.88611524053411e-56,"up"
"JMJD7-PLA2G4B",15,0,2.5854449929863e-06,"yes",7.07004107298203e-13,"up"
"CALM3",15,0,3.19158878359094e-06,"yes",3.14067751302661e-16,"up"
"LDHAL6A",15,0,3.25074029239314e-06,"yes",0.00353220003287529,"down"
"DMAP1",15,0,3.28309634856083e-06,"yes",3.46063115378029e-15,"up"
"TFG",15,0,3.56507976173592e-06,"yes",6.20095152355648e-32,"up"
"PPIL4",15,0,3.75482297687579e-06,"yes",8.97682187483357e-17,"down"
"MRGPRX3",15,0,3.79623824275921e-06,"yes",0.523497404579654,"up"
"SMNDC1",15,0,3.8646796379771e-06,"yes",0.793796175230139,"up"
"ATP5B",14,1,3.94991581464943e-06,"yes",2.15284303205055e-34,"down"
"PDGFA",12,3,4.03522946990087e-06,"yes",1.48000205802644e-32,"up"
"TAOK3",14,1,4.8159942032111e-06,"yes",6.22663018208036e-15,"down"
"ADRA2C",14,1,4.94672971196319e-06,"yes",4.21963366135968e-22,"down"
"KLHL29",15,0,5.71222584710984e-06,"yes",2.56199437886553e-26,"up"
"CHAF1B",14,1,6.43389410615036e-06,"yes",0.461661478754643,"up"
"NFKBIA",15,0,6.43896049734582e-06,"yes",3.53537419372412e-14,"up"
"EIF5A",15,0,6.81140590130802e-06,"yes",1.0325571377839e-40,"up"
"EIF5AL1",15,0,6.81140590130802e-06,"yes",5.46861720608051e-08,"up"
"CHST1",14,1,7.41141880489238e-06,"yes",5.99397101204978e-12,"up"
"ACTG1",14,1,8.50403202301564e-06,"yes",0.876389485430373,"down"
"CDK7",15,0,9.17228361374534e-06,"yes",2.08205521110528e-51,"up"
"PLK1",15,0,1.05218726410561e-05,"yes",5.36705179549668e-25,"up"
"SARNP",14,1,1.09364228287889e-05,"yes",5.93548162345421e-09,"up"
"RAB3GAP1",13,2,1.20664465040887e-05,"yes",0.00115709119779653,"down"
"ACO2",14,1,1.20818358573249e-05,"yes",8.29262820113253e-18,"down"
"VLDLR",14,1,1.22483263046425e-05,"yes",1.50125582688764e-18,"up"
"PLA2G4B",14,1,1.23163677705485e-05,"yes",2.05249939962756e-12,"up"
"MPZL1",12,3,1.39513406592906e-05,"yes",2.33617531233218e-33,"up"
"SMAP1",14,1,1.44468762641736e-05,"yes",0.372444456658179,"up"
"PLRG1",15,0,1.4798446857589e-05,"yes",8.48768896653197e-24,"down"
"SORD",15,0,2.01656816672946e-05,"yes",4.2724725100422e-17,"down"
"PNPT1",14,1,2.21610038807496e-05,"yes",7.61814377729985e-15,"down"
"MATN4",15,0,2.52847732611361e-05,"yes",0.11079168593427,"up"
"MED27",15,0,2.53176400513144e-05,"yes",0.0504865300100217,"down"
"CRSP8P",15,0,2.53176400513144e-05,"yes",NA,NA
"RFC2",13,2,3.27160365141133e-05,"yes",1.49743802881724e-133,"up"
"DHX30",14,1,3.30682202954735e-05,"yes",1.02594178447997e-16,"down"
"PLK2",15,0,3.3951262028542e-05,"yes",8.80376998227856e-112,"up"
"GRK7",15,0,3.43464586669562e-05,"yes",5.42160406383374e-11,"up"
"HOXB5",15,0,3.45844399013417e-05,"yes",1.22254063390874e-14,"down"
"USP5",15,0,3.57714774502638e-05,"yes",0.000112653948242491,"up"
"GRIN3A",15,0,3.59082057133087e-05,"yes",0.258493154648538,"up"
"WDR24",13,2,3.6872697779522e-05,"yes",4.95333503928953e-30,"up"
"RXFP4",13,2,3.74065179498118e-05,"yes",0.994173164247484,"up"
"WDR75",15,0,3.89207912714351e-05,"yes",1.559194530245e-36,"up"
"MACF1",14,1,4.0566170598888e-05,"yes",1.33333643562415e-15,"down"
"BET1",12,3,4.48620981318149e-05,"yes",5.29490834009979e-17,"up"
"AKR1C2",15,0,4.57691213440192e-05,"yes",4.59446800306537e-05,"up"
"ARF6",15,0,4.61992142654077e-05,"yes",0.00488811323807263,"down"
"NAA15",15,0,5.01716594615287e-05,"yes",3.12831230641643e-08,"up"
"BIRC5",14,1,5.48708409415788e-05,"yes",7.25385086335579e-40,"up"
"CRABP1",15,0,5.51897187826e-05,"yes",0.145721886385902,"down"
"EIF4B",13,2,5.54281688076586e-05,"yes",4.79941003544496e-05,"up"
"ARPC1A",14,1,5.87697200010728e-05,"yes",1.68536578661889e-73,"up"
"BAI1",14,1,5.89347218370451e-05,"yes",NA,NA
"DGKI",12,3,6.04073403266403e-05,"yes",0.0572926766906755,"up"
"MC5R",15,0,6.67781166485693e-05,"yes",0.884804909097099,"down"
"WDR38",15,0,6.68026813795963e-05,"yes",5.85842875158331e-13,"up"
"DKK1",14,1,7.04280422982873e-05,"yes",0.0807994630511971,"up"
"GPR6",15,0,7.20492494877822e-05,"yes",1.55822887251083e-07,"up"
"IRX3",15,0,7.74743923718235e-05,"yes",8.26990991015668e-71,"up"
"MED15",14,1,7.89242078373942e-05,"yes",9.56583674787523e-53,"up"
"RFC4",15,0,7.90276267258472e-05,"yes",3.8748048887353e-82,"up"
"TP53BP1",14,1,8.18567895202182e-05,"yes",8.64738206070285e-12,"down"
"CIT",13,2,8.48236077228837e-05,"yes",0.000165614858698181,"up"
"PSMC4",15,0,8.53384269525748e-05,"yes",0.886931359557903,"up"
"PPP4C",15,0,8.65703663565087e-05,"yes",3.43458270787471e-35,"up"
"USP28",13,2,8.8968225715913e-05,"yes",6.33606238044226e-11,"down"
"ATP2A3",14,1,8.91779260231429e-05,"yes",0.982813807063777,"down"
"ATP5O",15,0,9.29321430236385e-05,"yes",0.0109807289882661,"down"
"FOXL2",15,0,9.35443882967846e-05,"yes",4.36231213540725e-05,"up"
"SIRPB1",10,5,9.64833206248406e-05,"yes",9.75033250280064e-64,"up"
"SLC1A5",15,0,9.85897804374192e-05,"yes",0.0458874463444642,"up"
"LATS2",14,1,9.87996271314406e-05,"yes",1.83224551843551e-12,"down"
"PMP2",13,2,0.000100068434686795,"yes",3.42657358175437e-05,"down"
"GRM6",13,2,0.000114506316658658,"yes",5.03479789069054e-09,"up"
"GPR15",15,0,0.000124775779229092,"yes",4.54547572332564e-07,"up"
"ASB12",15,0,0.000124808792060671,"yes",0.000664469431554783,"down"
"MATK",13,2,0.000124897778421285,"yes",1.5206222659008e-41,"up"
"RARG",13,2,0.000125622972480199,"yes",1.31113093139608e-09,"up"
"LGALS16",15,0,0.000132095389498765,"yes",0.0190962243749136,"up"
"CIRH1A",15,0,0.00014941113060396,"yes",NA,NA
"CDH15",15,0,0.000153380811358406,"no",0.00625736585383883,"up"
"AGXT2",14,1,0.000153850103118414,"no",1.39001975643536e-09,"down"
"RAP1B",14,1,0.000158522161937125,"no",0.00409176320480318,"up"
"MTR",12,3,0.000162482659679664,"no",2.55052569157099e-13,"down"
"TOP2A",15,0,0.000164045475871011,"no",1.05982946948587e-18,"up"
"ZBTB24",15,0,0.000170305737113186,"no",1.13312554293716e-19,"down"
"EP400",14,1,0.000171668540555059,"no",0.0107049328531535,"up"
"DARS",15,0,0.000174269795933268,"no",1.59663786325808e-90,"up"
"LRRC4B",15,0,0.000177270411855335,"no",3.69436559176054e-14,"up"
"PUF60",14,1,0.000177327032308106,"no",0.0887335575363974,"down"
"NRF1",11,4,0.000177924504233817,"no",1.50806351147671e-08,"up"
"UBE2I",14,1,0.000181846816980413,"no",2.25537286942003e-80,"up"
"CBLN3",15,0,0.000182805377595741,"no",7.44646070522193e-68,"up"
"CDC37",14,1,0.000182999844516196,"no",8.17764298662319e-30,"up"
"RBMXL1",15,0,0.000184547092721643,"no",1.05737500953257e-17,"down"
"CDK4",14,1,0.000187266511532225,"no",8.51062174745982e-05,"up"
"PRDX5",15,0,0.000188034332028963,"no",0.0543635574301116,"up"
"BUD31",14,1,0.000191236549388241,"no",3.37253175250902e-21,"up"
"CENPW",14,1,0.000193202369378698,"no",2.0497293938159e-28,"up"
"KCNB2",13,2,0.000201945954086624,"no",0.126599008487287,"up"
"PTGDR",15,0,0.000202871030629992,"no",1.53635134294858e-42,"up"
"FERMT3",15,0,0.000205172524676112,"no",1.98041207615691e-70,"up"
"SLC35B2",15,0,0.000209610424828588,"no",0.0642315016091351,"up"
"CDC73",13,2,0.000216137604293731,"no",1.965688260557e-10,"down"
"KDM1A",15,0,0.000216230341205104,"no",3.64402141377272e-17,"down"
"ECHDC3",15,0,0.000217073058970563,"no",1.04120673694995e-21,"down"
"CACNA1E",13,2,0.000230321161616032,"no",0.206038023582213,"up"
"CCNF",14,1,0.000233509442935875,"no",4.16890904585326e-30,"up"
"RALY",14,1,0.000241480543190065,"no",1.52012179347039e-52,"up"
"NAE1",15,0,0.000259225236551308,"no",8.03870964530865e-07,"up"
"PDK3",15,0,0.000261848050011282,"no",6.19494492467567e-11,"down"
"DHX15",15,0,0.000263144022235817,"no",2.64035322975151e-11,"down"
"ERCC2",15,0,0.000264582094855692,"no",0.894915692034384,"down"
"NBEA",12,3,0.000267102597718116,"no",1.3789829069187e-09,"down"
"WDR25",14,1,0.000270082394915439,"no",1.38472001918465e-14,"down"
"GAS6",15,0,0.000270641901317759,"no",5.55440799106359e-12,"down"
"DHX57",15,0,0.000282873827569308,"no",0.183226047430031,"up"
"FAM8A1",15,0,0.000285634024690729,"no",1.03665565256303e-17,"down"
"NR2E3",15,0,0.000298143480662372,"no",1.10356985816341e-10,"up"
"EPS15",15,0,0.000298899814971332,"no",2.85169989497955e-24,"down"
"AHCTF1",12,3,0.000303676986226908,"no",2.02728219213314e-06,"down"
"NAT14",14,1,0.000309801433587942,"no",5.64398739275547e-08,"up"
"PGAM1",15,0,0.000310513347345887,"no",1.03659492142186e-28,"up"
"TCF15",14,1,0.000318074897491138,"no",0.00189569808879403,"up"
"DDX39B",13,2,0.00032557528245214,"no",1.25486772852653e-48,"up"
"ATP6V1G2-DDX39B",13,2,0.00032557528245214,"no",0.00488102985826659,"up"
"MBOAT1",15,0,0.000325941132944596,"no",4.15133885205227e-12,"down"
"NACA2",14,1,0.000334341011177464,"no",4.13748749403503e-15,"up"
"JAZF1",14,1,0.00033461035241511,"no",3.262240039803e-50,"up"
"PPP3CC",15,0,0.000335737244295031,"no",1.11990281748435e-05,"up"
"MKI67IP",15,0,0.0003370575498024,"no",NA,NA
"CDC23",14,1,0.000339666088858159,"no",0.0128051500568206,"up"
"CHST3",15,0,0.000353137382158697,"no",0.00959242486004832,"down"
"CCNB3",13,2,0.000369263040517209,"no",0.706517940353776,"down"
"PMS2",13,2,0.000369364805270278,"no",0.000175463906916799,"down"
"PMS2CL",13,2,0.000369364805270278,"no",1.84361563535201e-42,"up"
"WDR70",13,2,0.000378629482878035,"no",6.0658281914653e-19,"up"
"SAR1B",14,1,0.000390971749215985,"no",0.00140956269856101,"down"
"GJD3",15,0,0.000407673932580455,"no",0.000714610143649837,"up"
"CDK3",14,1,0.000428188450515177,"no",1.04393495384269e-62,"up"
"TEN1-CDK3",14,1,0.000428188450515177,"no",4.26495500587202e-67,"up"
"TTC7A",15,0,0.000434094897982185,"no",8.81236676268684e-30,"up"
