"","#wt","#mut","pvalue","is_significant"
"OR4L1",3,2,0.0254075464391827,"no"
"KIAA1875",2,3,0.0259204516697955,"no"
"OR4K14",3,2,0.0265209790920349,"no"
"LY6G6F",3,2,0.0350362261813862,"no"
"CYHR1",2,3,0.0475317366063272,"no"
"RAB36",3,2,0.0559021618915256,"no"
"SLC39A2",3,2,0.0582048399178224,"no"
"MSH5",3,2,0.0586290939325859,"no"
"MSH5-SAPCD1",3,2,0.0586290939325859,"no"
"ADARB1",3,2,0.0586890261076281,"no"
"CDC73",3,2,0.063881975937795,"no"
"DDX39B",3,2,0.0647075437804358,"no"
"ATP6V1G2-DDX39B",3,2,0.0647075437804358,"no"
"NAPRT1",2,3,0.0712629323693976,"no"
"PIGZ",3,2,0.0782063772978268,"no"
"FKBP4",3,2,0.0791284775389677,"no"
"BTNL9",3,2,0.0814780661762153,"no"
"OR2T10",1,4,0.0853064185609134,"no"
"CACNA1C",3,2,0.0992235464077413,"no"
"UBE2L3",2,3,0.105978623989207,"no"
"LMLN",3,2,0.108731102927745,"no"
"UCHL5",3,2,0.128006035436087,"no"
"FBXL14",3,2,0.133717475881385,"no"
"NCBP2",3,2,0.142729971673579,"no"
"TSNARE1",2,3,0.148124012397851,"no"
"FMN2",2,3,0.159248247487605,"no"
"GSTT1",1,4,0.161564435870109,"no"
"SUPT16H",3,2,0.16175409530379,"no"
"GPIHBP1",2,3,0.164235760904407,"no"
"IQCG",3,2,0.164569951899717,"no"
"TNF",3,2,0.179624218078834,"no"
"PARP2",3,2,0.180556106767138,"no"
"VPREB1",3,2,0.196835953866118,"no"
"SMARCB1",3,2,0.203967344185038,"no"
"RTN4R",2,3,0.215893875424251,"no"
"ARL17A",3,2,0.218620487053243,"no"
"ARL17B",3,2,0.218620487053243,"no"
"PRRT1",3,2,0.221803380878727,"no"
"CFH",2,3,0.222171119268862,"no"
"HIRA",2,3,0.228759007418504,"no"
"TEP1",3,2,0.235636734085917,"no"
"AIRE",3,2,0.243864114035153,"no"
"WNT5B",3,2,0.252097044726507,"no"
