"","#wt","#mut","pvalue","is_significant"
"RGPD4",3,2,0.0391502094300115,"no"
"CACNA1E",2,3,0.0412370390111724,"no"
"DNMT1",3,2,0.0552967055318478,"no"
"KRAS",3,2,0.0639457036542267,"no"
"UNC45A",3,2,0.0689898327602169,"no"
"RPAP1",3,2,0.0906816096007727,"no"
"PAPPA2",3,2,0.109237424216288,"no"
"SETD3",3,2,0.11102646822648,"no"
"FCGBP",1,4,0.116557950783013,"no"
"KDM6B",2,3,0.12138314856041,"no"
"SOX7",3,2,0.157102547138868,"no"
"HOXA11",3,2,0.168975593221954,"no"
"OBSCN",3,2,0.169546356974224,"no"
"HEATR6",3,2,0.174449954608236,"no"
"TRIP11",3,2,0.175924641007244,"no"
"CDC42BPG",3,2,0.179385400173669,"no"
"POTEE",3,2,0.189612699324186,"no"
"PHC2",3,2,0.190482883980112,"no"
"MMP3",3,2,0.190834194457531,"no"
"RPS6KA2",3,2,0.204562334168632,"no"
"DMXL1",3,2,0.214724982825998,"no"
"ARHGAP24",3,2,0.215100326567416,"no"
"CHD9",3,2,0.218704672660389,"no"
"HKDC1",3,2,0.238931094323663,"no"
"ERN2",3,2,0.252187602235849,"no"
"CYLD",3,2,0.25379007387565,"no"
"ONECUT2",3,2,0.261461311089228,"no"
"ASPSCR1",3,2,0.272458561777383,"no"
"EIF2AK4",2,3,0.272536867066747,"no"
"KDM2B",3,2,0.275567360855853,"no"
"COL6A1",3,2,0.277238301453272,"no"
"THBS2",2,3,0.278138726302377,"no"
"PGR",3,2,0.282851732157755,"no"
"IRAK2",3,2,0.284941796331255,"no"
"IGF1R",2,3,0.288322551125095,"no"
"ACVR1B",3,2,0.29076881314817,"no"
"TTN",1,4,0.290795751222222,"no"
"INSR",3,2,0.293159328062758,"no"
"HCN1",3,2,0.300103259766019,"no"
"FOSB",3,2,0.30074091306019,"no"
"FRY",3,2,0.321823480229133,"no"
"MCM3",3,2,0.333109770701252,"no"
"TGFB1I1",3,2,0.340255738462822,"no"
"TTBK1",3,2,0.3465741364654,"no"
"USP9X",3,2,0.353349543653155,"no"
"ZBTB40",3,2,0.363672384758154,"no"
"SEMA7A",3,2,0.365938134343296,"no"
"TP53",2,3,0.367996874195998,"no"
"HS3ST1",3,2,0.375043867178412,"no"
"PRKCA",3,2,0.382058508383377,"no"
"SCN7A",3,2,0.382094119024463,"no"
"MYLK2",3,2,0.383341071720412,"no"
"KLHL34",3,2,0.386302589319538,"no"
"TNFRSF10B",3,2,0.388554600745578,"no"
"SH3BP4",3,2,0.392728137529894,"no"
"PRKDC",2,3,0.395780458031866,"no"
"DDX54",3,2,0.398802694284312,"no"
"ZNF408",3,2,0.404303761423577,"no"
"TENM4",3,2,0.405008464038082,"no"
"ABCA13",3,2,0.40701571016838,"no"
"KIF21B",3,2,0.407450008479713,"no"
"LIG1",3,2,0.411635443162756,"no"
"GPI",3,2,0.420999534314437,"no"
"ATRX",3,2,0.422056822468979,"no"
"NOTCH1",3,2,0.423005178134972,"no"
"RAD54L2",3,2,0.427149884424356,"no"
"MYOM2",3,2,0.428758669732136,"no"
"TBX4",3,2,0.445822786893377,"no"
"DMXL2",3,2,0.446393359599545,"no"
"AGAP5",3,2,0.446522212836492,"no"
"TLN2",3,2,0.464163600573395,"no"
"NPR2",3,2,0.466420282061794,"no"
"ATN1",3,2,0.467178902372214,"no"
"MAST4",3,2,0.479218845643167,"no"
"NBEA",3,2,0.484281439516614,"no"
"KDM5B",3,2,0.488975254552533,"no"
"PTPRN2",3,2,0.498793448287225,"no"
"RALGDS",3,2,0.502134662011828,"no"
"MAPKBP1",3,2,0.509874244175036,"no"
"COL15A1",3,2,0.51352956407472,"no"
"KTN1",3,2,0.517072554943997,"no"
"FBXW10",3,2,0.522190002598383,"no"
"STEAP1",2,3,0.526822477429697,"no"
"SLC19A1",3,2,0.527081802368488,"no"
"GABBR2",3,2,0.528137514789625,"no"
"NOTCH4",3,2,0.537592917476808,"no"
"EXT1",3,2,0.549923107188324,"no"
"KCNN2",3,2,0.551341754517108,"no"
"GFRA1",3,2,0.555189263662549,"no"
"FRAS1",3,2,0.556863014397966,"no"
"HOXD3",3,2,0.55752490030173,"no"
"SARDH",2,3,0.558333670270515,"no"
"SALL1",2,3,0.562025373348441,"no"
"MATN2",3,2,0.565437142762741,"no"
"PLEKHG5",3,2,0.566719989067772,"no"
"SIRT7",3,2,0.573434852082493,"no"
"PYGB",3,2,0.574823001052047,"no"
"HELZ",3,2,0.583387960755253,"no"
"SIGLEC10",3,2,0.58391527996426,"no"
"PLEKHG2",3,2,0.586931012982124,"no"
"SAMD4B",3,2,0.595678172858215,"no"
"TMPRSS2",3,2,0.596111697898924,"no"
"NOTUM",3,2,0.599431725220634,"no"
"TLX1",3,2,0.600116563309719,"no"
"WHSC1",3,2,0.63892164105896,"no"
"GLI2",2,3,0.643464337018183,"no"
"FGFR4",3,2,0.64400472264531,"no"
"DOCK2",3,2,0.653270409541816,"no"
"CACNA1B",3,2,0.654150998181338,"no"
"FLNA",2,3,0.655013569891052,"no"
"TXNRD1",3,2,0.655185994727027,"no"
"TCHH",3,2,0.65639212948911,"no"
"JAG1",3,2,0.662828178112778,"no"
"HRAS",3,2,0.671408732520154,"no"
"GPR98",1,4,0.675579708616994,"no"
"AMBRA1",3,2,0.688798041210556,"no"
"PNPLA6",3,2,0.688831218557284,"no"
"CHRD",3,2,0.697654277077237,"no"
"SERPINA3",3,2,0.699716946859791,"no"
"FAT3",3,2,0.70143130633753,"no"
"MYO9A",3,2,0.709231186851829,"no"
"MLLT4",3,2,0.725941958928902,"no"
"ATP10A",3,2,0.727384817260139,"no"
"NFATC2",3,2,0.727588416410892,"no"
"ATP13A2",3,2,0.729089740627624,"no"
"ESRP1",3,2,0.73504090186322,"no"
"MYO7A",3,2,0.736507417036694,"no"
"LINGO3",3,2,0.739689482264376,"no"
"SEMA6C",3,2,0.74767653163972,"no"
"GABRR2",3,2,0.751407244725785,"no"
"DNAH5",2,3,0.781098827093652,"no"
"KIAA1549",3,2,0.784161863385085,"no"
"PRDM1",3,2,0.78888512767186,"no"
"HERC1",2,3,0.790903821719792,"no"
"MYO15A",3,2,0.798322502457503,"no"
"PDE4D",3,2,0.807469178530485,"no"
"HIPK2",3,2,0.819040049463022,"no"
"ENO3",3,2,0.826241501367183,"no"
"COL1A2",2,3,0.827938569556148,"no"
"ALPK3",3,2,0.840845409782167,"no"
"KSR2",3,2,0.842420859156849,"no"
"ITGB1",3,2,0.857291924858071,"no"
"TLE1",3,2,0.86215475189214,"no"
"CLPTM1L",3,2,0.873876051620538,"no"
"KCNH7",3,2,0.875730260788886,"no"
"ITIH5",3,2,0.902666635215243,"no"
"FMN2",2,3,0.928750833963824,"no"
"TANC2",3,2,0.928812759288494,"no"
"RASAL3",3,2,0.990941014387365,"no"
