"","#wt","#mut","pvalue","is_significant"
"CCND3",4,1,2.94036524079625e-14,"yes"
"MYB",4,1,2.26843058778428e-13,"yes"
"EP300",5,0,4.7555955095463e-11,"yes"
"WIPI2",5,0,6.71460195777988e-11,"yes"
"STK38",5,0,2.05563735349876e-10,"yes"
"RUNX1",4,1,3.57271493874052e-10,"yes"
"KPNA6",4,1,8.18162979854453e-10,"yes"
"CHRM1",5,0,1.2137925061827e-09,"yes"
"TYMS",5,0,2.75265592660741e-09,"yes"
"PAPPA",4,1,5.53691504829369e-09,"yes"
"CCNI",5,0,1.38856452749905e-08,"yes"
"C1QL3",5,0,1.58891171729594e-08,"yes"
"DNMBP",5,0,2.48556869706929e-08,"yes"
"CDRT1",5,0,3.28554744316588e-08,"yes"
"PKMYT1",4,1,7.21569620503666e-08,"yes"
"FGD6",5,0,7.55587340010965e-08,"yes"
"CLDN15",5,0,7.91561271988385e-08,"yes"
"ADK",5,0,1.20230399519824e-07,"yes"
"BRWD3",4,1,2.99516835494372e-07,"yes"
"YWHAE",5,0,3.70836435796981e-07,"yes"
"GPR173",5,0,4.80679613709568e-07,"yes"
"LGALS1",5,0,5.26273851786165e-07,"yes"
"STK16",5,0,5.26273851786165e-07,"yes"
"EGFL7",5,0,6.02638264892218e-07,"yes"
"LRWD1",5,0,6.67207926032446e-07,"yes"
"CBFB",5,0,6.92801161484363e-07,"yes"
"DGKG",5,0,1.48994336588601e-06,"yes"
"WNT8A",5,0,1.52217805183859e-06,"yes"
"P2RY11",5,0,1.64979724734248e-06,"yes"
"PPAN-P2RY11",5,0,1.64979724734248e-06,"yes"
"SFN",5,0,1.75647651365021e-06,"yes"
"MAGEA11",5,0,2.19583207405638e-06,"yes"
"KLB",5,0,2.21332167690513e-06,"yes"
"TMEM117",5,0,2.2353402094767e-06,"yes"
"RASGRP4",5,0,2.32061447727681e-06,"yes"
"ANGPTL5",5,0,2.42258365444827e-06,"yes"
"IFT80",4,1,2.54000517920493e-06,"yes"
"FCGRT",5,0,2.67789374243927e-06,"yes"
"WDR69",5,0,3.30712594566979e-06,"yes"
"FUK",4,1,3.82871542645045e-06,"yes"
"ATP11B",5,0,4.47907975434101e-06,"yes"
"FBXW10",3,2,5.22979573359507e-06,"yes"
"MFRP",5,0,5.46573791511144e-06,"yes"
"C1QTNF5",5,0,5.46573791511144e-06,"yes"
"SLIT2",4,1,5.7956107576554e-06,"yes"
"PGK2",5,0,5.96196886995646e-06,"yes"
"CAMKK1",5,0,7.92282329542712e-06,"yes"
"WDR52",4,1,7.97229927030443e-06,"yes"
"DAPK1",5,0,8.38333132992236e-06,"yes"
"SLC7A8",5,0,9.03940500690457e-06,"yes"
"KRTAP5-5",5,0,1.014432864454e-05,"yes"
"SNAP25",5,0,1.11453788486528e-05,"yes"
"UGT8",5,0,1.15672587543337e-05,"yes"
"TBL1Y",5,0,1.17495471244616e-05,"yes"
"ABCG8",5,0,1.37397856818929e-05,"yes"
"PRKAB2",5,0,1.38535563539765e-05,"yes"
"SETD6",4,1,1.49458168481813e-05,"yes"
"CELF6",5,0,1.50129655080359e-05,"yes"
"SUFU",5,0,1.62271305991772e-05,"yes"
"QSOX2",5,0,1.70418502669552e-05,"yes"
"ANGPTL4",5,0,1.72222333464425e-05,"yes"
"KLHL29",5,0,1.78656407076963e-05,"yes"
"IQUB",5,0,1.86967911329078e-05,"yes"
"LRCH4",3,2,1.87406566526503e-05,"yes"
"HSH2D",5,0,2.01163580105787e-05,"yes"
"HIST1H1C",5,0,2.12165011303572e-05,"yes"
"SLC5A1",5,0,2.62352602217568e-05,"yes"
"LOC100996481",5,0,2.68755827796698e-05,"yes"
"PSCA",2,3,2.68765355953149e-05,"yes"
"ANKIB1",4,1,2.69415343266889e-05,"yes"
"GXYLT1",5,0,2.74954108956221e-05,"yes"
"SOCS6",5,0,2.85991013476047e-05,"yes"
"NDUFC2",5,0,2.87011679495335e-05,"yes"
"SLC44A5",5,0,3.04456306967821e-05,"yes"
"MIB1",5,0,3.10939996985425e-05,"yes"
"TFRC",3,2,3.1319661671807e-05,"yes"
"SH2D1A",5,0,3.52602697079467e-05,"yes"
"GNGT2",5,0,3.62349243391354e-05,"yes"
"ANKS1A",4,1,3.63916925108065e-05,"yes"
"ABCC11",5,0,4.15741071100137e-05,"yes"
"UBA5",5,0,4.15741071100137e-05,"yes"
"MOS",5,0,4.23590244965905e-05,"yes"
"CNST",4,1,4.34498160448877e-05,"yes"
"LPAR1",5,0,4.48825329322435e-05,"yes"
"HMHA1",4,1,4.54787009859174e-05,"yes"
"CRABP1",5,0,4.77292663167536e-05,"yes"
"HES7",5,0,5.01836458644375e-05,"yes"
"PCK2",4,1,5.67992658074686e-05,"yes"
"CCNYL2",5,0,5.69106191437404e-05,"yes"
"YAF2",5,0,5.98565581153803e-05,"yes"
"WDR65",5,0,6.16567197892709e-05,"yes"
"HPN",5,0,6.36930998660533e-05,"yes"
"PHKB",5,0,6.40808406849696e-05,"yes"
"PLK2",5,0,7.12482720204413e-05,"yes"
