"","#wt","#mut","pvalue","is_significant"
"RRAS",5,0,5.65558710974301e-12,"yes"
"DARS",5,0,1.5088749139025e-09,"yes"
"PPP1CB",4,1,1.92626226080961e-09,"yes"
"DDX19B",5,0,4.36661418135031e-09,"yes"
"COPS3",4,1,1.50496393125366e-08,"yes"
"VPRBP",4,1,1.87199390433435e-08,"yes"
"NLE1",5,0,2.3786535296999e-08,"yes"
"LONP1",5,0,5.32023080035415e-08,"yes"
"UBE2I",5,0,8.00765337372056e-08,"yes"
"RBMX",5,0,8.84176277748949e-08,"yes"
"PPP2R3A",5,0,1.08356456030023e-07,"yes"
"OR2AT4",5,0,1.09935973102715e-07,"yes"
"ZFP36L2",5,0,2.01309485969858e-07,"yes"
"POU4F2",5,0,2.06517727696642e-07,"yes"
"CA7",5,0,2.99348420385037e-07,"yes"
"ATP1A1",5,0,4.06824648968573e-07,"yes"
"RACGAP1",4,1,4.60563958859517e-07,"yes"
"COPS8",5,0,4.84570683800811e-07,"yes"
"SLX1B",5,0,5.38903843438909e-07,"yes"
"SLX1A",5,0,5.38903843438909e-07,"yes"
"YAP1",5,0,7.51874744020498e-07,"yes"
"WDR74",5,0,9.94605398596526e-07,"yes"
"SNRPB2",5,0,1.02031046400608e-06,"yes"
"USP5",5,0,1.09562323002965e-06,"yes"
"EPSTI1",5,0,1.24014882807444e-06,"yes"
"DDX24",5,0,1.33392883439054e-06,"yes"
"GAMT",4,1,1.48670047117605e-06,"yes"
"F2RL2",5,0,2.18712882893435e-06,"yes"
"NACA2",4,1,2.54879791061757e-06,"yes"
"OGT",4,1,2.89049837254307e-06,"yes"
"CCNB1",5,0,3.57550642848814e-06,"yes"
"MAFF",5,0,4.02107742736302e-06,"yes"
"TNFRSF13C",5,0,5.26972621950339e-06,"yes"
"DDX39B",3,2,5.53963058014251e-06,"yes"
"ATP6V1G2-DDX39B",3,2,5.53963058014251e-06,"yes"
"RBMXL1",3,2,6.41063705841827e-06,"yes"
"RTP1",5,0,6.41101623177764e-06,"yes"
"ITGAV",5,0,7.64691951071761e-06,"yes"
"XRCC5",5,0,9.48040386461457e-06,"yes"
"ACADSB",5,0,1.25896932831049e-05,"yes"
"MEIS1",5,0,1.34214889887518e-05,"yes"
"TFEC",5,0,1.43748893124407e-05,"yes"
"CENPW",3,2,1.46353355973128e-05,"yes"
"TOP2A",4,1,1.59313972855069e-05,"yes"
"PPP1CC",5,0,1.6292004408891e-05,"yes"
"HDAC11",5,0,1.69522273083533e-05,"yes"
"STAP1",5,0,1.75645674455049e-05,"yes"
"PPP1R12A",5,0,1.78889700752638e-05,"yes"
"DNAJC5",5,0,1.8408414397042e-05,"yes"
"PRDM14",3,2,1.89191376436249e-05,"yes"
"GABRQ",5,0,1.90377865297853e-05,"yes"
"NMRK2",5,0,1.9558591309754e-05,"yes"
"KIF18A",4,1,1.9585224341867e-05,"yes"
"PPARG",5,0,2.06343929396446e-05,"yes"
"TLN1",4,1,2.18292243830964e-05,"yes"
"OMG",5,0,2.42379916347568e-05,"yes"
"PSAT1",5,0,2.98081228622404e-05,"yes"
"CDC27",5,0,3.24238751544526e-05,"yes"
"ADAP1",5,0,3.36438284502805e-05,"yes"
"UBL5",5,0,3.41497999517548e-05,"yes"
"KAT8",4,1,3.61337109118232e-05,"yes"
"PDE1C",4,1,3.69117975007605e-05,"yes"
"FOS",4,1,3.90481636319828e-05,"yes"
"HNRPDL",5,0,3.9157681632207e-05,"yes"
"MKI67IP",5,0,4.12087834221753e-05,"yes"
"NCKAP1",5,0,4.33449490192528e-05,"yes"
"CDK1",5,0,4.34397956644572e-05,"yes"
"NAA50",5,0,5.30714036203195e-05,"yes"
"ADAR",5,0,5.35186004728683e-05,"yes"
"MFNG",5,0,5.39688068362798e-05,"yes"
"OGG1",5,0,6.83354818884485e-05,"yes"
"GNL3",4,1,7.26849608474467e-05,"yes"
"KIAA1967",5,0,7.62485337745256e-05,"yes"
"SNAI2",5,0,7.6845972659112e-05,"yes"
"FOXL2",5,0,8.14471632308855e-05,"yes"
"PROM1",4,1,8.38107206572181e-05,"yes"
"RBP5",5,0,8.51218460395931e-05,"yes"
"INTS4",5,0,8.86756800562161e-05,"yes"
"TMEM44",5,0,9.41839735936201e-05,"yes"
"NCOA6",4,1,9.45690381138897e-05,"yes"
"RORA",5,0,9.64984024597326e-05,"yes"
"RRN3",5,0,9.84007714769364e-05,"yes"
"DHX15",5,0,0.000100704491239889,"yes"
"ERBB4",4,1,0.000104464934687631,"yes"
"AMIGO2",5,0,0.000117014416544103,"yes"
"MSX2",5,0,0.000118384099973889,"yes"
"ARHGAP11B",5,0,0.000119339832909793,"yes"
"CEBPZ",5,0,0.000131758508739366,"yes"
"UBTF",5,0,0.0001325676915237,"yes"
"PABPC4",5,0,0.000142591802912873,"yes"
"BTD",5,0,0.000152693606841336,"yes"
"NEDD8-MDP1",5,0,0.000154912194120338,"no"
"UTP18",5,0,0.000167929798614908,"no"
"BCLAF1",5,0,0.000168210008386738,"no"
"TBX3",5,0,0.000168210008386738,"no"
"WDR46",5,0,0.000174469891108031,"no"
"TOPBP1",5,0,0.000175048083960072,"no"
"RBPJ",5,0,0.000181509981257988,"no"
"ETV5",5,0,0.000181659028662073,"no"
"ITGA8",4,1,0.000185216913202058,"no"
