"","#wt","#mut","pvalue","is_significant"
"RAB40B",9,2,0.00061351430388196,"yes"
"ARMC7",9,2,0.00417389410871878,"no"
"ENPP7",9,2,0.00896102173134692,"no"
"GPAA1",8,3,0.0210013598857686,"no"
"LRG1",9,2,0.0221996476977852,"no"
"UBE4A",9,2,0.027205017682765,"no"
"GRIN2C",9,2,0.0368657005284819,"no"
"KIAA1875",8,3,0.0394874748420363,"no"
"PPP1R16A",8,3,0.0582404768720567,"no"
"MAFG",9,2,0.0644042173191986,"no"
"KIAA0195",9,2,0.0699101762767839,"no"
"AATK",9,2,0.0712443021958208,"no"
"KANK2",8,3,0.0719008787802118,"no"
"LRRK1",8,3,0.0746648210093348,"no"
"PARP10",8,3,0.07843000306865,"no"
"KCNJ5",8,3,0.0848398727016071,"no"
"RECQL5",9,2,0.0876372357369302,"no"
"CADM1",9,2,0.0936621954887444,"no"
"ATG4D",9,2,0.102770840634057,"no"
"ITCH",9,2,0.113722142475493,"no"
"SMARCA4",9,2,0.113733266775214,"no"
"CBX2",9,2,0.117031552202685,"no"
"BTBD17",9,2,0.120308500298395,"no"
"P2RY11",8,3,0.134977242061276,"no"
"PPAN-P2RY11",8,3,0.134977242061276,"no"
"CBWD5",9,2,0.142230450910824,"no"
"CBWD3",9,2,0.142230450910824,"no"
"OR2T34",5,6,0.15926504861753,"no"
"KBTBD11",9,2,0.161527181389889,"no"
"MCAM",9,2,0.164319323889909,"no"
"WBP2",9,2,0.167175027498965,"no"
"SLC16A3",9,2,0.16952205911528,"no"
"JMJD6",9,2,0.173628045235615,"no"
"FDXR",9,2,0.174374384667178,"no"
"NRIP1",9,2,0.176676349332205,"no"
"PRMT2",7,4,0.177201095398893,"no"
"NFRKB",8,3,0.183334210524669,"no"
"CHEK1",8,3,0.194987046989723,"no"
"ARHGEF12",9,2,0.195696283875886,"no"
"C17orf99",9,2,0.196265691436569,"no"
"LLGL2",9,2,0.200108174191884,"no"
"ITGA1",9,2,0.200806909977838,"no"
"SLC38A10",9,2,0.201292197660054,"no"
"DGAT1",8,3,0.202080699563798,"no"
"SLC16A5",9,2,0.202413292065771,"no"
"RNF213",9,2,0.205444911843478,"no"
"PDE6G",9,2,0.210630994466226,"no"
"KCNE2",9,2,0.215111570299259,"no"
"SOX21",9,2,0.216718832672364,"no"
"CFHR3",4,7,0.237430990763095,"no"
"MYOM2",9,2,0.239776451901138,"no"
"ARL17A",5,6,0.2425031408796,"no"
"ARL17B",5,6,0.2425031408796,"no"
"SIRPB1",8,3,0.244785463274859,"no"
"SPRY2",9,2,0.246934021573092,"no"
"FOXJ1",9,2,0.247593562931051,"no"
"LRRC24",8,3,0.249401945765034,"no"
"FN3K",9,2,0.250658202744537,"no"
"BAIAP2",9,2,0.250738350865182,"no"
"ERCC5",9,2,0.251471722837667,"no"
"BIVM-ERCC5",9,2,0.251471722837667,"no"
"ARHGEF10",9,2,0.254433108217693,"no"
"KIRREL3",8,3,0.255824968279977,"no"
"KIF19",9,2,0.25815449617064,"no"
"GALK1",9,2,0.259794934509667,"no"
"KIAA2026",8,3,0.260480501650043,"no"
"FAM83H",8,3,0.266068189348358,"no"
"SIRT7",9,2,0.272491050814338,"no"
"TMED10P1",8,3,0.273352521861916,"no"
"PKNOX2",8,3,0.282954666219531,"no"
"MFSD3",8,3,0.28549799330348,"no"
"VLDLR",7,4,0.287147054106105,"no"
"CANT1",9,2,0.287647698786063,"no"
"TTC23",8,3,0.291189120599756,"no"
"SMARCA2",6,5,0.295126318407916,"no"
"ARHGAP39",8,3,0.295546215934691,"no"
"GABPA",9,2,0.296203881601552,"no"
"RAB37",9,2,0.300630345807359,"no"
"IFNGR2",9,2,0.303292703876814,"no"
"RBM11",9,2,0.305456412221714,"no"
"KLF12",8,3,0.307018503338437,"no"
"FLI1",8,3,0.307163974739562,"no"
"KLF5",8,3,0.311158657299895,"no"
"SLC19A1",7,4,0.311294082385773,"no"
"ABCG4",9,2,0.311727831971714,"no"
"FOXH1",8,3,0.314400027152136,"no"
"DOCK9",9,2,0.31858454555192,"no"
"TMPRSS2",7,4,0.322734859228986,"no"
"ZNF202",9,2,0.323576673002428,"no"
"CBX4",9,2,0.327882056905039,"no"
"FOXR1",9,2,0.336332840561422,"no"
"RUNX1",9,2,0.336947683328357,"no"
"COL5A3",8,3,0.360972563009038,"no"
