"","#wt","#mut","pvalue","is_significant"
"HNF4G",9,2,0.000526651638285043,"yes"
"KANK1",9,2,0.0152278910553309,"no"
"BMP2",9,2,0.0213443567607996,"no"
"CD244",7,4,0.0249354749633573,"no"
"FLT3",9,2,0.0267093286983907,"no"
"UBE4A",9,2,0.027205017682765,"no"
"SMEK2",9,2,0.0320662163945914,"no"
"POTEE",9,2,0.0489234201451577,"no"
"ANK3",9,2,0.0673083150201818,"no"
"PCM1",9,2,0.079880365201909,"no"
"PHF3",9,2,0.103621538801654,"no"
"FCGRT",9,2,0.11307433169484,"no"
"LGSN",9,2,0.11346646009203,"no"
"TTN",5,6,0.11939823048067,"no"
"TP53",4,7,0.129907355321988,"no"
"CASP9",9,2,0.155880556270922,"no"
"DLD",8,3,0.1672920873191,"no"
"AMZ2",8,3,0.168430163665309,"no"
"FOXK1",9,2,0.170319315499918,"no"
"TTC28",9,2,0.173731860461661,"no"
"PLEKHG5",9,2,0.175520922889774,"no"
"MAP3K1",9,2,0.176981350800657,"no"
"SIRT3",9,2,0.188478502673613,"no"
"ARHGEF12",9,2,0.195696283875886,"no"
"SYNJ2",9,2,0.200373234745553,"no"
"PLEKHG4",9,2,0.200465030103699,"no"
"FPGT-TNNI3K",9,2,0.207003414931212,"no"
"SOHLH2",8,3,0.233269108068745,"no"
"PKD1",9,2,0.235596146868217,"no"
"IRAK3",8,3,0.235758013099356,"no"
"CEL",9,2,0.243085446554519,"no"
"ABCA4",9,2,0.245470262014038,"no"
"MAP3K5",9,2,0.276391173713084,"no"
"WRN",9,2,0.278387175780866,"no"
"FZD10",9,2,0.278881203145316,"no"
"CENPE",9,2,0.287360388053524,"no"
"SULT1C2",8,3,0.297028711037386,"no"
"FOXK2",9,2,0.305041963658586,"no"
"PASK",9,2,0.323756938654901,"no"
"SLC4A7",8,3,0.345165312986907,"no"
"TENM4",9,2,0.361868997885272,"no"
"TP63",8,3,0.367315804179066,"no"
"DDX5",9,2,0.370119224579965,"no"
"SALL2",9,2,0.371074459939634,"no"
"RGPD3",9,2,0.377967928789344,"no"
"LMO7",9,2,0.385004843008828,"no"
"RAD50",9,2,0.385443846081848,"no"
"ACTRT3",8,3,0.397440931093756,"no"
"SH3RF1",9,2,0.400020614226346,"no"
"OBSCN",9,2,0.4057531405895,"no"
"BAIAP2",9,2,0.422982528112241,"no"
"ABCC3",9,2,0.425114514443889,"no"
"ZNF703",9,2,0.437634332497003,"no"
"RAC1",9,2,0.439851847107149,"no"
"ZFHX2",8,3,0.45954177544346,"no"
"TGS1",9,2,0.473358031157831,"no"
"ITIH2",9,2,0.482519911423577,"no"
"HCAR1",9,2,0.488019259114695,"no"
"PAK7",8,3,0.490938131764557,"no"
"PDPN",9,2,0.500186556590396,"no"
"HIC1",9,2,0.508071569496324,"no"
"DGKI",9,2,0.51815384071225,"no"
"EPHA7",9,2,0.525797250366468,"no"
"HEATR2",9,2,0.526806602540241,"no"
"ST7",9,2,0.536331706415447,"no"
"HERC1",9,2,0.53954490977023,"no"
"VCAN",7,4,0.540467685686499,"no"
"POLE",7,4,0.553458526239827,"no"
"CDKL3",9,2,0.578634221593052,"no"
"CLCA2",9,2,0.581589925013128,"no"
"ITGB6",9,2,0.58776619773149,"no"
"COCH",9,2,0.590587699570958,"no"
"CIT",9,2,0.595422936003364,"no"
"OLR1",9,2,0.596445177491261,"no"
"FGFR3",9,2,0.603089879362027,"no"
"MADD",7,4,0.608980204555137,"no"
"EPHA3",9,2,0.611499507588125,"no"
"XYLT2",9,2,0.643525896550148,"no"
"CYP27B1",9,2,0.654279844978452,"no"
"ASB4",9,2,0.657736063109949,"no"
"CDK14",9,2,0.658137545028406,"no"
"RNF213",9,2,0.679276265616627,"no"
"MECOM",9,2,0.691105558810776,"no"
"BIRC6",6,5,0.698465583332298,"no"
"STAT5B",9,2,0.699538045081025,"no"
"DROSHA",9,2,0.705355740091849,"no"
"GPR98",9,2,0.71199756589704,"no"
"TTC3",8,3,0.730214045478803,"no"
"MBTPS1",9,2,0.74582633614641,"no"
"HOXB7",9,2,0.758423007990807,"no"
"PRKCE",9,2,0.765080319232977,"no"
"C17orf80",9,2,0.770981651483621,"no"
"MAP3K7",8,3,0.778441450505137,"no"
"MYBL1",9,2,0.789463241256136,"no"
"ATP7B",8,3,0.802230479977318,"no"
"GPR110",9,2,0.811546167169865,"no"
"MYO7B",9,2,0.819899841144847,"no"
"OPA1",9,2,0.823585530953072,"no"
"MAP1B",8,3,0.823615761877773,"no"
"SRCAP",8,3,0.827153627570121,"no"
"RGR",8,3,0.828920937785222,"no"
"RUNX1",9,2,0.834391861393846,"no"
"ABCA12",9,2,0.850735825650096,"no"
"CES3",8,3,0.85655115212009,"no"
"PWP2",9,2,0.859941740396911,"no"
"CSMD1",9,2,0.871570466014586,"no"
"RALGAPB",9,2,0.880891311322917,"no"
"NDOR1",9,2,0.917565751640581,"no"
"DKK1",8,3,0.931121377038585,"no"
"CHTF18",9,2,0.95974440590681,"no"
"NBEAL2",9,2,0.977164088963013,"no"
"CDC42BPA",9,2,0.986804937130936,"no"
"TCIRG1",8,3,0.992259600561663,"no"
