"","#wt","#mut","pvalue","is_significant"
"LRP2",8,3,0.0675006085086716,"no"
"PASK",9,2,0.0683687570956648,"no"
"TIA1",9,2,0.0698302477735329,"no"
"NLK",9,2,0.108452665062159,"no"
"HNRNPA1",9,2,0.187522594282008,"no"
"ARAP2",9,2,0.200199904729561,"no"
"NFIA",9,2,0.294205512387973,"no"
"TCEA1",9,2,0.324549310119172,"no"
"RAB3C",9,2,0.408589123474294,"no"
"RABL2B",9,2,0.41942753190583,"no"
"CNKSR1",9,2,0.421899854970839,"no"
"PDGFD",9,2,0.54126463824935,"no"
"ASXL1",8,3,0.544683265237138,"no"
"PTGIS",9,2,0.550618574322391,"no"
"PPP3R1",8,3,0.633376785040453,"no"
"CNTRL",9,2,0.710092035809397,"no"
"CLTCL1",9,2,0.714726277916454,"no"
"BRCA2",9,2,0.72682892051953,"no"
"ACACB",9,2,0.784485876325728,"no"
"TP53",9,2,0.792887619474367,"no"
"ZNF367",9,2,0.854298113300654,"no"
"ACTR6",9,2,0.86910110475463,"no"
"BCLAF1",9,2,0.882000765201662,"no"
"GATA1",9,2,0.899332448578918,"no"
"SPI1",9,2,0.939196327779603,"no"
