"","#wt","#mut","pvalue","is_significant"
"CBFB",11,0,4.97884450434732e-21,"yes"
"MYB",10,1,1.49844198955185e-16,"yes"
"WIPI2",11,0,9.66492595343642e-10,"yes"
"KPNA6",11,0,1.17693282389232e-09,"yes"
"ATP10D",10,1,1.48418818405096e-09,"yes"
"TBC1D10C",10,1,1.57045478378655e-09,"yes"
"PAPPA",11,0,2.19713508359721e-09,"yes"
"KDM1A",11,0,1.46413334865524e-08,"yes"
"OGDH",11,0,5.9211749086184e-08,"yes"
"SLIT2",10,1,6.41521871250295e-08,"yes"
"ABCG8",11,0,1.32626409509454e-07,"yes"
"RUNX1",7,4,1.58549018381741e-07,"yes"
"MED7",11,0,1.64121581235296e-07,"yes"
"TOP2B",11,0,2.66159304419642e-07,"yes"
"CHRM1",11,0,4.01727397127051e-07,"yes"
"DGKQ",11,0,4.46600854497061e-07,"yes"
"MTHFD1",11,0,5.45764809126556e-07,"yes"
"GPX4",9,2,7.1948555401346e-07,"yes"
"CXorf61",11,0,7.59285910510271e-07,"yes"
"ZBTB9",11,0,8.26391261935515e-07,"yes"
"MED19",10,1,8.52231831835054e-07,"yes"
"AFP",11,0,9.28734639113026e-07,"yes"
"PRDM9",11,0,1.03624989641782e-06,"yes"
"MAGOHB",11,0,1.22460567884262e-06,"yes"
"FAM20B",11,0,1.4030088102548e-06,"yes"
"MIOS",11,0,1.49472022554404e-06,"yes"
"GNGT2",10,1,1.53948933836707e-06,"yes"
"SNAP25",11,0,1.54660393026e-06,"yes"
"BTBD1",11,0,1.68210704534344e-06,"yes"
"ANKS1A",11,0,1.80762748056806e-06,"yes"
"TPCN2",11,0,2.32728631365626e-06,"yes"
"PTPN11",11,0,2.4383874119036e-06,"yes"
"DHX57",11,0,2.86783547546912e-06,"yes"
"QRFPR",10,1,3.15135948664083e-06,"yes"
"C1orf228",11,0,3.3271276558121e-06,"yes"
"GTF3C4",10,1,4.03005043489935e-06,"yes"
"PLAGL2",10,1,4.11078985237293e-06,"yes"
"HTR1B",10,1,4.28659176270101e-06,"yes"
"RNF20",10,1,4.38207801776112e-06,"yes"
"RASGRP3",11,0,4.53414428425474e-06,"yes"
"CBLN1",11,0,4.53651837577761e-06,"yes"
"SRPX2",11,0,4.65181173445602e-06,"yes"
"KIF2A",11,0,4.96207947894589e-06,"yes"
"FLI1",8,3,5.11119763453889e-06,"yes"
"KIAA1549L",11,0,5.96628671094534e-06,"yes"
"WNT7A",11,0,5.98764102565472e-06,"yes"
"STARD9",11,0,6.00293658404095e-06,"yes"
"KCNJ8",11,0,6.05829490427608e-06,"yes"
"TAL2",11,0,6.42957318430751e-06,"yes"
"MED12",10,1,7.01921437565551e-06,"yes"
"HMGB2",10,1,7.23543012862326e-06,"yes"
"CRABP1",11,0,7.9944482273655e-06,"yes"
"PAPL",11,0,8.01035365196694e-06,"yes"
"SMARCE1",11,0,8.47591580314696e-06,"yes"
"PDCD1LG2",6,5,8.59955198586273e-06,"yes"
"CD300E",9,2,9.57849231914526e-06,"yes"
"ADRA1A",11,0,1.05226193404959e-05,"yes"
"NCOA7",11,0,1.13294434595115e-05,"yes"
"EGFL7",11,0,1.21338722575946e-05,"yes"
"DYRK1A",7,4,1.2247861023092e-05,"yes"
"SETD6",10,1,1.26218595599336e-05,"yes"
"DPY30",11,0,1.27875531237741e-05,"yes"
"EP300",11,0,1.3207463101059e-05,"yes"
"KCTD3",11,0,1.40187481266908e-05,"yes"
"GLRA3",11,0,1.61956665228786e-05,"yes"
"FBLN1",11,0,1.63091195991485e-05,"yes"
"CCNI",11,0,1.64156589662261e-05,"yes"
"LMO2",11,0,1.73229957094257e-05,"yes"
"SOS1",11,0,1.79749886979732e-05,"yes"
"TLE3",11,0,1.82924124927876e-05,"yes"
"TLR1",11,0,1.85040068188046e-05,"yes"
"EMILIN1",11,0,2.01492869046276e-05,"yes"
"PROX1",11,0,2.04919702121339e-05,"yes"
"ITIH3",11,0,2.33348705722081e-05,"yes"
"SAR1B",11,0,2.35668860723799e-05,"yes"
"ATP1A1",11,0,2.45379704021202e-05,"yes"
"KLF7",11,0,2.5499625458539e-05,"yes"
"BTAF1",11,0,2.72227478311594e-05,"yes"
"RCOR1",11,0,2.94371217412857e-05,"yes"
"WDFY2",10,1,3.33863586651643e-05,"yes"
