"","#wt","#mut","pvalue","is_significant"
"FUBP1",11,0,1.14284137708864e-11,"yes"
"RRAS",11,0,2.72072364637665e-11,"yes"
"TEAD1",11,0,3.12945558356148e-10,"yes"
"RDX",11,0,2.21691709434424e-09,"yes"
"TAPBPL",11,0,2.22722518206098e-09,"yes"
"RBL2",11,0,3.37105432457463e-09,"yes"
"LRRC69",10,1,5.02947583580493e-09,"yes"
"TLN1",10,1,5.38408029271409e-09,"yes"
"VPS28",8,3,1.85828171739288e-08,"yes"
"SERPINA3",11,0,2.34404926580112e-08,"yes"
"WDR11",11,0,2.36961194000074e-08,"yes"
"PPP1R12A",10,1,6.34751912143017e-08,"yes"
"FOXI2",11,0,7.98392205680898e-08,"yes"
"FARP2",10,1,9.1492259657322e-08,"yes"
"TNFRSF13C",11,0,1.40086493294334e-07,"yes"
"NSDHL",11,0,1.64702778304715e-07,"yes"
"CYP46A1",11,0,1.6704990246641e-07,"yes"
"AMIGO2",11,0,1.69548399986397e-07,"yes"
"PI4KAP2",11,0,1.86688101089239e-07,"yes"
"SPAG1",11,0,2.01154265244696e-07,"yes"
"ZNF202",9,2,2.25538673959136e-07,"yes"
"ZCWPW1",11,0,2.43129503085804e-07,"yes"
"ESCO2",11,0,2.82279879693093e-07,"yes"
"ITGAV",11,0,3.06175754860583e-07,"yes"
"PATZ1",11,0,3.89318105198377e-07,"yes"
"ROS1",11,0,4.92818880037937e-07,"yes"
"PRR5",11,0,5.02696808180048e-07,"yes"
"COL8A1",11,0,5.12427500098944e-07,"yes"
"VN1R5",10,1,5.25467483303288e-07,"yes"
"POLB",11,0,5.8548050108076e-07,"yes"
"PTN",11,0,7.84447385049347e-07,"yes"
"HLF",10,1,8.32669925787677e-07,"yes"
"HOXA5",11,0,8.44246481279676e-07,"yes"
"RPP40",11,0,8.88537701970726e-07,"yes"
"NMRK2",11,0,9.58368858272607e-07,"yes"
"NACA2",10,1,9.78541301877023e-07,"yes"
"PPP1CB",11,0,1.08310919488819e-06,"yes"
"ALOX15B",10,1,1.17310882741251e-06,"yes"
"ALDOA",11,0,1.18405521076781e-06,"yes"
"PHF23",9,2,1.23793538930883e-06,"yes"
"PKP2",11,0,1.28666746168626e-06,"yes"
"PI4KAP1",10,1,1.30234231032755e-06,"yes"
"CHRNA5",11,0,1.37626841600902e-06,"yes"
"NEK4",11,0,1.71517209990313e-06,"yes"
"NLRP12",11,0,2.02900135692907e-06,"yes"
"CHRAC1",10,1,2.08897280851161e-06,"yes"
"RNF112",11,0,2.23449200920101e-06,"yes"
"ITGB5",11,0,2.24199019815963e-06,"yes"
"TMEM44",11,0,2.44379598457467e-06,"yes"
