"","#wt","#mut","pvalue","is_significant"
"HOXA5",11,2,0.00112460076685026,"yes"
"FCGR3B",11,2,0.00574262728342333,"no"
"JAZF1",11,2,0.0161631030179972,"no"
"MAP2K3",11,2,0.0256503225423399,"no"
"KCNJ12",11,2,0.0387862547976439,"no"
"PDE1C",11,2,0.0463906894873065,"no"
"SDK1",11,2,0.0464388992794404,"no"
"SLC47A2",10,3,0.0513176340500745,"no"
"RAPGEF4",11,2,0.0615947837358442,"no"
"FOXK1",11,2,0.0618538040752404,"no"
"RASD1",11,2,0.0621070554237158,"no"
"CHN1",11,2,0.0675294759504733,"no"
"B9D1",9,4,0.0693266680321594,"no"
"MYO15A",11,2,0.0796623689188786,"no"
"FGF3",9,4,0.0806043918392422,"no"
"ESPNP",11,2,0.0816593338438501,"no"
"PMS2",11,2,0.0825436228347863,"no"
"PMS2CL",11,2,0.0825436228347863,"no"
"RHOH",10,3,0.0869873368924326,"no"
"RHOD",10,3,0.0924362683378144,"no"
"STEAP1B",11,2,0.0933808407148993,"no"
"HOXA11",11,2,0.0958283404257688,"no"
"LLGL1",11,2,0.101960729332972,"no"
"ETV1",11,2,0.113267398233467,"no"
"SHMT1",11,2,0.114960851657308,"no"
"PMP22",11,2,0.116521661195653,"no"
"CORO1B",10,3,0.123783134773144,"no"
"SLC38A11",11,2,0.126204771636459,"no"
"TERT",11,2,0.129943381905552,"no"
"MYO10",11,2,0.133834907834505,"no"
"HOXA4",11,2,0.139170148569518,"no"
"EPN2",9,4,0.139904845153083,"no"
"SP3",11,2,0.14124279699768,"no"
"ADRBK1",10,3,0.143860319342477,"no"
"CCDC144A",11,2,0.151459884762861,"no"
"CCDC144B",11,2,0.151459884762861,"no"
"CCDC144C",11,2,0.151459884762861,"no"
"KBTBD2",11,2,0.159589383834911,"no"
"MAD1L1",11,2,0.160007417757384,"no"
"FKBP14",11,2,0.160564482458747,"no"
"FLCN",11,2,0.16145273991825,"no"
"HOXA10",11,2,0.16664384375077,"no"
"TLK1",11,2,0.186347534855218,"no"
"C11orf24",10,3,0.189602567019792,"no"
"KLHL7",11,2,0.194681562367406,"no"
"NSFP1",8,5,0.200056768224128,"no"
"TPCN2",7,6,0.205199480971643,"no"
"ARHGAP5",11,2,0.209701472963542,"no"
"HOXD3",11,2,0.212197629963449,"no"
"BRMS1",11,2,0.225784783110368,"no"
"ULK2",10,3,0.225970317296746,"no"
"CTSF",11,2,0.227854980313634,"no"
"SUV420H1",10,3,0.248744986393742,"no"
"RAC1",11,2,0.249556500993924,"no"
"ISL1",11,2,0.25101856533877,"no"
"OR2T29",11,2,0.254384625600737,"no"
"PDE11A",11,2,0.261111056459515,"no"
"CLCF1",10,3,0.271004080269199,"no"
"LRFN4",10,3,0.280248638344158,"no"
"SLC12A7",11,2,0.280407201743697,"no"
"TAX1BP1",11,2,0.280787457802685,"no"
"FGF19",7,6,0.281329885721764,"no"
"IL6",11,2,0.285213224156453,"no"
"NUDT1",11,2,0.288099082381444,"no"
"HOXA13",11,2,0.298334146338194,"no"
