"","#wt","#mut","pvalue","is_significant"
"RREB1",11,2,0.00272399576055381,"yes"
"ARHGEF17",11,2,0.0033953135486209,"yes"
"TTC7B",11,2,0.015507815294363,"no"
"HECTD1",11,2,0.0183994815991359,"no"
"SMIM3",11,2,0.0193784842560886,"no"
"SPEG",11,2,0.0229291019856752,"no"
"ARID2",11,2,0.0257126072022382,"no"
"NOTCH1",10,3,0.0278048359903243,"no"
"ATRIP",11,2,0.0287085982120858,"no"
"GXYLT1",11,2,0.0409828238679586,"no"
"KRT85",11,2,0.0547649864875359,"no"
"DOCK10",11,2,0.0611553658437855,"no"
"FIGN",10,3,0.0676623025075151,"no"
"TAF4B",11,2,0.070539149409868,"no"
"COX20",10,3,0.0761757631211937,"no"
"DDHD2",11,2,0.0762755885845162,"no"
"OLIG2",11,2,0.0824567257130241,"no"
"KDM3A",11,2,0.102442098720927,"no"
"TNS3",10,3,0.132178625482776,"no"
"KANK1",11,2,0.135794654721301,"no"
"SEMA4D",11,2,0.138935152748264,"no"
"KIF3B",11,2,0.159376864883855,"no"
"TAS1R3",11,2,0.180374716652518,"no"
"E2F1",11,2,0.180621990867861,"no"
"MAPK15",11,2,0.182502432242986,"no"
"CR1",10,3,0.188763619734215,"no"
"AFF3",11,2,0.191003714413882,"no"
"SORL1",11,2,0.191369813394038,"no"
"NCKIPSD",11,2,0.198631844585648,"no"
"EP300",11,2,0.200795882650235,"no"
"FRYL",11,2,0.212558596954203,"no"
"TP53",7,6,0.213124890621559,"no"
"ABCA6",11,2,0.216168380357996,"no"
"RGPD3",11,2,0.226647679606139,"no"
"KIAA1377",11,2,0.227818893585559,"no"
"SULT4A1",11,2,0.229441184631473,"no"
"ELL",11,2,0.231219365101836,"no"
"CDK15",11,2,0.245880220827208,"no"
"KLHL26",11,2,0.247547858717023,"no"
"LRP1",10,3,0.249116573370595,"no"
"CACNA1H",11,2,0.256837536251071,"no"
"CATSPERG",11,2,0.274104148123893,"no"
"FGL2",11,2,0.28781039052542,"no"
"FHOD3",10,3,0.288629778535194,"no"
"SYDE2",10,3,0.295033138269303,"no"
"GLI1",11,2,0.302450178635792,"no"
"OR2T33",11,2,0.31559877419825,"no"
"PLXDC2",11,2,0.316755836058288,"no"
"RIPK4",11,2,0.316888037696027,"no"
"GRIN2C",11,2,0.31748059458041,"no"
"TMUB1",10,3,0.33495841287901,"no"
"RRM2",11,2,0.344494417265711,"no"
"FCN2",11,2,0.346253631770536,"no"
"DPP6",11,2,0.354282166543482,"no"
"STARD9",11,2,0.354614290909057,"no"
"KSR2",10,3,0.354795326485338,"no"
"MACF1",10,3,0.37685520542649,"no"
"COL1A2",10,3,0.379891265835903,"no"
"AKAP13",9,4,0.382383543981784,"no"
"LRIG2",11,2,0.383024226502631,"no"
"COL20A1",11,2,0.386841560519715,"no"
"COL3A1",11,2,0.389944086841988,"no"
"SUPT16H",11,2,0.403728724854223,"no"
"CYLD",10,3,0.403940142585971,"no"
"TCF4",11,2,0.405029726187809,"no"
"SVIL",11,2,0.405047080708186,"no"
"RANBP2",9,4,0.408439288341634,"no"
"KDM1A",11,2,0.409798233586505,"no"
"WNT5B",11,2,0.410674758761511,"no"
"TRIO",11,2,0.410808312535457,"no"
"PXDN",11,2,0.415868365475846,"no"
"FPGT-TNNI3K",11,2,0.418742652175367,"no"
"FOXG1",11,2,0.422463590536597,"no"
"CACNA1D",11,2,0.428889384776659,"no"
"MAP3K10",11,2,0.429323625166127,"no"
"DNAH5",10,3,0.442048537681404,"no"
"COL6A5",9,4,0.443125851155798,"no"
"ABCA13",11,2,0.446108963089087,"no"
"L1CAM",11,2,0.446463747844702,"no"
"TTN",3,10,0.450346619251252,"no"
"TIAM1",11,2,0.455787151056441,"no"
"LRRC4C",11,2,0.462884205216442,"no"
"KDM8",11,2,0.467916759332923,"no"
"TLR1",11,2,0.482424855563942,"no"
"GIT2",11,2,0.484376451755088,"no"
"SDR16C5",11,2,0.492013325733928,"no"
"TEX2",10,3,0.492562202355241,"no"
"ITGA3",11,2,0.492724088205834,"no"
"MYO7B",11,2,0.497269892801183,"no"
"FANCE",11,2,0.504922458852392,"no"
"PDE10A",11,2,0.518631318207268,"no"
"ABCA12",10,3,0.525044125878361,"no"
"ATRNL1",11,2,0.535320023445765,"no"
"KIF13A",11,2,0.536770976272823,"no"
"NEDD4L",11,2,0.540182076525457,"no"
"WDHD1",10,3,0.542600277832355,"no"
"KCNK4",10,3,0.543345764738813,"no"
"CSMD3",11,2,0.546069231307651,"no"
"GDF15",11,2,0.550577875253074,"no"
"NR4A3",11,2,0.554535438750195,"no"
"ANKRD32",11,2,0.557920287515783,"no"
"COL4A3",11,2,0.562555643635612,"no"
"RBMXL2",11,2,0.576372388172524,"no"
"TGS1",11,2,0.583927739683367,"no"
"PABPC5",11,2,0.588082171220555,"no"
"METTL3",11,2,0.590271402793698,"no"
"LRRK1",11,2,0.591298173599482,"no"
"SI",11,2,0.594044413619267,"no"
"SIGLEC1",11,2,0.61451583295014,"no"
"FLT3",11,2,0.617692298342002,"no"
"BAZ1B",11,2,0.618504968096865,"no"
"CCBE1",11,2,0.63128820306174,"no"
"FBXW10",11,2,0.638362009002844,"no"
"ZNF609",11,2,0.639409893549495,"no"
"MPPED2",11,2,0.640284134416912,"no"
"ATM",11,2,0.649253140887567,"no"
"SLC47A1",11,2,0.649413013910007,"no"
"WDR27",10,3,0.652244370799983,"no"
"ZFP36L2",11,2,0.657190233756559,"no"
"PHRF1",10,3,0.657570344642127,"no"
"IVD",11,2,0.673150865938326,"no"
"PHF20",11,2,0.677575321171347,"no"
"MYH9",10,3,0.688601677762285,"no"
"SERPINA4",11,2,0.693752255013478,"no"
"PREX2",10,3,0.707843318620455,"no"
"ADAR",11,2,0.713403668192333,"no"
"DHRS7B",11,2,0.724002703525022,"no"
"CFH",11,2,0.732487023079693,"no"
"TET2",11,2,0.735315748128561,"no"
"SORBS1",11,2,0.74382824667253,"no"
"PKD1",10,3,0.756196804017776,"no"
"TBCK",11,2,0.763886492749284,"no"
"PEAK1",11,2,0.76660280595893,"no"
"GRM7",11,2,0.767255429523454,"no"
"MTMR4",10,3,0.767855870419766,"no"
"TCHH",9,4,0.770815068845242,"no"
"ROS1",11,2,0.772415598319697,"no"
"TRIM17",11,2,0.777386894853476,"no"
"HOXA9",11,2,0.786727221672893,"no"
"GABRG3",11,2,0.787458806414307,"no"
"LRP2",11,2,0.789191038384153,"no"
"HERC1",11,2,0.79326399179134,"no"
"PTPRN2",11,2,0.805314284166695,"no"
"ABCC3",11,2,0.814159263312642,"no"
"EPHA1",11,2,0.815118117285382,"no"
"E2F8",11,2,0.834754556907608,"no"
"DIDO1",11,2,0.836592706344589,"no"
"LAMA5",10,3,0.847175626516566,"no"
"DNAJC5",11,2,0.852989767803821,"no"
"OBSCN",9,4,0.85431463259484,"no"
"LRP1B",11,2,0.855317798159028,"no"
"CHST3",11,2,0.856635822754671,"no"
"CECR2",11,2,0.86409277972498,"no"
"NCOA3",11,2,0.867954485878372,"no"
"TAF5L",11,2,0.874092832595869,"no"
"SAP130",11,2,0.875552167657422,"no"
"STAT2",11,2,0.877185631084339,"no"
"SDK1",11,2,0.884401948390637,"no"
"DSC1",11,2,0.897543381736907,"no"
"MED16",11,2,0.907955848828908,"no"
"LGR6",11,2,0.908837055737831,"no"
"DENND3",11,2,0.915577425097824,"no"
"FCGR2A",11,2,0.915975910038574,"no"
"VPRBP",11,2,0.927179104771949,"no"
"RAB25",11,2,0.934646175073501,"no"
"MAP4K5",10,3,0.951657382911043,"no"
"CSMD1",10,3,0.968149697261035,"no"
"COL4A6",11,2,0.970326618368382,"no"
"ITGAV",11,2,0.9915863712919,"no"
"AKR1B15",10,3,0.993231213597473,"no"
"NACC2",11,2,0.999794234048862,"no"
