"","#wt","#mut","pvalue","is_significant"
"AKR1B15",10,3,0.00676878640252665,"yes"
"COL4A2",11,2,0.045889106254929,"no"
"ATN1",11,2,0.107934875134971,"no"
"TGS1",11,2,0.109678832810428,"no"
"KIAA2026",10,3,0.174203213262537,"no"
"ANKAR",11,2,0.21570774581907,"no"
"ARID1A",11,2,0.216172769820112,"no"
"GRB14",9,4,0.233187557778323,"no"
"JMJD4",11,2,0.26591148093659,"no"
"CCAR1",11,2,0.291283599056278,"no"
"BAZ2B",11,2,0.315699085610035,"no"
"CENPE",11,2,0.34709886072671,"no"
"TTN",11,2,0.539807844726039,"no"
"FANCM",11,2,0.556260926553001,"no"
"AXIN1",7,6,0.60450714305293,"no"
"STARD9",11,2,0.635838102858469,"no"
"KANSL1",11,2,0.651681280941643,"no"
"TP53",10,3,0.724954425363367,"no"
"KAT6B",11,2,0.72594532664619,"no"
"ATP6AP1",11,2,0.769956295111462,"no"
"FNBP1L",11,2,0.831375287121269,"no"
"CTDP1",11,2,0.844796784811632,"no"
"SALL2",11,2,0.914547581967556,"no"
"EPB41L3",11,2,0.948582741991486,"no"
