"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"MCF2L2",13,0,2.75759294256845e-06,"yes",2.89668336866014e-09,"up"
"MAPKBP1",13,0,1.57303432756137e-05,"yes",2.08647948885025e-42,"up"
"SFT2D2",12,1,1.58970075166466e-05,"yes",1.79357737108614e-48,"up"
"WDR41",13,0,1.63412862443692e-05,"yes",4.3523108793034e-33,"up"
"PCOLCE",12,1,2.07086447609735e-05,"yes",0.82021651913564,"up"
"RALGAPA2",13,0,2.12401445589362e-05,"yes",4.13161367324905e-05,"up"
"NGB",13,0,2.14768204411519e-05,"yes",0.0328245746895188,"up"
"AMIGO2",13,0,3.02788408458415e-05,"yes",0.0308637276722014,"up"
"KCNMB2",13,0,3.1911721033777e-05,"yes",0.0607114352021271,"up"
"GPR101",13,0,3.96069773371864e-05,"yes",0.61849762181262,"up"
"CES5A",12,1,4.61167649764164e-05,"yes",3.18006819284955e-07,"down"
"TEAD3",13,0,6.09798309985365e-05,"yes",2.09223536629484e-31,"up"
"WHSC1",13,0,6.33360058253478e-05,"yes",NA,NA
"MASP1",12,1,6.60642494018993e-05,"yes",9.86227716889413e-26,"down"
"PCTP",13,0,7.49341787245482e-05,"yes",1.24780946189905e-05,"down"
"GNG10",13,0,7.49874177493446e-05,"yes",1.14568792397071e-17,"up"
"DNAJC25-GNG10",13,0,7.49874177493446e-05,"yes",0.882252576675807,"down"
"PKMYT1",13,0,7.92478206311833e-05,"yes",7.96652753716857e-53,"up"
"HES3",13,0,8.31113884286759e-05,"yes",0.00742233746888759,"up"
"SMAD9",13,0,8.48531423073243e-05,"yes",0.137488713184868,"up"
"SPAG1",12,1,8.97619804534962e-05,"yes",8.77072894610594e-10,"up"
"WDR89",12,1,9.43181488993364e-05,"yes",1.30352411753287e-05,"up"
"PPP2R2C",13,0,0.000109858336954865,"yes",9.03086924924138e-13,"up"
"GALK1",11,2,0.00012498338116925,"yes",6.93755675146594e-11,"up"
"EXOC2",11,2,0.000125031233519159,"yes",4.98338034867033e-25,"up"
"RAPGEFL1",13,0,0.000127499890897332,"yes",9.9948398063086e-21,"up"
"KANK3",13,0,0.000130950882131697,"yes",4.77937707774242e-12,"up"
"ELL2",13,0,0.000139882141916589,"yes",0.379763042087727,"down"
"TRADD",13,0,0.000146351566633548,"yes",1.07845494422655e-33,"up"
"TAOK2",13,0,0.000159106132458124,"no",4.47039703728123e-69,"up"
"HELZ",12,1,0.000175925514667671,"no",1.11637748112997e-11,"up"
"ATG4D",12,1,0.000277798597531532,"no",3.12803246721776e-23,"up"
"FRMPD1",11,2,0.000292463161027926,"no",1.26473939653821e-13,"up"
"SLIRP",13,0,0.000306342901087107,"no",2.08609954454665e-29,"up"
"GZMB",12,1,0.000339929775688366,"no",0.0110008415694462,"up"
"PHF19",13,0,0.000449739443847063,"no",2.63648563440559e-42,"up"
"TSPAN9",13,0,0.000458310199572653,"no",0.242326546066295,"down"
"CPEB2",10,3,0.000463588806392936,"no",0.766911334068491,"up"
"FBXW4",13,0,0.000463827895048866,"no",7.33959050604017e-35,"up"
"COPG1",13,0,0.000508656270442699,"no",4.17885447074694e-41,"up"
"FKBP7",11,2,0.000553533659826167,"no",0.787418109432576,"down"
"RXRA",13,0,0.00056839490042087,"no",0.000920415288377772,"up"
"SDC4",12,1,0.000583426683433291,"no",0.000204397439928697,"down"
"SERPINB11",12,1,0.000607557941966205,"no",0.00125952948801237,"up"
"KPNA6",13,0,0.000660925186590286,"no",2.46673177709932e-11,"up"
"ATAD1",13,0,0.000691856349452689,"no",1.50815391335292e-09,"up"
"NBR1",13,0,0.000711153331632407,"no",4.27591662713436e-07,"up"
"HSD11B1L",13,0,0.00072677029091346,"no",4.80668780168566e-17,"up"
"BRIP1",13,0,0.000755698933137749,"no",2.97415895387684e-37,"up"
"ZBTB32",13,0,0.000796396753732437,"no",3.10162120954057e-14,"up"
"MFN1",13,0,0.000828019485942779,"no",6.87081486834115e-34,"up"
"FAM91A1",11,2,0.000833095021975234,"no",3.56565115615153e-29,"up"
"GJC1",13,0,0.000914074869660878,"no",4.57542710393304e-40,"up"
"ARID1B",12,1,0.000936849701370335,"no",2.60056408011048e-09,"up"
"PRMT10",13,0,0.000943785645607176,"no",NA,NA
"CDK14",12,1,0.000955917372835078,"no",8.74904267005359e-20,"up"
"FARP2",13,0,0.000962822881089631,"no",0.0469377510238365,"up"
"PIGG",13,0,0.00104732089540449,"no",3.50122222004712e-53,"up"
"ZAK",11,2,0.00104967267623975,"no",NA,NA
"MTMR1",13,0,0.00108352168848689,"no",4.55571913921129e-33,"up"
"TECPR2",11,2,0.00119000564498478,"no",6.5808894112504e-18,"up"
"MAK",13,0,0.00121653020812967,"no",0.989373847531627,"down"
"MAST2",13,0,0.00124642119797632,"no",1.53237216876997e-62,"up"
"ALDH3B2",10,3,0.00139965925334265,"no",0.0441154703077058,"up"
"HOXB6",13,0,0.00140775813446468,"no",4.15418218192494e-05,"up"
"SERPINE3",12,1,0.00142701774540203,"no",7.87176221710491e-09,"up"
"LOC100653057",13,0,0.00142732835522522,"no",NA,NA
"DHX35",12,1,0.00148574265888862,"no",1.33008959570349e-49,"up"
"KDM5B",12,1,0.0015291684551517,"no",1.95723269148433e-41,"up"
