"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"TLK2",12,1,2.56851328228613e-06,"yes",6.1973320897512e-43,"up"
"DDX3X",13,0,8.30690211572893e-06,"yes",0.211127524173222,"down"
"ADSL",12,1,1.73811016315195e-05,"yes",1.0892812240398e-47,"up"
"LOC341056",12,1,2.28723111899143e-05,"yes",NA,NA
"DDX10",11,2,4.31195964347708e-05,"yes",1.02117626032014e-38,"up"
"SART3",12,1,4.7403915210853e-05,"yes",5.95385549886639e-42,"up"
"UBA2",13,0,5.14006117249277e-05,"yes",2.0262943356423e-31,"up"
"GRPR",13,0,5.85124271008652e-05,"yes",1.18251417580778e-09,"up"
"PAK1IP1",13,0,5.99078802474562e-05,"yes",9.93626137477875e-25,"up"
"CASP8AP2",13,0,6.2835566216779e-05,"yes",5.37342345335772e-19,"up"
"WDR46",13,0,7.86061354505208e-05,"yes",1.92702543829183e-63,"up"
"AHCTF1",13,0,8.10871566107041e-05,"yes",5.67608903560015e-52,"up"
"FAM123B",13,0,8.57815561531305e-05,"yes",NA,NA
"PDE9A",13,0,0.000108732801138434,"yes",8.53671256077822e-12,"up"
"IGSF21",12,1,0.000143843000673938,"yes",1.03170820822981e-15,"up"
"LONP1",13,0,0.000161603572078284,"no",4.80034982730813e-22,"up"
"SOX17",12,1,0.000168258398669408,"no",3.73775719598969e-06,"up"
"MED1",12,1,0.000179129362972263,"no",6.15437235731818e-24,"up"
"TOP1",12,1,0.000226541730328544,"no",7.00655339154052e-12,"up"
"KIF24",12,1,0.000231581714915441,"no",3.29385253628371e-23,"up"
"SUMO2",13,0,0.000252710233732967,"no",7.23539548175638e-54,"up"
"STK35",13,0,0.000322361596526766,"no",1.34425745282309e-34,"up"
"ARMC1",13,0,0.000334763875637911,"no",1.755249927365e-67,"up"
"SAE1",13,0,0.000362197321668756,"no",2.88868842145222e-66,"up"
"SAR1B",13,0,0.000372540569696156,"no",0.0564431982665173,"up"
"PELP1",12,1,0.000384376379404805,"no",1.34510081226873e-45,"up"
"RHOT1",12,1,0.000396400019513243,"no",7.47751674777901e-28,"up"
"MED17",12,1,0.000408368665519632,"no",1.2883360345756e-21,"up"
"PPP2CA",13,0,0.000467027546276033,"no",3.50947903990996e-19,"up"
"C20orf152",12,1,0.000472173539747045,"no",NA,NA
"UPK1A",13,0,0.000493054641036883,"no",0.000228038654670205,"up"
"CLSPN",13,0,0.000539605684071409,"no",2.64984177504839e-30,"up"
"UBR5",12,1,0.00054190575893498,"no",6.15454949667051e-51,"up"
"DMAP1",13,0,0.000550507331675054,"no",5.14836235679845e-36,"up"
"STK16",12,1,0.000691012156488036,"no",5.02286154955727e-15,"up"
"TAF5",13,0,0.000699437952418225,"no",1.64162036833598e-40,"up"
"CHAF1B",13,0,0.000732391869727289,"no",2.97997648116345e-41,"up"
"PRMT1",13,0,0.000800233095760938,"no",1.26777024035907e-36,"up"
"HIST1H1C",13,0,0.000855223843118313,"no",1.51609296574688e-26,"up"
"OGDH",13,0,0.000863902563149499,"no",3.41995249960277e-25,"up"
"RFC4",13,0,0.000888921018216027,"no",4.54782104852566e-65,"up"
"EPS15",13,0,0.000902678071141305,"no",1.13396917641285e-08,"up"
"MTMR6",13,0,0.000963623479918296,"no",0.00146595710622955,"up"
"UNG",13,0,0.00102877855648231,"no",2.59004511020235e-25,"up"
"FUBP1",13,0,0.0010478961216811,"no",7.4282533657229e-30,"up"
"GNG13",13,0,0.0010533748195023,"no",2.2220645027998e-05,"up"
"FABP12",13,0,0.00109244564308797,"no",1.81393239017038e-06,"up"
"WDR1",13,0,0.00113126098744831,"no",1.0526993573217e-20,"up"
"MDM2",13,0,0.0011365074298415,"no",3.85965775451012e-05,"up"
"SMARCE1",13,0,0.00119404725936711,"no",5.8990703556869e-51,"up"
"IDO2",11,2,0.00121932317610518,"no",6.5485382370901e-05,"down"
"TFRC",13,0,0.00124340299686843,"no",7.94549443528128e-31,"up"
"ANGPTL4",13,0,0.00129005732598753,"no",0.314275414788818,"down"
"LIMS1",13,0,0.00142846473601099,"no",8.46636839361451e-19,"up"
"CES3",13,0,0.00147770438312533,"no",5.20538233841435e-06,"down"
"PMP22",11,2,0.00161530086395034,"no",1.25593749193921e-05,"up"
"RAD17",13,0,0.00162860787061381,"no",1.07348007111027e-35,"up"
"DDX27",12,1,0.00165669566511872,"no",4.24573443055836e-44,"up"
"COL4A3",10,3,0.00177033412972349,"no",0.000613259517389226,"up"
"BTNL8",13,0,0.0017892982635479,"no",9.95205344590326e-09,"up"
"GRIN3A",12,1,0.00180132477705075,"no",2.03182187423229e-17,"up"
"TAGAP",13,0,0.00184225175329933,"no",0.0712771322395773,"down"
"RTN4R",13,0,0.00191271798965043,"no",3.40456552020307e-10,"up"
"IVL",12,1,0.00193292159990055,"no",0.988562473080046,"up"
"IGSF3",13,0,0.00207344128127085,"no",5.95011919534053e-26,"up"
"NFKBID",13,0,0.00208082965800582,"no",0.000182621322165473,"up"
"MAP1LC3B2",13,0,0.00214620347768102,"no",3.17670277220885e-07,"up"
"CIRH1A",13,0,0.00215927496901114,"no",NA,NA
"MAP1LC3B",12,1,0.00216020390162119,"no",0.0013295511336805,"up"
"EIF4EBP3",13,0,0.00216528949047257,"no",4.14687471546794e-05,"up"
"ANKHD1-EIF4EBP3",13,0,0.00216528949047257,"no",6.81557641071784e-34,"up"
"CBFA2T2",12,1,0.00222233313713105,"no",4.31028322250653e-66,"up"
"TGFBR1",13,0,0.00222681289992244,"no",2.75316532080421e-16,"up"
"EDA",13,0,0.00244620681183938,"no",3.22238345536773e-12,"up"
"LRP1",10,3,0.00248437596335216,"no",0.266435375391442,"up"
"MTMR9LP",13,0,0.0025676367129458,"no",1.93288012881575e-19,"up"
"NEDD8-MDP1",12,1,0.00259931258441271,"no",7.38148847161529e-05,"up"
"MFI2",13,0,0.00262285286454955,"no",NA,NA
"LCN9",13,0,0.00270363736711599,"no",2.57465585343776e-05,"up"
"ESRRB",13,0,0.00276616092367421,"no",0.70274231952068,"up"
"FRMD5",12,1,0.00278211752243573,"no",0.0124141662355129,"up"
"PDGFA",11,2,0.00279552564632335,"no",3.78066074823144e-36,"up"
"ADCK5",12,1,0.00287582543676246,"no",2.21499749358863e-60,"up"
"RABL5",13,0,0.00292270470852385,"no",NA,NA
"ILF2",12,1,0.00298368001790594,"no",1.11112968418694e-82,"up"
"UTP18",13,0,0.00304017537591561,"no",7.61816903308956e-48,"up"
"IL6",11,2,0.00304419080305174,"no",0.0813997508783482,"down"
"MED12",13,0,0.00309369890222921,"no",2.06413878438456e-46,"up"
"SUPT16H",11,2,0.00310181028833434,"no",2.19767963660624e-37,"up"
"EP400",12,1,0.00312583542440237,"no",1.26100209069489e-39,"up"
