"","#wt","#mut","pvalue","is_significant"
"DSP",3,2,0.202968832638818,"no"
"KCNT1",3,2,0.265670582134981,"no"
"NCOA6",3,2,0.296972369992593,"no"
"TTN",3,2,0.298242618810963,"no"
"PCM1",3,2,0.306900934831142,"no"
"PI4KA",3,2,0.37601835264543,"no"
"VCAN",3,2,0.39009368713799,"no"
"CHD6",3,2,0.491554708841489,"no"
"KDM2B",3,2,0.542027349309862,"no"
"ZFHX2",3,2,0.560483161403107,"no"
"ALPK3",3,2,0.847786197728992,"no"
"COL4A4",3,2,0.873206653113723,"no"
"PVRL3",3,2,0.875137626746148,"no"
"TIAM2",3,2,0.938809501390104,"no"
