"","#wt","#mut","pvalue","is_significant"
"CAPZA2",5,0,3.00996586051392e-06,"yes"
"GPR158",5,0,5.48384235485642e-06,"yes"
"RXRG",5,0,1.46115727498704e-05,"yes"
"CDC42",5,0,1.85041417341772e-05,"yes"
"OR6S1",5,0,1.87694469406318e-05,"yes"
"OR2T5",4,1,2.38341950864341e-05,"yes"
"DDI2",5,0,3.46222362231844e-05,"yes"
"ABCC1",5,0,3.57855679739718e-05,"yes"
"RASGRP1",5,0,4.24521416518099e-05,"yes"
"COPG1",5,0,4.64634449458972e-05,"yes"
"GRM2",5,0,5.6207159301104e-05,"yes"
"FERMT2",5,0,6.84037081809671e-05,"yes"
"FARP1",5,0,7.44784772374839e-05,"yes"
"DRD1",5,0,9.35685092849049e-05,"yes"
"OR2T29",5,0,9.75818314322392e-05,"yes"
"SRSF4",5,0,0.000100240330602902,"yes"
"ZBTB11",5,0,0.000103811258309136,"yes"
"TRIO",3,2,0.000109410629034389,"yes"
"SUV39H2",5,0,0.000109855406096558,"yes"
"RAB36",5,0,0.000153864963523867,"no"
"TEAD1",5,0,0.000157289318279627,"no"
"L3MBTL1",5,0,0.000158622496592458,"no"
"PRR5",5,0,0.000162267285907058,"no"
"DNAJC2",5,0,0.000210129848353663,"no"
"RHOG",5,0,0.000219853291674638,"no"
"BTNL3",5,0,0.000223525007784026,"no"
"TPM1",5,0,0.000225645052229976,"no"
"ZNF609",5,0,0.000278605288814299,"no"
"SMARCA1",5,0,0.000309260494500109,"no"
"ING1",5,0,0.000324380998896231,"no"
"TXNRD3",5,0,0.000326282127321146,"no"
"BCAR1",5,0,0.000341320139643314,"no"
"PATZ1",5,0,0.000378929159919179,"no"
"DPYD",5,0,0.00039254460574801,"no"
"AGTR1",5,0,0.000412548205082258,"no"
"TRIM17",4,1,0.000415185261031227,"no"
"ASCL4",5,0,0.000419782668738697,"no"
"GABARAP",5,0,0.000433359105521547,"no"
"PLXDC1",5,0,0.000457181217900062,"no"
"H6PD",5,0,0.000459682544834858,"no"
"HCRTR1",5,0,0.000468523547230737,"no"
"SRR",5,0,0.000520997157978133,"no"
"FGD5",5,0,0.000543903181161136,"no"
"DET1",5,0,0.000546057534435956,"no"
"LRRC69",5,0,0.000584117908790517,"no"
"DNMBP",5,0,0.000602564712042424,"no"
"MAP3K11",5,0,0.000604512740265497,"no"
"TSPAN6",4,1,0.000635197420065676,"no"
"RDH12",5,0,0.000661137665577317,"no"
"RHOA",5,0,0.000669985289001035,"no"
"TPM4",5,0,0.000670832834951405,"no"
"MAP2K2",5,0,0.000743770470631239,"no"
"LOC407835",5,0,0.000743770470631239,"no"
"MASP1",5,0,0.000829429913848181,"no"
"B3GNT2",5,0,0.00092061913632326,"no"
"VWA1",5,0,0.000928840853882856,"no"
"OR5W2",5,0,0.000984013297891173,"no"
"DUSP19",5,0,0.00101492535561441,"no"
"ZWINT",4,1,0.00104516301026514,"no"
"TGFBR2",4,1,0.00114309575071385,"no"
"CHD7",5,0,0.00117205105745601,"no"
"ETV5",5,0,0.00117404005607298,"no"
"NTSR2",5,0,0.00124537534246106,"no"
"SNAI2",5,0,0.00125025151162773,"no"
"DAZL",5,0,0.00125164750445229,"no"
"FGFR1",5,0,0.00134288199776395,"no"
"RHEB",5,0,0.00137269284042069,"no"
"DHRS11",5,0,0.00144797122821482,"no"
"TMEM100",4,1,0.00146808377673404,"no"
"RHOBTB3",5,0,0.00147007483607399,"no"
"USF1",5,0,0.00153965772482268,"no"
"SIX6",5,0,0.00156370663246859,"no"
"SDC4",5,0,0.00160161801041104,"no"
"PYGO1",5,0,0.00163420152016156,"no"
"SOCS7",4,1,0.00165892281268001,"no"
"RABGGTA",5,0,0.00182208118540336,"no"
"E2F1",5,0,0.00184673172878771,"no"
"ZRANB2",5,0,0.00184959310325762,"no"
"SP100",4,1,0.00189396632742836,"no"
"NCOA1",5,0,0.00190073172247747,"no"
"CBX5",5,0,0.00190854802291022,"no"
"ATP13A1",5,0,0.00192228841050933,"no"
"GSTM2",5,0,0.00194702159131468,"no"
"FAM83H",4,1,0.00201978203294564,"no"
"CBX7",5,0,0.00212417351568541,"no"
"AK1",5,0,0.00213806952878079,"no"
"SPRYD4",5,0,0.00215096107536344,"no"
"HMGN5",5,0,0.00217475705022214,"no"
"PITX3",5,0,0.00225299360702921,"no"
"SOHLH2",5,0,0.00226868291451042,"no"
"CCDC169-SOHLH2",5,0,0.00226868291451042,"no"
"CDKL2",5,0,0.00230714962514795,"no"
"WWTR1",5,0,0.00235075745948036,"no"
"UNG",5,0,0.00238564835567239,"no"
"RABL3",5,0,0.00243637990442522,"no"
"GPR77",5,0,0.00256141505429003,"no"
"ESR2",5,0,0.0025626536493712,"no"
"ITGB6",5,0,0.00256513227697436,"no"
