"","#wt","#mut","pvalue","is_significant"
"TET1",5,0,1.28558359735464e-07,"yes"
"WDR82",5,0,1.36867620459391e-07,"yes"
"OGDH",5,0,2.68812198056523e-07,"yes"
"RAD23B",5,0,1.23739172452897e-06,"yes"
"CRABP1",5,0,1.43329824564553e-06,"yes"
"SHH",5,0,1.0233600528764e-05,"yes"
"CHRM1",5,0,2.01163580090258e-05,"yes"
"MED15",5,0,2.29279877803634e-05,"yes"
"CFL1",5,0,2.3853551194053e-05,"yes"
"THEM4",5,0,2.91813391734008e-05,"yes"
"NEDD8-MDP1",5,0,3.14956311449066e-05,"yes"
"POLD1",5,0,3.49400878819628e-05,"yes"
"UBA3",4,1,3.63270680249217e-05,"yes"
"RFC4",5,0,3.95083974135124e-05,"yes"
"KIF23",5,0,5.12582027876185e-05,"yes"
"NEUROG3",5,0,5.26825632296557e-05,"yes"
"SPSB1",5,0,5.75616279799851e-05,"yes"
"LLGL2",4,1,5.93702111553185e-05,"yes"
"CITED2",5,0,6.07202745533941e-05,"yes"
"ARL11",5,0,6.97797189379568e-05,"yes"
"RBM19",5,0,7.18851712747659e-05,"yes"
"NFKBIA",4,1,9.07887154419917e-05,"yes"
"IRF9",5,0,9.12246415889495e-05,"yes"
"CXXC1",5,0,0.000102861829631706,"yes"
"TP53",4,1,0.000103753686949815,"yes"
"COPS3",5,0,0.000110154848155242,"yes"
"ARPC1A",5,0,0.000119339832909793,"yes"
"KCNJ2",4,1,0.000124600782538842,"yes"
"GPR50",5,0,0.000148205951448377,"yes"
"KEAP1",4,1,0.000159503793775495,"no"
"SLC2A2",5,0,0.000165701536881557,"no"
"CIT",5,0,0.000179876907229759,"no"
"FAF2",5,0,0.000180024880949814,"no"
"SLC47A2",5,0,0.00018061774997713,"no"
"BIRC7",5,0,0.000245269326377695,"no"
"SP1",5,0,0.000290343839070228,"no"
"AGPAT2",5,0,0.000312468562716828,"no"
"CDC42BPA",3,2,0.000313879156987995,"no"
"RRP9",5,0,0.000330351625723813,"no"
"EPB41L2",5,0,0.000330592266407748,"no"
"POLD2",5,0,0.000337876962094086,"no"
"PBK",5,0,0.000352578083979704,"no"
"FANCM",5,0,0.000374919081621794,"no"
"MLF2",5,0,0.000377053542374717,"no"
"MBOAT1",5,0,0.000389790691264547,"no"
"ATG14",5,0,0.000409682502669595,"no"
"ATP10D",4,1,0.000414783970603683,"no"
"MED9",5,0,0.000430973101607779,"no"
"DDX47",5,0,0.000433060278463793,"no"
"CAND1",5,0,0.000442400921003894,"no"
"QPCT",5,0,0.000460937307153575,"no"
"DHX38",5,0,0.000537836081639043,"no"
"SUPV3L1",5,0,0.00056575561386818,"no"
"OPHN1",5,0,0.000611173756127625,"no"
"MCM6",5,0,0.000619482999838272,"no"
"CDK3",4,1,0.000654746971211484,"no"
"TEN1-CDK3",4,1,0.000654746971211484,"no"
"MATN4",5,0,0.000663655962063081,"no"
"ATP1A1",5,0,0.00066913859991391,"no"
"FOXE1",5,0,0.000683218943888897,"no"
"TLE3",5,0,0.00072013179019248,"no"
"SOX17",5,0,0.000732784396006658,"no"
"RPS6KA3",5,0,0.000754422051505887,"no"
"ACO2",5,0,0.000790489639441061,"no"
"POC1A",5,0,0.000798743051034667,"no"
"PTK2B",5,0,0.000801183598291066,"no"
"ARFRP1",5,0,0.000812981408837343,"no"
"RPS6KA4",5,0,0.000853315115444064,"no"
"NR4A1",5,0,0.000866762655466591,"no"
"SKIV2L2",5,0,0.000914083770173546,"no"
"SLIT2",5,0,0.000974259309009406,"no"
"PNPLA7",5,0,0.00100609894958559,"no"
"NCBP2",5,0,0.00102679014568285,"no"
"WDR1",5,0,0.0010606029720247,"no"
"RAD17",5,0,0.00110917793315157,"no"
"CNBD1",4,1,0.0011133596555325,"no"
"MMP9",5,0,0.00111744395400482,"no"
"FCGRT",5,0,0.00119206284601225,"no"
"FCN3",5,0,0.00119475160693383,"no"
"KDSR",5,0,0.00120352360595888,"no"
"NEUROG1",5,0,0.00130779503093559,"no"
"UTP15",5,0,0.00130924218671824,"no"
"ATP1A3",5,0,0.00136818778158798,"no"
"CCNT1",5,0,0.0014183995617254,"no"
"KCNJ14",5,0,0.00151509184036602,"no"
"CD2AP",5,0,0.00156203850121772,"no"
"WNT7A",5,0,0.00156370663246763,"no"
"IDH3G",5,0,0.00158383560624176,"no"
"DNM2",5,0,0.00158636623314656,"no"
"RAB34",5,0,0.00159652110858288,"no"
"HIST3H3",4,1,0.00160956527145484,"no"
"SEMA3E",5,0,0.00161612996207849,"no"
"NR2E3",5,0,0.00164894896742429,"no"
"MAT2A",4,1,0.00165552193063478,"no"
"MTR",4,1,0.00169091764099039,"no"
"TAS1R3",5,0,0.00170542669089402,"no"
"RUFY1",5,0,0.00181643015833977,"no"
"DSC2",5,0,0.00181831227388585,"no"
"SLAMF6",5,0,0.00182396798330986,"no"
"NGFR",4,1,0.00185295340874159,"no"
"CDK7",5,0,0.00185724077862115,"no"
"ALX3",5,0,0.0018610740910121,"no"
"LGALSL",5,0,0.00188711483050008,"no"
"DHX30",5,0,0.00201967875473685,"no"
"RNGTT",5,0,0.00204540812163445,"no"
"AATK",4,1,0.002062190700307,"no"
"PDE10A",5,0,0.00207348967539089,"no"
"PARK2",5,0,0.00216607972775373,"no"
"RACGAP1",5,0,0.00222519294497314,"no"
"HS3ST1",5,0,0.00227768739840362,"no"
"RFC1",5,0,0.00229351402933597,"no"
"CYP1A1",5,0,0.00252447929541577,"no"
"FBXW10",5,0,0.00254289352572667,"no"
"CDRT1",5,0,0.00254289352572667,"no"
"LYZ",5,0,0.00259002419998,"no"
"PPP1R10",5,0,0.00259127384958624,"no"
"TBL3",5,0,0.002610076548341,"no"
"ITIH2",5,0,0.00265310024475929,"no"
"TRPM7",5,0,0.0026773888449253,"no"
"ELL3",5,0,0.00272780175314002,"no"
"SOX7",5,0,0.00275657301523458,"no"
"MED10",5,0,0.00276446170399702,"no"
"F2RL1",4,1,0.00283585947244702,"no"
"GEMIN5",4,1,0.00299338225474965,"no"
"MKNK1",5,0,0.00309658509299149,"no"
"GRK6",5,0,0.00325391213462589,"no"
"PIK3CD",5,0,0.00326893617257562,"no"
"TREML4",5,0,0.00327194762857808,"no"
"ORC3",5,0,0.00332195793601431,"no"
"CHD8",5,0,0.00333417324721708,"no"
"MC5R",4,1,0.00339158063102463,"no"
"ACTB",5,0,0.00339423856145582,"no"
"PPP4C",5,0,0.0034425976404131,"no"
"WDR70",3,2,0.0035275838592298,"no"
"WDR16",5,0,0.00363010499309913,"no"
"SEC62",5,0,0.00364321833441628,"no"
"ARL13B",5,0,0.00365636954474502,"no"
"GATM",5,0,0.00377982808189203,"no"
"RRAS",5,0,0.0037916770618206,"no"
"ADM2",5,0,0.00380695510831652,"no"
"DCLK1",5,0,0.00384622285163272,"no"
"UBE2V1",5,0,0.00386167640356383,"no"
"TMEM189-UBE2V1",5,0,0.00386167640356383,"no"
"RNF4",5,0,0.0039484365739002,"no"
"ATF5",5,0,0.00399593124838027,"no"
"SLITRK3",5,0,0.00402962654988526,"no"
"ANKFY1",5,0,0.00410672403665702,"no"
"RBM34",4,1,0.00417505593744349,"no"
"MPZL1",5,0,0.00420337004582205,"no"
"UBE2E3",5,0,0.00426073665908722,"no"
"PSG4",5,0,0.00427750825520667,"no"
"DGKQ",5,0,0.00428497923003779,"no"
"BTBD1",5,0,0.00432625641454798,"no"
"MYOZ3",5,0,0.00435079659324045,"no"
"GINS4",5,0,0.00435836977855086,"no"
"NEK2",5,0,0.00440594146780449,"no"
"WDR36",4,1,0.00442294958456513,"no"
"CCRL2",5,0,0.00442892294038166,"no"
"RAB35",5,0,0.0044655063101976,"no"
"MYO7B",5,0,0.00466005708394979,"no"
"DDX27",5,0,0.00479348174337846,"no"
"ARNT2",5,0,0.0047996183148008,"no"
"RNF20",5,0,0.00481806574742882,"no"
"WDR41",5,0,0.00500567901414284,"no"
"VLDLR",5,0,0.0050162707969944,"no"
"DHX57",5,0,0.00506095225585601,"no"
"GNL3",5,0,0.00510810232178538,"no"
"KIF14",4,1,0.00511600019541492,"no"
"FTSJD2",5,0,0.00537823199155907,"no"
"ILF2",5,0,0.00547077114937133,"no"
"SHC1",5,0,0.0055461753344298,"no"
"WDR13",5,0,0.00556227652731633,"no"
"LMTK2",5,0,0.00565033680401661,"no"
"AHCY",5,0,0.00569243697769706,"no"
"PPIL1",5,0,0.00573478772607294,"no"
"ERCC6L",5,0,0.00588500477597731,"no"
"MED19",5,0,0.00590913548017169,"no"
"OR51B2",5,0,0.00593819674246943,"no"
"G3BP2",5,0,0.00602361242726523,"no"
"KLHL14",5,0,0.00608769806964493,"no"
"C1orf27",4,1,0.00608949938780456,"no"
"AIFM1",5,0,0.00619237230652758,"no"
"JMJD7-PLA2G4B",5,0,0.00624777340670268,"no"
"PLA2G4B",5,0,0.00624777340670268,"no"
"SOCS6",5,0,0.00628831360724469,"no"
"FRMD4B",4,1,0.00629976497040874,"no"
"BAI1",4,1,0.00641473396159498,"no"
"SNAP25",5,0,0.00650983844828434,"no"
"THBS2",5,0,0.00661497779874742,"no"
"NCOA7",5,0,0.0066653925524417,"no"
"PWP2",5,0,0.00671879230927475,"no"
"MBD6",5,0,0.00679412639548538,"no"
"GPR55",4,1,0.00681153844430826,"no"
"JUND",5,0,0.00690018057890718,"no"
"MED30",4,1,0.00693674422601476,"no"
"ITGA3",3,2,0.0072497134654923,"no"
"ARL8A",5,0,0.00728327655075944,"no"
"DDX3Y",5,0,0.00729185183514158,"no"
"KLHL5",5,0,0.00732910478847282,"no"
"MAK",5,0,0.00735786438233033,"no"
"IFNGR2",5,0,0.00743887184973202,"no"
"TBR1",5,0,0.00745050235240319,"no"
"HEATR6",4,1,0.00750404974726615,"no"
"EVX1",5,0,0.0075264557069995,"no"
"TSC1",5,0,0.00752938931111335,"no"
"COPS8",4,1,0.00758176550315426,"no"
"MED16",5,0,0.00761486258501742,"no"
"PGK2",5,0,0.00762078578143432,"no"
"KIRREL2",3,2,0.00765372109011597,"no"
"PNPT1",5,0,0.00770409827062501,"no"
"SORD",5,0,0.00771007692729619,"no"
"RCC1",5,0,0.00776104552095758,"no"
"MMP8",4,1,0.00781128238967954,"no"
"DHX29",5,0,0.00782135329354483,"no"
"PHKB",5,0,0.00785771751922471,"no"
"C1QTNF6",5,0,0.00786986893821273,"no"
"MYO3A",5,0,0.00795535044785134,"no"
"E2F4",5,0,0.0080477603927861,"no"
"ATF4",5,0,0.00811918792457611,"no"
"LRRC15",5,0,0.0081566552673078,"no"
"PRPF4",5,0,0.00821626133353381,"no"
"RAB32",5,0,0.00821626133353381,"no"
"ILF3",5,0,0.00825092904953706,"no"
"CCNI",5,0,0.0083365188567831,"no"
"EIF5A",5,0,0.0084453074387294,"no"
"EIF5AL1",5,0,0.0084453074387294,"no"
"AHR",5,0,0.00849366199459256,"no"
"FKBP15",5,0,0.00858125821501821,"no"
"DLX1",5,0,0.00859429666458011,"no"
"SOCS3",4,1,0.0087818436910555,"no"
"PPM1D",4,1,0.00888923518444473,"no"
"AIFM3",5,0,0.00895911294860807,"no"
"C10orf2",5,0,0.00898612057047066,"no"
"WIPI2",5,0,0.00910846208168015,"no"
"CEACAM18",5,0,0.00914268120431905,"no"
"HAS2",4,1,0.00915180924193482,"no"
"EPYC",5,0,0.00920453474704497,"no"
"PMVK",5,0,0.00934667348822038,"no"
"STK10",4,1,0.00939097873843187,"no"
"SRP19",5,0,0.00945178553997295,"no"
"TACSTD2",5,0,0.00956494513734374,"no"
"RBM14",4,1,0.00961360114076637,"no"
"SLC6A15",5,0,0.00986351069951352,"no"
"MCAM",4,1,0.00992668376464556,"no"
"EIF2AK3",4,1,0.00998323042420168,"no"
"PEAK1",5,0,0.0101396666950218,"no"
"DLST",5,0,0.0101769499116375,"no"
"HSD11B1L",5,0,0.0103234035181831,"no"
"KCTD17",5,0,0.0103763858054096,"no"
"ITGB8",5,0,0.0105481606317864,"no"
"KDM2B",3,2,0.0105777180154987,"no"
"RRM2",5,0,0.0108394993419468,"no"
"SCN2B",4,1,0.0108514811459371,"no"
"HSD17B10",5,0,0.0110691830694034,"no"
"RASL11B",5,0,0.0111854747400427,"no"
"SNRPA",5,0,0.0113882696222706,"no"
"CCNF",5,0,0.0114005301121003,"no"
"THOC3",5,0,0.011498994280879,"no"
"LOC728554",5,0,0.011498994280879,"no"
"PRKAB2",4,1,0.011530424767166,"no"
"UBE2M",5,0,0.0115815658549602,"no"
"UBE2MP1",5,0,0.0115815658549602,"no"
"SRGAP1",5,0,0.0116064294953069,"no"
"DENND5B",5,0,0.011618877300132,"no"
"FBXW9",5,0,0.0116271817614906,"no"
"CD33",5,0,0.0117732792505506,"no"
"ATG4D",5,0,0.0117942694985042,"no"
"PPP2R5B",5,0,0.0118700820902214,"no"
"ITGB7",5,0,0.0118869820829814,"no"
"CTDP1",5,0,0.0119166033199557,"no"
"CDX2",5,0,0.0119208397344071,"no"
"PAQR9",5,0,0.0119590216315981,"no"
"KPNA2",4,1,0.0119737575980698,"no"
"SLC19A2",5,0,0.0119845304570948,"no"
"NDNL2",5,0,0.0120015604736222,"no"
"WRN",5,0,0.012091285486071,"no"
"ASXL3",5,0,0.012211751425703,"no"
"ALG10",5,0,0.0122940406337745,"no"
"CDC37",5,0,0.0123201184893388,"no"
"NWD1",5,0,0.0124511711592914,"no"
"NR4A3",5,0,0.0125039028320945,"no"
"EPOR",5,0,0.0125435684711622,"no"
"BTBD8",5,0,0.0125700679927092,"no"
"KCNJ5",4,1,0.0125846073028238,"no"
"OR2W3",4,1,0.0128564427567995,"no"
"DCAF8L1",5,0,0.0128690266990684,"no"
"DCAF8L2",5,0,0.0128690266990684,"no"
"DHRS1",5,0,0.012914129874396,"no"
"ELL",5,0,0.0129503031647914,"no"
