"","#wt","#mut","pvalue","is_significant"
"TTC8",25,4,0.000632984629958467,"no"
"ETV1",23,6,0.00334978691905854,"no"
"VSIG8",27,2,0.00356603597764726,"no"
"CHRNA5",27,2,0.00433748387654099,"no"
"ALDH3B1",23,6,0.00571088966695768,"no"
"ACTB",25,4,0.00826054486157152,"no"
"KLHL35",26,3,0.0095456545493511,"no"
"GPR65",25,4,0.0101858990799558,"no"
"PROCR",27,2,0.0109522952370416,"no"
"VPS4A",25,4,0.0111910747168299,"no"
"XPR1",27,2,0.0114972848534666,"no"
"CBLN1",27,2,0.0131568346044866,"no"
"WASL",27,2,0.0132839099292892,"no"
"ACAP2",27,2,0.0136939850610452,"no"
"SERPINE1",27,2,0.014184318178863,"no"
"MCL1",25,4,0.0143275094731123,"no"
"GLI3",27,2,0.0155079101786498,"no"
"RAB30",26,3,0.0173293616708618,"no"
"CIT",27,2,0.0176691949650499,"no"
"TMEM207",27,2,0.0179061753997928,"no"
"EGFR",21,8,0.01854112210899,"no"
"NPAS4",24,5,0.0191018444075873,"no"
"PARD6A",26,3,0.0196566038530492,"no"
"REG4",26,3,0.0204674329526396,"no"
"FIGNL2",27,2,0.020535360077284,"no"
"CABP2",22,7,0.0208887980263678,"no"
"FABP9",26,3,0.020991528918807,"no"
"ZNF3",26,3,0.0215547409172868,"no"
"MED15",27,2,0.0220975699262101,"no"
"HOXA3",27,2,0.0223227547903791,"no"
"NET1",27,2,0.0239174685262033,"no"
"VPS28",27,2,0.0241429935939427,"no"
"BTBD8",26,3,0.02667989497644,"no"
"SEMA3E",25,4,0.0274972319700355,"no"
"RAVER2",27,2,0.0277442890948498,"no"
"STARD5",27,2,0.0277555665752881,"no"
"CORO2B",27,2,0.0287576128925769,"no"
"GAN",27,2,0.0291307845370207,"no"
"NPY1R",27,2,0.0292231308922964,"no"
"PFKP",27,2,0.0296570157083665,"no"
"TLE3",27,2,0.0300935859417625,"no"
"RBMXL1",26,3,0.0309553004416936,"no"
"ARL17A",21,8,0.0328712167685481,"no"
"METTL1",27,2,0.0329982651403308,"no"
"MIEN1",27,2,0.0343486636619897,"no"
"TRPS1",27,2,0.0346797153676529,"no"
"FOXO3B",27,2,0.0347650815457059,"no"
"KIF5A",26,3,0.0368855495141968,"no"
"MCOLN2",27,2,0.0370506239194729,"no"
"NNT",23,6,0.0388149295417175,"no"
"AKR1B10",26,3,0.0394903711038098,"no"
"AKR1B15",26,3,0.0394903711038098,"no"
"CLCN1",27,2,0.040115635243007,"no"
