"","#wt","#mut","pvalue","is_significant"
"KRAS",15,14,6.25362099159043e-07,"yes"
"CHD8",24,5,0.00223484260342648,"no"
"GPR85",26,3,0.00554335807015532,"no"
"COL21A1",25,4,0.00554842483818892,"no"
"GPR101",26,3,0.00591436908334334,"no"
"MAP1B",27,2,0.00636065445631597,"no"
"ATR",25,4,0.00648279630974455,"no"
"PHOX2B",27,2,0.00771339508570276,"no"
"TNS3",27,2,0.00957125716516035,"no"
"FN1",26,3,0.00976122578855393,"no"
"SUPV3L1",26,3,0.0103221375558834,"no"
"WWP2",27,2,0.0111717496808091,"no"
"SIGLEC1",26,3,0.0117285992589331,"no"
"PARP10",27,2,0.0121543508407291,"no"
"SDHA",27,2,0.0134690434029029,"no"
"PDZRN4",26,3,0.0136692585524612,"no"
"KIF17",25,4,0.0145522866857836,"no"
"ABCC12",27,2,0.0152371346677773,"no"
"ITGAX",27,2,0.0164242111376876,"no"
"CLSPN",27,2,0.0166670694727988,"no"
"KCNV1",25,4,0.0175889990774756,"no"
"PTPN12",26,3,0.0177831600413044,"no"
"ANKRD36C",24,5,0.0181812198669286,"no"
"COBLL1",27,2,0.019111649418146,"no"
"PRDM14",27,2,0.0199643329224716,"no"
"ATP2B2",25,4,0.0205851318158994,"no"
"CTAG2",27,2,0.0221576175088149,"no"
"APC",27,2,0.0222199736778306,"no"
"OTUB1",27,2,0.0229855113340582,"no"
"DPP10",26,3,0.0237256644273899,"no"
"DCAF13",27,2,0.0247888057569768,"no"
"LAMA5",26,3,0.0253423745968127,"no"
"RASA2",27,2,0.0265969609357808,"no"
"LRRC4C",27,2,0.0271726624950974,"no"
"ADRA1A",27,2,0.0276738890029244,"no"
"OR2T27",26,3,0.027956483020847,"no"
"GABRA6",26,3,0.028323390260214,"no"
"DGKQ",27,2,0.0320561520956123,"no"
"RAB33A",27,2,0.0323251555899997,"no"
"THRSP",27,2,0.0335843713470702,"no"
"PLXNB3",25,4,0.0372637309642877,"no"
"MACF1",24,5,0.0384028709640414,"no"
"WDR7",27,2,0.0393790070699367,"no"
"UBQLN2",27,2,0.0428403422322854,"no"
"BCAN",25,4,0.0439734767871475,"no"
"BTD",27,2,0.0440861068616043,"no"
"NDNL2",26,3,0.0445203345887874,"no"
"TTC28",25,4,0.045097801306332,"no"
"ITGA1",27,2,0.0462457479695441,"no"
"SERPINA5",23,6,0.0471824005109122,"no"
"ANKRD17",25,4,0.0501305253624762,"no"
"BARHL2",27,2,0.0502517040828357,"no"
"ECE2",27,2,0.0502595333731373,"no"
"WDR11",27,2,0.0508055287165651,"no"
"BIRC7",27,2,0.0508344882946071,"no"
"GPR78",27,2,0.0510094810973862,"no"
"EPHA7",26,3,0.0511070927061753,"no"
"FBXW7",27,2,0.052032831812457,"no"
"SMYD5",27,2,0.0533291628702767,"no"
"TP53",13,16,0.0533833072845234,"no"
"ATP10A",25,4,0.0537054996074149,"no"
"DMXL2",26,3,0.053817646561257,"no"
"KIF2B",23,6,0.055175513058641,"no"
"LRRCC1",27,2,0.0553567181863635,"no"
"FASN",22,7,0.0556415227193484,"no"
"NIN",26,3,0.0568135563570569,"no"
"TLR1",27,2,0.0569452590242854,"no"
"CDH6",25,4,0.0570739479571777,"no"
"DCLK3",27,2,0.0582691762831749,"no"
"PTPRN2",26,3,0.0585239215698299,"no"
"THBS2",25,4,0.0596809879223942,"no"
"CCDC91",27,2,0.0619535166548805,"no"
"GPR32",27,2,0.0622488398350009,"no"
"DMRT3",27,2,0.0637939938022321,"no"
"COL4A1",27,2,0.0657515861629865,"no"
"DDX28",26,3,0.0664070983682925,"no"
"CDK13",26,3,0.06825315346879,"no"
"FFAR1",27,2,0.0685965750808061,"no"
"CACNA1C",27,2,0.0704868650087937,"no"
"DHX40",27,2,0.0714561905609711,"no"
"C1QL1",27,2,0.0729453802280373,"no"
"GRIN2B",25,4,0.0730954303902421,"no"
"KIAA1549",27,2,0.073233602450394,"no"
"NPY1R",27,2,0.0736223298767977,"no"
"NPC1",27,2,0.074809922449177,"no"
"KIF5C",27,2,0.0762272499223562,"no"
"ANKS6",27,2,0.0775041788576625,"no"
"WDR13",27,2,0.0793778966261738,"no"
"DSP",26,3,0.0801892346703565,"no"
"TRPM1",27,2,0.0806715536477439,"no"
"CD8A",27,2,0.0812193838204679,"no"
"SLC4A4",27,2,0.0825632783261738,"no"
"MMP10",27,2,0.0827291761120327,"no"
"FGFR3",27,2,0.0832966108792719,"no"
"MTA1",27,2,0.0834576564536622,"no"
"CHD1",26,3,0.0847616362683741,"no"
"STIL",27,2,0.086909283828847,"no"
"DUSP27",23,6,0.0870046882268465,"no"
"PKHD1",25,4,0.0886166293693563,"no"
"SERPINA3",26,3,0.0890637088543015,"no"
"TG",27,2,0.091712653029368,"no"
"WDR63",26,3,0.0919973304961156,"no"
"MAP3K9",26,3,0.0920316812606987,"no"
"FER1L6",26,3,0.092879830766166,"no"
"CPS1",24,5,0.0931519011678937,"no"
"PRDM9",24,5,0.0966929496698301,"no"
"LIG1",26,3,0.0973227227376653,"no"
"XPOT",27,2,0.0987796975645053,"no"
"AKAP13",26,3,0.099969437244947,"no"
"ANKLE2",27,2,0.100720122386216,"no"
"FMN2",22,7,0.101064075139991,"no"
"DSEL",27,2,0.101761595526585,"no"
"PIGG",27,2,0.101984347585138,"no"
"NFASC",24,5,0.10311982813872,"no"
"ANKRD20A4",27,2,0.105523069384358,"no"
"ASTN2",23,6,0.105631668895538,"no"
"TBC1D2B",27,2,0.106569754188762,"no"
"NLGN4X",27,2,0.106781492456793,"no"
"ABCA1",25,4,0.107087733419174,"no"
"KAT6B",25,4,0.107402069403524,"no"
"HSD17B13",26,3,0.107918460155726,"no"
"NPAS2",27,2,0.10939165270548,"no"
"GRIA4",25,4,0.110036352849382,"no"
"GJA8",27,2,0.111087530164651,"no"
"NLRP3",21,8,0.112661468968005,"no"
"TEX15",24,5,0.114245055988148,"no"
"TEX14",26,3,0.114348765904129,"no"
"WDR44",26,3,0.114420034239748,"no"
"SLC12A7",27,2,0.114695203173602,"no"
"TLN2",26,3,0.114828588353061,"no"
"ACIN1",26,3,0.115659313954275,"no"
