"","#wt","#mut","pvalue","is_significant"
"PTPN13",26,3,0.0152873434141262,"no"
"WDR36",27,2,0.0194753002025289,"no"
"KCNH1",27,2,0.0350055719199825,"no"
"RAPGEF5",27,2,0.0360166773556114,"no"
"PDPN",27,2,0.0468187250532403,"no"
"KCNJ12",27,2,0.0479782093465323,"no"
"PBRM1",27,2,0.0567811986931951,"no"
"IQCA1",27,2,0.0581888279376988,"no"
"STK11",22,7,0.0594697674239486,"no"
"FRYL",27,2,0.0652681091368582,"no"
"ARID4B",27,2,0.0690825884591313,"no"
"SMARCA4",21,8,0.0794765818361816,"no"
"HERC1",26,3,0.0836704901142842,"no"
"COL4A1",27,2,0.0851227749106451,"no"
"PCDH7",27,2,0.0972619558162504,"no"
"LRP1B",25,4,0.0999969425993887,"no"
"PWWP2A",27,2,0.0999985295201011,"no"
"DNMT3A",27,2,0.105166304274637,"no"
"ZCWPW2",27,2,0.116326257257286,"no"
"DGKB",27,2,0.116376406619505,"no"
"MAP4K3",27,2,0.1167992228927,"no"
"PRDM2",27,2,0.127219712160202,"no"
"GRB14",25,4,0.13588198991338,"no"
"ZFPM2",27,2,0.137347764894417,"no"
"ZNF189",27,2,0.144726471328978,"no"
"PAPPA2",25,4,0.150812529225238,"no"
"HDAC9",27,2,0.164883109770093,"no"
"CSMD3",22,7,0.164983974738347,"no"
"PKHD1L1",26,3,0.16560188769138,"no"
"CHD1",27,2,0.166840229327424,"no"
"PVRL1",27,2,0.168701357981951,"no"
"HECW1",27,2,0.172981332469615,"no"
"LRRC7",27,2,0.18382957818542,"no"
"ATM",26,3,0.192334372929954,"no"
"RABL2B",27,2,0.198453866910189,"no"
"ATG9B",27,2,0.199464754731025,"no"
"ABCA13",27,2,0.202023325340045,"no"
"NID2",26,3,0.204701142796457,"no"
"PUS7L",25,4,0.217524397192619,"no"
"DNAH5",27,2,0.220422558429395,"no"
"SLITRK3",27,2,0.220936116492918,"no"
"DDX31",27,2,0.227542320969711,"no"
"TTN",21,8,0.230939620204303,"no"
"HFM1",27,2,0.231530180473748,"no"
"CENPE",26,3,0.233093437629204,"no"
"VANGL1",27,2,0.23654740490839,"no"
"SI",27,2,0.238368794569934,"no"
"CNTN1",26,3,0.242621442698336,"no"
"DOCK2",27,2,0.242956510280933,"no"
"KEAP1",26,3,0.254506427940409,"no"
"LRRK2",27,2,0.256626894784777,"no"
"COL22A1",27,2,0.257475278240317,"no"
"SLC4A8",27,2,0.261194703495254,"no"
"MECOM",27,2,0.26731366896071,"no"
"TRIO",27,2,0.268051027195566,"no"
"MN1",27,2,0.283489712117943,"no"
"NCK1",27,2,0.288917111709297,"no"
"STK33",26,3,0.302973919021078,"no"
"FCRL4",27,2,0.314199430055828,"no"
"RALYL",27,2,0.363116534469122,"no"
