"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"ATP6V1B2",27,2,1.47330980535559e-06,"yes",5.12618717896208e-11,"down"
"RAB5B",28,1,6.00002259962884e-06,"yes",1.32204285865561e-12,"down"
"RAB7A",29,0,9.03147218329479e-06,"yes",2.35620526377191e-07,"down"
"PPARGC1A",27,2,9.18684448832366e-06,"yes",0.000935431433577511,"down"
"PRKAA1",23,6,4.39558509554634e-05,"yes",1.97284869550065e-15,"up"
"FUBP1",26,3,4.39775574156395e-05,"yes",3.07054397615225e-45,"up"
"UBE2Z",27,2,4.66757611062045e-05,"yes",1.27526373071679e-53,"up"
"WDR49",25,4,6.00542209579395e-05,"yes",0.00408680047718857,"down"
"NFE2L2",26,3,7.13792547495175e-05,"yes",1.29086924078602e-11,"down"
"CDK1",27,2,7.80953102334112e-05,"yes",2.18457797784313e-74,"up"
"RNGTT",28,1,9.71806790050105e-05,"yes",8.70891639910527e-08,"up"
"PI4KAP2",28,1,0.000105888446629009,"yes",3.98810936619517e-07,"up"
"STAT3",29,0,0.000108437098520076,"yes",0.00236358537461594,"down"
"AHCTF1",25,4,0.000134908762997702,"yes",2.72380362723002e-31,"up"
"PTPRD",17,12,0.000138251678086524,"yes",6.59443714930943e-12,"down"
"CDC23",29,0,0.000172921385217371,"no",4.65059611484847e-16,"up"
"ATN1",28,1,0.00020036025569839,"no",8.75088932354275e-05,"down"
"MYO3A",27,2,0.000200619609625261,"no",1.19308957930107e-06,"up"
"SERPINI1",25,4,0.000242634585323584,"no",0.00338348389374345,"up"
"SHH",25,4,0.000289248728236308,"no",0.0741180824215479,"down"
"TLE6",29,0,0.000332466200610127,"no",9.70624056346081e-25,"up"
"MARK3",25,4,0.000369863908969641,"no",0.369796681156464,"down"
"TBC1D8B",29,0,0.000381845213181521,"no",3.09170234630354e-15,"up"
"HEATR6",28,1,0.000408251194639848,"no",6.07061214580212e-29,"up"
"PROM1",28,1,0.000430482407689279,"no",4.8749652613948e-09,"up"
"RAD23A",29,0,0.000450563908307987,"no",0.00872181794262162,"up"
"FOXA1",26,3,0.000464008513103295,"no",7.23121925924168e-38,"up"
"AANAT",29,0,0.000474961974186418,"no",9.59138402951327e-12,"up"
"CDK4",26,3,0.000495180572156165,"no",5.37325818056501e-29,"up"
"GTF2F1",28,1,0.00052247055232911,"no",0.11460923245686,"up"
"FAM58BP",29,0,0.000533121527442888,"no",0.401430063188024,"up"
"BNC1",26,3,0.00056073554860326,"no",0.833437419576072,"down"
"PGC",27,2,0.000588816111101268,"no",0.0001440486170225,"up"
"KIDINS220",27,2,0.000596610039533869,"no",1.41970532783175e-05,"down"
"GTPBP6",28,1,0.000596982287458637,"no",0.207043494537216,"up"
"RNF112",25,4,0.000667422123688331,"no",4.75913820548154e-06,"down"
"PI4KAP1",26,3,0.000686682439429036,"no",0.000357777039952578,"up"
"MMP2",25,4,0.000758376915617489,"no",3.0636912834168e-05,"up"
"ZRSR2",29,0,0.000846032571300966,"no",0.00326697872080849,"down"
"ATP1A1",24,5,0.000856274866367015,"no",0.00418928526941401,"down"
"WDR18",28,1,0.000872062514973501,"no",2.29459946226903e-11,"up"
"SIM1",29,0,0.000913866771839564,"no",5.00915450549562e-07,"up"
"PLOD2",28,1,0.000976147094189877,"no",7.25958172123423e-40,"up"
"NCKAP1L",25,4,0.000981151928833049,"no",2.12812089285482e-16,"down"
"MYLK4",28,1,0.00103614334489021,"no",0.256175665805582,"up"
"KLF12",28,1,0.00107811743826077,"no",0.00804779806168482,"down"
"UBL5",29,0,0.0011600348693055,"no",0.00207354032485907,"up"
"TTF1",27,2,0.00118506828083607,"no",0.0021336257692999,"up"
"CCNA2",29,0,0.00119674182226002,"no",3.59303952132481e-76,"up"
"TEAD1",29,0,0.00120854834768319,"no",0.000246364649521826,"down"
