"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"EED",27,2,1.62926282920584e-06,"yes",2.22315803915716e-50,"up"
"TP53",3,26,1.64723245266174e-06,"yes",9.5943042049775e-28,"up"
"GCLC",28,1,1.15978102945835e-05,"yes",5.10071405472639e-25,"up"
"ARL14",28,1,1.72982846710079e-05,"yes",1.88889357839609e-05,"up"
"DRD3",28,1,2.44412662160354e-05,"yes",0.493598738600628,"up"
"HPRT1",28,1,5.90359670692431e-05,"yes",2.17696895671808e-51,"up"
"MRGPRX1",24,5,5.95592926523336e-05,"yes",0.0310830525388705,"up"
"DUSP23",26,3,6.3216781936215e-05,"yes",1.27949405046268e-27,"up"
"ANGPTL4",29,0,7.43226043027345e-05,"yes",4.42344012799701e-09,"up"
"ARID3A",27,2,8.84751073499945e-05,"yes",1.62828344435078e-14,"up"
"ZBTB1",28,1,9.44270685807602e-05,"yes",0.0546989523054055,"up"
"WDR61",27,2,0.000116970709362785,"yes",0.0886608897325804,"up"
"ORC5",26,3,0.000125265193426816,"yes",2.63279150840483e-51,"up"
"MTG1",28,1,0.000136789397785275,"yes",7.44048746401631e-40,"up"
"FN1",26,3,0.000145173469357163,"yes",0.636364902382126,"up"
"MST1",28,1,0.000145686450021332,"yes",6.15925633335048e-19,"up"
"SAR1B",29,0,0.000169870013906559,"no",3.12894197285875e-19,"up"
"CD300LF",29,0,0.00019182227172243,"no",1.41750234272494e-14,"down"
"LY6D",28,1,0.000199886803492921,"no",2.53404016388515e-11,"up"
"ANKRD20A4",26,3,0.000210275017971773,"no",0.260109382150486,"up"
"KCNS2",27,2,0.000212035365942831,"no",0.0135990757681939,"up"
"XRCC4",29,0,0.000220428864569744,"no",2.12125966289343e-23,"up"
"MST1P2",26,3,0.000229001776855586,"no",5.40708979698803e-21,"up"
"MBD1",27,2,0.000248494336498761,"no",0.00317490910328364,"up"
"KLHL26",28,1,0.000288229510631899,"no",0.00521095967538851,"up"
"CBX5",27,2,0.00033954200955999,"no",5.69576141583043e-15,"up"
"BCHE",24,5,0.000346933630468893,"no",2.22774361726716e-09,"down"
"SRSF2",29,0,0.000356286406344219,"no",3.63347996600404e-25,"up"
"SETX",26,3,0.000358810540982968,"no",2.64707326054684e-05,"down"
"GRAPL",26,3,0.000362607276858773,"no",1.97866193965023e-07,"down"
"COL6A6",24,5,0.000373868633060326,"no",1.16848721697778e-17,"down"
"FCN3",29,0,0.000377818742794189,"no",2.27501838373551e-12,"down"
"LILRB3",27,2,0.000387445217990057,"no",4.20122226967301e-14,"down"
"LLGL1",28,1,0.000388920325490094,"no",2.789206039465e-19,"up"
"PLXNC1",24,5,0.000392656665047619,"no",0.505543370592019,"up"
"CELF2",22,7,0.000396371548628927,"no",2.92176452690509e-26,"down"
"PLXNA3",28,1,0.000413631770296741,"no",7.65689215036091e-42,"up"
"ACTR5",28,1,0.000436291761491958,"no",5.08284275302888e-68,"up"
"PCGF2",27,2,0.000445054855814808,"no",1.21715971600594e-19,"up"
"DDX55",29,0,0.000448573830479471,"no",5.23688714813884e-52,"up"
"NIN",25,4,0.0004725339804309,"no",0.197702382120282,"up"
"UGT3A1",25,4,0.000479809602841885,"no",0.000823594785380176,"up"
"ANKRD20A3",28,1,0.000487391264669346,"no",0.00171786480550373,"down"
"ANKRD20A2",28,1,0.000487391264669346,"no",0.084959092413212,"down"
"WISP1",29,0,0.000497605825760417,"no",3.56545537939392e-53,"up"
"RBFOX1",26,3,0.000500853505521537,"no",9.10165546384043e-07,"up"
"PSCA",28,1,0.000505196821868337,"no",0.000584580045920238,"up"
"KIF15",25,4,0.000534189503451077,"no",2.60810400550351e-72,"up"
"ARHGEF17",26,3,0.000564350306676897,"no",1.64045656491714e-10,"down"
"FMR1",28,1,0.00056628056425434,"no",5.97700909619069e-05,"up"
"SMAD4",27,2,0.000573762323186844,"no",2.14495229263277e-11,"down"
"ERCC1",28,1,0.000579368093378441,"no",7.73016842297043e-10,"up"
"NCOA1",27,2,0.00058631386934993,"no",5.4745186352964e-12,"down"
"HIST1H2BD",29,0,0.000604454713038494,"no",1.063232300088e-78,"up"
"DYRK3",29,0,0.000623942716200587,"no",0.000390636523912804,"down"
"TGFBR2",28,1,0.000638046379065393,"no",4.10196363107277e-34,"down"
"PPP1R16B",27,2,0.000661583111580821,"no",6.83510459839174e-11,"down"
"MAD1L1",21,8,0.000673674359729093,"no",5.01241421069456e-12,"up"
"GRID1",26,3,0.000679628005231137,"no",1.22334289936716e-16,"down"
"IFNA1",21,8,0.000685975941489336,"no",0.278462258863961,"down"
"IFNA13",21,8,0.000685975941489336,"no",0.311088588100042,"up"
"CCND2",27,2,0.000700431971016213,"no",7.98355592806122e-18,"down"
"DHRS7",27,2,0.000707717006254605,"no",8.65899147610905e-07,"up"
"ACAP3",26,3,0.000716562910634044,"no",1.78941939838293e-33,"up"
"G3BP2",29,0,0.000739471331648756,"no",1.90539028454106e-07,"up"
"ASCC3",27,2,0.000771586329670781,"no",1.08040208938588e-36,"up"
"FOXP3",28,1,0.000783767924686707,"no",1.13338811751687e-46,"up"
"ANKRD20A1",29,0,0.000792770669450271,"no",0.490517634538386,"down"
"BRD8",29,0,0.000869174837089148,"no",2.09762503261355e-15,"up"
