"","#wt","#mut","pvalue","is_significant"
"AGXT2",3,3,0.0401910949394154,"no"
"MTRR",3,3,0.0821385199716061,"no"
"NSUN2",3,3,0.0933650800418995,"no"
"TERT",3,3,0.0994306851477406,"no"
"WASH3P",4,2,0.103642969026032,"no"
"SLC6A3",3,3,0.107576828523596,"no"
"SDHA",3,3,0.126468836821903,"no"
"BRD9",3,3,0.163761558601519,"no"
"DROSHA",3,3,0.169007895893838,"no"
"PRLR",3,3,0.196924460225466,"no"
"NIM1",3,3,0.205016687010376,"no"
"LIFR",3,3,0.206205253472687,"no"
"OR2T11",3,3,0.221973389997467,"no"
"OR2T10",3,3,0.229059500205087,"no"
"CDH12",2,4,0.244786094660733,"no"
"CDH6",3,3,0.254354703350306,"no"
"C1QTNF3",3,3,0.263824692453317,"no"
"C1QTNF3-AMACR",3,3,0.263824692453317,"no"
"C7",3,3,0.263998438468223,"no"
"SLC6A19",3,3,0.322298488298038,"no"
"RICTOR",3,3,0.32820234988938,"no"
"KRAS",4,2,0.330850560925883,"no"
"CFH",4,2,0.340024086963634,"no"
"CFHR3",2,4,0.368088654542628,"no"
"IRX4",3,3,0.389771757311767,"no"
"TRIO",4,2,0.394419493810698,"no"
"IRX1",3,3,0.427178187810319,"no"
"HCN1",3,3,0.43720214166294,"no"
"MED10",3,3,0.43848912290422,"no"
"UBE2QL1",3,3,0.467062758091202,"no"
"CLPTM1L",3,3,0.475107117669574,"no"
"NPR3",3,3,0.477497298861815,"no"
"UGT3A1",3,3,0.480517571738967,"no"
"IL7R",3,3,0.523131774621904,"no"
"NNT",3,3,0.546523088227346,"no"
"PRKAA1",3,3,0.546731734671241,"no"
"ANKH",4,2,0.547612127496865,"no"
"SLC1A3",3,3,0.554775542789272,"no"
"IRX2",3,3,0.564872292072708,"no"
"PRDM9",3,3,0.575465546974671,"no"
"PAIP1",3,3,0.594774167973061,"no"
"ARL17A",4,2,0.611259258630794,"no"
"ARL17B",4,2,0.611259258630794,"no"
"OR2T29",4,2,0.623164300530673,"no"
"TRIP13",3,3,0.629032958599466,"no"
"SKP2",3,3,0.636388874351837,"no"
"PLEKHG4B",3,3,0.642002888932495,"no"
"AHRR",3,3,0.663463492385711,"no"
"MYO10",3,3,0.669156188817437,"no"
"GSTT1",4,2,0.671875434281371,"no"
"ANKRD33B",4,2,0.734621367624644,"no"
"DNAH5",4,2,0.738484263223687,"no"
"PTGER4",3,3,0.740225101311638,"no"
"FGF10",3,3,0.740363015541364,"no"
"CASC1",4,2,0.760182520109599,"no"
"ADCY2",3,3,0.774995196575434,"no"
"C6",3,3,0.787763102106812,"no"
"MYC",3,3,0.83447410062091,"no"
"MTMR12",3,3,0.861112375936175,"no"
"ZNF131",3,3,0.888110977069268,"no"
"NSFP1",3,3,0.926103985610493,"no"
"WDR70",3,3,0.981345583897318,"no"
"OR2T34",3,3,0.982341628120458,"no"
"BRIX1",3,3,0.990834528806162,"no"
"SLC12A7",3,3,0.994563729807847,"no"
