"","#wt","#mut","pvalue","is_significant"
"KRAS",4,2,0.00242684825989316,"yes"
"LAMA5",4,2,0.00635116600663525,"yes"
"ATP8A1",4,2,0.0246065869638875,"no"
"ATG2B",4,2,0.0504713838389916,"no"
"UTY",4,2,0.0694885714858339,"no"
"ALK",4,2,0.0713380448688323,"no"
"DCAF8L2",4,2,0.0739840953890049,"no"
"MACF1",4,2,0.0770552654669523,"no"
"HOXD11",4,2,0.0896187398110168,"no"
"STARD8",4,2,0.0994487446512186,"no"
"TP53",3,3,0.107455315828693,"no"
"GPR85",4,2,0.108082105781922,"no"
"GPR63",4,2,0.111335991196429,"no"
"BAZ2B",4,2,0.118124431306461,"no"
"MAGEB4",4,2,0.12094355735373,"no"
"DSP",4,2,0.141577385050588,"no"
"NLRP3",4,2,0.183139232752291,"no"
"HECW1",4,2,0.1909383807517,"no"
"KEAP1",4,2,0.196114445866553,"no"
"HDAC9",4,2,0.211579927030751,"no"
"LRP1B",3,3,0.215195201427445,"no"
"ZFHX4",4,2,0.239237654833465,"no"
"ADAMTS20",3,3,0.257606924418452,"no"
"CLCN1",4,2,0.287633807661401,"no"
"PIK3C2G",4,2,0.297209528621388,"no"
"DHX37",4,2,0.302099100082598,"no"
"CACNA1C",4,2,0.32860500969834,"no"
"COL18A1",4,2,0.345201580836049,"no"
"RIF1",4,2,0.347732442950359,"no"
"IBTK",4,2,0.350597489648358,"no"
"SLC7A7",4,2,0.352183505032807,"no"
"ADAMTSL3",4,2,0.370200099850573,"no"
"TTN",1,5,0.377592133288593,"no"
"LRIT2",4,2,0.378206155675718,"no"
"TRIO",4,2,0.394419493810698,"no"
"BRWD1",4,2,0.407464756878613,"no"
"MUC12",4,2,0.407807167734327,"no"
"PRLR",4,2,0.409548772672313,"no"
"GLI2",4,2,0.432503982704716,"no"
"ROCK2",4,2,0.433861726831943,"no"
"JAG1",4,2,0.44457478588724,"no"
"SMARCAL1",4,2,0.449103515331671,"no"
"ITGA8",4,2,0.452068018192356,"no"
"C6",4,2,0.488701082440958,"no"
"OBSCN",4,2,0.489696105366882,"no"
"ABCA13",4,2,0.498682605035304,"no"
"HTR5A",4,2,0.506469617026571,"no"
"ZNF217",4,2,0.509894161423986,"no"
"SCARA3",4,2,0.512118298735627,"no"
"SLC39A11",4,2,0.513552097931686,"no"
"ZNF521",4,2,0.517852436069302,"no"
"NR3C2",4,2,0.555309175361284,"no"
"CSMD3",4,2,0.581202100559806,"no"
"USP35",4,2,0.588822310709602,"no"
"RNF17",4,2,0.589479767329991,"no"
"TCHH",4,2,0.59828902190595,"no"
"GATA6",4,2,0.622744926438768,"no"
"ASTN2",4,2,0.623862955146914,"no"
"ARHGAP22",4,2,0.645899140377246,"no"
"NCOA6",4,2,0.671955482573048,"no"
"KIF15",4,2,0.672275602188105,"no"
"TRIM13",4,2,0.676160896975919,"no"
"HERC6",4,2,0.709477230990587,"no"
"SART3",4,2,0.714638019122288,"no"
"TIE1",4,2,0.723123293893656,"no"
"ALPK2",4,2,0.728124349231191,"no"
"CDK11B",4,2,0.735327910612447,"no"
"TG",4,2,0.746844693230351,"no"
"KDR",4,2,0.749175395179197,"no"
"PHF3",3,3,0.770811146079238,"no"
"MEF2C",4,2,0.801709596382699,"no"
"SLC35B2",4,2,0.815130088163196,"no"
"COL14A1",3,3,0.818414962938697,"no"
"LRP5",4,2,0.828463689388573,"no"
"RDH14",4,2,0.849631024202888,"no"
"FAT3",3,3,0.853041952695744,"no"
"ZXDC",4,2,0.864523360361888,"no"
"GUCY2C",4,2,0.873756227153622,"no"
"BRSK1",4,2,0.875066925666289,"no"
"PMEL",4,2,0.882765053467336,"no"
"CALD1",4,2,0.897833082051848,"no"
"CHD9",4,2,0.901346366010504,"no"
"NRXN3",3,3,0.902020464202494,"no"
"COL1A2",4,2,0.916542944265918,"no"
"CD109",4,2,0.924291066672387,"no"
"COL22A1",4,2,0.940071211403308,"no"
"HCN1",4,2,0.941449781820887,"no"
"ITGB3",4,2,0.969912336211344,"no"
"FMN2",4,2,0.977106137079206,"no"
"KPNA7",4,2,0.999739206693051,"no"
