"","#wt","#mut","pvalue","is_significant"
"SBK1",6,0,1.46359648551005e-06,"yes"
"EPB41L4A",5,1,2.77597878033353e-05,"yes"
"OVOL1",6,0,4.49943773158227e-05,"yes"
"LOC728554",6,0,4.74207345845701e-05,"yes"
"RAB3GAP1",6,0,8.63832626897833e-05,"yes"
"THOC3",5,1,0.000117644993765791,"yes"
"MTOR",5,1,0.000132336091902816,"yes"
"EEF2",5,1,0.00013537226752036,"yes"
"URI1",5,1,0.000167230907642147,"no"
"ADRBK2",5,1,0.000196271881662992,"no"
"DDX4",6,0,0.000243068330110875,"no"
"PPP1CC",6,0,0.000243963242020335,"no"
"UBE2I",6,0,0.000251375002055845,"no"
"GPT2",6,0,0.000295140737015808,"no"
"NME4",6,0,0.00039201063570738,"no"
"ROBO2",4,2,0.000566900689555314,"no"
"ZNF92",6,0,0.000657628733304979,"no"
"FCN1",6,0,0.000726687830298114,"no"
"STK38L",5,1,0.000796308454877171,"no"
"ATAD1",6,0,0.00113619632701833,"no"
"GNG8",6,0,0.00124355849897843,"no"
"FMN2",3,3,0.00137999656340667,"no"
"RANBP2",5,1,0.00147484625235478,"no"
"XRRA1",6,0,0.00147638233802279,"no"
"PRRT1",6,0,0.00181884703525199,"no"
"WWP2",6,0,0.00183484146806938,"no"
"GPX4",6,0,0.0018688115410438,"no"
"PHIP",5,1,0.00193313985023248,"no"
"CLASP1",6,0,0.0020963553446133,"no"
"RBBP7",6,0,0.00224306460695675,"no"
"NDRG1",5,1,0.00225634827180879,"no"
"TXNDC11",6,0,0.00235343536260561,"no"
"WDR63",6,0,0.00252430851095419,"no"
"OXA1L",6,0,0.00257072921960049,"no"
"LOC643387",6,0,0.00264060489233217,"no"
"NCKIPSD",6,0,0.00266132628611394,"no"
"LOC100294341",6,0,0.00267778078615634,"no"
"LOC100996709",6,0,0.00267778078615634,"no"
"KPNA7",4,2,0.00303064658054387,"no"
"TMEM64",5,1,0.00332195793601246,"no"
"CTH",6,0,0.00342532854658297,"no"
"DDX5",6,0,0.00353752354863772,"no"
