"","#wt","#mut","pvalue","is_significant"
"EPHB2",6,0,0.000117611962781705,"yes"
"MAPK3",5,1,0.000271335198854916,"no"
"FER1L6-AS1",5,1,0.000292738324140007,"no"
"CHRM1",6,0,0.000339927323215417,"no"
"SLC39A1",6,0,0.000343289160358196,"no"
"TAPBPL",6,0,0.000625206570772363,"no"
"IGSF21",6,0,0.000629472868953762,"no"
"KPNA6",6,0,0.00068966252558289,"no"
"GPR37L1",6,0,0.000830284552784666,"no"
"ABCC12",5,1,0.000876171399073589,"no"
"RAB24",6,0,0.00106542826010014,"no"
"LGALS1",6,0,0.00108289532097561,"no"
"TMEM141",6,0,0.00112707497004638,"no"
"ADAR",6,0,0.00125053986125179,"no"
"NAV2",6,0,0.00145045725361348,"no"
"HK3",6,0,0.00146903134978438,"no"
"STK10",6,0,0.00149387933771816,"no"
"IRF5",6,0,0.00152939207748259,"no"
"ZBTB4",6,0,0.00167781616493401,"no"
"DLX3",6,0,0.00175216059688055,"no"
"KCNK3",5,1,0.00178745610737663,"no"
"PAX3",6,0,0.00189999639837868,"no"
"ASGR1",6,0,0.00207670089362466,"no"
"SEMA6D",5,1,0.00217041491979519,"no"
"SLC44A4",6,0,0.00226019900170527,"no"
"ZCWPW2",6,0,0.00239923368255257,"no"
"ZRANB2",6,0,0.00246008430269073,"no"
"ADCY9",6,0,0.00253374640131987,"no"
"ALDOB",6,0,0.00322518161510976,"no"
"RPS6KA1",5,1,0.00326893617257562,"no"
"MED12",6,0,0.00329252698486482,"no"
"NT5C1B-RDH14",6,0,0.00333586921389928,"no"
"NCKAP1L",6,0,0.00350162344593741,"no"
"PUS7L",6,0,0.00355419577773308,"no"
"COLQ",6,0,0.00356255636756686,"no"
"GTF2IRD2",6,0,0.00367989980768646,"no"
"GTF2IRD2B",6,0,0.00367989980768646,"no"
"GTF2IRD2P1",6,0,0.00367989980768646,"no"
"ULK2",6,0,0.00399428870909713,"no"
"SMARCA4",2,4,0.00426263681496808,"no"
"SERPINA12",6,0,0.00429960432475762,"no"
"IKZF2",6,0,0.00435369863261537,"no"
"GLRA1",6,0,0.0044686322832449,"no"
"JUP",6,0,0.00447368596489306,"no"
"MYL3",6,0,0.00450410777466692,"no"
"SYDE2",5,1,0.00450622140191292,"no"
"LRRTM3",5,1,0.00483656985897596,"no"
"PHF20",6,0,0.00487370896352135,"no"
"PDE1C",6,0,0.00501840433172018,"no"
"PTGER3",6,0,0.00504069164917409,"no"
"DHTKD1",6,0,0.005293251151817,"no"
"MADD",6,0,0.00544419838016441,"no"
"ACP5",6,0,0.0060558831983113,"no"
"GRB14",6,0,0.00611896233111586,"no"
"ANKRD7",6,0,0.00615619147356739,"no"
"HTR3E",6,0,0.00627123237542804,"no"
"CYP2D7P1",6,0,0.00639030687577447,"no"
"CYP2D6",6,0,0.00639030687577447,"no"
"GRIK5",6,0,0.00676589948801964,"no"
"NAA11",6,0,0.00677777522939427,"no"
"SVEP1",5,1,0.00701309722196142,"no"
"KIAA0226",6,0,0.00710744998772395,"no"
"CHRNA3",6,0,0.00721189062653294,"no"
"DLST",6,0,0.00739131816760219,"no"
"SRPX2",6,0,0.00741176366628105,"no"
"MAK",6,0,0.00749401176748765,"no"
"PITX2",6,0,0.0081627862679704,"no"
"ZNF165",6,0,0.00824623199287433,"no"
"MYBL1",6,0,0.00829102198206089,"no"
"NR1H3",6,0,0.00841806579393622,"no"
"DNMT3L",6,0,0.00843797098614063,"no"
"HDAC9",4,2,0.00912733099954577,"no"
"KCNMB1",6,0,0.00916547119384004,"no"
"SHD",6,0,0.00956221228415299,"no"
"PCGF2",6,0,0.0096317958624943,"no"
"ZBTB8B",6,0,0.00991103620266276,"no"
"CHFR",6,0,0.00992403219933302,"no"
"CDC27",5,1,0.0101285030585045,"no"
"OSM",6,0,0.0101669808073684,"no"
"HIST1H1D",6,0,0.0101736137691266,"no"
"SCRT1",5,1,0.0102781625279971,"no"
"MAP3K9",6,0,0.010340589646468,"no"
"FBXW10",6,0,0.0103708814856419,"no"
"CDRT1",6,0,0.0103708814856419,"no"
"CFTR",6,0,0.0104012457008348,"no"
"DUSP10",6,0,0.0107435332144553,"no"
"ZCRB1",6,0,0.0107782610409395,"no"
"MYOZ3",6,0,0.0110664946441239,"no"
"GNG10",6,0,0.0114702921178692,"no"
"DNAJC25-GNG10",6,0,0.0114702921178692,"no"
"CHD1L",5,1,0.0115031116536676,"no"
"EDF1",6,0,0.0115989085492714,"no"
"MCMBP",6,0,0.0116173776869365,"no"
"LAMA5",4,2,0.0116866183498763,"no"
"CYP27C1",5,1,0.0118237060648811,"no"
"ID1",6,0,0.0120678615575311,"no"
"MAD1L1",6,0,0.0122095871103558,"no"
"CSNK1A1L",6,0,0.0123798814756372,"no"
"IQCA1",6,0,0.0127342156211946,"no"
"IDO2",6,0,0.012774088417603,"no"
"PDE4B",5,1,0.0127747192144413,"no"
"MAP1LC3B",5,1,0.0128375293443389,"no"
"ABCB10",5,1,0.0130456428635957,"no"
"DUSP12",5,1,0.0131598718156132,"no"
"METRNL",6,0,0.0138383076061819,"no"
"PPHLN1",6,0,0.0139023195380475,"no"
"BAIAP2",6,0,0.0139408414225536,"no"
"USP9X",6,0,0.0140698711301053,"no"
"KPNA3",6,0,0.0141477508891423,"no"
"MMP3",6,0,0.0144981066170562,"no"
"ARHGAP26",6,0,0.0145290928497454,"no"
"CHCHD7",6,0,0.0145645710960403,"no"
"CERK",6,0,0.0146982375430516,"no"
"TNK2",6,0,0.0148328916260692,"no"
"PPP1R12B",6,0,0.0148509204039304,"no"
"PLEKHA4",6,0,0.0149867000829053,"no"
"EIF4EBP3",5,1,0.0149914925076373,"no"
"KRT18",5,1,0.0150475296783684,"no"
"TNFSF13",6,0,0.0150869062964173,"no"
"ARHGEF28",6,0,0.0151189030582237,"no"
"NOTCH3",4,2,0.0151510136650231,"no"
"CPEB2",6,0,0.0151784706537798,"no"
"ITIH2",6,0,0.0154372344853874,"no"
"SMARCD1",6,0,0.0155773117665728,"no"
"SGCE",6,0,0.0157609394734044,"no"
"SOD2",6,0,0.0158748038199918,"no"
"GABARAPL1",6,0,0.0158938453573936,"no"
"ABCA3",5,1,0.0159563184551388,"no"
"POLE2",5,1,0.0162687494532177,"no"
"KIF9",6,0,0.0163077001426924,"no"
"HPGD",6,0,0.0165375079790956,"no"
"EMILIN1",6,0,0.0168596037444959,"no"
"FANCL",6,0,0.0170956234814336,"no"
"UBE2U",6,0,0.0171360595626188,"no"
"YWHAE",6,0,0.0171360595626188,"no"
"ALDH18A1",6,0,0.0171613710219916,"no"
"SLIT2",5,1,0.0171898649156486,"no"
"C8G",6,0,0.0174263908111706,"no"
"COQ5",6,0,0.0175343429411099,"no"
"FANCG",6,0,0.0183584880926364,"no"
"CTSF",6,0,0.0184495532686881,"no"
"BIRC5",6,0,0.0184764057264927,"no"
"NRG2",6,0,0.0194137191968206,"no"
"GPR84",6,0,0.019424901970451,"no"
"TDRD5",5,1,0.0195482648834112,"no"
"SLC22A7",6,0,0.0196157960998709,"no"
"LY9",5,1,0.0196426085745532,"no"
"SETD6",6,0,0.0197968239508681,"no"
"ALDH1A2",6,0,0.0200249774679946,"no"
"GTF3C3",5,1,0.0200940528281829,"no"
"GABRA1",6,0,0.0200995764118179,"no"
"HMOX1",5,1,0.0201518572122669,"no"
"RAVER2",6,0,0.0204118201241748,"no"
"TREM1",5,1,0.0204493512154574,"no"
"DCAF13",5,1,0.0205732337588773,"no"
"GSK3B",6,0,0.0206749599546252,"no"
"PIP5K1C",6,0,0.0206984800538856,"no"
"LOC81691",6,0,0.0209051894465163,"no"
"ESPN",6,0,0.0211973345407136,"no"
"ATP4A",6,0,0.0213054636886268,"no"
"DMPK",6,0,0.0213596922141055,"no"
"KDM6B",6,0,0.0213596922141055,"no"
"LOC100996481",6,0,0.0214866515378306,"no"
"MNT",6,0,0.0215230353985948,"no"
"HTR5A",3,3,0.0220396493215751,"no"
"TBC1D10A",6,0,0.0223109377705683,"no"
"ITIH1",6,0,0.0224800171408261,"no"
"NDST4",5,1,0.0226933133869347,"no"
"PTPRT",6,0,0.0228085090446348,"no"
"DUSP2",6,0,0.0228148632105521,"no"
"P2RY8",6,0,0.0229741730580318,"no"
"PHLDA2",6,0,0.0229741730580318,"no"
"SACM1L",5,1,0.0231916828007416,"no"
"C1QTNF6",5,1,0.0233572894928288,"no"
"DNAJC7",6,0,0.0234573869283816,"no"
"UBB",6,0,0.0237183643945288,"no"
"RASAL2",5,1,0.0237643765422206,"no"
"KCTD21",6,0,0.0239485956268265,"no"
