"","#wt","#mut","pvalue","is_significant"
"CDH12",4,2,0.0258904508428956,"no"
"OR2T29",4,2,0.0606510945787396,"no"
"OR2T11",4,2,0.0752523775226705,"no"
"PRDM9",4,2,0.121271574726353,"no"
"OR2T10",3,3,0.128307190418698,"no"
"SOX17",4,2,0.141577385050588,"no"
"PDZRN4",4,2,0.141939398872007,"no"
"TSPAN11",4,2,0.188950928115616,"no"
"RAPGEF3",4,2,0.204385309408775,"no"
"TWF1",4,2,0.218554355397136,"no"
"OPRK1",4,2,0.219595365833526,"no"
"ALG10B",4,2,0.234418055706989,"no"
"CNTN1",4,2,0.250492505477028,"no"
"MYO10",3,3,0.296656577684079,"no"
"GXYLT1",4,2,0.299007043335558,"no"
"PHF14",4,2,0.446838335733885,"no"
"AHR",4,2,0.455122338607943,"no"
"PRICKLE1",4,2,0.494028009350917,"no"
"AMIGO2",4,2,0.553045540271068,"no"
"CFHR3",3,3,0.556564868636732,"no"
"CAPRIN2",4,2,0.566860569760373,"no"
"ARID2",4,2,0.578416021019515,"no"
"KIF21A",4,2,0.589679816098691,"no"
"PRKDC",4,2,0.591108096540528,"no"
"VDR",4,2,0.592421113523988,"no"
"CYP2A7",4,2,0.603994561390632,"no"
"CDH6",4,2,0.622800850820571,"no"
"NPBWR1",4,2,0.635929400801328,"no"
"LIMS3",4,2,0.670353123779249,"no"
"LIMS3-LOC440895",4,2,0.670353123779249,"no"
"LIMS3L",4,2,0.670353123779249,"no"
"TCEA1",4,2,0.672142233323289,"no"
"ALG10",4,2,0.672728903237325,"no"
"YAF2",4,2,0.680636034230069,"no"
"RB1CC1",4,2,0.686529979001404,"no"
"IRAK4",4,2,0.706397185729079,"no"
"TMEM117",4,2,0.720856812174486,"no"
"ABCD2",4,2,0.722202764497802,"no"
"LRRK2",4,2,0.727853089155041,"no"
"ST18",4,2,0.752887297565526,"no"
"MTMR12",4,2,0.814988811361291,"no"
"SNAI2",4,2,0.822194478394176,"no"
"UBE2V2",4,2,0.824455445207599,"no"
"AGR2",4,2,0.840960449582849,"no"
"ADAMTS20",4,2,0.863363696998067,"no"
"ARL4A",4,2,0.882948547134942,"no"
"PPHLN1",4,2,0.886998605852383,"no"
"OR2T34",3,3,0.88731833234178,"no"
"NPR3",4,2,0.891350800161655,"no"
"SLC38A1",4,2,0.897188141618006,"no"
"MCM4",4,2,0.907909141691388,"no"
"ZCRB1",4,2,0.915141544345071,"no"
"ETV1",4,2,0.948602250741042,"no"
"PUS7L",4,2,0.961663916643107,"no"
"HDAC7",4,2,0.966879949749302,"no"
"DROSHA",4,2,0.995014876633681,"no"
"RPAP3",4,2,0.998719077696019,"no"
"RGPD6",4,2,0.998870930643583,"no"
