"","#wt","#mut","pvalue","is_significant"
"ABCA1",4,2,0.0155915661197163,"no"
"ITGB4",4,2,0.0276691711565136,"no"
"SLITRK2",4,2,0.0327423836469839,"no"
"PRDM14",4,2,0.032905643767611,"no"
"NRCAM",4,2,0.038788792856131,"no"
"PRKACG",4,2,0.0421966542107632,"no"
"CDC42BPA",4,2,0.045250893972639,"no"
"PRDM9",4,2,0.0527345647865423,"no"
"GABRG2",4,2,0.0555929327729819,"no"
"PRKDC",4,2,0.056333706235889,"no"
"FBXW7",4,2,0.0586076052874885,"no"
"ATP8B4",4,2,0.0738940707527128,"no"
"KIAA1549L",4,2,0.0776006877012068,"no"
"RB1",4,2,0.0788639949045476,"no"
"WDR11",4,2,0.0804508621800233,"no"
"NPY5R",4,2,0.0962666529921951,"no"
"LRP5L",4,2,0.102236891051975,"no"
"ANO1",4,2,0.104890754856099,"no"
"ITK",4,2,0.108765765490943,"no"
"KEAP1",4,2,0.110553468014067,"no"
"COL5A1",4,2,0.116471605227257,"no"
"EPHA3",4,2,0.149548283442265,"no"
"ZFHX3",3,3,0.155320596511028,"no"
"WDR87",4,2,0.162387318779605,"no"
"ULK4",3,3,0.167139921327333,"no"
"PAPPA2",4,2,0.167334201254829,"no"
"DGKZ",4,2,0.184144314189395,"no"
"PKHD1L1",4,2,0.209584737769785,"no"
"POLE",4,2,0.211732151340378,"no"
"PLCE1",4,2,0.219019164725956,"no"
"LRP1B",3,3,0.220196867249463,"no"
"DSP",4,2,0.222778727114783,"no"
"BCL11B",4,2,0.228922579785097,"no"
"ABCC6",4,2,0.240467721443964,"no"
"ST18",4,2,0.257511458167333,"no"
"LPHN3",4,2,0.259437551577933,"no"
"NCOA1",4,2,0.264258320567626,"no"
"GPR15",4,2,0.266598883706474,"no"
"ATP11A",4,2,0.266843248261362,"no"
"OBSCN",3,3,0.301661889476437,"no"
"OR2G2",3,3,0.310282425866858,"no"
"RAI1",4,2,0.319496019384201,"no"
"BAI1",4,2,0.323281714001588,"no"
"SEMA3E",4,2,0.325886002392623,"no"
"ASXL1",4,2,0.3277777429039,"no"
"CDH4",4,2,0.336327567390813,"no"
"FAT3",3,3,0.3371541020368,"no"
"FCGBP",4,2,0.34909575047257,"no"
"PDGFRA",4,2,0.352703585472561,"no"
"GNAS",4,2,0.355609781269249,"no"
"MMS22L",4,2,0.357203299001154,"no"
"ZFHX4",4,2,0.364070599198672,"no"
"TEK",4,2,0.364513294745698,"no"
"TEX15",4,2,0.382101535391519,"no"
"PLEKHA4",4,2,0.386092552048494,"no"
"RBM39",4,2,0.390405387288132,"no"
"PKHD1",3,3,0.391755747319437,"no"
"EIF2AK3",4,2,0.395240583642329,"no"
