"","#wt","#mut","pvalue","is_significant"
"VPRBP",5,1,4.55694754883188e-10,"yes"
"CLSPN",6,0,1.11554850110366e-08,"yes"
"EIF3I",5,1,5.24885268319382e-07,"yes"
"SNRPF",6,0,8.61671866670459e-07,"yes"
"UTP15",5,1,1.0250406793119e-06,"yes"
"COPS8",6,0,1.32439378825489e-06,"yes"
"NLE1",5,1,1.45511837314388e-06,"yes"
"ATP10D",6,0,1.65163910093977e-06,"yes"
"WDR36",5,1,1.92285290813971e-06,"yes"
"RRP9",5,1,1.92677549294142e-06,"yes"
"DDX27",5,1,2.32973995984722e-06,"yes"
"RCC1",6,0,2.40988052257227e-06,"yes"
"COPS3",6,0,2.71469060887917e-06,"yes"
"WDR74",6,0,3.16916280866757e-06,"yes"
"WDR46",6,0,4.04401235601388e-06,"yes"
"RFC4",6,0,7.37363738443783e-06,"yes"
"INTS4",6,0,7.66134080711965e-06,"yes"
"WDR3",6,0,7.67805948753355e-06,"yes"
"RGPD6",4,2,8.3516158008949e-06,"yes"
"FTSJ3",6,0,1.53073405404594e-05,"yes"
"RFC5",5,1,1.67962946714213e-05,"yes"
"MKI67IP",6,0,1.93310709073777e-05,"yes"
"LOC128322",6,0,2.6180997543198e-05,"yes"
"CTNNBL1",6,0,2.77050032736768e-05,"yes"
"GEMIN5",5,1,2.91468295663428e-05,"yes"
"AATF",5,1,2.99136257528858e-05,"yes"
"DIMT1",4,2,3.29032196505536e-05,"yes"
"CDC27",5,1,3.46222362231844e-05,"yes"
"RBM28",6,0,3.55701027673517e-05,"yes"
"FABP1",6,0,3.93607900563526e-05,"yes"
"BET1",6,0,4.23936198914577e-05,"yes"
"RACGAP1",5,1,4.28731975854065e-05,"yes"
"LOC728554",5,1,4.30142895537929e-05,"yes"
"GJC1",5,1,4.38208440413507e-05,"yes"
"OXA1L",5,1,4.5421038654103e-05,"yes"
"NEDD8-MDP1",5,1,6.81991926188122e-05,"yes"
"CEBPZ",5,1,7.55808626578527e-05,"yes"
"PNPT1",5,1,7.75225616605157e-05,"yes"
"MRPL38",6,0,7.82918205264797e-05,"yes"
"HNRNPCL1",6,0,8.42055167126424e-05,"yes"
"RBMXL1",6,0,0.00010474118111794,"yes"
"CDC42",6,0,0.000105110920670658,"yes"
"WDR75",5,1,0.000105537890270136,"yes"
"CIRH1A",6,0,0.00011234544083115,"yes"
"TBL3",5,1,0.000116073623266891,"yes"
"CHAF1B",6,0,0.000116639410532564,"yes"
"POLE2",5,1,0.000116804826081884,"yes"
"UTP18",6,0,0.000122492546006222,"yes"
"CDC40",6,0,0.000137786812149219,"yes"
"ATP2A2",6,0,0.000174868781051969,"no"
"FEM1B",6,0,0.000176231387982796,"no"
"MCM7",6,0,0.000190472589984967,"no"
"GPN3",6,0,0.000203852933986211,"no"
"DDX47",6,0,0.000205789764491264,"no"
"RAE1",6,0,0.000222396370878146,"no"
"SRSF2",6,0,0.000226156468751622,"no"
"ATP5J2-PTCD1",6,0,0.000243813899661123,"no"
"DDX10",6,0,0.00026435756011808,"no"
"CDK11B",5,1,0.000283254241733442,"no"
"THOC3",4,2,0.000303089869435792,"no"
"AIFM1",6,0,0.000304182667893775,"no"
"RARA",5,1,0.000326282127321146,"no"
"RPN1",6,0,0.000396691305157639,"no"
"TTC1",5,1,0.000432761616278103,"no"
"MCM4",4,2,0.000442320834360438,"no"
"PGAM1",6,0,0.000443651485794151,"no"
"SUPV3L1",6,0,0.000516826971527775,"no"
"DTL",6,0,0.00052131093716477,"no"
"CCNB3",6,0,0.000529805772462705,"no"
"MCM2",6,0,0.000572204405244277,"no"
"NOL11",6,0,0.00060742247398612,"no"
"DDX56",6,0,0.000613195697496404,"no"
"SSRP1",5,1,0.000695787336436431,"no"
"SEMA4D",6,0,0.000746571052399847,"no"
"UBA3",5,1,0.000748386707253427,"no"
"ATAD3B",6,0,0.000763033960688423,"no"
"DARS",5,1,0.000878273284247558,"no"
"ADSL",5,1,0.000978266244806488,"no"
"RAB7A",6,0,0.00101296084480558,"no"
"RNF43",4,2,0.00107107323469501,"no"
"DDX39A",6,0,0.00110060036765134,"no"
"RBM14",6,0,0.0011633811432207,"no"
"ORC1",5,1,0.00119475160693556,"no"
"PLRG1",6,0,0.00132461365233969,"no"
"C9orf24",6,0,0.0013381300028201,"no"
"MCM5",4,2,0.00137711504388537,"no"
"MCM6",6,0,0.00138952621251096,"no"
"DHX37",6,0,0.00142556292606987,"no"
"GNL2",6,0,0.0014610469013317,"no"
"EP400",6,0,0.00147973381511357,"no"
"PAK1IP1",5,1,0.00162471541714053,"no"
"RAPGEF1",5,1,0.00167082961531686,"no"
"MAST2",5,1,0.00170185212410041,"no"
"STC2",4,2,0.0017128904595688,"no"
"EDC4",6,0,0.0017406066672744,"no"
"PRRT1",5,1,0.0017415038222167,"no"
"NSF",5,1,0.00177264711012333,"no"
"DDX4",4,2,0.00177770416025589,"no"
"SDF4",6,0,0.00189586852396319,"no"
"CASP8AP2",6,0,0.00193161369042391,"no"
"YME1L1",5,1,0.00211459559607166,"no"
"RBM19",5,1,0.00212950955898954,"no"
"HSP90AB1",6,0,0.00213977627052473,"no"
"HSP90AB3P",6,0,0.00213977627052473,"no"
"NSFP1",4,2,0.00214350300885776,"no"
"PPP3CC",6,0,0.00220912035974066,"no"
"LGALS12",5,1,0.00222298080417366,"no"
"SELL",6,0,0.00228899862773367,"no"
"DDX17",5,1,0.00235191387283168,"no"
"RGPD5",5,1,0.00238097244962672,"no"
"RANBP2",6,0,0.00241331876485309,"no"
"TBC1D19",6,0,0.00252430851095419,"no"
"SRSF11",5,1,0.00254412495095572,"no"
"SF3B4",6,0,0.00254532150004222,"no"
"NR1H2",6,0,0.00259527617517108,"no"
"RNF20",6,0,0.0026297529855618,"no"
"DDX19B",6,0,0.00273548059692655,"no"
"PRKD2",5,1,0.00277368798982565,"no"
"KIF3B",5,1,0.00287953159760377,"no"
"NOC2L",6,0,0.0030032663180563,"no"
"CACNA1B",6,0,0.00304709080866642,"no"
"NAA15",6,0,0.00322261448147259,"no"
