"","#wt","#mut","pvalue","is_significant"
"MUC12",5,1,2.52323135108146e-06,"yes"
"SMYD2",6,0,6.64807617906105e-05,"yes"
"GPSM1",6,0,0.000163744122395615,"no"
"MED12",6,0,0.000180721125621619,"no"
"FRY",5,1,0.000195006228409955,"no"
"MCHR1",6,0,0.00024396324201581,"no"
"MED13L",6,0,0.000287007389321525,"no"
"EZH2",5,1,0.000288828252215656,"no"
"CX3CR1",6,0,0.000383440032467153,"no"
"MED13",5,1,0.00040882590466762,"no"
"RSF1",6,0,0.000466502163206317,"no"
"CXCL12",5,1,0.000504920357685346,"no"
"APMAP",6,0,0.000509333168075887,"no"
"MTAP",5,1,0.000554743321150686,"no"
"UCK2",5,1,0.000686235928648693,"no"
"ARHGEF33",6,0,0.000694649303446648,"no"
"LAMP3",6,0,0.000715996465233681,"no"
"NAV2",6,0,0.000737136435741248,"no"
"FOXR1",5,1,0.000917346797327467,"no"
"G6PD",6,0,0.000997405801281048,"no"
"MYSM1",6,0,0.00100564443889239,"no"
"ABCB8",6,0,0.00101345017809373,"no"
"IQGAP1",5,1,0.0010190654877742,"no"
"NAT8B",6,0,0.00124239810249471,"no"
"TNS1",6,0,0.00129311755884287,"no"
"TBL1Y",6,0,0.00147638233802438,"no"
"C17orf80",6,0,0.0016748384554256,"no"
"NPFFR1",6,0,0.00171162053441365,"no"
"SEPT6",6,0,0.00179901753742873,"no"
"TCL1A",6,0,0.00181168754155836,"no"
"ADCY7",6,0,0.00189092494185072,"no"
"LRIG2",6,0,0.0024775571467992,"no"
"SLC12A7",5,1,0.00248555207059775,"no"
"CPEB4",5,1,0.00248676123174474,"no"
"PRKAG3",6,0,0.0025664799907904,"no"
"KLHL21",6,0,0.00287959920928416,"no"
"LGR6",6,0,0.00290539947046808,"no"
"OR11L1",6,0,0.00309144635989689,"no"
"TAS1R2",6,0,0.00328861013021964,"no"
"ARHGAP35",5,1,0.00329915073465636,"no"
"IL18RAP",5,1,0.00332348288892026,"no"
"MLL",6,0,0.00335174725276188,"no"
"HMGN2",6,0,0.00366273844569487,"no"
"TRMT5",6,0,0.00366273844569487,"no"
"LATS1",5,1,0.00371768884296175,"no"
"BMP4",6,0,0.00372743864222735,"no"
"CBX5",5,1,0.00378828861114822,"no"
"ARAP1",5,1,0.0039871016365155,"no"
"ANXA4",6,0,0.00407315905179451,"no"
"HOXC9",5,1,0.0044500734384284,"no"
"C4BPA",6,0,0.00449564010200065,"no"
"RPTOR",6,0,0.00481788311625986,"no"
"CFHR2",5,1,0.00508234074536074,"no"
"FANCE",6,0,0.00523154790371982,"no"
"SCAF4",6,0,0.00527197304253912,"no"
"KCTD19",6,0,0.00535751267555562,"no"
"PPARA",5,1,0.00549125408429663,"no"
"FOXP3",6,0,0.00559666237779399,"no"
"SNAP25",6,0,0.00580473105733625,"no"
"PDE1B",5,1,0.00590913548017169,"no"
"CYP1A1",6,0,0.00636544103165904,"no"
"TCIRG1",6,0,0.00647453582877033,"no"
"BTAF1",6,0,0.00658052867041192,"no"
